person_id,movie_id
2306,HCP22
2306,HCP24
3140,xWi1
309,IBt4
309,IBt5
309,IBt10
309,IBt11
309,IBt12
309,IBt18
309,IBt21
309,IBt24
309,IBt27
309,IBt33
505,ChJ10
505,ChJ12
505,ChJ15
505,ChJ20
505,ChJ25
505,ChJ30
505,ChJ35
505,ChJ36
505,ChJ40
505,ChJ45
505,ChJ50
505,ChJ55
505,ChJ60
505,ChJ65
505,ChJ70
505,ChJ74
1702,xLe10
1852,xMa10
2967,xUc10
931,DFl10
931,DFl11
2507,RRw15
2507,RRw20
2507,RRw25
2507,RRw32
2507,RRw37
464,xCa10
2015,DMi10
2015,DMi20
2015,DMi28
2015,DMi30
2015,DMi32
2015,DMi45
2889,TTz4
2889,TTz6
2889,TTz8
2889,TTz9
2889,TTz10
2889,TTz11
2889,TTz15
2889,TTz20
2414,xRi10
2734,ASj10
2734,ASj15
2734,ASj25
2734,ASj30
2734,ASj35
2734,ASj40
2734,ASj45
2734,ASj50
3201,JeY5
3201,JeY10
3201,JeY30
3201,JeY35
968,WFx10
931,AkK25
3095,GSm10
310,RBt1
310,RBt6
310,RBt17
310,RBt20
2114,SNe3
2114,SNe8
2114,SNe10
2271,xPe10
2271,xPe20
2147,MNo10
2829,ISt38
71,KeA23
71,KeA25
71,KeA26
71,KeA29
71,KeA30
71,KeA31
71,KeA43
2790,WS1
2790,WS5
2896,RaT14
2896,RaT16
2896,RaT20
2896,RaT21
2896,RaT22
2896,RaT26
2896,RaT30
2896,RaT38
2896,RaT42
3,xAb1
889,xFa10
1404,xHu10
1179,IGu11
1179,IGu13
1179,IGu15
1179,IGu18
1179,IGu21
1179,IGu26
1179,IGu28
1179,IGu29
1179,IGu33
1658,LLa5
1658,LLa20
993,HFr18
993,HFr20
993,HFr50
2903,JLT2
2903,JLT12
2903,JLT15
2903,JLT17
2903,JLT19
2903,JLT24
2903,JLT29
2903,JLT32
2903,JLT34
2903,JLT36
2903,JLT39
2903,JLT40
695,xdH10
862,CyE8
862,CyE10
862,CyE30
862,CyE40
1211,GH3
1211,GH8
1211,GH12
1211,GH15
1211,GH16
1211,GH25
1390,KHu13
1390,KHu15
1390,KHu18
1390,KHu21
1390,KHu22
2616,xSc10
2833,ASu10
1144,GGr1
1144,GGr8
1144,GGr9
1144,GGr10
1144,GGr12
1144,GGr18
1788,YvR3
1788,YvR6
1788,YvR10
1968,DM100
1968,DM101
1968,DM200
1968,DM230
2010,RMl1
1954,DMG1
1954,DMG2
158,BB3
2876,DTa100
2876,DTa101
2876,DTa102
2876,DTa103
2876,DTa104
2876,DTa105
2876,DTa106
2876,DTa212
2876,DTa215
2876,DTa221
2876,DTa222
2896,GTh5
2896,GTh10
2896,GTh12
2896,GTh14
2896,GTh16
2896,GTh18
2896,GTh20
2896,GTh22
2896,GTh24
2896,GTh26
2896,GTh28
2896,GTh30
2896,GTh32
2896,GTh37
2896,GTh38
2896,GTh40
2896,GTh42
2896,GTh44
2896,GTh46
2896,GTh50
2896,GTh52
2896,GTh54
2896,GTh55
2896,GTh56
2896,GTh57
2896,GTh58
2896,GTh60
2896,GTh62
979,IFr1
979,IFr4
979,IFr5
979,IFr6
979,IFr7
979,IFr9
979,IFr14
979,IFr18
979,IFr19
979,IFr25
979,IFr30
979,IFr32
979,IFr33
979,IFr35
979,IFr50
979,IFr51
979,IFr52
2091,AN10
759,DiD10
2001,RuM30
2001,RuM40
2413,TRs1
2413,TRs3
2413,TRs4
2413,TRs12
2413,TRs18
2413,TRs19
2413,TRs20
2413,TRs21
2413,TRs22
2413,TRs23
2413,TRs25
2413,TRs28
718,xDe10
2407,GeR1
2593,IS1
2593,IS3
2593,IS4
2593,IS6
2593,IS7
2593,IS10
2593,IS11
2593,IS16
2593,IS20
2593,IS25
2593,IS29
2593,IS32
3091,MeW10
3091,MeW30
1577,AKj10
1577,AKj11
1577,AKj12
1577,AKj13
1577,AKj14
1577,AKj15
1577,AKj17
1577,AKj18
1577,AKj19
1577,AKj21
2107,GnN14
2107,GnN15
457,ICs2
457,ICs3
457,ICs4
457,ICs5
457,ICs6
457,ICs8
457,ICs9
457,ICs10
457,ICs11
457,ICs12
2059,PMo1
2059,PMo3
2059,PMo5
2059,PMo12
2059,PMo13
2059,PMo15
2059,PMo17
2059,PMo19
2059,PMo20
2059,PMo22
2059,PMo27
2241,SaP4
2241,SaP6
2241,SaP10
2241,SaP11
2241,SaP15
2241,SaP19
2241,SaP20
2241,SaP25
2241,SaP30
3123,BoW1
3123,BoW4
3123,BoW6
477,DCh15
2525,KRu2
2525,KRu3
2525,KRu4
2525,KRu6
2525,KRu7
2525,KRu8
2525,KRu10
2525,KRu12
2525,KRu16
2525,KRu25
2525,KRu25
3232,MZ1
3232,MZ15
1316,JkH10
1316,JkH20
800,xDr10
131,GAd5
131,GAd10
125,HyA2
125,HyA3
125,HyA10
2737,JSk5
2737,JSk7
2737,JSk8
2737,JSk12
2737,JSk15
2737,JSk17
2737,JSk20
2737,JSk25
1574,RyK10
1574,RyK12
2984,MVP5
2984,MVP10
2984,MVP20
2984,MVP22
2984,MVP40
2984,MVP47
3145,PWi2
3145,PWi3
3145,PWi5
2249,CPR10
1712,GuL10
293,PBo2
293,PBo3
293,PBo5
293,PBo6
293,PBo7
293,Pbo8
293,PBo9
293,PBo11
293,PBo15
293,PBo18
293,PBo20
1167,UlG1
1167,UlG2
1167,UlG3
1167,UlG10
3139,WLW10
12,AlA10
12,AlA50
129,xAx10
2197,xOz10
2348,BRf1
2348,BRf2
2348,BRf4
2348,BRf20
2348,BRf32
2348,BRf38
2348,BRf395
625,DCs1
625,DCs10
625,DCs12
625,DCs15
625,DCs30
587,DoC2
587,DoC7
587,DoC10
677,EdA5
677,EdA10
677,EdA20
2589,PaS10
69,TAn1
69,TAn5
69,TAn12
69,TAn18
69,Tan21
603,WCr6
603,WCr10
603,WCr15
603,WCr22
603,WCr40
603,WCr42
603,WCr44
603,WCr46
1002,xFr10
513,BCl4
513,BCl7
513,BCl10
1748,FLe10
372,JeJ10
3091,MeW10
3145,RWl10
3153,MWu10
1148,DaG3
1148,DaG6
1148,DaG10
2106,GNe5
2106,GNe9
446,ICa1
446,ICa3
446,ICa5
446,ICa6
446,ICa8
446,ICa9
446,ICa10
446,ICa20
446,ICa25
446,ICa27
397,KBu10
397,KBu20
397,KBu22
397,KBu24
397,KBu50
2274,Ph4
2274,LPh10
2274,LPh15
1134,PGD10
1134,PGD11
1148,xGr10
2521,DRi10
2521,DRi14
2521,DRi20
2661,JiS10
2406,BuR10
2406,BuR14
2406,BuR20
2406,BuR25
1606,TKo19
1606,TKo22
3096,WiW12
3096,WiW20
3096,WiW27
2098,HNe12
2098,HNe17
2098,HNe20
2098,HNe25
362,JBr10
2131,JNi1
2131,JNi20
2131,JNi24
2016,GeM2
2016,GeM5
2016,GeM6
2016,GeM15
2016,GeM17
2016,GeM17
2362,SRa5
713,DLD10
2846,EWS4
2828,MeS10
2442,MRb10
2442,MRb15
1446,TJe10
361,BBr10
1151,BGr10
2345,FRa10
2939,GTr10
1841,IMz10
2937,ITr1
3101,JfW5
1090,JGl10
1090,JGl15
3,JiA1
3,JiA5
3,JiA7
3,JiA9
3,JiA10
3,JiA12
3,JiA15
3,JiA18
2608,JoS1
2608,JoS5
2608,JoS10
2608,JoS12
2608,JoS13
2608,JoS15
2608,JoS16
2608,JoS18
2552,JSd10
3126,KW10
2487,NRo10
2783,RSp13
2783,RSp17
2783,RSp24
2783,RSp25
2854,SSz10
648,TgD1
1400,THu13
1400,THu20
1400,THu25
1400,THu30
2130,ArN10
513,BDC8
1280,FHe10
1280,FHe30
1280,FHe31
2665,KeS10
2619,OzS10
3101,PrWl
2999,PVh2
2999,PVh10
2999,PVh15
1885,RoM2
1885,RoM3
399,TBu10
735,TDS10
735,TDS15
1006,WlF10
1110,xGc10
1263,AmH10
1263,AmH20
2198,AOz10
1908,GyM4
1908,GyM10
1908,GyM20
1908,GyM22
1908,GyM26
1908,GyM30
918,KFi10
1298,xHe10
384,ABz10
1534,AKa5
1534,AKa10
1534,AKa15
1534,AKa20
1441,JJm1
1441,JJm2
1441,JJm3
1441,JJm4
353,PBm1
353,PBm2
2986,AvW10
2986,AvW16
2986,AvW19
1427,JI1
2944,GaT3
2944,GaT5
2944,GaT7
2944,GaT11
2944,GaT16
2944,GaT18
2549,HSB18
373,KBw10
1347,THo10
1347,THo20
401,TiB1
401,TiB5
401,TiB6
401,TiB8
401,TiB12
401,TiB14
401,TiB17
3199,xYa10
1042,DGr1
131,GAx1
1788,GvR10
1964,IMT10
1964,IMT20
1964,IMT24
2896,PTh10
2677,RSh5
2677,RSh10
2677,RSh18
2677,RSh20
2641,xSz10
1366,BHo10
157,BoB1
157,BoB4
1632,EKu10
1407,JJo2
1407,JJo5
1407,JJo10
2681,JSh1
2681,JSh2
2681,JSh8
2659,KSk10
1300,RJe1
1113,AGo10
2387,ARt1
1246,HlH2
1246,HlH3
1246,HlH9
1961,IMN10
1961,IMN12
1061,JGb7
1061,JGb10
1538,JKz10
656,LuD1
656,LuD4
2484,KvR10
1173,OhG10
2438,PRP10
1023,RtG10
1023,RtG12
2763,IiS15
2725,ISn3
2725,ISn4
2527,JaR10
152,JBm10
142,JoB10
56,KuA10
2983,MRP10
2983,MRP14
366,NBr10
366,NBr17
2412,PRs10
2970,RUn10
1385,AbH1
1814,BaL1
980,CaF10
1094,JGd2
1094,JGd10
1094,JGd15
2194,JOx10
2651,JxS10
2651,JxS12
421,KCm10
2442,TRb10
2997,TVe10
506,VCy5
506,VCy10
2090,xNa10
2248,DAP10
2961,JTu10
1064,MlG5
1419,OIo10
1433,PeJ10
2710,RSv10
156,xBa10
2697,AdS10
2550,AkS10
2809,BnS10
2809,BnS15
33,DAl10
3145,DDW10
486,JCe10
927,PaF10
2141,ToN10
3236,TZz10
593,xCo10
3031,AWw3
3031,AWw5
3031,AWw10
2896,BTh10
2896,BTh13
1380,HHH10
1619,SuK10
747,TdC9
747,TdC10
747,TdC11
747,TdC12
747,TdC13
747,TdC15
1615,AKr10
55,BdA2
1420,DIl10
2575,ESc10
725,PDe10
1996,TMe10
2835,TSu10
62,WeA10
2982,BvL10
2994,GVe10
2827,JeS10
1069,JiG10
2843,JSj10
1939,LMf10
2860,LTa10
458,NCs10
1076,RCh10
2605,TSm1
2655,TSy10
2655,TSy12
1015,xFu10
1829,DMc1
2736,ESk10
1516,JoK10
1793,KLg10
501,LCl10
8,NAb10
76,PAn10
922,TFg1
3024,vSM10
2328,xPr10
3088,SWm10
