movie_id,title,year,genre,color_process,location,notes
H44,The Paradine Case,1947,thriller,black-and-white,"London, England B(Robert Hichens)",W(Selznick) C(Lee Garmes) M(Waxman)
H46,Under Capricorn,1949,drama,Technicolor,"Sidney, Australia","W(James Bridie, Hume Cronyn) B(Helen Simpson) C(Jack Cardiff, Ian Craig, David McNeilly) Seen(15May1990)"
H50,Dial M for Murder,1954,thriller,"Warnercolor, 3D","London, England",M(Tiomkin) C(Burks) Seen(3Dec1989)
H51,Rear Window,1954,thriller,Technicolor,"town, East","B(Woolrich) C(Burks; AAN) W(J.M.Hayes; AAN) VT(N:HC3; HT8, inc)"
H52,To Catch a Thief,1955,thriller,Technicolor,"Riviera, France",W(J.M.Hayes) C(Burks) B(David Dodge)
H57,The Man Who Knew Too Much,1956,thriller,Technicolor,"Indianapolis, IN; Morocco; Albert Hall, London","VT(N:HT3) C(Burks) M(Bernard Herrman; Jay Livingston, Ray Evans; AA)"
H61,The Wrong Man,1957,"thriller, documentary",black-and-white,USA,"C(Burks) W(John Michael Hayes, Angus McPhail) B(Charles Bennett, D.R. WyndhamLewis)"
H65,Vertigo,1958,thriller,"Technicolor, Vistavision","Nob Hill, S.F., CA; restaurant, Ernie's, S.F., CA; SanJuanBattista, CA","M(Herrmann; ""Liebestod"") C(Burks) V(Henry Bumstead, Saul Bass ""titles"" ) VT(N:HC1)"
H79,The Birds,1963,thriller,Technicolor,"bird shop, S.F., CA; Bodega Bay, CA",W(Evan Hunter) B(Daphne duMaurier) C(Burks) M(Herrmann; sounds only) VT(N:HT5)
H80,Marnie,1964,thriller,color,"Philadelphia, PA","B(Winston Graham)Seen(1Sep1988),23Jan89 M(Herrmann) W(J.P. Allen) C(Burks) VT(N:HT9)"
H81,Torn Curtain,1966,thriller,Technicolor,East Germany,Seen(3Sep1988) M(John Addison) W(Brian Moore) C(John F. Warren) VT(N:HT7D)
H82,Topaz,1969,thriller,Technicolor,"Moscow, Russia; Denmark; Cuba; Paris, France",B(Leon Uris) W(Sam~Taylor) M(Maurice Jarre) R(PG) C(Jack Hildyard) VT(N:HT11)
H83,Frenzy,1972,thriller,Technicolor,"London, England",M(Ron Goodwin) C(Gil Taylor) R(R)
H40,Aventure Malgache,1944,adventure,black-and-white,,Le(short) Er(Elstree)
H41,Bon Voyage,1944,adventure,black-and-white,,Le(short) Nt(not released) Er(Elstree)
H55,Breakdown,1955,thriller,"black-and-white, TV","Atlantic City, NJ",TV(13Nov1955) Le(30m) Seen(28Dec1990) VT() W(Louis Pollock)
H58,Back For Christmas,1956,thriller,"black-and-white, TV",,"TV(4Mar1956) Le(30m) VT(N:HQ7,HQ10,HR2) Seen(24Jun1991)"
H59,Wet Saturday,1956,thriller,"black-and-white, TV",,"TV(30Sep1956) Le(30m) W(Mirian Cotrell) B(John colorlier) Seen(5Dec1991) VT(N:HR1,HR2)"
H60,Mr.~Blanchhard's Secret,1956,thriller,"black-and-white, TV",apartment,"TV(23Dec1956) Le(30m) Seen(1990) VT(N:HR1,HR2)"
H63,Four O'Clock,1957,thriller,"black-and-white, TV",,Le(1h) TV(30Sep1957) Le(30m) B(Woolrich) W(F.Cockrell)
H66,Lamb To The Slaughter,1958,thriller,"black-and-white, TV",,B(Roald Dahl) TV(13Apr1958) Le(30m)
H67,A Dip In The Pool,1958,thriller,"black-and-white, TV","ship, Atlantic","TV(1Jun1958) Le(30m) B(Roald Dahl) Seen(9Dec1991) VT(N:HR1,HR3)"
H68,Poison,1958,thriller,"black-and-white, TV",,TV(5Oct58) Le(30m) B(Roald Dahl) VT(N:HR2)
H70,Banquo's Chair,1959,thriller,"black-and-white, TV",,"TV(3May1959) Le(30m) Seen(5Dec1991) VT(N:HD2-2,HR1,HR2,HS1)"
H72,The Crystal Trench,1959,thriller,"black-and-white, TV","glacier, Switzerland","TV(4Oct1959) Le(30m) Seen(Nov1988) VT(N:HR1,HR2) B(A.E.W. Mason) W(Siliphant)"
H74,Incident At A Corner,1960,thriller,"black-and-white, TV",,Le(1h) TV(5Apr1960)
H75,Mrs.~Bixby And The coloronel's Coat,1960,thriller,"black-and-white, TV",dentist's office,TV(27Sep1960) Le(30m) B(Roald Dahl) Seen(10Dec1991) VT(N:HR1)
H76,The Horseplayer,1961,thriller,"black-and-white, TV","Church, town, USA",TV(14Mar1961) Le(30m) B(W(Henry Slesar)) Seen(10Dec1991) VT(N:HR1)
H77,Bang! You're Dead,1961,thriller,"black-and-white, TV","suburb, USA",TV(17Oct1961) Le(30m) VT(N:HR21) Seen(8Dec1991)
H78,I Saw The Whole Thing,1962,thriller,"black-and-white, TV",,TV(11Oct1962) Le(1h)
WKD10,The Edison Kinetopic Record of A Sneeze,1893,,SEdison,aw,
ALu1,La Premiere Seance du Salon Indien au Grand Cafe,1895,,,"Paris, France",Le(1min) Seen([MO]) Nt(text only)
ALu2,La Sortie des Usines Lumiere,1895,documentary,silent,"Lyon, France",Le(30sec) Seen([MO])
ALu3,Arrivee d'un train en Gare de la Ciatat,1895,documentary,silent,"Ciatat, Frnace",Le(30sec) Seen([MO])
ALu4,Le Gouter de Bebe,1895,,,,Le(30sec) Seen([MO])
ALu5,L'Arroseur arrosse,1895,comedy,,"graden, France",Le(30sec) Seen([MO]) (The Gardener)
ALu6,Barque Quittant le Port,1895,documentary,,,Le(30sec) Seen([MO])
ALu7,Boules,1895,,,,Le(30sec) Seen([MO])
ALu30,L'assissinatat du Duc de Guise,1908,action,,"Castle, France",Le(15min) Seen([MO]) M(Sainaens: Danse Macabre)
ESP10,Uncle Tom's Cabin,1902,comedy,,,C(E.S.Porter) Le(18min)
ESP11,Life of an American Fireman,1903,western,,,C(E.S.Porter) Le(7min)
ESP12,The Great Train Robbery,1903,western,,"train, West",C(E.S.Porter) W(E.S.Porter) Nt(first West) Le(11min)
ESP16,The Little Train Robbery,1905,,,"train, USA",Le(18min)
ESP17,The Kleptomaniac,1905,,,,Le(15min)
ESP25,The Count of Monte Christo,1912,drama,,,C(E.S.Porter) Le(70min)
ESP26,The Prisoner of Zenda,1912,drama,,,Cost(50K)
ESP27,His Neighbor's Wife,1912,drama,,,Cost(50K)
ESP30,An American Citizen,1913,,,,
ESP31,A Good Little Devil,1913,,,,
ESP32,In The Bishop's Carriage,1913,,,,
ESP33,Caprice,1913,,,,
ESP34,Hear Adrift,1913,,,,
ESP40,Tess of The Storm Country,1914,drama,,,B(Grace Miller White) W(E.S.Porter) Cost(13K) Inc(1M+)
GMs2,L'Homme orchestre,1900,,silent,,
GMs4,Cinderella,1900,fantasy,,,
GMs6,Le voyage dans la lune,1902,"science, fiction",,space,Nt(first cartoonoon)
GMs8,Danseuse Microscopique,1902,"science, fiction",,studio,Nt(trick photographie)
GMs12,An Impossible Voyage,1904,,,,
GMs20,L'Homme a la Tete en Caoutchouc,1906,fantasy,,,Seen(23Oct1990)
WHa1,The Maniac's Guillotine,1902,horror,,,Le(short)
WHa8,The Life of Charles Pierce,1905,biography,,,Le(short)
WMc10,Kit Carson,1903,adventure,,,C(McCutcheon) Le(21m)
ThE10,Parsifal,1904,"musical, biography",,Nt(score distinct),
JaC1,The Wagon Trails,1906,adventure,color,OR,Note(early Western)
JaC7,Too Many Millions,1918,,,,
JaC10,The Covered Wagon,1923,western,,,
JaC12,Hollywood,1918,,,,
JaC15,Ruggles of Red Gap,1918,western,,,
JaC20,Beggars on Horseback,1925,western,,,
JaC23,Pony Express,1925,western,,,
JaC25,Old Ironsides,1926,adventure,,Atlantic coast; T(1790),
JaC33,Washington Merry Go Round,1932,,,,
JaC40,Sutter's Gold,1936,,,,
GKS60,The Dead Man's Claim,1912,western,,West Le(15min),
LMi1,The Last Days of Pompeii,1908,history,,"Pompeii, Italy",
LMi23,Autumn Sunset Dream,1911,drama,,,B(Gabrielle d'Annunzio)
LMi35,The Lion of Venice,1914,drama,,"Venice, Italy",B(P.G. Piatti)
Z0210,Romeo and Juliet,1908,romantic,,,
Z0220,Romeo and Juliet,1908,romantic,,,
Z0230,Romeo and Juliet,1908,romantic,,,
Z0240,Romeo and Juliet,1911,romantic,,,
Z0250,Romeo and Juliet,1911,romantic,,,
Z0260,Romeo and Juliet,1916,romantic,,,
Z0270,Romeo and Juliet,1916,romantic,,,
Z0280,Romeo and Juliet,1996,romantic,color,,
EiC10,Le Binetoscope,1909,cartoon,,,Le(shor)
GdL10,"Marin Valiero, Doge of Venice",1909,history,,"Venive, Italy",Le(14min)
MCs2,The Pilgrim's Progress,1912,drama,,,
MCs10,Love Everlasting,1913,drama,,"Wallenstein; Paris, France",Seen(25Feb1995)
GlS10,The Merchant of Venice,1910,drama,,"Venice, Italy",Le(8min; incomplete) B(Shakespeare)
ISB10,Life of Moses,1910,biography,"color, silent",,"Le(4 reels, 18m remaining)"
ThB10,The Old Curiosity Shop,1913,drama,,,B(Dickens)
ThB30,The Old Curiosity Shop,1921,drama,,,B(Dickens)
ThB50,Young Woodley,1930,,,,
ThB55,Hobson's Choice,1931,unknown,,aw,
ThB70,The Old Curiosity Shop,1935,,black-and-white,,B(Dickens)
ThB80,Lucky to Me,1939,,,,
UgF10,Salome,1910,drama,,,Le(10min)
UgF12,Francesca di Rimini,1911,romantic,,,B(Dante) Le(10min)
APv10,Dante's Inferno,1911,,,,"B(Dante) CoD(Francesco Bertolini, Guiseppe diLiguoro) Le(30min)"
APv11,Homer's Odyssey,1911,adventure,,,B(Homer) CoD(Francesco Bertolini) Le(6min)
P15,L'Enfant de Paris,1913,,,,Le(115min)
OrM10,Clios and Phyletes,1911,,,,Le(21min)
ThI10,Little Dove's Romance,1911,western,,West,Le(15m)
ThI20,Custer's Last Fight,1912,,,,
ThI40,Civilization,1915,fantasy,,battlefields,Nt(sound added 1931)
ThI60,Human Wreckage,1924,,,,
ThI65,Custer's Last Fight,1925,western,,West,Le(50min)
WmH10,A Tale of Two Cities,1911,drama,,,B(Dickens)
ADw5,Maiden and Men,1912,drama,,,W(G.P. Hamilton) Le(15m)
ADw6,Their Hero Son,1912,drama,,,W(G.P. Hamilton) Le(14m)
ADw17,Robin Hood,1922,adventure,,England,"V(Wilfred Buckland, Anton~Grot)"
ADw22,The Iron Mask,1922,adventure,black-and-white,,"Nt(part sound, music)"
ADw27,Manhandled,1924,romantic,,,
ADw41,Suez,1938,,black-and-white,Egypt,C(Pev~Marley;AAN) M(Louis Silvers; AAN) W(Ph.Dunne)
ADw60,Sands of Iwo Jima,1949,action,,"mil.inst., Pacific; T(1945)","W(Harry Joe Brown, James Edward Grant, Milestone)"
ADw70,Cattle Queen of Montana,1954,western,Technicolor,"ranch, MT",
ADw72,Passion,1954,western,Technicolor,CA; T(1840),
ADw75,Tennessee's Partner,1954,western,Technicolor,CA; T(1850),
ADw80,Slightly Scarlet,1956,drama,color,"city, Midwest",W(Robert Blees) B(J.M.Caine)
AEG25,The Ghost Breaker,1922,,,,
AEG37,Baby Face,1933,drama,black-and-white,,
AEG39,I Loved a Woman,1933,,black-and-white,,
AEG41,Dangerous,1935,drama,black-and-white,,
AEG50,The Gracie Allen Murder Case,1935,mystery,black-and-white,,B(S.S. VanDine:Philo Vance)
JCw16,Step On It,1922,,,,
JCw44,Our Modern Maidens,1929,romantic,,"parties, USA",
JCw47,The Unholy Three,1930,,,,
JCw50,Just a Gigolo,1931,comedy,black-and-white,,
JCw51,Arsene Lupin,1932,,,,
JCw57,Viva Villa,1934,epic,black-and-white,Mexico,"W(Ben Hecht, Hawks) CoD(Hawks; fired)"
JCw61,A Tale of Two Cities,1935,drama,black-and-white,England; France; T(1780),B(Dickens)
JCw62,Libeled Lady,1936,romantic,black-and-white,,
JCw63,Sarasota,1937,,,,
JCw64,A Yank at Oxford,1938,,,,W(Gilliat)
JCw65,Too Hot To Handle,1938,,,,
JCw68,Boom Town,1940,,,,
JCw69,Love Crazy,1940,,,,
JCw70,Honky Tonk,1940,,,,
JCw73,Dragon Seed,1944,,,,
JCw75,The Hucksters,1947,,,,
MaT10,Alias Jimmy Valentine,1915,cops-and-robbers,,,
MaT27,Poor Little Rich Girl,1917,drama,,,
MaT40,Au nom de la loi,1931,cops-and-robbers,,,
LoW3,How Men Propose,1913,drama,silent,Le(6m) W(Lois Weber),
LoW5,Where are My Children,1916,drama,silent,,CoD(Phillips Smalley) W(Lois Weber)
LoW5,Where are My Children,1916,drama,silent,,CoD(Phillips Smalley) W(Lois Weber)
LoW10,The Dumb Girl of Portici,1916,,silent,,
LoW11,"The Juvenile Dancer Supreme, Lena Basquette in a Group of Classical Dances",1916,,silent,,
LoW20,The Dance of Love,1920,,silent,,
LoW21,Shoes,1920,,silent,,
ME40,Nelson,1919,,,,Er(1919)
ME60,The Elusive Pimpernel,1912,,,France,
MEl130,Balalava,1928,,,,
MEl150,The School for Scandal,1930,,,,
ME180,The Lodger,1932,thriller,black-and-white,"London, England",
ME200,The Tunnel,1934,,,,
ME240,The Spider,1940,thriller,black-and-white,"train, England",
ME270,Beware of Pity,1946,,,,
ME300,My Wife's Lodger,1952,,,,
MSe10,Dough and Dynamite,1914,comedy,,,W(Mack~Sennett) Le(33m) Nt(no D named)
MSe18,Fatty and Mabel's Simple Life,1915,comedy,,"San Diego, CA",W(Mack~Sennett) Le(14m) Nt(no D named)
MSt10,Vampyren,1912,,,,
MSt20,Sir Arne's Treasure,1919,,,,
MSt30,Erotikon,1920,"comedy, drama",,Sweden,
MSt40,The Saga of Gosta Berlin,1924,romantic,,Sweden,
MSt50,The Blizzard,1926,,,,
MSt55,Hotel Imperial,1927,,,hotel,
MSt60,Street of Sin,1928,,,,
VSj1,Tradgardsmastaren,1912,drama,,,Alt(The Broken Spring Rose; USA)
VSj3,The Phantom Carriage,1920,,,,
VSj5,He Who ge Slapped,1924,,,,
VSj7,The Divine Woman,1927,biography,,France,
ElR10,The Last Days of Pompeii,1913,drama,,,B(BulwerLytton)
NOx10,Il Cadavere Vivente,1913,,,,CoD(Oreste Mentasti)
NOx20,Rhapsodia Satanica,1917,romantic,,,B(: Faust) M(Pietro Mascagni)
AcG10,"Fedora, or Piu Forte dell'Odio e Amore",1913,drama,,,
BuG10,Blade O'Grass,1915,western,,,Le(42min)
CDM0,California,,n.a.,,aw,
CDM1,The Squaw Man,1913,western,,"csd, West",CoD(Oscar Apfel) B(Edwin Milton Royle) C(Alfred Gandolfi) Le(72min)
CDM3,The Virginian,1914,drama,,,B(Owen Wister) C(Alvin Wyckoff)
CDM5,Brewster's Millions,1914,drama,,,
CDM7,The Ghost Breaker,1914,drama,,,
CDM10,The Wild Goose Chase,1915,,,,
CDM11,The Warrens of Virginia,1915,,,,
CDM12,The Arab,1915,,,,
CDM13,The Goose Girl,1915,,,,
CDM15,Carmen,1915,drama,,Spain,CoD(Walsh) Le(60m)
CDM16,Maria Rosa,1915,,,,
CDM17,The Captive,1915,drama,,Montenegro; T(1912),C(Alvin Wyckoff) Le(65m)
CDM18,The Cheat,1915,drama,,,"W(Hector Turnbull, Jeanie McPherson) C(Alvin Wyckoff) Le(60m) Nt(Changed in 1918 to exonerate JaPanaVision)"
CDM32,The Squaw Man,1918,western,,"csd, West",
CDM44,Adam's Rib,1923,,,,
CDM45,The Ten Commandmen,1923,epic,,"Egypt, Palestine",
CDM52,Madame Satan,1930,,silent,"dirigible, NYC, NY",
CDM54,The Godless Girl,1931,,silent,,Nt(some sound scenes added later)
CDM55,The Squaw Man,1931,drama,,"csd, West",
CDM59,Cleopatra,1934,drama,black-and-white,Egypt,C(Victor Milner;AA)
CDM60,The Crusades,1935,,,,
CDM64,The Plainsman,1936,western,black-and-white,"St.Louis, MO; KA; T(1850)",C(Milner)
CDM68,The Buccaneer,1938,"epic, adventure",,T(1812),
CDM70,Union Pacific,1939,,black-and-white,West,nt(last deMille black-and-white)
CDM73,Union Pacific,1939,,black-and-white,West,nt(last deMille black-and-white)
CDM77,Unconquered,1947,epic,Technicolor,USA; T(1720),"M(Victor Young) B(Neil H. Swanson) W(Charles Benney, Frederic M. Frank, Jesse Lasky~jr.)"
CDM80,The Ten Commandmen,1956,epic,"Technicolor, Vistavision",Egypt; Palestine,Seen(26Mar1989) Le(219Min) C(Loyal Griggs:AAN)
GBS10,The Perils of Pauline,1913,drama,silent,,Er(1913)
GBS20,The Fatal Ring,1917,drama,silent,,
GBS30,Velvet Fingers,1921,drama,,,Er(1921)
GBS40,The Sky Ranger,1925,drama,,,Er(1925)
GBS42,The Vanishing American,1925,documentary,,West,B(Zane Grey)
GBS90,The Woman in his Life,1935,drama,,,
GBS93,A Family Affair,1936,drama,black-and-white,,Ser(Andy Hardy; 1)
GBS95,You're Only Young Once,1938,drama,black-and-white,,Ser(Andy Hardy; 2)
GBS96,Judge Hardy's Children,1938,drama,black-and-white,,Ser(Andy Hardy; 3)
GBS97,Love Finds Andy Hardy,1938,drama,black-and-white,,Ser(Andy Hardy; 4)
GBS100,6000 Enemies,1939,drama,black-and-white,,Seen(May1989)
GBS102,The Hardys Ride High,1939,drama,black-and-white,,Ser(Andy Hardy; 6)
GBS103,Judge Hardy and Son,1939,drama,black-and-white,,Ser(Andy Hardy; 8)
GBS110,Andy Hardy Mee a Debutante,1939,comedy,black-and-white,,Ser(Andy Hardy; 9)
GBS115,Kit Carson,1940,western,black-and-white,West,
GBS120,Sky Murder,1940,drama,black-and-white,,
GBS130,Andy Hardy's Private Secretary,1941,comedy,black-and-white,,Ser(Andy Hardy; 10)
GBS132,Life Begins for Andy Hardy,1941,comedy,black-and-white,,Ser(Andy Hardy; 11)
GBS140,China Caravan,1942,drama,black-and-white,,
GBS144,The Courhip of Andy Hardy,1942,comedy,black-and-white,,Ser(Andy Hardy; 12)
GBS145,Andy Hardy's Double Life,1942,comedy,black-and-white,,Ser(Andy Hardy; 13)
GBS150,Andy Hardy's Blonde Trouble,1944,comedy,black-and-white,,Ser(Andy Hardy; 14)
BHd10,East Lynne,1913,drama,,,B(Mrs.~Henry Wood) Le(1h+) Er(1916)
DGP1,Raja Harishchandra,1913,drama,,,Nt(first Indian movie)
HBn5,Ivanhoe,1913,action,,,
HBn8,Neptune's Daughter,1914,fantasy,,Bermuda,Cost(50K)
HBn10,The Kreuzer Sonata,1913,,,,
HBn12,War Brides,1916,,,,
HBn21,The SPanaVisionish Dancer,1923,,,,
HBn25,Peter PanaVision,1924,romantic,black-and-white,,B(J.M.Barrie) W(Willis goldbeck) C(Howe)
HHS3,The Heroes of Paratau,1914,drama,,Togoland,
HHS8,Odd Man Out,1914,drama,,Togoland,
HHS9,Deuche bin Sudan,1914,documentary,,Togoland,
HHS12,Eine Weisse unter Kannibalen,1919,documentary,,Africa,
HHS13,Ein Abenteurer,1920,documentary,,Africa,
HHS14,Tropengift,1920,documentary,,Africa,
HHS15,Goldfieber,1920,documentary,,Africa,
HHS16,Im Kampf um die Diamantfelder,1921,documentary,,Africa,
HHS22,Geheimbundrieten der Frauen in Liberia,1923,documentary,,Liberia,
HHS24,Mensch und Tier im Urwald,1924,documentary,,Liberia,
HHS26,"Fahrten und F""ahrten",1926,documentary,,Togoland,
HHS28,Verlorenes Land,1926,documentary,,Togoland,
HHS36,Das Letzte Paradis,1932,documentary,black-and-white,Liberia,
HHS38,Die Wildnis Stribt,1933,documentary,black-and-white,Liberia,Er()
HHS48,"Fauen, Masken, und Dam""onen",1948,documentary,black-and-white,Liberia,
HHS50,Abschied von Afrika,1956,documentary,black-and-white,Africa,
PW1,The Student of Prag,1913,,,,
PW2,"R""ubezahls Hochzeit",1916,,,,
PW3,"Der Rattenf""anger von Hameln",1918,,,,
PW4,Der Golem,1920,,silent,,
Z4215,Romance of Tarzan,1918,adventure,,,B(Edgar Rice Burroughs) Ser(Tarzan; 2)
Z4220,Return of Tarzan,1920,adventure,,,B(Edgar Rice Burroughs) Ser(Tarzan; 3)
Z4222,Son of Tarzan,1920,adventure,,,B(Edgar Rice Burroughs)
Z4225,Adventures of Tarzan,1921,adventure,,,B(Edgar Rice Burroughs) Ser(Tarzan; 4)
AK1,The Duped Journalist,1914,,,,
AK40,The Private Life of Helen of Troy,1927,,,,
AK45,Her Private Life,1929,,,,
AK50,Marius,1931,drama,,"cafe, Marseille, France",B(Marcel Pagnol) Ser(Pagnol; 1)
AK57,The Private Life of Henry VIII,1933,,,,
AK58,The Girl from Maxim's,1933,,,,
AK59,The Private Life of Don Juan,1934,drama,,,
AK78,Rembrandt,1936,,,,
AK90,That Hamilton Woman,1941,"romantic, biography",black-and-white,"Naples, Italy; Trafalgar, Atlantic",Alt(Lady Hamilton; USA) Seen(24Aug1990) Nt(Winston Churchill's favorite movie)
CC1,Making A Living,1914,drama,,,Le(short)
CC43,The Tramp,1915,drama,,,Le(20min)
CC50,Shangheid,1916,comedy,,,Le(short)
CC62,The Immigrant,1917,comedy,,,Le(20m)
CC64,The Adventurer,1917,,black-and-white,,Le(short)
CC66,A Dog's Life,1918,comedy,,,Le(30min)
CC68,Shoulder Arms,1918,drama,,,
CC72,Shoulder Arms,1922,drama,,,
CC73,The Gold Rush,1925,drama,,"Klondike, Alaska",W(Chaplin)
CC75,The Circus,1927,comedy,silent,circus,
CC76,City Ligh,1931,,silent,,Nt(sound effec)
CC79,The Gold Rush,1942,,black-and-white,"snow, AL",W(Chaplin) M(Chaplin; Brahms Hungarian Dance #5) Nt(sound added)
CC80,Monsieur Verdoux,1947,comedy,,Paris,W(Chaplin)
CC80,Limelight,1952,drama,,,
CC82,A King in New York,1957,,,,
CC83.,A Countess from HongKong,1966,,,,
CGl10,La donna nuda,1914,comedy,,,B(Henri Bataille)
CGl25,Malombra,1917,,,,
CGl35,Maman poupee,1920,,,,
CGl42,Fabiola,1923,epic,,,Er(192x) CoD(Palermi)
CGl44,Mesalina,1924,epic,,,Er(192x) CoD(Palermi)
CGl46,Quo Vadis,1925,epic,,,Er(192x) CoD(Palermi)
CGl48,The Last Days of Pompeii,1926,epic,,,Le(250min) CoD(Palermi) M(Antonio Coppola)
CGl55,Pawns of Passion,1928,,,,
CGl70,Madame Butterfly,1939,,,,
CGl75,Manon Lescaut,1940,,,,
CGl85,La Traviata,1947,,,,
CGl95,La Forza del Destino,1951,,,,
CGl103,Tosca,1956,,,,
CGl107,Michel Strogoff,1959,,,,
CGl115,Carmen di Travestere,1962,drama,,,
CoC10,The Spoilers,1914,,silent,Alaska,Le(80min) Seen([MO])
CWl10,Der Stolz der Firma,1914,comedy,,"Berlin, Germany",
El9,Schuhpalast Pinkus,1915,comedy,,,"W(Hans Kr""aly, Ernst Sch""onfelder)"
El13,Wenn Vier Dasselbe Tun,1917,comedy,,,"W(Lubich, Ernst Schonfelder)"
El15,"Ein Fideles Gef""angnis",1918,comedy,,,B(Johann Strauss: die Fledermaus)
EL21,Gipsy Blood,1918,drama,,Spain,Alt(Carmen; USA) Seen(25Jan1992)
EL28,Meyer in Berlin,1919,comedy,,"Berlin, Germany",
EL29,Die Austernprinzessin,1919,drama,,,"W(Hans Kr""aly)"
EL31,Madame Dubarry,1919,drama,,,Alt(The Passion; USA)
EL32,Die Puppe,1919,,,,"B(E.T.A. Hoffman) W(Hans Kr""aly, Lubich)"
EL33,Romeo und Julia im Schnee,1920,comedy,,,"B(Shakespeare) W(Hans Kr""aly, Lubich)"
EL34,"Kohliesel's T""ochter",1920,comedy,,"csd, Bavaria, Germany","W(Hans Kr""aly, Lubich) Seen(24May1992))"
El35,"Ich M""ochte Kein Mann Sein",1920,comedy,,,"W(Hans Kr""aly, Lubich)"
