movie_id,award_id
AK57,
AK58,aw
AK59,aw
AK78,aw
AK90,[47]
CC1,aw
CC43,H*
CC50,
CC62,
CC64,H***
CC66,H*
CC68,
CC72,
CC73,"NFR, H***"
CC75,"AAN, H*"
CC76,"H***, CC\#10"
CC79,"F25, H***"
CC80,aw
CC80,aw
CC82,aw
CC83.,aw
CGl10,aw
CGl25,aw
CGl35,aw
CGl42,aw
CGl44,aw
CGl46,aw
CGl48,aw
CGl55,aw
CGl70,aw
CGl75,aw
CGl85,aw
CGl95,aw
CGl103,aw
CGl107,aw
CGl115,aw
CoC10,
CWl10,aw
El9,aw
El13,aw
El15,aw
EL21,aw
EL28,
EL29,
EL31,H**
EL32,aw
EL33,aw
EL34,aw
El35,aw
EL36,aw
EL37,aw
EL38,
EL39,aw
EL40,aw
EL41,aw
EL44,
EL46,
EL48,aw
EL49,
EL51,"H**, AAN, AAN dir"
EL52,
EL54,
EL55,
EL57,H****
EL58,aw
EL60,
EL61,
EL62,
EL64,"H***, AAN"
EL67,"F20,"
EL68,"AAN, AAN dir,H***"
EL69,
PFo10,aw
PFo15,aw
PFo20,aw
PFo25,aw
ReB8,aw
ReB10,aw
ASa14,aw
ASa29,aw
ASa30,H
ASa31,H*
ASa34,H
ASa39,H
ASa41,aw
ASa47,aw
ASa50,aw
ASa51,aw
ECa10,aw
ECa20,aw
ECa30,aw
ECa50,aw
ECa55,aw
ECa60,aw
ECa64,
ECa65,H*
ECa75,aw
GD1,
GD2,
GD3,
GD7,
GD10,
GD13,
GD19,
GMf20,aw
GMf21,aw
GMf40,aw
GMf60,aw
GMf70,
GuS10,aw
IGA30,
IGA40,
IGA50,H
IGA60,
IGA70,
JGE10,aw
JGE18,aw
JGE20,
JMa30,
JMa60,H
JMa70,aw
LaW10,aw
LFl30,aw
LFl50,aw
LFl70,aw
RaW2,H***
RaW13,
RaW20,
RaW24,
RaW40,
RaW41,aw
RaW44,aw
RaW59,H***
RaW60,
RaW61,
RaW62,aw
RaW64,H**
RaW65,aw
RaW66,H**
RaW70,
RaW72,H
RaW73,H
RaW74,aw
RaW75,aw
RaW77,aw
RaW80,aw
RaW81,aw
RaW82,H
RaW85,H
RaW93,aw
SG10,aw
SG15,aw
SG20,aw
SG25,aw
SG30,aw
SG33,aw
SG35,aw
SG37,aw
SG40,aw
SG43,aw
SG45,aw
SG50,aw
SG54,aw
SG55,aw
SG60,aw
SG65,aw
SG66,aw
SG69,aw
SG70,aw
SG71,
WDT17,aw
WDT19,aw
WDT20,aw
WDT27,aw
WDT31,aw
Z1510,aw
Z1512,aw
Z1514,aw
Z1516,aw
Z1518,aw
Z1520,aw
Z1522,aw
Z1524,aw
Z1526,aw
Z1530,aw
Z1532,aw
Z1536,aw
Z1538,aw
Z1540,aw
Z1542,aw
Z1544,aw
Z1546,aw
Z1548,aw
Z1550,aw
Z1552,aw
Z1556,aw
Z1562,aw
Z1564,aw
Z1566,aw
Z1568,aw
Z1570,aw
Z1572,aw
Z1576,aw
Z1578,aw
Z1580,aw
AB1,aw
AB2,aw
AG10,
AG20,H****
AG50,
AG65,
AG70,
HK1,aw
HK10,aw
HK20,lc
HK25,H*
HK30,
HK50,"AAN, H**"
HK56,H
HK58,H**
HK63,aw
HK66,"H***, AAN"
HK67,"AAN, H***"
HK71,aw
HK72,aw
HK75,aw
HK76,aw
HK77,AAN
HK79,aw
HK80,aw
HK82,"H***, AAN"
HK83,aw
HK89,H**
HK91,"AAN, H*"
HK92,H
HK94,
JqF2,aw
JqF4,aw
JqF10,aw
JqF20,aw
JqF25,aw
JqF30,aw
JqF40,H**
JqF60,aw
MaN30,aw
MaN40,
SFr42,aw
SFr43,H*
SFr46,aw
SFr50,aw
WDM3,aw
WDM5,aw
WDM10,aw
WDM20,aw
AbA10,aw
AlW60,H***
BsK10,
BsK12,
BsK13,
BsK14,
BsK15,
BsK25,
BsK26,
BsK27,H***
BsK32,
BsK35,
BsK37,H**
BsK39,
BsK40,H***
BsK52,
BsK55,
BsK58,
BsK59,
BsK70,
BsK82,
BsK90,
BsK91,
BsK95,
FbM10,aw
FLl4,aw
FLl7,aw
FLl10,aw
FLl20,aw
FLl30,"H*, AA dir"
FLl40,"H, AAN"
FLl50,aw
FLl59,AA
FLl62,N**
FLl80,H*
FLl85,
GM190,H**
GM200,H****
GM210,H***
GM220,aw
GM222,
GM223,
GM224,H*
GM225,
GM226,aw
GM227,H
GM230,aw
GM237,H*
GM238,
GM242,aw
GM305,H*
GM310,H
IF15,
IF43,
IF73,aw
IF75,
IF76,aw
IF77,"AAN, AA dir, H***"
IF79,H**
IF81,aw
IF83,H**
IF86,"H****, AAN, AAN dir"
IF87,"H***, [47]"
IF90,aw
IF91,H***
IF94,
IF98,H***
IF99,
IF101,aw
IF106,AA
IF108,H*
IF109,aw
IF111,AAN; H**
IF112,"H**, CC#6"
IF113,aw
IF115,H**
IF120,aw
IF125,H
ISR5,
ISR10,
ISR30,
RAB10,
RAB11,
RAB12,
RAB13,
RAB14,
RWN2,aw
RWN20,H*
RWN28,H**
RWN34,H*
RWN36,H*
RWN38,H*
RWN41,aw
RWN44,H*
RyB9,
RyB10,H*
RyB11,aw
RyB14,H*
ViS5,
ViS53,
ViS58,aw
ViS60,
ViS84,H*
ViS86,H**
ViS87,
ChB2,aw
ChB5,aw
ChB9,
EvS1,aw
EvS2,aw
EvS3,aw
EvS5,
EvS6,
EvS7,H**
EvS8,aw
FrN2,aw
FrN3,
FrN4,
FrN5,H*
FrN8,H***
FrN9,aw
FrN11,H
IMS10,aw
IMS20,H*
IMS30,H**
IMS35,W50
IMS40,aw
IMS50,H*
IMS60,H
IMS70,aw
JKm10,aw
KV23,NFR
KV24,
KV25,H*
KV26,"H***, AAN dir"
KV27,aw
KV28,aw
KV31,aw
KV32,aw
KV34,aw
KV36,aw
KV40,H*
KV41,
KV43,H*
KV50,H*
KV58,H**
KV62,
KV64,"AAN, dir"
TB10,aw
TB15,aw
TB34,H
TB35,H*
TB40,aw
TB45,
TB50,aw
TB55,H*** [8]
TB60,H**
TB70,aw
WAS50,aw
WAS70,aw
WAS80,aw
WAS82,H
WAS83,H*
WAS90,aw
WAS95,H*
WAS110,aw
WAS115,H
WAS120,aw
WAS125,H
WAS130,aw
WvD34,
WvD38,aw
WvD50,
WvD51,"F57, H****, AAN, AAN dir"
WvD53,"H**, AAN"
WvD54,
WvD58,
WvD60,H**
WvD64,[47]
WvD67,H**
WvD70,H
WvD72,H
WvD75,
WvD78,aw
WvD79,H*
AlP50,H
C30,aw
C40,aw
C65,aw
C76,aw
C87,aw
C89,
C94,H*
C98,aw
C101,aw
C102,aw
C104,"AAN, H**"
C109,aw
C112,"H****, AAN"
C113,"H***, AAN, AAN dir"
C117,
C119,H***
C120,
C121,H***
C122,H**
C123,HD**
C124,H**
C126,
C127,"AA, AA dir, H****, AFI77 \#3, CC\#3, TMA producer"
C129,aw
C131,H
C134,AAN
C135,aw
C143,H*
C157,aw
C171,H*
CBa30,H-
CBa40,H*
CBa45,H
CBa50,H
FL4,aw
FL8,H*
FL9,aw
FL11,H***
FL12,H***
FL14,aw
FL17,aw
FL18,aw
FL19,H***
FL20,
FL23,H**
FL24,Susp
FL26,
FL28,H**
FL29,H**
FL30,H*
FL35,H*
FL40,aw
FL41,aw
FL43,aw
FL44,aw
FL45,aw
FL46.,aw
FM3,H***
FM4,H***
FM6,H**
FM7,H**
FM9,aw
FM10,aw
GAr50,aw
GAr58,H
GAr59,H*
GAr60,aw
GAr80,H
GF30,aw
GF31,aw
GF40,aw
GF60,aw
GF70,aw
GF90,H*
GF150,H**
GF160,H*
GAr100,
HB30,
HB50,
HB60,
HB70,
HB80,H* AA
HB85,aw
HB86,aw
HB90,aw
HuF10,
JuD2,
JuD3,aw
JuD5,aw
JuD6,aw
JuD7,aw
JuD8,H**
JuD9,
JuD10,
JuD11,aw
JuD11,aw
JuD12,
JuD13,
JuD15,aw
JuD16,H*
JuD19,
JuD20,
JuD34,aw
RhS1,
RhS15,
RhS20,H-
RhS30,aw
RhS35,aw
RhS40,aw
RiO10,aw
RiO25,aw
RiO30,aw
RiO40,aw
RiO42,aw
RiO50,aw
RW1,H***
RW10,aw
RW20,aw
RW30,aw
CBw9,H**
CBw10,
CBw15,H
CBw18,"H*, AAN dir"
CBw19,H
CBw22,"H**NYC, NY"
CBw26,aw
CBw27,aw
CBw29,H**
CBw30,
CBw31,H*
CBw32,
CBw33,H**
CBw35,
CBw36,H***
CBw37,H**
CBw40,aw
CBw41,
CBw42,H*
CDr2,
CDr5,aw
CDr9,H*
CDr10,
CDr40,
CuB30,aw
CuB32,aw
CuB33,aw
CuB34,aw
CuB37,
CuB39,aw
CuB40,"H*, RFP"
CuB44,H
FB15,H*
FB21,aw
FB21,aw
FB27,"AAN, H**"
FB29,H*
FB39,
FB40,
FB42,H*
FB43,
FB45,H**
FB51,
FB61,aw
GCt20,aw
GCt21,
GCt27,aw
GCt30,aw
GCt40,aw
GCt30,aw
GCt50,
GCt60,aw
GCt70,aw
GRi10,aw
GRi50,aw
HBl20,aw
HWx4,aw
HWx5,H*
HWx9,H
HWx10,H
HWx11,aw
HWx17,H**
HWx20,H*
HWx21,H
HWx45,H*
HWx47,
HWx50,aw
HWx54,H
HWx60,
JWH10,
JWH12,
JWH13,
JWH14,
JWH20,
JWH30,
JWH40,"NFR,H****"
JWH48,H***
JWH60,-H
JWH70,H**
JWH75,
JWH80,"F65, H****"
JWH100,H
LD1,aw
LD2,aw
LD3,aw
LD4,aw
LD5,aw
LD6,aw
LPo10,aw
RoF10,
RoF20,H**
RoF30,H**
SW6,
SW7,[47]
SW8,
SW13,H*
SW15,H***
SW17,
SW18,"H**, AAN, AAN dir"
SW19,H**
SW21,"H****, AAN, AAN dir"
SW28,
SW30,H
SW31,aw
SW32,aw
SW33,aw
SW34,aw
VF17,
VF23,"H*, AAN"
VF25,H-
VF26,aw
VF32,aw
VF33,H***
VF36,H**
VF38,
VF39,H
VF41,"H**, AAN"
VF42,aw
VF45,[8]
VF46,
VF47,H
VF48,H
ViH20,H***
AdB20,aw
AdB21,H*
AnD10,aw
EdS50,H***
EdS60,
EdS70,
EdS75,
PRo30,
PRo55,
PRo83,
PRo86,
PRo90,
PRo93,
PRo96,
RaI50,Susp
RaI55,-H
RaI60,H-
RCS10,aw
RxI10,
RxI20,
RxI30,
RxI40,aw
RxI50,aw
SaT4,
SaT5,
SaT6,
SaT8,
SaT9,
SaT10,
SaT12,aw
SaT13,aw
SaT17,Dram
SaT20,aw
VMa20,
Z2110,
CBy10,aw
DMu2,aw
DMu10,aw
FNm10,aw
HL2,aw
HL8,aw
HL20,aw
JEp5,aw
JEp13,aw
JEp16,aw
JEp20,aw
JEp31,aw
LuB15,aw
LuB20,aw
LuB21,
LuB40,
SeH20,aw
SeH48,aw
SeH60,aw
WR20,aw
WR31,aw
WR40,"AA, AAN dir,H*"
WR42,
WR60,aw
WR70,aw
WR80,H*
WR86,H*
WR110,aw
WR112,
WR115,aw
WR120,H**
AGe10,aw
AGe20,aw
AC6,H*
AC7,aw
AC8,H***
AC9,
AC20,H*
BtK10,aw
CMt10,aw
GHl7,"AAN, H**"
GHl8,aw
GHl9,H*
GP3,H*
GP4,
GP6,
GP9,
GP11,
GP13,H**
GP14,
GP18,
GP21,
GP25,
GP28,aw
GP100,
KGr10,H-
KGr30,aw
KGr50,
KMz20,aw
KMz25,aw
KMz40,
KMz50,aw
KMz55,aw
KMz60,aw
KMz70,
KMz80,aw
MRa1,aw
MRa2,aw
MRa3,
RC1,
RC2,aw
RC3,
RC5,H***
RC5,
RC9,Kael
RC10,H****
RC12,
RC13,[47]
RC18,H***
RC20,
RC22,aw
RuJ8,
TWh1,H***
TWh20,H*
TWh24,aw
TWh25,H**
TWh30,aw
TWh35,aw
TWh40,aw
TWh41,H
TWh45,H*
TWh50,H*
TWh60,
TWh62,
WiB25,aw
WiB30,aw
WiB50,aw
WiB100,aw
WiB180,
WiB183,
WiB199,H
HSt1,aw
W30,"AA, H*"
W38,H-
W40,
W41,H-
W50,H***
W55,H
W56,
W60,H*
W70,aw
W78,H*
W80,aw
W83,"AAN, H**"
W85,aw
W90,aw
WWo10,H**
WWo20,
Z2310,
GLp10,aw
GLp15,aw
GLp17,aw
GLp30,aw
FeL1,aw
JR1,
JR5,
JR10,aw
JR15,aw
JR20,H*
JR25,"F100, H***"
JR30,aw
JR33,aw
JR35,aw
JR40,aw
JR50,aw
JR55,
JR60,aw
JR65,
JR75,H**
JR77,H*
JR90,aw
JR94,aw
JR96,aw
JR100,aw
JR105,aw
JR110,aw
PlL1,
PlL3,
SET1,aw
SET8,aw
SE1,
SE3,H***
SE4,"H****, judged best film ever made"
SE10,
SE20,H****
WKH1,aw
WKH10,aw
WKH14,aw
WKH20,aw
WKH30,aw
WKH35,H*
WKH44,H
WKH45,aw
WKH50,[47]
WKH52,aw
WKH60,aw
AJG50,H**
ArF10,aw
ChR13,
ChR20,aw
ChR30,aw
ChR40,aw
ChR50,H*
ChR60,
ChR70,aw
ChR80,aw
CLa40,aw
CLa60,aw
CLa65,aw
CLa70,aw
CLa75,aw
CLa80,aw
CLa90,aw
CLa110,H*
CLa114,H
CLa115,H*
CLa117,
CLa120,
CLa150,
EAD10,H**
EG3,H*
EG6,aw
EG11,"AA, H**"
EG14,aw
EG16,H**
EG17,"H**, AAN"
EG18,aw
EG19,aw
EG21,aw
EG24,aw
EG25,H*
EG20,H*
EG27,aw
EG28,H
EG30,aw
ESl10,aw
ESl30,aw
GLC2,aw
GLC3,aw
GLC4,aw
GLC6,aw
GLC9,aw
GLC11,
GLC12,
IGB10,aw
IGB20,aw
IGB30,aw
IGB40,
IGB45,
IGB50,H***
IrC51,
IrC55,aw
IrC56,
IrC60,
IrC66,
IrC67,H*
IrC73,
IrC74,
IrC76,
IrC77,
IrC79,
IrC80,
IrC81,H*
IrC86,H*
IrC89,
IrC95,H
LM2,H
LM4,AA
LM11,H
LM12,aw
LM16,aw
LM17,H***
LM20,H*
LM22,H*
LM29,
LM32,H**
LM100,
LM110,H*
PSl10,aw
S1,aw
S3,aw
S5,"AAN, H**"
S9,H****
S10,"NFR, H***, AAN dir"
S11,aw
S12,H**
S14,H*
S15,H***
S16,aw
S17,
S18,aw
S21,
S22,aw
S23,
S24.,
ThD20,
ThD28,
ThD30,H****
ThD35,
ThD36,
ThD40,
ThD45,V(Ken~Adam)
ThD50,H*
ThD55,
WW12,
WW23,H*
WW30,H*
WW38,aw
WW41,
WW43,"AAN, H***"
WW44,"H***, AAN"
WW46,"AAN, AAN dir, H****"
WW47,H**
WW48,"AAN, H***, AAN dir"
WW54,AA
WW60,H
WW61,aw
WW63,"H****, AA, AA dir"
WW64,"AAN, AAN dir, CG****"
WW65,AAN dir
WW66,H**
WW67,"AAN, AAN dir, H**"
WW73,H*
WW69,aw
WW80,H***
WW81,"AA, AA dir, H**"
WW82,aw
WW83,aw
WW84,aw
WW85,"H**, AAN"
ACa10,aw
ACa17,aw
ACa20,aw
ACa46,aw
ACa50,H****
ACa60,H**
ACa62,aw
ACa64,aw
ACa66,aw
ACa70,aw
ACa80,aw
ACa90,aw
ACa95,H-
AM8,aw
AM12,aw
AM15,H*
AM16,aw
AM18,H**
AM20,aw
AM21,aw
AM23,H*
AM29,H**
AM31,H**
AM35,H**
AM36,H**
ASR25,aw
ASR35,aw
ASR38,aw
ASR40,H*
ASR42,aw
ASR45,aw
ASR51,aw
ASR59,aw
ASR65,aw
EBS02,aw
EBS03,aw
EBS20,aw
EBS40,aw
EBS50,H****
EBS60,
EBS70,aw
EBS90,
FC1,aw
FC10,aw
FC15,
FC17,
FC21,aw
FC22,H**
FC23,
FC24,"H***, AAN, AAN dir"
FC25,"F18,H****, AA, AA dir"
FC26,"AAN dir, H***, AAN"
FC27,"H****, AAN"
FC30,AAN Dir
FC34,"F98, H***"
FC35,"H****, AAN, AAN dir, CC\#4"
FC40,
FC101,aw
GMy10,
GMy20,aw
Gmy25,"H*, venice dir CCVN"
GMy45,H*
GuB10,aw
HH9,H**
HH12,H***
HH13,H*
HH14,H*
HH19,aw
HH21,"H***, F05"
HH22,H**
HH23,"F16, H****"
HH28,H***
HH29,H*
HH30,
HH31,H**
HH32,aw
HH33,aw
HH34,H*
HH37,H*
HH39,aw
HH40,aw
HH41,aw
HH42,aw
LlB11,aw
LlB21,H*
LlB32,aw
LlB35,"NFR, H***"
LlB36,aw
LlB37,aw
LlB40,H**
LlB50,H*
LlB53,aw
LlB55,H*
LlB57,H***
LlB59,aw
LlB62,aw
LlB64,H
LlB67,
LlB80,aw
LlB83,H
LlB85,CG***
LlB90,
LlB95,H*
LlB97,
LlB100,
MlW5,
MSC10,aw
RlW10,aw
RVL6,aw
RVL8,aw
RVL14,
RVL16,H*
RVL17,H**
RVL28,H***
RVL30,H**
RVL32,H*
RVL34,aw
RyT40,aw
RyT50,aw
RyT55,H
VsP20,aw
VsP30,aw
VsP40,aw
VsP50,aw
WlD3,aw
WlD5,H***
WlD6,
WlD7,
WlD9,
WlD10,
WlD15,H*
WlD18,H
WlD19,H***
WlD20,H
WlD25,
WlD29,H*
WlD33,AA
WlD34,
WlD35,H**
WlD36,H****
WlD37,H***
WlD38,H**
WlD42,aw
WlD43,H**
WlD45,lc
WlD49,"Romt,Fant"
WlD51,"Actn,Romt"
WlD53,H
WlD54,aw
WlD55,aw
WlD58,H*
WlD59,aw
WlD61,H*
WlD65,aw
Z5510,aw
Z5512,aw
AJs1,
BuB10,
ByH5,H
ByH8,H*
ByH12,aw
ByH15,H*
ByH25,aw
ByH26,aw
CBm40,aw
CBm60,H**
CBm90,aw
DaB3,H*
DaB4,H
DaB5,aw
DaB11,H*
DaB17,H*
DaB19,H**
DaB20,H*
DaB21,H***
DaB23,H
DaB26,aw
DaB28,"H*, CG**"
DaB29,aw
DaB31,aw
DaB32,aw
DaB33,
DaB35,aw
DAz2,
DAz5,H-
DAz6,aw
DAz17,aw
DAz21,H*
DAz23,H*
DAz27,aw
DAz35,aw
DMD1,aw
DMD10,aw
DMD25,H****
DMD40,H
DMD50,H*
DzV50,aw
FTu7,
FTu19,H**
FTu20,"H**, [47]"
Ftu23,H
Ftu25,H**
FTu30,aw
FTu60,H
FTu80,aw
HDA6,aw
HDA7,H*
JTg1,aw
JTg4,
JTg7,
JTg13,aw
LoM6,H*
LoM12,
LoM17,
LvK10,
LwS90,aw
LwS100,aw
LwS130,
LwS150,H*
LwS166,aw
LwS180,H
MDK10,aw
MLR4,H****
MLR6,H
MLR7,H*
MLR6,aw
MLR10,aw
MLR11,aw
MLR12,H*
MLR14,H***
MLR15,aw
MLR16,H
MLR17,H*
MLR19,aw
MLR20,aw
MLR22,H**
MLR25,aw
MLR28,aw
MLR29,H**
MLR32,H*
MLR33,aw
MLR34,aw
MLR40,H*
MLR43,H*
MLR46,aw
RFl3,H
RFl10,
RFl28,
RFl33,H*
RFl40,
RFl50,
RFl70,
RFl100,aw
RFl101,aw
RFl102,aw
RFl103,aw
RFl104,aw
REn6,H**
REn18,H*
REn32,
REn35,aw
REn40,aw
REn45,H*
REn53,H**
REn55,H
REn60,H
RWa10,H*
RWa12,H
RWa50,H***
RWa65,H
RWa72,H*
RZL5,aw
RZL15,
RZL16,aw
RZL17,aw
RZL19,H*
RZL22,H*
RZL23,aw
RZL25,H*
RZL26,H***
RZL35,aw
RZL39,H
TeW15,aw
VrS10,aw
VrS15,aw
VrS20,aw
VrS23,aw
VrS24,H**
VrS26,
VrS27,
VrS28,
VrS30,
VrS31,
VrS32,
VrS34,
VrS40,
WRu10,H***
MAr15,
WLa18,H**
WLa23,H*
WLa24,H
WLa27,H**
WLa28,
WLa29,H**
WLa33,aw
WLa38,H**
WLa40,aw
WLa41,aw
WLa42,"AAN, AAN dir, H*"
WLa43,H**
xDo10,aw
YOz7,
YOz8,
YOz9,
YOz11,
YOz12,
YOz15,H-
YOz16,
YOz20,
YOz22,
YOz40,
YOz45,
YOz50,
YOz55,H-
YOz65,H-
YOz75,H-
YOz85,
YOz95,H-
FeF12,-H
FeF8,H*
FeF80,aw
FeF85,aw
GRv10,aw
GzB1,
HLa30,aw
HLa40,aw
HLa50,aw
HLaD55,
HLa60,
HLa65,
HLa70,aw
HLg1,aw
IvM10,
LB1,
LB2,aw
LB14,H**
LB18,aw
LB19,aw
LB24,aw
LB26,H*
LB28,aw
LB30,H*
LB32,
LB34,
LB35.,
LeJ2,aw
LeJ6,aw
LeJ8,aw
LeJ10,H
LeJ11,aw
LeJ12,H*
LeJ16,aw
LeJ26,aw
LeL20,"Cannes Peace prize, H[1]"
LeL25,aw
LeL30,Baer-G
LeL35,aw
LuH10,H*
MKv10,aw
MKv15,aw
MKv20,aw
MKv35,aw
MKv40,aw
MKv45,aw
MKv50,aw
NT10,aw
NT20,"AA dir, AAN"
NT30,
NT31,H*
NT32,H
NT36,H*
NT44,H*
NT45,H*
NT50,H*
NT55,H***
NT60,"AAN, AAN Dir, H**"
NT75,
NT80,
NT85,aw
NT90,aw
NT94,aw
NT95,aw
NT100,aw
NT105,aw
NT110,H*
NT120,H
NT121,H
NT127,H
NT128,
NT130,
NT135,aw
NT140,aw
NT145,aw
RTh3,H**
RTh4,H
RTh5,aw
RTh6,H**
RTh7,H*
RTh8,H
RTh9,
RTh11,
RTh12,H*
RTh15,
RTh25,
RTh26,
RTh27,aw
RTh30,aw
RTh32,
RTh35,H*
RTh37,
RTh52,"Venice, Italy"
RTh58,
TG8,aw
TG15,H*
TG16,aw
TG17,aw
TG22,H*
TG27,
TG30,H*
TG39,
TG42,aw
WaF10,H****
WaF15,H***
WaF20,H*
WaF25,H*
WaF35,H*
WaF40,H**
WaF45,aw
WaF48,
WD1,
WD2,
WD102,H****
AD10,
AD40,H**
AD50,
ArR10,aw
BVi5,aw
BVi10,aw
BVi12,H
BVi20,aw
CJu10,aw
DGz10,aw
ELa10,aw
FRJ30,H*
GgA3,
GgA8,aw
HnS10,aw
HPo10,aw
ICr4,H
ICr5,
ICr6,H
ICr10,H*
ICr15,aw
ICr16,aw
ICr19,H**
ICr24,aw
ICr25,H**
ICr28,H**
ICr35,"H***, AAN"
ICr36,
ICr40,H*
ICr42,H
IFD20,aw
IFD50,aw
IyT10,aw
JdL10,H
JdL12,H*
JGr5,aw
JGr15,aw
JGr18,aw
JGr23,aw
JGr30,aw
JS1,
JS5,aw
JS36,aw
LiB2,aw
LiB3,aw
LiB4,aw
LiB5,aw
LiB6,aw
LMC13,H*
LMC14,H**
LMC16,"H***, AAN"
LMC18,"AA, AA dir, H**"
LMC19,"AAN, AAN dir, H**"
LMC23,aw
LMC24,aw
McR10,aw
McR40,aw
McR50,aw
McR60,aw
McR90,aw
MkD3,aw
MkD5,aw
MkD7,aw
MkD10,H***
MkD12,H***
MkD17,aw
MkD20,aw
MkD35,aw
MkD47,aw
NoL8,aw
NoL28,aw
NoL30,H
NoL32,aw
NoL34,aw
NoL45,-H
NoL48,aw
NoL52,aw
PJ12,
RM1,H***
RM2,
RM3,
RM4,
RM5,
RM6,H***
RM--,
RM7,aw
RM9,
RM10,aw
RM11,
RM13,H*
RM14,
RM15,H**
RM16,H*
RSi2,aw
RSi14,aw
RSi17,aw
RSi20,H**
RSi29,
RSi31,aw
RSi40,aw
RSi41,aw
RSi45,aw
ThF5,aw
ThF6,aw
ThF11,H
ThF17,H*
ThF25,H
ThF30,aw
TRu10,aw
WeK10,aw
WTh3,H
WTh5,aw
WTh10,H*
WTh18,aw
WTh19,aw
WTh23,classic
xGa10,aw
Z4910,aw
Z4911,aw
Z4914,aw
Z4915,aw
Z4917,aw
Z4920,aw
BDn5,aw
BDn7,
BDn9,aw
BDn11,aw
BDn13,aw
BDn20,aw
