stage_name,family_birth_name,given_first_name,gender,role_type,start_year,end_year,birth_year,death_year,birth_country,,,,,,
Isabelle Adjani,Adjani,Isabelle,F,lead,1971,1983,1955,,France,,,,,,
Jay Adler,Adler,Jay,M,character,1938,1965,1899,1978,USA,,,,,,
Luther Adler,Adler,Lutha,M,heavy,1937,1981,1903,1984,USA,,,,,,
Renee Adoree,de la Fonte,Jeanne,F,exotic,1920,1930,1898,1933,France,,,,,,
Mario Adorf,Adorf,Mario,M,European films,1959,1981,1930,,Switzerland,,,,,,
Max Adrian,Bor,Max,M,high camp personality,1934,1971,1902,1973,Ireland,,,,,,
John Agar,Agar,John,M,lead,1948,1976,1921,,USA,,,,,,
Rati Agnihotri,Agnihotri,Rati,F,modern dancer,1985,,1960,,India,,,,,,
Jenny Agutter,Agutter,Jenny,F,lead,1964,1981,1952,,Great Britain,,,,,,
Brian Aherne,Aherne,Brian,M,gentle lead,1924,1967,1902,1986,Great Britain,,,,,,
Philip Ahn,Ahn,Philip,M,Asiatic,1936,1975,1911,1978,USA,,,,,,
Anouk Aimee,Dreyfus,Francoise Sorya,F,poised heartthrob,1947,1983,1932,,France,,,,,,
Richard Ainley,Ainley,Richard,M,,1936,1949,1910,1967,Great Britain,,,,,,
Maria Aitkins,,,F,,1989,,,,,,,,,,
Franklyn Ajaye,,,M,,1976,1978,1949,,USA,,,,,,
Muriel Aked,Aked,Muriel,F,comedy spinster, gossip,1922,,1887,1955,Great Britain,,,,,
Claude Akins,Akins,Claude,M,western villain, burly middle-aged hero,1953,,1918,1994,USA,,,,,
Serap Aksoy,Aksoy,Serap,F,sr,1991,,,,Turkey,,,,,,
Josh Albee,,,M,,1979,,,,,,,,,,
Anna Maria Alberghetti,Alberghetti,Anna Maria,F,singer,1951,1960,1936,,Italy,,,,,,
Han Albers,Albers,Han,M,lead,1923,1960,1892,,Germany,,,,,,
Eddie Albert,Heimberger,Eddie Albert,M,honest Joe,1938,1982,1908,,USA,,,,,,
Edward Albert,Albert,Edward,M,light,1965,1982,1951,,USA,,,,,,
Edward Albert~jr.,,,M,,,,,,,,,,,,
William Albert,,,M,,1982,,,,,,,,,,
Frank Albertson,Albertson,Frank,M,straight,1928,1963,1907,1981,USA,,,,,,
Jack Albertson,Albertson,Jack,M,character,1947,1978,1907,1981,USA,,,,,,
Mabel Albertson,Albertson,Mabel,F,nosey neighbour, wise and witty grandma,1939,,1901,1982,USA,,,,,
Hardie Albright,Albrecht,Hardy,M,underused lead,1931,1957,1903,1971,USA,,,,,,
Lola Albright,Albright,Lola,F,stylish, tough-talking,1949,,1925,,USA,,,,,
Alan Alda,Alda,Alan,M,lead,1963,1982,1936,,USA,,,,,,
Robert Alda,d'Abruzzo,Alphonso,M,,1945,1976,1914,1986,,,,,,,
Rutanya Alda,,,F,,1978,1982,,,,,,,,,
John Alderton,Alderton,John,M,light lead,1964,1976,1940,,Great Britain,,,,,,
Vera Alentova,,,F,,1980,,,,,,,,,,
Ben Alexander,Alexander,Nicholas Benton,M,boy actor,1917,1957,1911,1969,USA,,,,,,
Jane Alexander,Quigley,Jane,F,regal,1970,1983,1939,,USA,,,,,,
John Alexander,Alexander,John,M,portly,1936,1960,1901,1982,USA,,,,,,
Katherine Alexander,Alexander,Katherine,F,sympathetic,1934,1949,1901,1981,USA,,,,,,
Ross Alexander,Alexander,Ross,M,lead,1932,1937,1907,1937,USA,,,,,,
Sandy Alexander,,,,,1983,,,,,,,,,,
Terence Alexander,Alexander,Terence,M,ineffectual,1951,1979,1923,,Great Britain,,,,,,
Hope AlexanderWells,,,F,,,,,,,,,,,,
Muhammed Ali,Clay,Cassius,M,,1977,,1942,,USA,,,,,,
Dorothy Alison,Alison,Dorothy,F,,1952,1972,1925,,Australia,,,,,,
Andrea Allan,,,F,,,,,,,,,,,,
Elizabeth Allan,Allan,Elizabeth,F,delicate or aristocratic heroines,1931,1958,1908,,Great Britain,,,,,,
William Alland,Alland,William,M,enquiring reporter,1941,1961,1916,,USA,,,,,,
Chesney Allen,Allen,Chesney,M,light comedian,1935,1944,1894,1982,Great Britain,,,,,,
Catherine Allegret,,,F,,1965,,,,France,,,,,,
Elizabeth Allen,Gillease,Elizabeth,F,lead,1960,1972,1934,,USA,,,,,,
Fred Allen,Sullivan,John F.,M,lead,1935,1953,1894,1956,USA,,,,,,
Gracie Allen,Allen,Gracie,F,scatterbrained comedienne,1933,1944,1902,1964,USA,,,,,,
Karen Allen,Allen,Karen,F,lead,1978,1982,1955,,USA,,,,,,
Nancy Allen,Allen,Nancy,F,lead,1973,1983,1954,,USA,,,,,,
Patrick Allen,Allen,Patrick,M,lead,1955,1982,1927,,Great Britain,,,,,,
Rae Allen,,,,,,,,,,,,,,,
Steve Allen,Allen,Steve,M,dry comic,1949,1989,1921,,USA,,,,,,
Woody Allen,Konigsberg,Allen Stewart,M,confused innocent,1965,1983,1935,,USA,,,,,,
Joseph Allen~jr.,,,M,,,,,,,,,,,,
Kirstie Alley,Alley,Kirstie,F,spunky,1982,1990,,,USA,,,,,,
Sara Allgood,Allgood,Sara,F,amiable,1918,1950,1883,1950,Ireland,,,,,,
Claud Allister,Palmer,Claud,M,silly monocled,1929,1953,1891,1970,Great Britain,,,,,,
Astrid Allwyn,Allwyn,Astrid,F,lead,1932,1943,1909,1978,Sweden,,,,,,
June Allyson,Geisman,Ella,F,tomboy tease,1943,1978,1917,,USA,,,,,,
Pedro Almodovar,Almodovar,Pedro,M,wild,,,,,Spain,,,,,,
Maria Conchita Alonso,,,F,,,,,,,,,,,,
Corinne Alphen,,,F,beauty,1983,,,,,,,,,,
Kirk Alyn,Alyn,Kirk,M,lead,1942,1950,1910,,USA,,,,,,
Betty Amann,,,F,,,,,,,,,,,,
Leonora Amar,,,F,,,,,,,,,,,,
Don Ameche,Amici,Dominic Felix,M,pleasant hero,1936,1983,1908,1993,USA,,,,,,
Lucio Amelio,,,M,,,,,,,,,,,,
Leon Ames,Wycoff,Leon,,harassed or kindly father, suave professional man,1932,,1903,1993,USA,,,,,
Ramsay Ames,Philips,Ramsay,F,lead,1944,1963,1919,,USA,,,,,,
Suzy Amis,Amis,Suzy,F,handsome,1993,,1962,,USA,,,,,,
John Amos,,,M,,,,,,,,,,,,
John Amplas,,,M,,,,,,,,,,,,
Dev Anand,,,M,hero,1958,1980,,,India,,,,,,
Glenn Anders,Anders,Glenn,M,sinister,1930,1951,1889,1981,USA,,,,,,
Luana Anders,Anders,Luana,F,lead,1958,1982,1949,,USA,,,,,,
Merry Anders,Anders,Merry,F,light lead,1952,1958,1932,,USA,,,,,,
Bridgette Andersen,,,F,,,,,,,,,,,,
Bibi Anderson,,,M,transvestite,,,,,,,,,,,
E. Erich Anderson,,,M,,,,,,,,,,,,
Rochester,Anderson,Eddie,M,black comedian,1930,1965,1905,1977,USA,,,,,,
G.M. Anderson,Aronson,Max,M,cowboy,1903,1965,1882,1971,USA,,,,,,
Harriet Anderson,Anderson,Harriet,F,nude villain,1955,,,,Sweden,,,,,,
Herbert Anderson,Anderson,Herbert,M,mild-mannered,194,1969,1917,,USA,,,,,,
Ingrid Anderson,,,F,,,,,,,,,,,,
Jean Anderson,Anderson,Jean,F,sympathetic nurse, tired mother, spinster aunt,1979,,1908,,Great Britain,,,,
John Anderson,Anderson,John,M,Tall, thin, pale-eyed,1978,,1922,,USA,,,,
Judith Anderson,Anderson,Dame Frances Margaret,F,icy presence,1933,1984,1898,1992,Australia,,,,,,
Lindsay Anderson,Anderson,Lindsay,M,,1981,,1923,,Great Britain,,,,,,
Loni Anderson,Anderson,Loni,F,sexy blonde,1977,,1947,,USA,,,,,,
Mary Anderson,Anderson,Mary,F,supporting,1939,1953,1920,,USA,,,,,,
Melissa Sue Anderson,,,F,,,,,,,,,,,,
Michael Anderson~jr.,Anderson,Michael,M,juvenile lead,1957,1971,1943,,,,,,,,
Richard Anderson,Anderson,Richard,M,thoughtful-looking,1951,1978,1926,,USA,,,,,,
Rona Anderson,Anderson,Rona,F,,1948,1969,1926,,Great Britain,,,,,,
Warner Anderson,Anderson,Warner,M,solid presence, no outstanding personality,1943,,1911,1976,USA,,,,,
Bibi Andersson,Andersson,Bibi,F,,1955,1983,1935,,Sweden,,,,,,
Harriet Andersson,Andersson,Harriet,F,,1952,1972,1932,,USA,,,,,,
Carole Andre,,,F,,,,,,,,,,,,
Gabe Andre,,,,,,,,,,,,,,,
Fredric Andrei,,,M,,,,,,,,,,,,
Ursula Andress,Ursula,Andress,F,sex bomb,1954,1981,1936,,Switzerland,,,,,,
Anthony Andrews,Andrews,Anthony,M,lead,1974,1981,1948,,Great Britain,,,,,,
Brian Andrews,,,M,,,,,,,,,,,,
Dana Andrews,Andrews,Carver Daniel,M,hard,1940,1979,1909,1992,USA,,,,,,
Eamonn Andrews,Andrews,Eamonn,M,,,,,1987,,,,,,,
Edward Andrews,Andrews,Edward,M,beaming, bespectacled,1955,,1914,,USA,,,,,
Harry Andrews,Andrews,Harry,M,tough,1952,1980,1911,1989,Great Britain,,,,,,
Julie Andrews,Wells,Julia,F,wholesome singer,1964,1983,1934,,Great Britain,,,,,,
The Andrews Sisters,Patty, Maxine, Laverne,Andrews,G,,1948,,1913,,USA,,,,
Stanley Andrews,Andrews,Stanley,M,grizzled western veteran,1934,1958,1892,1969,USA,,,,,,
Heather Angel,Angel,Heather,F,lead,1930,1962,1909,,Great Britain,,,,,,
Pier Angeli,Pierangeli,Anna Maria,F,sensitive,1950,1972,940],1932,1971,Italy,,,,,
The Hells Angels,,,G,,,,,,,,,,,,
Maya Angelou,Angelou,Maya,F,poet,1993,,1929,,USA,,,,,,
Muriel Angelus,Findlay,M.A.,F,lead,1930,1940,1909,,Great Britain,,,,,,
Ivy Angustain,,,F,,,,,,,,,,,,
Evelyn Ankers,Ankers,Evelyn,F,looked decorative, well-bred heroine,1933,[16:541],1918,,Great Britain,,,,,
Morris Ankrum,Morris,Stephen,M,lawyer, judge, Western villain,1961,,1896,1964,USA,,,,
Francesca Annis,Annis,Francesca,F,lead,1958,1983,1944,,Great Britain,,,,,,
AnnMargret,Olsson,Ann-Margret,F,sex symbol,1961,1983,1941,,Sweden,,,,,,
Michael Ansara,Ansara,Michael,M,Indian,1944,1974,1922,,USA,,,,,,
Karen Anspach,,,F,,,,,,,,,,,,
Susan Anspach,Anspach,Susan,F,stage,1970,1983,1939,,USA,,,,,,
Adam Ant,,,M,,,,,,,,,,,,
Lysette Anthony,,,F,,,,,,,,,,,,
Michael Anthony,,,M,,,,,,,,,,,,
Susan Anton,,,F,,,,,,,,,,,,
Laura Antonelli,,,F,,,,,,,,,,,,
Lou Antonio,,,M,,,,,,,,,,,,
Scott Antony,Antony,Scott,M,lead juvenile,1972,1974,1950,,Great Britain,,,,,,
Aquanetta,Davenbort,Burnu,F,exotic,1942,1946,1920,,USA,,,,,,
Alfonso Arau,,,M,,,,,,,,,,,,
Roscoe Abuckle,Arbuckle,Roscoe (Fatty),M,comic,1913,1921,1887,1933,USA,,,,,,
Allan Arbus,,,M,,,,,,,,,,,,
Anne Archer,Archer,Anne,F,lead,1970,1982,,,USA,,,,,,
Fanny Ardant,Ardant,Fanny,F,lead,1981,1984,1949,,France,,,,,,
Eve Arden,Quedens,Eunice,F,best, cool friend,1929,,1912,1990,USA,,,,,
Carmen Argenziano,,,F,,,,,,,,,,,,
Adam Arkin,,,M,,,,,,,,,,,,
Alan Arkin,Arkin,Alan,M,lead,1966,1983,1934,,USA,,,,,,
David Arkin,,,M,,,,,,,,,,,,
Richard Arlen,van Mattemore,Cornelius,M,rugged hero,1925,1976,1898,1976,USA,,,,,,
Arletty,Bathiat,Leonie,F,world-weary,1931,1972,1898,1992,France,,,,,,
George Arliss,Andrews,George Augustus,M,autocratic,1921,1937,1868,1946,Great Britain,,,,,,
Pedro Armendariz,Armendariz,Pedro,M,expansive,1936,1963,1912,1963,Mexico,,,,,,
Henry Armetta,Armetta,Henry,M,excitable, gesticulating foreigner,1918,,1888,1945,Italy,,,,,
Bess Armstrong,Armstrong,Bess,F,lead,1982,1983,,,USA,,,,,,
Curtis Armstrong,,,M,,,,,,,,,,,,
Louis Armstrong,Armstrong,Louis `Satchmo',M,black jazz musician,1936,1969,1900,1971,USA,,,,,,
R.G. Armstrong,Armstrong,R.G.,M,tough serious,1958,1982,1920,,USA,,,,,,
Robert Armstrong,Smith,Donald Robert,M,tough cop, scientist,1927,[4.103],1890,1973,USA,,,,,
Todd Armstrong,Armstrong,Todd,M,stalwart lead,1962,1968,1939,,USA,,,,,,
Yvonne Arnaud,Arnaud,Yvonne,F,,1920,1958,1892,1958,France,,,,,,
Lucie Arnaz,Arnaz,Lucie,F,lead,1975,1983,1951,,,,,,,,
Desi Arnaz,Arnaz y de Acha,Desiderio,M,diminutive explosive romantic,1950,1982,1915,1986,Cuba,,,,,,
Desi Arnaz~jr.,Arnaz,Desi,M,juvenile lead,1970,1983,1953,,USA,,,,,,
Peter Arne,Albrecht,Peter Arne,M,villain,1955,1982,1920,1983,Great Britain,,,,,,
James Arness,Aurness,James,M,giant,1947,1981,1923,,USA,,,,,,
Jeanetta Arnette,,,F,,,,,,,,,,,,
Edward Arnold,Schneider,Guenther,M,dynamic rotund,1916,1956,1890,1956,USA,,,,,,
Mark Arnott,,,M,,,,,,,,,,,,
Charles Arnt,Arnt,Charles,M,snoop, suspicious, or plain ordinary fellow,1962,,1908,,USA,,,,
Rosanna Arquette,,,F,,,,,,,,,,,,
Antonin Artaud,Artaud,Antonin,M,dabbling writer,1926,1928,1895,1948,France,,,,,,
Beatrice Arthur,Frankel,Bernice,F,dominant comedy,1972,1983,1923,,USA,,,,,,
George K. Arthur,Brest,G.K.A.,M,small but gamy,1921,1935,1899,,Great Britain,,,,,,
Jean Arthur,Greene,Gladys,F,squeaky petite feminist,1923,1966,1905,1991,USA,,,,,,
Linda Arvidson,Arvidson-Griffith,Linda,F,lead,1908,1916,1884,1949,USA,,,,,,
Leslie Ash,,,,,,,,,,,,,,,
Peggy Ashcroft,Ashcroft,Dame Peggy,F,royal,1933,1978,1907,1991,Great Britain,,,,,,
Jane Asher,Asher,Jane,F,lead,1951,1972,1946,,Great Britain,,,,,,
Renee Asherson,Asherson,Ren,F,,1944,1968,1920,,Great Britain,,,,,,
Edward Ashley,Cooper,E.A.,M,third lead,1933,1976,1904,,Great Britain,,,,,,
Elizabeth Ashley,Cole,Elizabeth,F,cold sporadic,1964,1982,1939,,USA,,,,,,
Jennifer Ashley,,,F,,,,,,,,,,,,
John Ashley,,,M,,,,,,,,,,,,
Gregoire Asian,,,,,,,,,,,,,,,
Luke Askew,Askew,Luke,M,western,1967,1979,,,USA,,,,,,
Arthur Askey,Askey,Arthur,M,diminutive,1937,1972,1900,1982,Great Britain,,,,,,
Ed Asner,Asner,Edward,M,chubby tough,1963,1983,1929,,USA,,,,,,
Chuck Aspegren,,,M,,,,,,,,,,,,
Armand Assante,,,M,,,,,,,,,,,,
Asta,,,A,wire-haired fox terrier,1934,1947,,,,,,,,,
Adele Astaire,,,M,,,,,1981,,,,,,,
Fred Astaire,Austerlitz,Frederick,M,dancer,1933,1981,1005],1899,1987,USA,,,,,
Nils Asther,Asther,Nils,M,suave, exotic,1927,,1897,1981,Sweden,,,,,
John Astin,Astin,John,M,comic,1961,1977,1930,,USA,,,,,,
Patty Duke Astin,Duke Astin,Patty,F,,1955,1982,1946,,USA,,,,,,
Gertrude Astor,Astor,Gertrude,F,silent screen,1927,1962,1887,1977,USA,,,,,,
Mary Astor,Langehanke,Lucille,F,solid, character,1921,[4.1083],1906,1987,USA,,,,,
William Atherton,Atherton,William,M,,1972,1983,1947,,USA,,,,,,
Christopher Atkins,Atkins,Christopher,M,juvenile lead,1980,1983,1961,,USA,,,,,,
Eileen Atkins,Atkins,Eileen,F,character,1968,1983,1934,,Great Britain,,,,,,
Kiyoshi Atsumi,Tadoroko,Yasuo,M,peddle ,1969,1996,1928,1996,Japan,,,,,,
Richard Attenborough,Attenborough,Sir Richard,M,coward, `wide range',1942,,1923,,Great Britain,,,,,
Malcolm Atterbury,Atterbury,Malcolm,M,character,1954,1964,1907,,USA,,,,,,
Edith Atwater,Atwater,Edith,F,lead,1936,1976,1911,,USA,,,,,,
Lionel Atwill,Atwill,Lionel,M,teutonic villains,1919,1946,207],1885,1946,Great Britain,,,,,
Kim Atwood,,,,,,,,,,,,,,,
Brigitte Auber,,,F,,1955,,,,,,,,,,
Rene Auberjonois,Auberjonois,Rene,M,character,1970,1980,1940,,USA,,,,,,
Lenore Aubert,Aubert,Leonore,F,sinister,1938,1949,1913,,Yugoslavia,,,,,,
Cecile Aubry,Benard,Anne-Jese,F,petit,1949,1954,1929,,France,,,,,,
Joss Auckland,,,M,,,,,,,,,,,,
Michael Auclair,Vujovic,Vladimir,M,lead,1946,1973,1922,,France,,,,,,
Maxine Audley,Audley,Maxine,F,character,1954,1969,1923,,Great Britain,,,,,,
Stephane Audran,Audran,Stephane,F,cool,1958,1982,1932,,France,,,,,,
Audrey,,,,,,,,,,,,,,,
Mischa Auer,Ounskowsky,Mischa,M,wild, noble idiot,1928,,1905,1967,Russia,,,,,
Claudine Auger,Auger,Claudine,F,lead,1963,1980,1942,,France,,,,,,
Marie Ault,Cragg,Mary,F,dialect comedy,1924,1949,1870,1951,Great Britain,,,,,,
JeanPierre Aumont,Salomons,Jean-Pierre,M,lead,1931,1983,1909,,France,,,,,,
John Austin,,,M,,,,,,,,,,,,
Daniel Auteuil,Auteuil,Daniel,M,,1985,,,,France,,,,,,
Gene Autry,Autry,Gene,M,easy-going cowboy,1937,1950,1907,1998,USA,,,,,,
Frankie Avalon,Avallone,Francis,M,light lead,1960,1978,1939,,USA,,,,,,
Luis Avalos,,,M,,,,,,,,,,,,
Doe Avedon,Avedon,Doe,F,lead,1954,1956,1928,,USA,,,,,,
Brian Avery,,,M,,,,,,,,,,,,
Margaret Avery,,,F,,,,,,,,,,,,
Nina Axelrod,,,F,,,,,,,,,,,,
Hoyt Axton,,,M,,,,,,,,,,,,
George Ayer,,,M,,,,,,,,,,,,
Dan Aykroyd,Aykroyd,Dan,M,comic lead,1980,1988,,,USA,,,,,,
Felix Aylmer,Aylmer Jones,Felix Edward,M,schoolmasters, bishops,1933,,1889,1979,Great Britain,,,,,
Agnes Ayres,Hinkle,Agnes,F,silent lead,1919,1937,1896,1940,USA,,,,,,
Gregg Ayres,,,M,,,,,,,,,,,,
Lew Ayres,Ayer,Lewis,M,boyish lead,1929,1972,1908,1997,USA,,,,,,
Robert Ayres,Ayres,Robert,M,strong, silent,1949,,1914,1968,Canada,,,,,
Randle Ayrton,Ayrton,Randle,M,character,1918,1978,1869,1940,Great Britain,,,,,,
Shabana Azmi,,,F,,,,,,,,,,,,
Charles Aznavour,Aznavurjan,Shahnour,M,small rugged lead,1958,1976,1924,1992,Turkey,,,,,,
Candy Azzara,,,F,,,,,,,,,,,,
Hank Azaria,,,M,comic,,,1964,,,,,,,,
Lauren Bacall,Perske,Betty Jean,F,sultry to resourceful,1944,1981,1924,,USA,,,,,,
Barbara Bach,Bach,Barbara,F,lead,1977,1981,1951,,Germany,,,,,,
Pamela Bach,Bach,Pamela,F,,,,1962,,USA,,,,,,
Amitabh Bachchan,,,M,romantic hero Am,1970,1980,1942,,,,,,,,
Jim Backus,Backus,Jim,M,burly comedian,1958,1980,1913,1989,USA,,,,,,
Kevin Bacon,,,M,,1984,1990,,,,,,,,,
Hermione Baddeley,Baddely,Hermione,F,sr,1940,1964,,1986,,,,,,,
Alan Badel,Badel,Alan,M,sensitive,1953,1980,1923,1982,Great Britain,,,,,,
Buddy Baer,Baer,Jacob Henry,M,,1949,1961,1915,,USA,,,,,,
Harry Baer,,,M,,1979,1980,,,,,,,,,
Max Baer,Baer,Max,M,boxer,1933,1958,1909,1959,USA,,,,,,
Pearl Bailey,Bailey,Pearl,F,black singer,1047,1976,1918,1990,USA,,,,,,
Barbara Bain,Bain,Barbara,F,lead,1971,1973,1932,,USA,,,,,,
Fay Bainter,Bainter,Fay,F,stalwart matron,1934,1962,1892,1968,USA,,,,,,
Scott Baio,Baio,Scott,M,teenager,1978,1982,1961,,USA,,,,,,
Blanche Baker,,,F,,1984,1990,,,,,,,,,
Carrol Baker,Baker,Carrol,F,sex symbol,1953,1983,1931,,USA,,,,,,
Diane Baker,Baker,Diane,F,demure,1959,1971,1936,,USA,,,,,,
Hylda Baker,Baker,Hylda,F,comedienne,1960,1973,1909,,Great Britain,,,,,,
Joe Don Baker,Baker,Joe Don,M,tough,1967,1979,1943,,USA,,,,,,
Josephine Baker,Baker,Josephine,F,sexy dancer,1927,,1906,1975,USA,,,,,,
Kathy Baker,,,F,good girl,1987,1990,,,USA,,,,,,
Kenny Baker,Baker,Kenny,M,crooner,1936,1946,1912,,USA,,,,,,
Ruby Baker,,,F,,1982,,,,,,,,,,
Stanley Baker,Baker,Sir Stanley,M,virile,1941,1975,1927,1976,Great Britain,,,,,,
Tom Baker,Baker,Tom,M,larger than life,1971,1975,1935,,Great Britain,,,,,,
Bob Balaban,Balaban,Bob,M,character,1978,1966,1965,,USA,,,,,,
Jill Balcon,Balcon,Jill,F,,1947,,1925,,Great Britain,,,,,,
Rebecca Balding,,,F,,,,,,,,,,,,
Adam Baldwin,,,M,,1980,1989,,,,,,,,,
Alec Baldwin,Baldwin,Alec,M,peevish,1988,1990,,,,,,,,,
Daniel Baldwin,Baldwin,Daniel,M,,,,,,USA,,,,,,
Stephen Baldwin,Baldwin,Stephen,M,,,,1963,,USA,,,,,,
William Baldwin,Baldwin,William (Billy),M,,1989,1990,1963,,USA,,,,,,
Betty Balfour,Balfour,Betty,F,comedienne,1928,1945,1903,,Great Britain,,,,,,
Mireille Balin,Balin,Mireille,F,lead,1933,1937,1909,1968,France,,,,,,
Florinda Balkan,,,F,mistress,1970,1975,,,,,,,,,
Lucille Ball,Ball,Lucille,F,comedienne,1933,1973,1910,1989,USA,,,,,,
Vincent Ball,Ball,Vincent,M,,1956,1960,,,Australia,,,,,,
Kay Ballard,Balotta,Catherine (Kaye),F,comedienne,1956,1980,1926,,USA,,,,,,
Martin Balsam,Balsam,Martin,M,quiet, comfortable,1954,[4.152],1919,,USA,,,,,
Anne Bancroft,Italiano,Anna Maria,F,warm, competent,1952,[4.35],1931,,,,,,,
George Bancroft,Bancroft,George,M,burly,1921,1942,1882,1956,USA,,,,,,
Antonio Banderas,,,M,,,,,,,,,,,,
Victor Banerjee,,,M,,,,,,,,,,,,
Donatas Banionis,,,M,,,,,,,,,,,,
Alex Bank,,,M,,,,,,,,,,,,
Tallulah Bankhead,Bankhead,Tallulah,F,theatrical,1918,1965,1902,1968,USA,,,,,,
Aaron Banks,,,M,,,,,,,,,,,,
Leslie Banks,Banks,Leslie,M,tough sophisticate,1932,1950,1890,1952,Great Britain,,,,,,
Vilma Banky,Lonchit,Vilma,F,silent,1920,1933,1902,,Hungary,,,,,,
Ian Bannen,Bannen,Ian,M,effective,1955,1983,1928,,Great Britain,,,,,,
John Banner,Banner,John,M,German sergeant,1943,1971,1910,1973,Austria,,,,,,
Theda Bara,Goodman,Theodosia,F,vamp,1915,1926,1890,1955,USA,,,,,,
Olga Baraclanova,,,F,,,,,,,,,,,,
Christine Baranski,,,F,,,,,,,,,,,,
Vanna Barba,Barba,Vanna,F,sexy,1992,,1967,,Greece,,,,,,
Adrienne Barbeau,Barbeau,Adrienne,F,lead,1977,1982,1949,,USA,,,,,,
George Barbier,Barbier,George,M,blustery kind man,1924,1945,1865,1945,USA,,,,,,
Joyce Barbour,,,F,,1936,,,,,,,,,,
Brigitte Bardot,Javal,Camille,F,sexy,1954,1973,1933,,France,,,,,,
Mijanou Bardot,Javal,Mijanou,F,sexy,1960,,,,France,,,,,,
Sonny Barger,,,M,,,,,,,,,,,,
Lynn Bari,Fisher,Marjorie,F,pert,1933,1962,1915,1989,USA,,,,,,
Norah Baring,Baring,Norah,F,lead,1928,1933,1907,,Great Britain,,,,,,
Erik Barker,Barker,Erik,M,character,1937,1970,1912,,Great Britain,,,,,,
Ronnie Barker,Barker,Ronnie,M,portly,1963,1979,1929,,Great Britain,,,,,,
Lex Barker,Barker,Alexander,M,ape man,1949,1952,,,USA,,,,,,
Ellen Barkin,Barkin,Ellen,F,sexy wives,1982,1989,1954,,USA,,,,,,
Marcie Barkin,,,F,,1975,,,,,,,,,,
Mikhail Barishnikov,,,M,dancer,1979,,,,Russia,,,,,,
Binnie Barnes,Barnes,Gitelle,F,light,1931,1972,1905,1983,Great Britain,,,,,,
Jake Barnes,,,M,,,,,,,,,,,,
Joanna Barnes,Barnes,Joanna,F,cool,1958,1970,1934,,USA,,,,,,
Julian Barnes,,,M,,,,,,,,,,,,
