Rona,Anderson,1948,1969,1926,,Great Britain,,136
Warner,Anderson, no outstanding personality,1943,,1911,1976,,137
Bibi,Andersson,1955,1983,1935,,Sweden,,138
Harriet,Andersson,1952,1972,1932,,USA,,139
Andress,Ursula,1954,1981,1936,,Switzerland,,143
Anthony,Andrews,1974,1981,1948,,Great Britain,,144
Carver Daniel,Andrews,1940,1979,1909,1992,USA,,146
Eamonn,Andrews,,,,1987,,,147
Edward,Andrews, bespectacled,1955,,1914,,,148
Harry,Andrews,1952,1980,1911,1989,Great Britain,,149
Julia,Wells,1964,1983,1934,,Great Britain,,150
 Maxine,Patty,G,,1948,,1913,,151
Stanley,Andrews,1934,1958,1892,1969,USA,,152
Heather,Angel,1930,1962,1909,,Great Britain,,153
Anna Maria,Pierangeli,1950,1972,940],1932,1971,,154
Maya,Angelou,1998,,1928,,USA,,156
M.A.,Findlay,1930,1940,1909,,Great Britain,,157
Evelyn,Ankers, well-bred heroine,1933,[16:541],1918,,,159
Stephen,Morris, judge, Western villain,1961,,1896,,160
Francesca,Annis,1958,1983,1944,,Great Britain,,161
Ann-Margret,Olsson,1961,1983,1941,,Sweden,,162
Michael,Ansara,1944,1974,1922,,USA,,163
Susan,Anspach,1970,1983,1939,,USA,,165
Scott,Antony,1972,1974,1950,,Great Britain,,172
Burnu,Davenbort,1942,1946,1920,,USA,,173
Roscoe (Fatty),Arbuckle,1913,1921,1887,1933,USA,,175
Anne,Archer,1970,1982,,,USA,,177
Fanny,Ardant,1981,1984,1949,,France,,178
Eunice,Quedens, cool friend,1929,,1912,1990,,179
Alan,Arkin,1966,1983,1934,,USA,,182
Cornelius,van Mattemore,1925,1976,1898,1976,USA,,184
Leonie,Bathiat,1931,1972,1898,1992,France,,185
George Augustus,Andrews,1921,1937,1868,1946,Great Britain,,186
Pedro,Armendariz,1936,1963,1912,1963,Mexico,,187
Henry,Armetta, gesticulating foreigner,1918,,1888,1945,,188
Bess,Armstrong,1982,1983,,,USA,,189
Louis Satchmo',Armstrong,1936,1969,1900,1971,USA,,191
R.G.,Armstrong,1958,1982,1920,,USA,,192
Donald Robert,Smith, scientist,1927,[4.103],1890,1973,,193
Todd,Armstrong,1962,1968,1939,,USA,,194
Yvonne,Arnaud,1920,1958,1892,1958,France,,195
Lucie,Arnaz,1975,1983,1951,,,,196
Desiderio,Arnaz y de Acha,1950,1982,1915,1986,Cuba,,197
Desi,Arnaz,1970,1983,1953,,USA,,198
Peter Arne,Albrecht,1955,1982,1920,1983,Great Britain,,199
James,Aurness,1947,1981,1923,,USA,,200
Guenther,Schneider,1916,1956,1890,1956,USA,,202
Charles,Arnt, suspicious, or plain ordinary fellow,1962,,1908,,204
Antonin,Artaud,1926,1928,1895,1948,France,,206
Bernice,Frankel,1972,1983,1923,,USA,,207
G.K.A.,Brest,1921,1935,1899,,Great Britain,,208
Gladys,Greene,1923,1966,1905,1991,USA,,209
Linda,Arvidson-Griffith,1908,1916,1884,1949,USA,,210
Dame Peggy,Ashcroft,1933,1978,1907,1991,Great Britain,,212
Jane,Asher,1951,1972,1946,,Great Britain,,213
Ren,Asherson,1944,1968,1920,,Great Britain,,214
E.A.,Cooper,1933,1976,1904,,Great Britain,,215
Elizabeth,Cole,1964,1982,1939,,USA,,216
Luke,Askew,1967,1979,,,USA,,220
Arthur,Askey,1937,1972,1900,1982,Great Britain,,221
Edward,Asner,1963,1983,1929,,USA,,222
Frederick,Austerlitz,1933,1981,1005],1899,1987,,227
Nils,Asther, exotic,1927,,1897,1981,,228
John,Astin,1961,1977,1930,,USA,,229
Patty,Duke Astin,1955,1982,1946,,USA,,230
Gertrude,Astor,1927,1962,1887,1977,USA,,231
Lucille,Langehanke, character,1921,[4.1083],1906,1987,,232
William,Atherton,1972,1983,1947,,USA,,233
Christopher,Atkins,1980,1983,1961,,USA,,234
Eileen,Atkins,1968,1983,1934,,Great Britain,,235
Yasuo,Tadoroko,1969,1996,1928,1996,Japan,,236
Sir Richard,Attenborough,1942,1996,1923,,Great Britain,,237
Malcolm,Atterbury,1954,1964,1907,,USA,,238
Edith,Atwater,1936,1976,1911,,USA,,239
Lionel,Atwill,1919,1946,207],1885,1946,,240
Rene,Auberjonois,1970,1980,1940,,USA,,243
Leonore,Aubert,1938,1949,1913,,Yugoslavia,,244
Anne-Jese,Benard,1949,1954,1929,,France,,245
Vladimir,Vujovic,1946,1973,1922,,France,,247
Maxine,Audley,1954,1969,1923,,Great Britain,,248
Stephane,Audran,1958,1982,1932,,France,,249
Mischa,Ounskowsky, noble idiot,1928,,1905,1967,,251
Claudine,Auger,1963,1980,1942,,France,,252
Mary,Cragg,1924,1949,1870,1951,Great Britain,,253
Jean-Pierre,Salomons,1931,1983,1909,,France,,254
Daniel,Auteuil,1985,,,,France,,256
Gene,Autry,1937,1950,1907,1998,USA,,257
Francis,Avallone,1960,1978,1939,,USA,,258
Doe,Avedon,1954,1956,1928,,USA,,260
Dan,Aykroyd,1980,1988,,,USA,,266
Felix Edward,Aylmer Jones, bishops,1933,,1889,1979,,267
Agnes,Hinkle,1919,1937,1896,1940,USA,,268
Lewis,Ayer,1929,1972,1908,1997,USA,,270
Robert,Ayres, silent,1949,,1914,1968,,271
Randle,Ayrton,1918,1978,1869,1940,Great Britain,,272
Shahnour,Aznavurjan,1958,1976,1924,1992,Turkey,,274
Betty Jean,Perske,1944,1981,1924,,USA,,277
Barbara,Bach,1977,1981,1951,,Germany,,278
Pamela,Bach,,,1962,,USA,,279
Jim,Backus,1958,1980,1913,1989,USA,,281
Hermione,Baddely,1940,1964,,1986,,,283
Alan,Badel,1953,1980,1923,1982,Great Britain,,284
Jacob Henry,Baer,1949,1961,1915,,USA,,285
Max,Baer,1933,1958,1909,1959,USA,,287
Pearl,Bailey,1047,1976,1918,1990,USA,,288
Barbara,Bain,1971,1973,1932,,USA,,289
Fay,Bainter,1934,1962,1892,1968,USA,,290
Scott,Baio,1978,1982,1961,,USA,,291
Carrol,Baker,1953,1983,1931,,USA,,293
Diane,Baker,1959,1971,1936,,USA,,294
Hylda,Baker,1960,1973,1909,,Great Britain,,295
Joe Don,Baker,1967,1979,1943,,USA,,296
Josephine,Baker,1927,,1906,1975,USA,,297
Kenny,Baker,1936,1946,1912,,USA,,299
Sir Stanley,Baker,1941,1975,1927,1976,Great Britain,,301
Tom,Baker,1971,1975,1935,,Great Britain,,302
Bob,Balaban,1989,,1965,,USA,,303
Jill,Balcon,1947,,1925,,Great Britain,,304
Alec,Baldwin,1988,1990,,,,,307
Daniel,Baldwin,,,,,USA,,308
Stephen,Baldwin,,,1963,,USA,,309
William (Billy),Baldwin,1989,1990,1963,,USA,,310
Betty,Balfour,1928,1945,1903,,Great Britain,,311
Mireille,Balin,1933,1937,1909,1968,France,,312
Lucille,Ball,1933,1973,1910,1989,USA,,314
Vincent,Ball,1956,1960,,,Australia,,315
Catherine (Kaye),Balotta,1956,1980,1926,,USA,,316
Martin,Balsam, comfortable,1954,[4.152],1919,,,317
Anna Maria,Italiano, competent,1952,[4.35],1931,,,318
George,Bancroft,1921,1942,1882,1956,USA,,319
Tallulah,Bankhead,1918,1965,1902,1968,USA,,324
Leslie,Banks,1932,1950,1890,1952,Great Britain,,326
Vilma,Lonchit,1920,1933,1902,,Hungary,,327
Ian,Bannen,1955,1983,1928,,Great Britain,,328
John,Banner,1943,1971,1910,1973,Austria,,329
Theodosia,Goodman,1915,1926,1890,1955,USA,,330
Vanna,Barba,1992,,1967,,Greece,,333
Adrienne,Barbeau,1977,1982,1949,,USA,,334
George,Barbier,1924,1945,1865,1945,USA,,335
Camille,Javal,1954,1973,1933,,France,,337
Mijanou,Javal,1960,,,,France,,338
Marjorie,Fisher,1933,1962,1915,1989,USA,,340
Norah,Baring,1928,1933,1907,,Great Britain,,341
Erik,Barker,1937,1970,1912,,Great Britain,,342
Ronnie,Barker,1963,1979,1929,,Great Britain,,343
Alexander,Barker,1949,1952,,,USA,,344
Ellen,Barkin,1982,1989,1954,,USA,,345
Gitelle,Barnes,1931,1972,1905,1983,Great Britain,,348
Joanna,Barnes,1958,1970,1934,,USA,,350
Jean-Louis,Barrault,1935,1967,1910,1994,France,,358
Marie-Christine,Barrault,1969,1978,1944,,France,,359
Edith,Williams,1941,1956,1907,1977,USA,,360
Lucille,Kelly,1936,1940,1914,,USA,,361
Barbara,Barrie,1964,1980,,,USA,,362
Mona,Smith,1933,1953,1909,,Australia,,363
Wendy,Jenkins,1932,1954,1912,1978,Great Britain,,364
Edgar,Barrier,1940,1963,1906,1964,USA,,365
Eugene,Klass,1952,1979,1921,,USA,,368
Joan,Barry,1922,1934,1903,,Great Britain,,369
Diane Blanche,Barrymore Blythe,1942,1944,1921,1960,USA,,370
Drew,Barrymore,1982,1992,1976,,USA,,371
Edith Mae,Blythe,1914,1957,1879,1959,USA,,372
John,Blythe,1913,1942,1882,1942,USA,,373
John Drew,Blythe Barrymore,1950,1963,1932,,USA,,374
Lionel,Blythe,1938,1945,1878,1954,USA,,376
Doris,Rankin,,,,,USA,,377
Irene,Fenwick,,,1936,,USA,,378
Herbert,Blythe,,,,,USA,,379
Herbert,Blythe,,,,,USA,,380
Paul,Bartel,1972,1989,1940,,USA,,381
Richard,Barthelmess,1916,1942,1895,1963,USA,,383
Frederick,Llewellyn,1930,1951,1924,1992,Ireland,,384
Eva,Szoke,1951,1964,1926,,Hungary,,385
James,Barton,1923,1961,1890,1962,USA,,386
Richard,Basehart,1947,1982,1915,1984,USA,,387
Kim,Basinger, vulnerable looking lead,1982,,1953,1998,,389
William,Basie,,,,,USA,,390
Richard,Baskin,1975,1976,,,,,391
Alfie,Bass,1954,1967,,1987,,,392
Lena,Basquette, rebel,1916,,1907,,,393
Albert,Basserman,1913,1948,1867,1952,Germany,,394
Angela,Bassett,1991,1993,1958,,,,395
Alexandra,Bastedo,1963,1975,1946,,Great Britain,,397
Alan,Bates,1959,1983,1934,,Great Britain,,398
Florence,Rabe,1937,1953,1888,1954,USA,,400
Kathy,Bates,1982,1990,1958,,USA,,401
Michael,Bates,1955,1977,1920,1978,Great Britain,,402
Harry,Baur,1910,1942,1880,1943,France,,405
Barbara,Baxley,1958,1979,,,USA,,406
Alan,Baxter,1935,1971,1908,1976,USA,,407
Ann,Baxter, cold eyed schemer,1940,,1923,1985,,408
Feodora,Forde,1932,1951,1909,,Great Britain,,409
Warner,Baxter,1914,1950,1889,1951,USA,,410
Rosalba,Neri,1972,,,,Italy,,411
Nathalie,Baye,1950,1982,,,,,412
Geoffrey,Bayldon,1953,1983,1924,,Great Britain,,414
Stephanie,Beacham,1969,1980,1949,,Great Britain,,415
Alexander,Bliedung,1933,1983,1909,,USA,,416
Emanuelle,Beart,1985,1991,1965,d,France,,418
,The Beatles,1964,1981,1940,,Great Britain,,419
Ned,Beatty,1972,1983,133],1937,,,420
Robert,Beatty,1943,1973,1909,,Canada,,421
Warren,Beatty,1978,1998,1937,,USA,,422
Louise,Beavers,1929,1961,1902,1962,USA,,423
Sidney,Bechet,1930,,1892,1959,USA,,425
Jennifer,Beck,1976,,1974,,USA,,426
John,Beck,1969,1981,1943,,USA,,427
Michael,Beck,1977,1981,1948,,USA,,429
Scotty,Beckett,1934,1956,1929,1968,USA,,432
Reginald,Beckwith,1941,1965,1908,1965,Great Britain,,433
Don,Beddoe,1939,1969,1888,1979,USA,,434
Bonnie,Bedelia,1969,1990,1946,,USA,,435
Kabir,Bedi,1976,1983,1935,,India,,436
Alfonso,Bedoya,1947,1957,1904,1957,Mexico,,437
Noah,Beery,1918,1946,1884,1946,USA,,439
Noah,Beery~jr.,1920,1982,1913,1994,USA,,440
Wallace,Beery, ugly, slow-thinking,1916,1949,,,441
Ed,Begley,1947,1969,1901,1970,USA,,443
Ed,Begley~jr.,1972,1979,,,USA,,444
Harry,Belafonte,1953,1974,1927,,USA,,445
Barbara Geddes,Lewis,1947,,1927,,USA,,447
Ann,Bell,1962,1980,,,Great Britain,,448
James,Bell,1932,1963,1891,1973,USA,,449
Marie-Jeanne,Bellon-Downey,1928,1966,1900,1985,France,,450
Rex,Bell,1930,,,1962,USA,,451
Tom,Bell, lead,1961,,1933,,,452
Margaret,Philpott,1923,1928,1903,,USA,,453
Ralph,Bellamy,1931,1983,1904,1991,USA,,454
Harry,Bellaver, small-time gangster or cabbie,1940,,1905,,,455
Kathleen,Beller,1974,1983,1955,,USA,,456
Jean,Belmondo,1958,1983,1933,,France,,459
Lionel,Belmore,1915,1940,1867,1953,Great Britain,,461
John,Belushi,1978,1981,1949,1982,USA,,465
Robert,Benchley,1933,1946,1889,1945,USA,,469
William,Bendix,1942,1965,992],1906,1964,,470
Billy,Benedict, now cabby bartender,1935,,1906,,,471
Dirk,Niewoehner,1975,1983,1945,,USA,,472
Riccardo,Benedetto,1946,1960,1916,,USA,,474
Annette,Bening,1990,1991,,,USA,,475
Richard,Benjamin,1982,1993,,,,,476
Belle,Bennett,1914,1930,1889,1958,USA,,477
Barbara,Bennett,1929,1930,1902,1958,USA,,478
Belle,Bennett,1918,1931,1891,1932,USA,,479
Herman,Brix,1934,1961,1909,,USA,,480
Constance,Bennett,1922,1965,1904,1965,USA,,481
Hywel,Bennett,1966,1980,1944,,Great Britain,,482
Jill,Bennett, unusual,1953,,1944,1990,,483
Joan,Bennett,1915,1978,1910,1990,USA,,484
John,Bennett,1959,1977,1928,,Great Britain,,486
Marjorie,Bennett,1947,1976,1894,1982,USA,,487
Richard,Bennett,1923,1943,1873,1944,USA,,488
Anette,Benning,1993,,1958,,USA,,489
Benjamin,Kubelsky,1929,1967,1894,1974,USA,,490
Martin,Benson,1949,1981,1918,,Great Britain,,491
Robert,Segal,1973,1982,1956,,USA,,492
Michael,Bentine,1966,,1922,,Great Britain,,493
Tom,Berenger,1977,1983,1950,,USA,,497
Marisa,Berenson,1972,1981,1946,,,,498
Candice,Bergen,1966,1982,1946,,USA,,500
Nellie,Burgin,1950,1970,1929,,USA,,501
Helmut,Steinberger, handsome,1969,,1944,,,503
Senta,Berger,1957,1977,1941,,Austria,,505
Jacques,Bergerac,1957,1965,1927,,France,,508
Herbert,Berghof,1952,1980,1909,1990,Austria,,509
Ingrid,Bergman, strong beauty,1934,[4.662],1915,1982,,510
Elisabeth,Ettel,1924,1979,1898,1986,Germany,,515
Mendel,Berlinger,1937,1980,1908,,USA,,518
Israel,Baline,1943,,1888,,USA,,519
Jean,Berlin,1972,,,,USA,,520
Shelley,Berman,1964,1970,1926,,USA,,521
Sandra,Bernhard,1982,1992,,,USA,,524
Sarah,Bernhard, courtesan,1923,,1844,1923,,525
Herschel,Bernardi, beaming cop or gangster,1937,,1923,1986,,526
Rosalie,Bernard,1900,1923,1844,1923,France,,527
Jules,Paufichet, character,1934,,1883,1951,,531
Ken,Berry,1970,1974,1933,,USA,,532
Marina,Berti,1949,1977,1928,,Italy,,534
Eugenie,Besserer,1912,1933,1870,1934,USA,,536
Edna,Best,1921,1948,1900,1974,Great Britain,,537
Willie,Best,1930,1955,1916,1962,USA,,538
Turhan,Bey,,,,1995,,,541
Richard,Beymer,1952,1983,1939,,,,542
Daniela,Bianchi,1959,1968,1942,,,,543
Charles,Bickford, projected sincerity and warmth,1929,,1889,1967,,544
Theodore,Bikel, can play most nationalities,1951,,1924,,,547
Tony,Bill,1980,1993,,,USA,,548
Herman,Bing,explosive comedy,1929,,1889,1947,,550
Edward,Binns, character,1951,,,,,552
Julliette,Binoche,1987,,1964,,France,,553
Paul,Birch,1953,1967,1900,1969,USA,,554
Norman,Bird,1954,1981,1920,,Great Britain,,556
David,Birney,1973,1982,1944,,USA,,557
Jacqueline,Brown,1933,1957,1914,,USA,,560
Whit,Bissell,1943,1966,1919,1981,USA,,561
Jacqueline,Bisset,1964,1988,1944,,Great Britain,,562
Bill,Bixby,1962,1983,1934,1993,USA,,564
Gunnar,Gunnar Bjornstrand,1952,1982,,1986,Sweden,,565
Karen,Ziegeler,1967,1983,1942,,USA,,566
Honor,Blackman, `English rose', later kinky and judo,1978,[4.76],1926,,567
Joan,Blackman,1961,1966,1938,,USA,,568
Sidney,Blackmer,1929,1968,1895,1973,USA,,569
Ruben M,Blades,1988,1991,1948,,Panama,,570
Gerard,Blain,1954,1980,1930,,France,,571
Vivienne,Stapleton,1942,1983,1921,,USA,,572
Elizabeth,Boger,1947,1973,1923,,USA,,573
Martha,Lafferty,1941,1972,1921,,USA,,574
Linda,Blair,1974,1981,1959,,USA,,575
Amanda,Blake,1956,,,1989,,,576
Blossom,McDonald,,,1896,1978,USA,,578
Michael (Bobby),Gubitosi,1943,1983,1933,,USA,,579
Whitney,Blake,1959,,,,,,580
Colin,Blakely,1960,1983,1930,1987,Great Britain,,581
Susan,Blakely,1972,1980,1950,,USA,,582
Ronee,Blakley,1975,1981,1946,,USA,,583
Michel,Blanc,1985,,,,France,,584
Pierre,Blanchar,1923,1958,1892,1963,France,,585
Mary,Blanchard,1950,1964,1927,1970,USA,,587
Clara,Blandick, no-nonsense,1930,,1880,1962,,589
Elizabeth,Jung,1927,1949,1910,,USA,,590
Brian,Blessed,1970,1983,1937,,Great Britain,,594
Bernard,Blier,1967,,1916,,France,Pa(Bertrand Blier) Nt(one film only),595
Dan,Blocker,1963,1972,1928,1972,USA,,596
Joan,Blondell,1930,1979,236],1909,1979,,598
Claire,Bloom,1948,1981,1931,,Great Britain,,599
Verna,Bloom,1969,1980,,,USA,,600
Eric,Blore, eccentric types,1920,,1887,1959,,601
Monte,Blue,1916,1954,1890,1963,USA,,602
Ann,Blyth,1944,1957,1928,,USA,,603
Elizabeth Blythe,Slaughter,1920,1964,1893,1972,USA,,604
John,Blythe,1944,1969,1921,,Great Britain,,605
Eleanor,Boardman,1922,1934,1898,,USA,,606
Lloyd,Bochner,1963,1981,1924,,Canada,,608
Karlheinz,Boehm, handsome,1952,,1928,,,609
Derek,Van Den Bogaerd,1947,1981,1921,1999,Great Britain,,611
Humphrey DeForest,Bogart,,,1899,1957,USA,St(Santana),612
Roman,Bohnen,1937,1948,1894,1949,USA,,613
Curt,Bois,1937,1954,1900,,Germany,,615
Mary,Boland,1916,1950,1880,1965,USA,,616
Ray,Bolger,1936,1984,1904,1987,USA,,617
Tiffany,Bolling,1977,1977,,,USA,,618
Joseph,Bologna,1971,1979,1938,,USA,,619
Fortunio,Bonanova,1932,1969,1893,1969,Spain,,620
Derek,Bond,1946,1971,1919,,Great Britain,,621
Lillian,Bond,1931,1955,1910,,Great Britain,,622
Ward,Bond,1930,1960,1903,1960,USA,,624
Sergei,Bondartchuk,1959,1982,1920,,Russia,,626
Beulah,Bondy,1931,1971,1889,1981,USA,,627
Sandrine,Bonnaire,1983,1990,1967,,France,,629
Salvatore,Bono,,,1940,1998,,,632
,Bonzo,1951,1952,,,,,633
Pat,Boone,1957,1970,1934,,USA,,634
Richard,Boone, menacing roles,1951,,1917,1981,,635
John,Boorman,1965,1981,1933,,Great Britain,,636
David,Geeves-Booth,1960,1978,1930,,Great Britain,,638
Thelma Ford,Booth,1952,1973,1907,1992,USA,,639
Powers,Boothe,1980,1983,,,USA,,640
Veda,Borg,1936,1960,1915,1973,USA,,643
Victor,Borge,1943,,,,Denmark,,645
Ermes,Borgnino,1951,1984,1915,,USA,,647
Tom,Bosley,1946,1976,1927,,USA,,648
Barry,Bostwick, tall,1971,,1946,,,649
Joseph,Bottoms,1974,1981,1954,,USA,,651
Sam,Bottoms,1971,1979,1960,,USA,,652
Timothy,Bottoms,1971,1980,1949,,USA,,653
Barbara,Gutscher,1965,1976,1943,,Germany,,654
Michel,Bouquet,1947,1978,1926,,France,,658
Phillip,Bourneuf,1944,1970,1912,1979,USA,,660
Clara,Bow, the `it' girl,1922,[4.1144, 18.109],1905,,663
Dorris,Bowdon,1939,1942,1915,,USA,,664
David Robert,Jones, bizarrely decorated, makes curious forays,1983,,1947,,668
Judy,Bowker,1973,1981,1954,,Great Britain,,669
Lee,Bowman,1936,1964,1910,1979,USA,,670
Bruce,Boxleitner,1975,1983,1950,,USA,,671
William,Millar,1955,1977,1928,1977,Ireland,,674
William,Boyd,1919,1948,1895,1972,USA,,675
William `Stage',Boyd,1932,1933,,,USA,,676
Charles,Boyer,1920,1964,1899,1978,France,,677
Peter,Boyle, balding,1968,[4.119],1933,,,678
Reizel,Bozyk,1988,,1914,1993,Poland,,680
Marcel,Bozzuffi,1969,1981,1929,,France,,681
Eddie,Bracken,1940,1953,1920,,USA,,682
Alice,Brady, drab housewife,1916,,1892,1939,,685
Pat,Brady,,,,,USA,,686
Gerald,Tierney,1948,1971,1924,,,,688
Sonia,Braga,1988,,,,Great Britain,,689
Dame Lilian,Braithwaite,1915,1947,1873,1948,Great Britain,,690
Wilfrid,Brambell,1976,1968,1912,1985,USA,,691
Kenneth,Branagh,1989,1996,,,Ireland,Mt(Emma Thompson),692
Miriam,Brickman,1963,1977,,,Great Britain,,693
A.Wilford,Brimley,1982,1985,,,USA,,694
Neville,Brand, Red Indian, gangster,1980,,1921,,696
Klaus Maria,Brandauer,1983,1990,1944,,Germany,,697
Marlon,Brando,1961,,,,USA,,698
Henry,Kleinbach, menace,1934,,1912,,,699
Michael,Brandon,1970,1979,,,USA,,700
Betsy,Brantley,,,,,USA,,701
Claude,Brasseur,1960,1979,1936,,France,,702
Pierre,Brasseur,1928,1968,1903,1972,France,,703
Rossano,Brazzi,1948,1981,1916,,Italy,,704
El,Brendel, fake Swede,1926,,1890,1964,,707
Eileen,Brennan,1967,1980,1935,,USA,,708
Walter,Brennan,1929,1972,1894,1974,USA,,709
Eve,Brent,1955,1957,1930,,USA,,710
Mary Elizabeth,Riggs,1919,1948,1899,1975,USA,,711
George Brent,Nolan,1930,1978,1904,1979,Ireland,,712
Edmund,McLaverty, monocled, amiable bumbler,1951,,1882,,714
Felix,Bressart,1931,1949,1890,1949,Germany,,716
Jeremy,Huggins,1956,1977,1935,,Great Britain,,717
Jarn-Claude,Brialy,,,,,France,,718
David,Brian,1949,1970,1914,,USA,,719
Louise,Dantzler,1924,1948,1908,,USA,,720
Fanny,Borach,1933,1945,1891,1951,USA,,721
Beau,Bridges,1948,1980,1941,,USA,,723
Jeff,Bridges,1970,1982,1949,,USA,,724
Lloyd,Bridges, melodramas,1941,,1913,1998,,725
A. Wilford,Brimley,,,,,,,726
Carl,Pedersen,1927,1935,1895,1958,Denmark,,727
Maybritt,Wilkens,1952,1977,1933,,Sweden,,728
