"movie_id",,"stage_name","role_type","role_description","role_name"
"AA37","Libel","Millicent Martin",,,
"AA38","The Millionairess","Peter Sellers",,"poor Indian doctor",
"AA38","The Millionairess","Sophia Loren",,"millionairess, falls for doctor",
"AA38","The Millionairess","Alastair Sim",,,
"AA38","The Millionairess","Vittorio deSics",,,
"AA38","The Millionairess","Dennis Price",,,
"AA38","The Millionairess","Gary Raymond",,,
"AA38","The Millionairess","Alfie Bass",,,
"AA41","The VIPs","Richard Burton",,"delayed passenger",
"AA41","The VIPs","Elizabeth Taylor",,"delayed passenger",
"AA41","The VIPs","Maggie Smith",,,
"AA41","The VIPs","Rod Taylor",,,
"AA41","The VIPs","Margaret Rutherford",,,"AA"
"AA41","The VIPs","Louis Jordon",,,
"AA41","The VIPs","Elsa Martinelli",,,
"AA41","The VIPs","Orson Welles",,,
"AA41","The VIPs","Linda Chistian",,,
"AA41","The VIPs","Dennis Price",,,
"AA41","The VIPs","Richard Wattis",,,
"AA41","The VIPs","David Frost",,,
"AA41","The VIPs","Robert Coote",,,
"AA41","The VIPs","Joan Benham",,,
"AA41","The VIPs","Michael Hodern",,,
"AA41","The VIPs","Lance Percival",,,
"AA41","The VIPs","Martin Miller",,,
"AaB10","A Private Function","Michael Palin",,"podiatrist",
"AaB10","A Private Function","Maggie Smith",,"ambitious wife","BFA"
"AaB10","A Private Function","Denholm Elliott",,,"BFA"
"AaB10","A Private Function","Richard Griffiths",,,
"AaB10","A Private Function","Tony Haygarth",,,
"AaB10","A Private Function","Liz Smith",,,"BFA"
"AaB10","A Private Function","John Normington",,,
"AaB10","A Private Function",,"animal","fattened, unlicensed pig",
"AAd10","Shrek",,"voice only, narrator","Her","ogre"
"AAd10","Shrek","Eddie Murphy","voice only, narrator","Sdk","donkey"
"AAd10","Shrek","Cameron Diaz","voice only, narrator","princess","Leila"
"AAd10","Shrek",,"voice only, narrator","Vil","dragon, falls for donkey"
"AAd10","Shrek",,"voice only, narrator","Wmp","ambitious, short prince, delegates rescue to Shrek"
"AAd10","Shrek","Vicki Jenson",,,
"AAd10","Shrek","Kathleen Freeman","voice only, narrator","old woman",
"AAh10","Man of the Century","Gibson Frazier",,"out-of-sync newspaperman","Johnny Twennies"
"AAl6","The Four Seasons","Alan Alda",,"husband 1",
"AAl6","The Four Seasons","Carol Burnett",,"wife 1",
"AAl6","The Four Seasons","Len Cariou",,"husband 2",
"AAl6","The Four Seasons","Sandy Dennis",,"wife 2",
"AAl6","The Four Seasons","Rita Moreno",,,
"AAl6","The Four Seasons","Jack Weston",,"husband 3",
"AAl6","The Four Seasons","Besrmstrong",,"wife 3",
"AAl10","Sweet Liberty","Alan Alda","crook","professor, author",
"AAl10","Sweet Liberty","Michael Caine","villain","conceited movie star",
"AAl10","Sweet Liberty","Michelle Pfeiffer","savior","sympathetic movie star",
"AAl10","Sweet Liberty","Bob Hoskins","savior","cynical screenwriter, helpful",
"AAl10","Sweet Liberty","Lise Hilboldt","love interest","professor, has fling",
"AAl10","Sweet Liberty","Lillian Gish",,"mother",
"AAl10","Sweet Liberty","Saul Rubinek",,"cold director",
"AAl10","Sweet Liberty","Lois Chiles",,"actor's suspicious wife",
"AAl20","Betsy's Wedding","Molly Ringwald",,"bride","Betsy"
"AAl20","Betsy's Wedding","Alan Alda",,"down-on-his-luck contractor, father of the bride",
"AAl20","Betsy's Wedding","Joey Bishop",,"grandfather of the bride",
"AAl20","Betsy's Wedding","Madeleine Kahn",,"once-radical mother of the bride",
"AAl20","Betsy's Wedding","Ally Sheedy",,"sister of the bride, intelligent cop","Connie"
"AAl20","Betsy's Wedding","Anthony LaPaglia",,"Mafia businessman, loves Connie",
"AAl20","Betsy's Wedding","Julie Bovassa",,"grandmother of the bride",
"AAl20","Betsy's Wedding","Joe Pesci",,"sleazy uncle",
"AAl20","Betsy's Wedding","Catherine OHara",,"aunt",
"AAl20","Betsy's Wedding","Dylan Walsh",,"bridegroom",
"AAl20","Betsy's Wedding","Burt Young",,,
"AAn10","Gas Food Lodging","Brooke Adams",,"single mother",
"AAn10","Gas Food Lodging","Ione Skye",,"rebellious daughter",
"AAn10","Gas Food Lodging","Faraizu Baik",,"younger, dreamy daughter, narrates",
"AAn10","Gas Food Lodging","Donovan Leitch",,"cable TV installer",
"AAn12","Mi Vida Loca","Angel Avilea",,,
"AAn12","Mi Vida Loca","Seidy Lopez",,,
"AAn12","Mi Vida Loca","Jacob Vargas",,,
"AAn14","Four Rooms","Tim Roth",,"bell hop, Babysits","Ted"
"AAn14","Four Rooms","Sammi Davis",,"missing","Jezebel"
"AAn14","Four Rooms","Amanda deCadenet",,,"notesepisode1/episode/notes"
"AAn14","Four Rooms","Madonna",,"witch","Elspeth"
"AAn14","Four Rooms","Lili Taylor",,"witch","notesepisode1/episode/notes"
"AAn14","Four Rooms","Davis Proval",,"jealous husband","notesepisode2/episode/notes"
"AAn14","Four Rooms","Jennifer Beals",,,"notesepisode2 and 4/episode/notes"
"AAn14","Four Rooms","Antonio Banderas",,"latin tough guy","notesepisode3/episode/notes"
"AAn14","Four Rooms","Tamlyn Tomita",,"wife","notesepisode3/episode/notes"
"AAn14","Four Rooms","Danny Verduzo",,"misbehaving son","notesepisode3/episode/notes"
"AAn14","Four Rooms","Lana McKissack",,"misbehaving daughter","notesepisode3/episode/notes"
"AAn14","Four Rooms","Patricia Vonne Rodriguez",,"corpse","notesepisode3/episode/notes"
"AAn14","Four Rooms","Quentin Tarantino",,"obnoxious star","notesepisode4/episode/notes"
"AAn14","Four Rooms","Bruce Willis",,"friend","notesepisode4/episode/notes"
"AAn14","Four Rooms","Alicia Witt",,,"notesepisodeall 4/episode/notes"
"AAr10","Rock 'N Roll High School","P.J. Sales",,"leader",
"AAr10","Rock 'N Roll High School","Vincent VanPatten",,,
"AAr10","Rock 'N Roll High School","Clint Howard",,,
"AAr10","Rock 'N Roll High School","The Ramones",,"rock band",
"AAr10","Rock 'N Roll High School","Paul Bartel",,,
"AAr10","Rock 'N Roll High School","Mary Woronov",,"frustrated principal",
"AAr10","Rock 'N Roll High School","Alix Elias",,,
"AAr20","Heartbeeps","Andy Kaufman",,"amorous robot",
"AAr20","Heartbeeps","Bernadette Peters",,"amorous robot",
"AAr20","Heartbeeps","Randy Quaid",,,
"AAr20","Heartbeeps","Melanie Mayron",,,
"AAS10","Trapped in Space","Jack Wayne",,"irresponsible chief engineer","Mac"
"AAS10","Trapped in Space","Jack Coleman",,"isolated","Grant"
"AAS10","Trapped in Space","Craig Wasson",,"tough bosun","Palmer"
"AAS10","Trapped in Space","Kay Lenz",,"chief, protects her dog","Gillian"
"AAS10","Trapped in Space","Sigrid Thornton","victim","brave cadet, killed on space walk","Isaacs"
"AAS10","Trapped in Space","Kevin Colsonn","villain","demoted captain, abandones ship and crew","Howard"
"AAt10","A Place in the World","Gaston Batyi",,"young man, returns home",
"AAt10","A Place in the World","Jose Sacristan",,,
"AAt10","A Place in the World","Frederico Luppi",,,
"AAt10","A Place in the World","Cecilia Roth",,"first love","errorR(An)/error"
"AAt10","A Place in the World","Leonor Benedetto",,,
"AB2","Thais","Thais Galizky",,,
"AbA10","Il processo Clemenceau","Francesca Bertini",,,
"AbA10","Il processo Clemenceau","Gustavo Serena",,,
"AbA10","Il processo Clemenceau","Alfredo DeAntoni",,,
"AbA10","Il processo Clemenceau","Lido Manetti",,,
"AbA10","Il processo Clemenceau","Nella Montagna",,,
"AbA10","Il processo Clemenceau","Vittorio DeSica",,,
"ABd4","I Bury the Living","Richard Boone",,,
"ABd4","I Bury the Living","Theodore Bikel",,,
"ABe10","Ma Vie En Rose","Georges duFresne",,"little boy, thinks he's a girl",
"AbF10","Ms.~45","Zoe Tamerlis",,"mute, raped twice, revenges",
"AbF10","Ms.~45","Steve Singer",,,
"AbF10","Ms.~45","Jack Thibeau",,,
"AbF10","Ms.~45","Peter Yellen",,,
"AbF20","King of New York","Christopher Walken",,"drug lord",
"AbF25","Bad Luitenant","Harvey Keitel",,"cop gone awry",
"AbF25","Bad Luitenant","Zoe Lund",,"junkie girlfriend",
"AbF25","Bad Luitenant","Frankie Thorn",,"raped nun",
"AbF26","Dangerous Game","Madonna",,"star",
"AbF26","Dangerous Game","Harvey Keitel",,"director, confused",
"AbF26","Dangerous Game","James Russo",,,
"AbF27","Body Snatchers","Gabrielle Anwar",,"petulant teenager, attacked in sleep","Marti Malone"
"AbF27","Body Snatchers","Terry Kinney",,"father",
"AbF27","Body Snatchers","Meg Tilly",,"seductive stepmother",
"AbF27","Body Snatchers","Reilly Murphy",,"Marti's son",
"AbH1","Menace II Society",,"villain","black teen, murders",
"AbH1","Menace II Society",,"victim","Korean storekeeper, murdered",
"AbH1","Menace II Society",,"victim","Korean storekeeper's wife, murdered",
"ABi10","Burning Secret","Faye Dunaway","love interest","diplomat's wife",
"ABi10","Burning Secret","Klaus Maria Brandauer",,"romantic wounded baron",
"ABi10","Burning Secret","David Ebbets",,"asthmatic son",
"ABi10","Burning Secret","Ian Richardson",,"aging diplomat",
"ABi10","Burning Secret","John Nettleton","scientist","doctor",
"ABi10","Burning Secret","N. Ottering",,"concierge",
"ABi20","The Cement Garden","Andrew Robertson",,"miserable teenager, loves older sister","Jack"
"ABi20","The Cement Garden","Sinead Cusack",,"ailing mother",
"ABi20","The Cement Garden","Charlotte Gainsbourg",,"incestuous older sister",
"AbK15","Taste of Cherry","Homayoun Ershadi",,"prosperous man, plans suicide",
"AbK15","Taste of Cherry",,,"Kurdish soldier",
"AbK15","Taste of Cherry",,,"Afghani seminarian",
"AbK15","Taste of Cherry",,,"gregarious taxidermist",
"ABl10","Too Bad She's Bad","Sophia Loren",,"freeliving daughter",
"ABl10","Too Bad She's Bad","Vittorio deSica",,"accomplished pickpocket father",
"ABl10","Too Bad She's Bad","Marcello Mastroianni",,,
"ABn1","Crazy in Alabama","Melanie Griffith",,,
"ABo10","And God Spoke","Michael Riley",,"unlucky director","Clive Walton"
"ABo10","And God Spoke","Stephen Rappaport",,"failing epic producer","Marvin Handleman"
"ABo10","And God Spoke",,,"tatooed vrigin","Mary"
"AbP10","The Eyes of Youth","Clara Kimball Young",,"must choose among love, security,career",
"AbP10","The Eyes of Youth","Gareth Hughes",,"lover","errorR(An)/error"
"AbP10","The Eyes of Youth","Pauline Starke",,,
"AbP10","The Eyes of Youth","Sam Sothern",,"banker","errorR(An)/error"
"AbP10","The Eyes of Youth","Milton Sills",,,
"AbP10","The Eyes of Youth","Rudolfo Valentino",,,
"AbP50","Blind Man's Bluff","Basil Sidney",,"jealous doctor, cured of blindness",
"AbP50","Blind Man's Bluff","James Mason",,,
"AbP50","Blind Man's Bluff","Enid StampTaylor","suspect","wife",
"AbP50","Blind Man's Bluff","Barbara Greene",,,
"ABr1","Real Life","Albert Brooks",,"documentary movie director, frustrated, burns All-American house down",
"ABr1","Real Life","Frances Lee McCain","innocent, victim","All-American mother","Jeanette Yeager"
"ABr1","Real Life",,,"All-American father",
"ABr1","Real Life","Charles Grodin",,,
"ABr2","Modern Romance","Albert Brooks",,,
"ABr2","Modern Romance","Kathryn Harrold",,,
"ABr2","Modern Romance","Bruno Kirby",,,
"ABr2","Modern Romance","James L. Brooks",,,
"ABr2","Modern Romance","Meadowlark Lemon",,,
"ABr2","Modern Romance","George Kennedy",,,
"ABr2","Modern Romance","Super Dave Osborne",,"sporting goods salesman",
"ABr3","Lost in America","Albert Brooks",,"ad exec, escapes job in RV",
"ABr3","Lost in America","Julie Hagerty","victim","wife, loses nest egg",
"ABr3","Lost in America","Garry K. Marshall","ruler","casino boss",
"ABr3","Lost in America","Art Frankel",,"job counselor",
"ABr4","Defending Your Life","Albert Brooks","victim","yuppie adman, died untimely",
"ABr4","Defending Your Life","Lee Grant",,"heavenly judge",
"ABr4","Defending Your Life",,"ruler","heavenly prosecutor",
"ABr4","Defending Your Life","Meryl Streep","innocent","dead perfect mother",
"ABr4","Defending Your Life","Rip Torn",,"defense lawyer",
"ABr4","Defending Your Life","Shirley MacLaine","cameo, role","believer",
"ABr7","Mother","Debbie Reynolds","innocent","befuddled mother","GGN"
"ABr7","Mother",,,"son, writer, moves back home",
"ABr9","The Muse","Jennifer Tilly",,"ditzy movie starlet",
"ABu10","Just Between Friends","Mary Tyler Moore",,"disatisfied houswife",
"ABu10","Just Between Friends","Ted Danson",,,
"ABu10","Just Between Friends","Christine Lahti",,"lesbian love",
"ABu10","Just Between Friends","Sam Waterston",,"older husband, dies","errorR(An)/error"
"ABu10","Just Between Friends","Salome Jens",,,
"ABW40","Busman's Honeymoon","Robert Montgomery",,"landlord",
"ABW40","Busman's Honeymoon","Constance Cummings",,"bride","errorSp(An)/error"
"ABW40","Busman's Honeymoon","Seymour Hicks",,"comic",
"ABW40","Busman's Honeymoon","Leslie Banks",,"husband",
"ABW40","Busman's Honeymoon","Robert Newton",,,
"ABW40","Busman's Honeymoon","Googie Withers",,,
"ABW40","Busman's Honeymoon","Frank Pettingell",,,
"ABz10","Portrait of a Hitman","Jack Palance","villain",,
"ABz10","Portrait of a Hitman","Richard Roundtree","villain",,
"ABz10","Portrait of a Hitman","Ann Turkel",,,
"ABz10","Portrait of a Hitman","Bo Svenson",,,
"ABz10","Portrait of a Hitman","Rod Steiger",,,
"AC5","Don Juan","John Barrymore","villain","rogue","Don Juan"
"AC5","Don Juan","Mary Astor",,,"Lucretia Borgia"
"AC5","Don Juan","Warner Oland",,,
"AC5","Don Juan","Estelle Taylor",,,
"AC5","Don Juan","Myrna Loy",,,
"AC5","Don Juan","Phyllis Haver",,,
"AC5","Don Juan","Willard Louis",,,
"AC5","Don Juan","Montague Love",,,
"AC6","The Beloved Rogue","John Barrymore","crook","rogue, befriends king","Francois Villon"
"AC6","The Beloved Rogue","Conrad Veidt","ruler","king","Louis XI"
"AC6","The Beloved Rogue","Marceline Day","love interest",,
"AC6","The Beloved Rogue","Mack Swain",,,
"AC6","The Beloved Rogue","Slim Summerville",,,
"AC7","In Old San Francisco","Anna May Wong","villain","villain",
"AC7","In Old San Francisco","Sojin",,,
"AC8","The Jazz Singer","Al Jolson","crook","boy singer, cantor's son",
"AC8","The Jazz Singer","May McAvoy",,,
"AC8","The Jazz Singer","Warner Oland",,,
"AC8","The Jazz Singer","Eugenie Besserer",,,
"AC8","The Jazz Singer","Otto Lederer",,,
"AC9","Glorious Betsy","Conrad Nagel",,"Napoleons younger brother",
"AC9","Glorious Betsy","Dolores Costello",,"Baltimore beauty",
"AC9","Glorious Betsy","John Miljan",,,
"AC9","Glorious Betsy","Marc McDermott",,,
"AC9","Glorious Betsy","Betty Blythe",,"princess","Fredericka von Wurttemberg"
"AC9","Glorious Betsy","Paul Panzer",,,
"AC9","Glorious Betsy","Michael Vavitch",,,
"AC9","Glorious Betsy","Pasquale Amato","ruler","emperor","Napoleon"
"AC20","The Great Impersonation","Edmund Lowe",,"German, impersonates British nobleman",
"AC20","The Great Impersonation","Valerie Hobson",,"nobleman's wife","errorR(An)/error"
"AC20","The Great Impersonation","Vera Engels",,,
"AC20","The Great Impersonation","Henry Mollison",,,
"AC20","The Great Impersonation","Lumsden Hare",,,
"AC20","The Great Impersonation","Spring Byington",,,
"AC20","The Great Impersonation","Charles Waldron",,,
"AC20","The Great Impersonation","Dwight Frye",,,
"ACa40","Went the Day Well?","Leslie Banks","crook","villager, resists paratroopers",
"ACa40","Went the Day Well?","Elizabeth Allen",,,
"ACa40","Went the Day Well?","Frank Lawton",,,
"ACa40","Went the Day Well?","Basil Sidney",,,
"ACa40","Went the Day Well?","Valerie Taylor",,,
"ACa40","Went the Day Well?","Mervyn Johns",,,
"ACa40","Went the Day Well?","Edward Rigby",,,
"ACa40","Went the Day Well?","Marie Lohr",,,
"ACa40","Went the Day Well?","C.V. France",,,
"ACa40","Went the Day Well?","David Farrar",,,
"ACa50","Dead of Night","Mervyn Jones",,"architect, dreams",
"ACa50","Dead of Night","Roland Culver","victim","psychiatrist, killed",
"ACa50","Dead of Night","Mary Merrall",,,
"ACa50","Dead of Night","Judy Kelly",,,
"ACa50","Dead of Night","Anthony Baird",,,"notesepisodeRoom for One More/episode/notes"
"ACa50","Dead of Night","Miles Malleson",,,"notesepisodeRoom for One More/episode/notes"
"ACa50","Dead of Night","Sally Ann Howes",,,"notesepisodeMurdered Child/episode/notes"
"ACa50","Dead of Night","Frederick Valk",,,
"ACa50","Dead of Night","Googie Withers",,,"notesepisodeMirror of Crime/episode/notes"
"ACa50","Dead of Night","Ralph Michael",,,"notesepisodeMirror of Crime/episode/notes"
"ACa50","Dead of Night","Esm'e Percy",,,
"ACa50","Dead of Night","Basil Radford",,,"notesepisodeGolfer's Story/episode/notes"
"ACa50","Dead of Night","Naunton Wayne",,,"notesepisodeGolfer's Story/episode/notes"
"ACa50","Dead of Night","Michael Redgrave",,"schizophrenic ventriloquist","notesepisodeVentriloquist/episode/notes"
"ACa50","Dead of Night","Hartley Power",,"rival","notesepisodeVentriloquist/episode/notes"
"ACa50","Dead of Night","Frederick Valk",,"psychoanalyst","notesepisodeVentriloquist/episode/notes"
"ACa50","Dead of Night","Elizabeth Welch",,,
"ACa60","Nicholas Nickleby","Derek Bond",,"schoolmaster, joins entertainer",
"ACa60","Nicholas Nickleby","Cedric Hardwicke",,"mean uncle, usurer",
"ACa60","Nicholas Nickleby","Alfred Drayton",,"helper, adopted, turns out to be cousin","errorR(An)/error"
"ACa60","Nicholas Nickleby","Sybil Thorndyke",,"deceived mother","errorR(An)/error"
"ACa60","Nicholas Nickleby","Stanley Holloway",,"traveling entertainer","errorR(An)/error"
"ACa60","Nicholas Nickleby","Sally Ann Howes",,"innocent sister, being bartered","Kathy"
"ACa60","Nicholas Nickleby","Jill Balcon",,"love, forced to marry uncle to save father","errorR(An)/error"
"ACa60","Nicholas Nickleby","Cyril Fletcher",,"rich wimp","errorR(An)/error"
"ACa60","Nicholas Nickleby","Fay Compton",,"aunt","errorR(An)/error"
"ACa60","Nicholas Nickleby",,,"father, dies prior to marriage",
"ACa60","Nicholas Nickleby",,,"maltreated servant, revenges",
"ACf10","Leave it to Beaver","Cameron Finley",,"kid","Beaver"
"ACf10","Leave it to Beaver","Christopher McDonald",,,"Ward"
"ACf10","Leave it to Beaver","Janine Turner",,,"June"
"ACf10","Leave it to Beaver","Erik vonDetten",,,"Wally"
"AcG10","Fedora, or Piu Forte dell'Odio e Amore","Pina Menichelli",,,
"ACj110","I Can Take Care of Myself","Myron McCormick",,"piano player",
"ACj110","I Can Take Care of Myself","Frankie Darro",,"mobster, punched",
"ACj110","I Can Take Care of Myself","Linda Lawson",,"beautiful singer, insults mobster, killed",
"ACj110","I Can Take Care of Myself","Pat Harrington~jr.",,"goon, pretends to sell life insurance",
"ACj110","I Can Take Care of Myself","Will Kuluva",,"goon, pretends to be detective","errorR(An)/error"
"ACj110","I Can Take Care of Myself","Leonard Weinrib",,"nightclub owner","errorR(An)/error"
"ACj110","I Can Take Care of Myself","Edmon Ryan",,,
"ACj110","I Can Take Care of Myself","William Sharon",,"back-up pianist",
"ACj111","The Money","Robert Loggia",,"ingratiating bookie",
"ACj111","The Money","Doris Dowling",,"money-hungry girlfriend",
"ACj111","The Money","Will Kuluva",,"father's friend, importer",
"ACj111","The Money","Wolfe Barzell",,"importer's collegue",
"ACj111","The Money","Monica May",,"importer's secretary",
"ACj112","The Man Who Found The Money","Arthur Hill",,"gambler, finds and turns in money clip, accused",
"ACj112","The Man Who Found The Money","R.G. Armstrong",,"police captain",
"ACj112","The Man Who Found The Money","Rod Cameron",,"clip's owner",
"ACj113","The Kiss Off","Rip Torn",,"falsely convicted, takes revenge",
"ACj113","The Kiss Off","Mary Munday",,"witness in tax office",
"ACj113","The Kiss Off","Ken Patterson",,"teller, held up",
"ACj113","The Kiss Off","Florence McMichael",,"wife",
"ACj113","The Kiss-Off","Harry Swooger",,"surly taxi-driver, witness",
"ACj113","The Kiss Off","Don Keefer",,"desk clerk","errorR(An)/error"
"ACj113","The Kiss-Off","Frank Sully",,"cop","errorR(An)/error"
"ACj113","The Kiss-Off","Bert Freed",,"district attorney, concedes","Cooper"
"ACj114","Deathmate","Lee Phillips",,"handsome con-man",
"ACj114","Deathmate","Gia Scala",,"mistress",
"ACj114","Deathmate","Les Tremaye",,"wimpy husband, suspect, murdered",
"ACj114","Deathmate","Ann Stanton",,,
"ACj114","Deathmate","Russell Collins",,"detective",
"ACj115","Gratitude","Peter Falk",,"racketeer, fears death",
"ACj115","Gratitude","Paul Hartman",,"devoted valet, shoots boss",
"ACj115","Gratitude","Edmund Haskin",,"police luitenant, after gamblers","errorR(An)/error"
"ACj115","Gratitude","John Dennis",,"racketeer","errorR(An)/error"
"ACj115","Gratitude","Bert Rensen",,,
"ACj115","Gratitude","Karl Lukas",,,
"ACj115","Gratitude","Ada Stewart",,"gambles",
"ACj115","Gratitude","Phil Gordon",,,
"ACj115","Gratitude","Clegg Hoyt",,,
"ACj116","The Gloating Place","Susan Harrison",,"fakes assault, strangled",
"ACj117","Servant Problem","John Emery",,"has to cook for party",
"ACj117","Servant Problem","Jo vanFleet",,"boozy wife, shows up",
"ACj117","Servant Problem","Alice Frost",,"influential guest",
"ACj118","The Hat Box","Paul Ford",,"professor, murder suspect",
"ACj118","The Hat Box","Billy Gray",,"cheating student",
"ACj118","The Hat Box","Frank Maxwell",,"police agent, mollified",
"ACj119","Keep Me Company","Anne Francis","innocent","bored wife",
"ACj119","Keep Me Company","Edmund Hashim","villain","works late, robber",
"ACj119","Keep Me Company","Jack Ging","agent","detective",
"ACj120","Beta Delta Gamma","Duke Howard",,"beery student",
"ACj120","Beta Delta Gamma","Burt Brinckerhoff",,"challenged",
"ACj121","The Right Kind of Medicine","Robert Redford",,"burglar, kills cop, clerk",
"ACj121","The Right Kind of Medicine","Russell Collins",,"pharmacist, makes mistake in prescription",
"ACj121","The Right Kind of Medicine","George Clarke",,"unsavory doctor",
"ACj121","The Right Kind of Medicine","Joby Baker",,"phramacist's clerk, shot",
"ACj121","The Right Kind of Medicine","Bernard Kates",,"witness",
"ACj121","The Right Kind of Medicine","King Calder",,"police luitenant, gloats",
"ACj121","The Right Kind of Medicine","Bob Karnes",,"police sergeant",
"ACj121","The Right Kind of Medicine","Bert Remsen",,"cop with cough",
"ACj121","The Right Kind of Medicine","Harry Swoger",,"neighbor",
"ACj122","The Case of M.J.H.","Barbara Baxley",,"lonely assistamt",
"ACj122","The Case of M.J.H.","Ted Newton",,"psychiatrist boss",
"ACj122","The Case of M.J.H.","Robert Loggia",,"petty crook, blackmails",
"ACj122","The Case of M.J.H.","Richard Gaines",,"blackmailed, kills crook",
"ACj123","The Woman Who Wanted to Live","Lola Allbright",,"accosted",
"ACj123","The Woman Who Wanted to Live","Charles Bronson",,"escaped convict",
"ACj124","Apex","Mark Miller",,"unfaithful husband",
"ACj124","Apex","Vivienne Segal",,"rich wife, poisoned",
"ACj124","Apex","Pat Breslin",,"wife's friend, mistress, deceives lover, killed",
"ACj125","The Big Kick","Brian Hutton",,"beatnik",
"ACj125","The Big Kick","Anne Helm",,"beatnik",
"ACj125","The Big Kick","Wayne Rogers",,"older guy, deceives, kills",
"ACj126","The Night of the Owl","Brian Keith",,"protective forest ranger, blackmailed",
"ACj126","The Night of the Owl","Patricia Breslin",,"wife",
"ACj126","The Night of the Owl","Claudia Cravey",,"adopted",
"ACj127","House Guest","Robert Sterling",,"rescuer",
"ACj127","House Guest","Billy Mumy",,"saved son",
"ACj127","House Guest","MacDonald Carey",,"father",
"ACj127","House Guest","Peggy McKay",,"mother",
"ACj127","House Guest",,,"camper, in on scam",
"ACj128","Last Seen Wearing Bluejeans","Michael Wilding","innocent","British tourist","nSaunders"""
"ACj128","Last Seen Wearing Bluejeans","Anna Lee","innocent","Sav","observant wife"
"ACj128","Last Seen Wearing Bluejeans","Katherine Crawford","innocent","Vic","daughter, becomes witness to murder"
"ACj128","Last Seen Wearing Bluejeans","Randy Boone","victim","helpful ranch kid, threatened","Pete Tanner"
"ACj128","Last Seen Wearing Bluejeans","Jamenderson","villain","crooked cafe owner","Vince Cates"
"ACj128","Last Seen Wearing Bluejeans","Jesse Jacobs","villain","chop shop operator, kills delivery guy","nGrosse"""
"ACj128","Last Seen Wearing Bluejeans","Frank Albertson","agent, villain","crooked local cop","Batterman"
"ACj128","Last Seen Wearing Bluejeans","Russ Conway","agent","Sav","helpful customs police"
"ACj128","Last Seen Wearing Bluejeans","Karl Lukas","savior","Pete's father, rancher","nMel Tanner"""
"ACj128","Last Seen Wearing Bluejeans","Rose Montiel","savior","helpful Mexican waitress","nMaria"""
"ACl10","Rita, Sue and Bob Too","George Costigan",,"middle-class Don Juan",
"ACl10","Rita, Sue and Bob Too","Siobhan Finneran",,"teenager, lover","Rita"
"ACl10","Rita, Sue and Bob Too","Michelle Holmes",,"teenager, lover","Sue"
"ACl10","Rita, Sue and Bob Too","Lesley Sharp",,,
"ACl10","Rita, Sue and Bob Too","Kulvinder Ghir",,,
"ACt10","Fiend Without a Face","Marshall Thompson",,"scientist, threatened",
"ACu15","Murder, Obliquely","Laura Dern",,"loves Dwight","Annie"
"ACu15","Murder, Obliquely","Alan Rickman",,"engaged","Dwight"
"ACu15","Murder, Obliquely","Diane Ladd",,"fiancee, disappears",
"ACu20","The Little Princess","Liesel Mathews",,"exuberant girl","Sara Crewes"
"ACu20","The Little Princess","Eleanor Brown",,"headmistress","Miss Minchin"
"ACu23","Great Expectations","Gwyneth Paltrow",,"cold, beautiful duchess, disrobed","Estella"
"ACu23","Great Expectations","E-than Hawke",,"painter","Finn"
