Barton MacLane,1924-1969,MacLane,Barton,M,1900,1969,"R:crooked cop, sheriff or ganster",\Am,,Aw(DeMille Lifetime Award 1998),
Douglass MacLean,1919-1925,MacLean,Douglass,M,1890,1967,R:silent comedian,\Am,,,
Micheal MacLiammoir,1952-1971,MacLiammoir,Micheal,M,1899,1978,R:character,\Ir,,,
Jena Malone,1997,Jena,Malone,F,1984,199x,R:lonely girl,\Un,,
Aline MacMahon,1931-1963,MacMahon,Aline,F,1899,199x,"R:sad-faced, gentle-mannered",\Am,,Er(alice: DoD1991),
Horace MacMahon,1937-1968,MacMahon,Horace,M,1907,1971,R:character,\Am,,,
Fred MacMurray,1934-1978,MacMurray,Fred,M,1907,1991,"R:likeable, durable",\Am,[4.5][4.10],Mainly(TV) Ww(Wilder) Mt(June Haver),
Robert MacNaughton,,,,M,[1],199x,RU:,\Un,,
Patrick MacNee,1943-1984,MacNee,Patrick,M,1922,199x,R:smooth,\Br,,,
Kristy MacNichol,,MacNichol,Kristy,F,1976,199x,R:juvenile,\Am,,,
Peter MacNicol,,,,M,[1],199x,RU:,\Un,,
Norman Macowan,1948-1960,Macowan,Norman,M,1877,1961,R:character,\Br ; Scots,,,,,
Douglas MacPhail,1936-1942,MacPhail,Douglas,M,1910,1944,R:singer,\Am,,,
Elle MacPherson,1991,MacPherson,Elle,F,1966,199x,R:model,\Am,"ER(dob 1964, Ct=\Au)",
Jeanie MacPherson,1908-1937,MacPherson,Jeanie,F,1878,1946,RU:,\Am,,,
Duncan Macrae,1947-1967,Macrae,Duncan,M,1905,1967,R:craggy-faced,\Br(Scot),
Gordon Macrae,1948-1956,Macrae,Gordon,M,1921,1986,R:singer,\Am,,,
Michael Macrae,,,,M,[1],199x,RU:,\Un,,
George Macready,1942-1971,MaCready,George,M,1909,1973,"R:villain, neurotic or weakling",\Am,[18.186],,,
Bill Macy,1975-1983,Macy,Bill,M,1922,199x,R:character,\Am,,,
William H. Macy,1991-1997,Macy,William H. Macy,M,,199x,R:character,\Am,,,
stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Donald Madden,1972,,,M,[1],1983,RU:,\Un,,
Peter Madden,1948-1966,Madden,Peter,M,1905,1976,R:gaunt,\Br,,,
Victor Maddern,1949-1967,Maddern,Victor,M,1926,199x,R:stocky,\Br,,,
Amy Madigan,,,,F,[1],199x,RU:,\Un,,
Guy Madison,1944-1978,Moseley,Robert,M,1922,199x,R:lead,\Am,[4.942],,,
Noel Madison,1930-1949,Moscovitch,Nathaniel,M,1898,1975,"R:sinister, ganster",\Am,,,
Madonna,1990,Ciccone,fn,F,1959,199x,R:sexy singer,\Am,,Mt(Sean Penn),
Patrick Magee,1960-1980,Magee,Patrick,M,1924,1982,R:sinister,\Br,,,
Anna Magnani,1934-1969,Magnani,Anna,F,1907,1973,R:volatile,\It,,,
George Maharis,1960-1982,Maharis,George,M,1928,199x,R:intense-looking,\Am,,,
Jock Mahoney,1949-1978,O\'Mahoney,Jacques,M,1919,199x,R:athletic,\Am,,,
John Mahoney,,,,M,[1],199x,RU:,\Un,,
Marjorie Main,1933-1956,Tomlinson,Mary,F,1890,1975,R:character,\Am,,,
Marne Maitland,1950-1976,Maitland,Marne,M,1920,199x,R:sinister oriental,\Br-In,,,
Lee Majors,1967-1981,Majors,Lee,F,1940,199x,R:lead,\Am,,,
Eliot Makeham,1932-1956,Makeham,Eliot,M,1882,1956,R:character,\Br,,,
Chris Makepeace,,,,,[1],199x,RU:,\Un,,
Mako,1966-1981,,,M,,,R:character,\Ja-\Am,,,
Mala,1932-1952,Wyse,Ray,M,1906,1952,RU:,Eskimo,,,
Patrick Malahide,,,,M,[1],199x,RU:,\Un,,
John Malcolm,,,,M,[1],199x,RU:,\Un,,
Karl Malden,1940-1983,Sekulovich,Malden,M,1913,199x,R:police inspector,\Am,,Ww(Hitchcock),
Laurent Malet,,,,M,[1],199x,RU:,\Un,,
John Malkovich,1989,Malkovich,John,M,[1],199x,R:cool lead,\Am,,Mt(Glenne Headly) Lw(Michelle Pfeiffer),
Miles Malleson,1931-1965,Malleson,Miles,M,1888,1969,R:long-lived lead,\Br,,Also(W),
Tania Mallett,,,,F,[1],199x,RU:,\Un,,
Boots Mallory,1932-1937,Mallory,Patricia,F,1913,1958,R:lead,\Am,,"Mt(William Cagney, Herbert Marshall)",
Gina Malo,1932-1940,Flynn,Janet,F,1909,1963,R:lead,\Ir-\Ge-\Am,,Mt(Romney Brent),
Dorothy Malone,1943-1980,Maloney,Dorothy,F,1925,1993+,R:sultry blonde,\Am,,,
Eily Malyon,1934-1946,Malyon,Eily,,1879,1961,R:character,\Br,,,
Nick Mancuso,1978-1983,Mancuso,Nick,M,1956,199x,R:heavy-set,\Ca,,,
Robert Mandan,,,,M,[1],199x,RU:,\Un,,
Miles Mander,1925-1946,Mander,Lionel,M,1888,1946,R:character,\Br,,Ww(Hitchcock),
Silvana Mangano,1947-1987,Mangano,Silvana,F,1937,1989,R:earthy beauty,\It,,Mt(DeLaurentiis) Pa(Frederico Mangano; D),
Karin Mani,,,,F,[1],199x,RU:,\Un,,
Hank Mann,1936-1940,Liebermann,David,M,1887,1971,R:gargantuan,\Am,,,
Guido Mannari,,,,M,[1],199x,RU:,\Un,,
David Manners,1930-1936,\BN{deRyther Duan Acklom,Rauff,M,1901,199x,R:lead,\Ca,,,
Lucie Mannheim,1935-1965,Mannheim,Lucie,F,1895,1976,R:character,\Ge,,Mt(Marius Goring) Ww(Hitchcock),
Ettori Manni,1952-1976,Manni,Ettori,M,1927,1979,RU:,\It,,,
Irene Manning,1937-1948,Harvuot,Inez,F,1917,199x,R:lead,\Am,,,
Dinah Manoff,,,,F,[1],199x,RU:,\Un,,
Jayne Mansfield,1955-1967,Palmer,Vera Jane,F,1932,1967,"R:blonde, ample",\Am,[34.254],Ww(Hitchcock) Mt(Mickey Hargitay),
Clelia Mantania,,,,F,[1],199x,RU:,\Un,,
Paul Mantee,1964-1980,Marianetti,Paul,M,1936,199x,R:general purose,\Am,,,
Joe Mantell,,,,M,[1],199x,RU:,\Un,,
Kiti Manver,,,,F,[1],199x,RU:,\Un,,
Leslie Manville,,,,,[1],199x,RU:,\Un,,
Linda Manz,1978-1980,Manz,Linda,F,1961,199x,R:lead,\Am,,,
David Manzy,,,,M,[1],199x,RU:,\Un,,
Adele Mara,1942-1959,Delgado,Adelaida,F,1923,199x,R:lead,\Sp-\Am,,,
Jean Marais,1943-1949,Marais-Villain,Jean,M,1913,199x,"R:romantic, detective",\Fr,[4.777],,,
Marcel Marceau,,Marceau,Marcel,M,[1],199x,R:mime,\Fr,,,
Sophie Marceau,1995-1999,Marceau,Sophie,F,1967,199x,R:teenager,\Fr,,,
Fredric March,1929-1973,Bickel,Frederick McIntyre,M,1897,1975,R:intelligent integrity,\Am,[4.254][9.192],Mt(Florence Eldridge),
Hal March,1950-1964,March,Hal,M,1920,1970,R:comic,\Am,,,
Jane March,1992,March,Jane,F,1973,,R:sexy,\Br,,,
Corinne Marchand,1962-1970,Marchand,Corinne,F,1928,199x,R:lead,\Fr,,,
Henri Marchand,1931-1956,Marchand,Henri,M,1898,1959,R:comedy,\Fr,,,
Nancy Marchand,,,,F,[1],199x,RU:,\Un,,Cit(2),
Andrea Marcovicci,,,,F,[1],199x,R:singer,\Am,,Lw(Henry Jaglom),
Theodore Marcuse,1965-1967,Marcuse,Theodore,M,1920,1967,R:shaven-pated,\Am,,,
Janie Mareze,1931,Mar\`eze,Janie,F,19aa,199x,R:sr,\Fr,,,
Arthur Margetson,1931-1944,Margetson,Arthur,M,1897,1951,R:supporting,\Br,,,
Margo,1933-1963,Boldao y Castillo,Marguerita Maria Guadelupe,F,1918,199x,R:dancer,\Sp,,,
Janet Margolin,1962-1989,Margolin,Janet,F,1943,1993,R:suffering lead,\Am,[4.222],,,
Stuart Margolin,1972-1981,Margolin,Stuart,M,1940,199x,R:character,\Am,,"Si(Arnold Margolin;W,D)",
Michael Margotta,,,,M,[1],199x,RU:,\Un,,Cit(1),
Cheech Marin,1978-1983,Marin,Richard,M,[1],199x,R:crazy comic,,,,,
Jacques Marin,1974-1977,Marin,Jacques,,1919,199x,R:character,\Fr,,,
Rikki Marin,,,,F,[1],199x,RU:,\Un,,Cit(1),
Howard MarionCrawford,1932-1966,Marion-Crawford,Howard,M,1914,1969,"R:jovial, beefy, sproting",\Br,,,
Jane March,1994,bn,gn,F,1973,199x,R:sr,\Am,,,
Jane Marken,1915-1958,Marken,Jane,F,1895,199x,R:character,\Fr,,,
Enid Markey,1915-1918,Markey,Enid,F,1890,1981,R:jungle girl,\Am,,Nt(first Jane of Tarzan),
Kika Markham,1972-1981,,,F,[1],199x,RU:,\Un,,Cit(2),
Monte Markham,1971-1973,Markham,Monte,M,1935,199x,R:lead,\Am,,,
Ted Markland,,,,M,[1],199x,RU:,\Un,[4.237],Cit(0),
John Marley,1952-1980,Marley,John,M,1916,199x,R:character,\Am,,,
Hugh Marlowe,1937-1968,Hipple,Hugh,M,1911,1982,RU:,\Am,,Ww(Hitchcock),
Scott Marlowe,1957-1961,Marlowe,Scott,M,,,R:juvenile,\Am,,,
Percy Marmont,1925-1956,Marmont,Percy,M,1883,1977,R:romantic,\Br,,,
Evaristo Marquez,,,,M,[1],199x,RU:,\Un,,Cit(1),
Sally Marr,,,,F,[1],199x,RU:,\Un,,Pt(Lenny Bruce)Cit(1),
Kenneth Mars,1967-1979,Mars,Kenneth,M,1936,199x,R:character comedian,\Am,[4.87],,,
Carol Marsh,1947-1959,Simpson,Norma,F,1926,199x,R:lead,\Br,,,
Garry Marsh,1930-1955,Geraghty,Leslie March,M,1902,1981,"R:robust, balding",\Br,[4.753],,,
Mae Marsh,1912-1960,Marsh,Mary Warne,F,1895,1968,"R:lead, silent",\Am,,,
Marion Marsh,1931-1942,Krauth,Violet,F,1913,199x,R:lead,\Am,,,
Alan Marshal,1936-1959,Marshal,Alan,M,1909,1961,R:light romantic,\Au,,,
Arthur Marshal,1959,Marshal,Arthur,M,,1989,RU:,\Ct,,,
Brenda Marshall,1939-1950,Marshall,Brenda,F,1915,199x,R:lead,\Am,,Mt(William Holden),
Bryan Marshall,,,,M,[1],199x,RU:,\Un,,Cit(1),
Connie Marshall,1944-1950,Marshall,Connie,F,1938,199x,R:child,\Am,,,
Don Marshall,,,,M,[1],199x,RU:,\Un,,
E.G. Marshall,1945-1983,Marshall,Everett G.,M,1910,1998,R:dignified professional,\Am,,Ww(Hitchcock) Also(TV) Noted(dob stated 1914; ignored first name),
Herbert Marshall,1927-1965,Marshall,Herbert,M,1890,1966,R:one-legged playboy,\Br,,Ww(Hitchcock),
James Marshall,1992,Marshall,James,M,1967,199x,R:rebel,\Am,,Cit(1),
Ken Marshall,,,,M,[1],199x,RU:,\Un,,Cit(1),
Penny Marshall,,,,F,[1],199x,RU:,\Un,,Mt(Rob Reiner) Cit(0),
Sarah Marshall,1963,,,F,[1],199x,R:young,\Am,[34.261],Ww(Hitchcock),
Tully Marshall,1915-1942,Phillips,William,M,1864,1943,R:silent,\Am,[77.17]
Zena Marshall,1945-1962,Marshall,Zena,F,1926,199x,R:lead,\Br,,,
AnneMarie Martin,1984,Martin,Anne-Marie,F,1957,199x,R:ty,\Am,,Mt(M.Crichton),
ChrisPin Martin,1934-1953,Martin,Chris-Pin,M,1894,1953,R:rotund,Yaqui \In,,,
Dean Martin,1949-1978,Crocetti,Dino,M,1917,199x,R:spoofing singer,\Am,,,
Dewey Martin,1949-1972,Martin,Dewey,M,1923,199x,R:lead,\Am,,,
Dick Martin,1968-1972,Martin,Dick,M,1923,199x,R:comic,\Am,,Ww(Dan Rowan),
Edie Martin,1949-1955,Martin,Edie,F,1880,1964,"R:frail, tiny old lady",\Br,,,
Jean Martin,1966,,,M,[1],199x,RU:,\Fr,[4.162],Cit(1),
Marion Martin,1940-1954,Martin,Marion,F,1916,199x,R:blond showgirl,\Am,,,
Mary Martin,1939-1979,Martin,Mary,M,1913,1990,R:musical comedy,\Am,,,
Millicent Martin,1960-1969,Martin,Millicent,F,1934,199x,R:songstress,\Br,,,
Pamela Sue Martin,1971-1979,Martin,Pamela,F,,,R:teenage detective,\Am,,,
Ross Martin,1955-1970,Rosenblatt,Martin,M,1920,1981,R:character,\Po-\Am,,,
Steve Martin,1978-1991,Martin,Steve,M,1945,199x,R:comic,\Am,[4.538],Mt(Victoria Tennant) InB(Albert Brooks),
Strother Martin,1950-1979,Martin,Strother,M,1920,1980,R:grizzled westerns,\Am,[4.63],,,
Tony Martin,1936-1957,Norris,Alfred,M,1912,199x,"R:cabaret singer, lead",\Am,,,
Elsa Martinelli,1955-1968,Martinelli,Elsa,F,1933,199x,R:lead,\It,,,
Frederick Martini,,,,M,[1],199x,RU:,\Un,,
Nino Martini,1935-1948,Martini,Nino,M,1904,1976,RU:,\It,,,
Al Martino,,,,M,[1],199x,RU:,\Un,,
Leslie Martinson,,Martinson,Leslie H.,F,,,RU:,\Un,,Also(D),,Lee Marvin,1951-1983,Marvin,Lee,M,1924,1987,R:ruthless-looking hulk -,\Am,,"Ph(6'2.5"", 180lbs)",cr
Chico Marx,1929-1957,Schoenberg,Leonard,M,1886,1961,R:zany pianist,\Am,,,
Groucho Marx,1929-1974,Schoenberg,Julius,M,1890,1977,"R:zany, cynical",\Am,[4.699],"Pa(Arthur Marx) Aw(AA lifetime, 1947)",
Harpo Marx,1925-1961,Schoenberg,Adolph (Arthur),M,1888,1964,"R:childish, mute",\Am,,,
Gummo Marx,1929-1961,Schoenberg,Milton,M,1893,1977,R:zany,\Am,,,
Zeppo Marx,1929-1933,Schoenberg,Herbert,M,1901,1979,R:romantic,\Am,,,
Marx Brothers,,Brooks,Marx,G,[1],199x,RU:,\Un,,Nt(see individually) Aw(AFI#20),
Ron Masak,,,,M,[1],199x,RU:,\Un,,
Giulietta Masina,1947-1969,Masina,Giulietta,F,1921,199x,R:gamin-like,\It,,Mt(Federico Fellini),
Johnny Mask,,,,M,[1],199x,RU:,\Un,,
Virginia Maskell,1957-1968,Maskell,Virginia,F,1936,1968,R:soulful eyes,\Br,,,
Henry Mason,,,,M,[1],199x,RU:,\Un,[4.192],,,
Hilary Mason,1973,,,F,[1],199x,RU:,\Un,[4.193],,,
Jack Mason,,,,M,[1],199x,RU:,\Un,,
James Mason,1935-1984,Mason,James,M,1909,1984,R:saturnine,\Br,[4.546],Ww(Hitchcock),
Marsha Mason,1966-1983,Mason,Marsha,F,1942,199x,R:lead,\Am,,Mt(Neil Simon),
Shirley Mason,1915-1929,Flugrath,Leona,F,1900,1979,"R:lead, silent",\Am,,,
Lea Massari,1958-1979,Massari,Lea,F,1933,199x,R:lead,\Fr-\It,,,
Osa Massen,1939-1950,Massen,Osa,F,1915,199x,RU:,\Da,,,
Anna Massey,1958-1979,Massey,Anna,F,1937,199x,R:character,\Br,,Nt(Mrs.Danvers on TV:Rebecca) Ww(Hitchcock) Si(Daniel Massey),
Daniel Massey,1957-1980,Massey,Daniel,M,1933,199x,RU:,\Br,,Ch(Raymond Massey),
Edith Massey,1972-1974,Massey,Edith,F,,1993,R:weird,\Ct,,,,,
Ilona Massey,1935-1959,Hajmassey,Ilona,F,1912,1974,R:lead,\Hu,,,
Raymond Massey,1931-1973,Massey,Raymond,M,1896,1983,R:saturnine,\Ca,"[4.1037,1152]",,,
Paul Massie,1957-1962,Massie,Paul,M,1932,199x,RU:,\Ca,,,
Mary Stuart Masterson,1974-1992,,,F,1967,199x,RU:,\Un,"Ch(Peter Masterson; D, Carlin Glynn; A)",
Peter Masterson,,,,M,[1],199x,RU:,\Un,,
Sean Masterson,,,,M,[1],199x,RU:,\Un,,
Mary Elizabeth Mastrantonio,,,,F,[1],199x,RU:,\Un,,
Chiara Mastroianni,1992-1997,Mastroianni,Chiara,F,1972,199x,"Ch(Marcello Mastroianni, Catherine Deneuve)",
Marcello Mastroianni,1947-1992,Mastroianni,Marcello,M,1923,199x,R:charmer,\It,,,
Richard Masur,1975-1984,Masur,Richard,M,,199x,R:plump,\Am,,,
Clelia Matania,1973,,,F,[1],199x,RU:,\Un,[4.193],,,
Julian Mateus,,,,M,[1],199x,RU:,\Un,,
Aubrey Mather,1931-1958,Mather,Aubrey,M,1885,1958,R:bald butler,\Br,,,
James Mathers,,,,M,[1],199x,RU:,\Un,,
Murray Matheson,1952-1967,Matheson,Murray,M,1912,199x,R:soft-spoken,\Br,,,
Tim Matheson,1965-1983,Matthieson,Tim,M,1926,199x,R:lead,\Am,,Type(TV) Also(P),
Kerwin Mathews,1955-1978,Mathews,Kerwin,M,1926,199x,R:lead,\Am,,,
Walter Matthau,1955-1983,Mathasschanskayasky,Walter,M,1920,199x,R:wry,\Am,[4.814],Ww(Hitchcock; TV),
A.E. Matthews,1914-1960,Matthews,A.E.,M,1869,1960,"R:romantic, later crotchety",\Br,,,
Jessie Matthews,1923-1979,Matthews,Jessie,F,1907,1981,R:vivacious,\Br,,,
Lester Matthews,1931-1951,Matthews,Lester,M,1900,1975,RU:,\Br,,,
Peter Matthey,,,,M,[1],199x,RU:,\Un,,Cit(1),
Robin Mattson,,,,F,[1],199x,R:sexy,\Am,,,
Victor Mature,1939-1979,Mature,Victor,M,1915,199x,R:stylish hunk,\Am,,,
Billy Mauch,1937,Mauch,William,M,1925,199x,R:sr,\Ct,,Si(Bobby Mauch),
Bobby Mauch,1937,Mauch,Robert,M,1925,199x,R:sr,\Ct,,Si(Billy Mauch),
Cyril Maude,1930,Fn,Gn,M,,199x,RU:,\Un,Mainly(stage),
Carmen Maura,1986-1988,,,F,[1],199x,R:sexy,\Sp,,,
Nicole Maurey,1951-1962,Maurey,Nicole,F,1925,199x,R:lead,\Fr,,,
Edwin Maxwell,1927-1947,Maxwell,Edwin,M,1886,1948,"R:stocky, balding",\Am,,,
Elsa Maxwell,1939-1943,Maxwell,Elsa,F,1883,1963,R:dumpy columnist,\Am,,,
Lois Maxwell,1947-1980,Hooker,Lois,F,1927,199x,R:secretary,\Ca,,Er(dow-x),
Marilyn Maxwell,1942-1964,Maxwell,Marvel,F,1921,1972,R:blonde singer,\Am,,,
Elaine May,1967-1972,May,Elaine,F,1932,199x,R:cabaret star,\Am,,"Also(W,D)",
Mathilda May,1990,May,Mathilda,F,1965,199x,R:dancer,\Ge,,Er(org),
Russ Mayberry,,Maxwell,Russ,M,[1],199x,RU:,\Un,,
Eddie Mayehoff,1951-1965,Mayehoff,Eddie,M,1911,199x,"R:comic, band leader",\Am,,,
Peter Mayhew,1980,,,M,[1],199x,R:speaking animal,\Am,,Cit(2)
Bill Maynard,1969-1976,Maynard,Bill,M,1928,199x,R:massive comic,\Br,,,
Ken Maynard,1924-1945,Maynard,Ken,M,1895,1973,R:cowboy,\Am,,,
Ferdy Mayne,1944-1983,Mayer-Boerckel,Ferdinand,M,1916,199x,R:smooth villain,\Ge,,,
Virginia Mayo,1943-1978,Jones,Virginia,F,1920,1995+,R:peaches and cream,\Am,,,
Mike Mazurki,1941-1971,Mazurwski,Mikhail,M,1909,199x,R:massive,\Ru (Ukranian),
Melanie Mayron,,,,F,[1],199x,R:teenager,\Am,[4.229],Cit(6),
Paul Mazursky,1969-1986,Mazursky,Paul,M,1938,199x,R:cameos,\Am,,,
Marianne McAndrew,1969-1971,McAndrew,Marianne,F,1938,199x,R:lead,\Am,,,
Ray McAnnely,dow,McAnnely,Ray,M,19aa,1989,R:sr,\Ct,,,
Andrea McArdle,,,,F,[1],199x,RU:,\Un,,
May McAvoy,1917-1929,McAvoy,May,F,1901,199x,R:lead,\Am,,,
Diane McBain,1960-1964,McBain,Diane,F,1941,199x,R:lead,\Am,,,
Donald McBride,1938-1955,McBride,Donald,M,1894,1957,R:character comedian,\Am,,,
Marcia McBroom,,,,F,[1],199x,RU:,\Un,,
Frances Lee McCain,,,,F,[1],199x,RU:,\Un,,
Irish McCalla,,,,F,[1],199x,RU:,\Un,,
Lon McCallister,1937-1954,McCallister Jnr,Herbert Alonzo,M,1923,199x,R:callow,\Am,,,
David McCallum,1956-1983,McCallum,David,M,1933,199x,R:slightly built juvenile lead,\Br; Scots,,,,,
John McCallum,1944-1971,McCallum,John,M,1917,199x,R:lead,\Au,[4.526],Mt(Googie Withers),
Neil McCallum,1962-1964,McCallum,Neil,M,1929,1976,R:beefy,\Ca,,,
Mercedes McCambridge,1950-1979,McCambridge,Mercedes,F,1918,199x,"R:intense, unpredictable",\Am,,,
Andrew McCarthy,,,,M,[1],199x,RU:,\Un,,
Kevin McCarthy,1952-1983,McCarthy,Kevin,M,1914,199x,"R:lead, character",\Am,,,
Rue McClanahan,,,,,[1],199x,RU:,\Un,,
Fergus McClelland,,,,M,[1],199x,RU:,\Un,,
Sean McClory,1949-1968,McClory,Sean,M,1923,199x,RU:,\Ir,,,
Doug McClure,1959-1976,McClure,Doug,M,1935,199x,R:lead,\Am,,,
Marc McClure,,,,M,[1],199x,RU:,\Un,,
Keith McConnell,,,,M,[1],199x,RU:,\Un,,
Richard McConnell,,,,M,[1],199x,RU:,\Un,[4.123],,,
Kent McCord,,,,M,[1],199x,RU:,\Un,,
Patty McCormack,1956-1968,McCormack,Patty,F,1945,199x,R:juvenile,\Am,,,
F.J. McCormick,1937-1946,Judge,Peter,M,1891,1947,R:character,\Ir,,,
Myron McCormick,1937-1961,McCormick,Myron,M,1908,1962,R:wry-faced,\Am,[4.39],,,
Pat McCormick,,,,,[1],199x,RU:,\Un,,
Alec McCowen,1957-1983,McCowen,Alec,M,1925,199x,R:youthful,\Br,,Ww(Hitchcock),
Tim McCoy,1926-1965,McCoy,Tim,M,1891,1978,R:cowboy,\Am,,,
Van McCoy,,,,M,[1],199x,RU:,\Un,,
Jeff McCracken,,,,M,[1],199x,RU:,\Un,,
Jody McCrea,1963,McCrea,Jody,M,,,R:athletic,\Am,,Ch(Joel McCrea),
Joel McCrea,1929-1976,McCrea,Joel,M,1905,1990,R:athletic,\Am,,,,
Hattie McDaniel,1933-1952,McDaniel,Hattie,M,1895,1952,"R:cheerful, immense presence, servant",\Am,,,
Hugh McDermott,1938-1972,McDermott,Hugh,M,1908,1972,R:hearty transatlantic type,\Br; Scots,,,,,
Ruth McDevitt,1962-1974,McDevitt,Ruth,F,1895,1976,R:character,\Am,,,
Marie McDonald,1942-1963,Frye,Marie,F,1923,1965,R:luscious,\Am,,,
Kit McDonough,,,,M,[1],199x,RU:,\Un,,
Betty McDowall,1957-1976,McDowall,Betty,F,,199x,R:wife,\Au,,,
Malcolm McDowell,1967-1983,McDowell,Malcolm,M,1943,199x,R:fashionable,\Br,[4.212],Mt(Mary Steenburgen),
Roddy McDowall,1936-1982,McDowall,Roddy,M,1928,199x,R:child,\Br,[4.137],,,
John McEnery,1968-1978,McEnery,John,M,1945,199x,R:lead,\Br,,,
Peter McEnery,1960-1978,McEnery,Peter,M,1940,199x,R:lead,\Br,,,
Arnie McEnroe,,,,M,[1],199x,RU:,\Un,,
Spanky McFarland,1933-1943,McFarland,George Emmett,M,1928,1993,R:child,\Am,,,
Spanky McFarland,1974,differentname,gn,M,,,R:alien?,\Am,,,
Darren McGavin,1946-1980,McGavin,Darren,M,1922,199x,R:character lead,\Am,,,
Vonetta McGee,1969-1978,McGee,Vonetta,F,,,RU:,\Am,,,
Everett McGill,,,,M,[1],199x,RU:,\Un,,
Ted McGinley,,,,M,[1],199x,RU:,\Un,,
John McGiver,1957-1975,McGiver,John,M,1913,1975,"R:worried, owl-like",\Am,,,
Frank McGlynn,1931-1940,McGlynn,Frank~sr,M,1867,1951,R:president,\Am,,,
Patrick McGoohan,1955-1983,McGoohan,Patrick,M,1928,199x,R:lead,\Am,,,
Elizabeth McGovern,1980-1983,McGovern,Elizabeth,F,1961,199x,R:lead,\Am,,,
Alec McGowan,,,,M,[1],199x,R:police chief,\Br,,Ww(Hitchcock) T(Bond's Q),
Ali McGraw,1969-1992,McGraw,Ali,F,,,R:lead,\Am,,\Mt(Steve McQueen),
Charles McGraw,1943-1976,McGraw,Charles,M,1914,1980,R:tough roles,\Am,,,
Angela Punch McGregor,,,,F,[1],199x,RU:,\Un,,
Julie McGregor,,,,F,[1],199x,RU:,\Un,,
Biff McGuire,1955-1976,McGuire,Biff,M,1926,199x,R:character,\Am,,Ww(Hitchcock),
Bill McGuire,,,,M,[1],199x,RU:,\Un,,
Don McGuire,1948-1982,McGuire,Don,M,1919,199x,R:dull,\Am,,"Mainly(W,D)",
Dorothy McGuire,1943-1983,McGuire,Dorothy,F,1919,199x,"R:gentle, sympathetic",\Am,,,
Marlena McGuire,,,,F,[1],199x,RU:,\Un,,
Stephen McHattie,1970-1982,McHattie,Stephen,M,,,R:lean,\Am,,,
Frank McHugh,1928-1967,McHugh,Frank,M,1899,1981,R:amiable,\Am,,,
John McIntire,1950-1981,McIntire,John,M,1907,199x,"R:spare, laconic",\Am,,Ww(Hitchcock),
Michael McKean,,,,M,[1],199x,RU:,\Un,,
Lonette McKee,,,,F,[1],199x,RU:,\Un,,
Ian McKellen,1969-1983,McKellen,Sir Ian,M,1935,199x,RU:,\Br,,,
Siobhan McKenna,1948-1965,McKenna,Siobhan,F,1923,1986,R:fiery,\Ir,,,
T.P. McKenna,1970-1979,McKenna,T.P.,M,,199x,R:general purpose,\Ir,,,
Virginia McKenna,1952-1977,McKenna,Virginia,F,1931,199x,"R:demure, spirited",\Br,,Mt(Bill Travers),
Kate McKenzie,,,,F,[1],199x,RU:,\Un,,
Leo McKern,1955-1981,McKern,Reginald,M,1920,199x,R:character,\Au,,,
Norman McKinnel,,,,M,[1],199x,RU:,\Un,,
Bill McKinney,,,,,[1],199x,RU:,\Un,,
