stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
William Baldwin,1989-1990,Baldwin,William (Billy),M,1963,199x,RU:,USA,,Si(Alec Baldwin),
Betty Balfour,1928-1945,Balfour,Betty,F,1903,199x,R:comedienne,Great Britain,,Ww(Hitchcock),
Mireille Balin,1933-1937,Balin,Mireille,F,1909,1968,R:lead,\Fr,,,
Florinda Balkan,1970-1975,,,F,[1],199x,R:mistress,,,,
Lucille Ball,1933-1973,Ball,Lucille,F,1910,1989,R:comedienne,USA,,"In(Hitchcock) Mt(Desi Arnaz, Gary Morton)",
Vincent Ball,1956-1960,Ball,Vincent,M,*,199x,RU:,Australia,,,
Kay Ballard,1956-1980,Balotta,Catherine (Kaye),F,1926,199x,R:comedienne,USA,,,,
Martin Balsam,1954-1982,Balsam,Martin,M,1919,199x,"R:quiet, comfortable",USA,[4.152],,,
Anne Bancroft,1952-,Italiano,Anna Maria,F,1931,199x,"R:warm, competent",\Un,[4.35],,,
George Bancroft,1921-1942,Bancroft,George,M,1882,1956,R:burly,USA,[4.1122],,,
Antonio Banderas,,,,M,[1],199x,RU:,\Un,,
Victor Banerjee,,,,M,[1],199x,RU:,\Un,,
Donatas Banionis,,,,M,[1],199x,RU:,\Un,,
Alex Bank,,,,M,[1],199x,RU:,\Un,Er(name),
Tallulah Bankhead,1918-1965,Bankhead,Tallulah,F,1902,1968,R:theatrical,USA,,Ww(Hitchcock),
Aaron Banks,,,,M,[1],199x,RU:,\Un,,
Leslie Banks,1932-1950,Banks,Leslie,M,1890,1952,R:tough sophisticate,Great Britain,,Ww(Hitchcock),
Vilma Banky,1920-1933,Lonchit,Vilma,F,1902,199x,R:silent,\Os-\Hu,Mt(Rod LaRoque),
Ian Bannen,1955-1983,Bannen,Ian,M,1928,199x,R:effective,Great Britain,,,
John Banner,1943-1971,Banner,John,M,1910,1973,R:German sergeant,\Po-USA,,Ww(Hitchcock),
Theda Bara,1915-1926,Goodman,Theodosia,F,1890,1955,R:vamp,USA,,,,
Olga Baraclanova,,,,F,[1],199x,RU:,\Un,,
Christine Baranski,,,,F,[1],199x,RU:,\Un,,
Vanna Barba,1992,Barba,Vanna,F,1967,199x,R:sexy,\Gr,,,
Adrienne Barbeau,1977-1982,Barbeau,Adrienne,F,1949,199x,R:lead,USA,,,
George Barbier,1924-1945,Barbier,George,M,1865,1945,R:blustery kind man,USA,,,
Joyce Barbour,1936,,,F,"[1,6]",199x,RU:,\Un,,Ww(Hitchcock),
Brigitte Bardot,1954-1973,Javal,Camille,F,1933,199x,R:sexy,\Fr,,"Mt(Roger Vadim; P, Jaques Charnier; A, Gunther Sachs; A. Bernard dOrmale)",
Mijanou Bardot,1960,Javal,Mijanou,F,,199x,R:sexy,\Fr,,Si(Brigitte Bardot),
Sonny Barger,,,,M,[1],199x,RU:,\Un,,
Lynn Bari,1933-1962,Fisher,Marjorie,F,1915,1989,R:pert,USA,,,
Norah Baring,1928-1933,Baring,Norah,F,1907,199x,R:lead,Great Britain,,Ww(Hitchcock),
Erik Barker,1937-1970,Barker,Erik,M,1912,199x,R:character,Great Britain,[4.837],,,
Ronnie Barker,1963-1979,Barker,Ronnie,M,1929,199x,R:portly,Great Britain,,,
Lex Barker,1949-1952,Barker,Alexander,M,,199x,R:ape man,USA,[9.318],,,
Ellen Barkin,1982-1989,Barkin,Ellen,F,1954,199x,R:sexy wives,USA,,Lw(Gabriel Byrne),
Marcie Barkin,1975,,,F,[1],199x,RU:,\Un,,Cit(1),
Mikhail Barishnikov,1979,,,M,[1],199x,R:dancer,\Ru,,Cit(1),
Binnie Barnes,1931-1972,Barnes,Gitelle,F,1905,1983,R:light,Great Britain,,,
Jake Barnes,,,,M,[1],199x,RU:,\Un,,
Joanna Barnes,1958-1970,Barnes,Joanna,F,1934,199x,R:cool,USA,,,
Julian Barnes,,,,M,[1],199x,RU:,\Un,,
Priscilla Barnes,,,,F,[1],199x,RU:,\Un,,
Charlie Barnett,,,,M,[1],199x,RU:,\Un,,
Nella Barnier,,,,F,[1],199x,RU:,\Un,,
Sandy Baron,,,,,[1],199x,RU:,\Un,,
Pierre Barouh,,,,M,"[1,6]",199x,RU:,\Un,,
Maria Barranco,,,,F,"[1,6]",199x,RU:,\Un,,
JeanLouis Barrault,1935-1967,Barrault,Jean-Louis,M,1910,1994,R:stage actor,\Fr,,Also(D) Mt(Madelaine Renaud),
MarieChristine Barrault,1969-1978,Barrault,Marie-Christine,F,1944,199x,RU:,\Fr,,"Ch(Si(JeanLouis Barrault)) Mt(, Roger Vadim)",
Edith Barrett,1941-1956,Williams,Edith,F,1907,1977,R:secondary,USA,,Mt(Vincent Price),
Judith Barrett,1936-1940,Kelly,Lucille,F,1914,199x,R:B-movie lead,USA,,,
Barbara Barrie,1964-1980,Barrie,Barbara,F,,199x,R:pert,USA,,,
Mona Barrie,1933-1953,Smith,Mona,F,1909,199x,R:ladylike,Australia,,,
Wendy Barrie,1932-1954,Jenkins,Wendy,F,1912,1978,R:lead,Great Britain,,,
Edgar Barrier,1940-1963,Barrier,Edgar,M,1906,1964,R:suave villain,USA,,,
Maurice Barrier,1982,,,M,[1],199x,RU:,\Fr,,Cit(1),
George Barris,1979,,,M,"[1,6]",199x,RU:,\Un,Cit(1),
Gene Barry,1952-1979,Klass,Eugene,M,1921,199x,R:poised,USA,,Also(P) Pa(Michael Barry (D)),
Joan Barry,1922-1934,Barry,Joan,F,1903,199x,R:lead,Great Britain,,Nt(Anny Odra's voice in Blackmail),
Diane Barrymore,1942-1944,Barrymore Blythe,Diane Blanche,F,1921,1960,R:unhappy,USA,,Ch(John Barrymore) Ch(Michael Strange= Blanche Oelrichs),
Drew Barrymore,1982-1992,Barrymore,Drew,F,1976,199x,R:determined child,USA,,Ch(John Barrymore~jr)<),
Ethel Barrymore,1914-1957,Blythe,Edith Mae,F,1879,1959,R:regal presence,USA,,"Ch(Maurice Barrymore, Georgiana Drew) Si(John Barrymore, Lionel Barrymore) Ww(Hitchcock) ER(fn)",
John Barrymore,1913-1942,Blythe,John,M,1882,1942,R:churlish grandpa,USA,,"St(MGM) Si(Ethel B., Lionel Barrymore) Pa(Diana B., John Drew B.) Mt(Michael Strange, Dolores Costello)",
John Barrymore~jr.,1950-1963,Blythe Barrymore,John Drew,M,1932,199x,R:weakling,USA,,"Ch(John Barrymore, Dolores Costello) Mt(Cara Williams)",
John Barrymore~III,,,,M,,199x,RU:,\Un,,
Lionel Barrymore,1909-1953,Blythe,Lionel,M,1878,1954,R:churlish grandpa?,USA,[4.942],"Si(Ethel, John B.) St(Biograph (1909),MGM(1926)) Mt(Doris Rankin, Irene Fenwick)Ty(Dr.Gillespie) Also(W,D)",
Doris Rankin,,Rankin,Doris,[6],,,RU:,USA,,Mt(Lionel Barrymore (1904-1923)),
Irine Fenwick,,Fenwick,Irene,[6],1936,,RU:,USA,,Mt(Lionel Barrymore (!923-1936)),
Maurice Barrymore,,Blythe,Herbert,M,"[1,6]",199x,R:[stage],USA,,"Mt(Georgiana Drew) Pa(Ethel Barrymore, John Barrymore, Lionel Barrymore)",
Georgiana Drew,,Blythe,Herbert,M,"[1,6]",199x,R:[stage],USA,,"Mt(Maurice Barrymore) Si(John Drew) Pa(Ethel Barrymore, John Barrymore, Lionel Barrymore)",
Paul Bartels,1976-1981,Bartels,Paul,M,1940,199x,R:wild,USA,,Also(D),
Eddie Barth,1979,,,M,[1],199x,RU:,\Un,,Cit(1),
Richard Barthelmess,1916-1942,Barthelmess,Richard,M,1895,1963,R:presentable innocent,USA,,Also(P),
Freddie Bartholomew,1930-1951,Llewellyn,Frederick,M,1924,1992,R:well-bred child,\Ir,,,
Eve Bartok,1951-1964,"Sj\""oke",Eva,F,1926,199x,R:agreeable,\Hu,,"Mt(Alexander Paal, William Wordsworth, Curt Jurgens)",
James Barton,1923-1961,Barton,James,M,1890,1962,R:grubby,USA,,,
Richard Basehart,1947-1982,Basehart,Richard,M,1915,1984,R:thoughtful,USA,,,
Tony Basil,1969,,,M,[1],199x,RU:,\Un,,Cit(1),
Kim Basinger,1982-1989,Basinger,Kim,F,1953,1998x,"R:stunning, vulnerable looking lead",USA,,Mt(Alec Baldwin),
Count Basie,dow,Basie,William,M,19aa,199x,R:musician,USA,,,
Richard Baskin,1975-1976,Baskin,Richard,M,,199x,RU:,\Un,,
Alfie Bass,1954-1967,Bass,Alfie,M,19aa,1987,R:sr,,,,
Lina Basquette,1916-1928,Basquette,Lena,F,1907,199x,"R:dancer, rebel",USA,,"Mt(Sam Warner, Pev Marley, Ray Hallam, Teddy Hayes(*2) Henry Mollison) Lw(Kuri Huirichi, Warner Gilmore) Nt(interview 1988)",
Albert Basserman,1913-1948,Basserman,Albert,M,1867,1952,R:sympathetic,\Ge,,Ww(Hitchcock),
Angela Bassett,1991-1993,Bassett,Angela,F,1958,199x,R:mother,\Un,,Cit(1),
Steve Bassett,1983,,,M,[1],199x,RU:,\Un,,Cit(1),
Alexandra Bastedo,1963-1975,Bastedo,Alexandra,F,1946,199x,R:lead,Great Britain,,,
Alan Bates,1959-1983,Bates,Alan,M,1934,199x,R:thoughtful tough,Great Britain,,,
Barbara Bates,1949,,,F,[1],199x,RU:,\Un,,
Florence Bates,1937-1953,Rabe,Florence,F,1888,1954,R:matron (friendly or fiendish),USA,,Ww(Hitchcock),
Kathy Bates,1982-1990,Bates,Kathy,F,1958,199x,R:plump,USA,,Cit(2),
Michael Bates,1955-1977,Bates,Michael,M,1920,1978,R:stupid policeman,Great Britain,,,
Belinda Bauer,1983-1990,,,F,[1],199x,R:dancer,USA,,Cit(3),
Steven Bauer,1983-1986,,,M,[1],199x,RU:,\Un,,Cit(2),
Harry Baur,1910-1942,Baur,Harry,M,1880,1943,R:celebrated,\Fr,,Nt(imprisoned 1940),
Barbara Baxley,1958-1979,Baxley,Barbara,F,,199x,R:gorgeous,USA,,Ww(Hitchcock),
Alan Baxter,1935-1971,Baxter,Alan,M,1908,1976,R:colonel,USA,,,
Anne Baxter,1940-1983,Baxter,Ann,F,1923,1985,"R:shy innocent, cold eyed schemer",USA,,Ww(Hitchcock) Ch(ch(Frank Lloyd Wright)) Mt(John Hodiak),
Jane Baxter,1932-1951,Forde,Feodora,F,1909,199x,R:gentle-mannered,Great Britain,,,
Warner Baxter,1914-1950,Baxter,Warner,M,1889,1951,R:distinguished,USA,,,
Sarah Bay,1972,Neri,Rosalba,F,[1],199x,RU:,\It,,,,,
Nathalie Baye,1950-1982,Baye,Nathalie,F,[1],199x,RU:,\Un,,"Also(W,P)",
Gary Bayer,,,,M,[1],199x,RU:,\Un,,
Geoffrey Bayldon,1953-1983,Bayldon,Geoffrey,M,1924,199x,R:lanky excentric,Great Britain,,,
Stephanie Beacham,1969-1980,Beacham,Stephanie,F,1949,199x,R:lead,Great Britain,,,
John Beal,1933-1983,Bliedung,Alexander,M,1909,199x,R:boyish innocence,USA,,,
Jennifer Beals,,,,F,[1][1],199x,RU:,\Un,,
Emanuelle Beart,1985-1991,B\'eart,Emanuelle,F,1965,\Und,R:naive beauty,\Fr,,Lw(Daniel Auteuil) Ch(Guy B\'eart; folksinger) Er (Emmanuelle),
The Beatles,1964-1981,The Beatles,,G,1940,199x,R:pop,Great Britain,,"Nt(John Lennon, George Harris, Paul McCartney, Ringo Starr)",
Ned Beatty,1972-1983,Beatty,Ned,M,1937,199x,R:chubby,USA,"[4.111,133]",,,
Robert Beatty,1943-1973,Beatty,Robert,M,1909,199x,R:lead,Canada,,,
Warren Beatty,1961-1978,Beaty,Warren,M,1937,199x,R:pschological maladjustment,USA,[4.208][9.38],Si(Shirley MacLaine) Lw(Diane Sawyer),
Louise Beavers,1929-1961,Beavers,Louise,F,1902,1962,R:happy housekeeper,USA,,,
John C. Becher,,,,M,[1],199x,RU:,\Un,,
Sidney Bechet,1930,Bechet,Sidney,M,1892,1959,R:clarinetist,USA,,Nt(),
Jenny Beck,1976,Beck,Jennifer,F,1974,199x,R:daughter,USA,,,
John Beck,1969-1981,Beck,John,M,1943,199x,R:lead,USA,,,
Kimberly Beck,,,,F,[1],199x,RU:,\Un,,
Michael Beck,1977-1981,Beck,Michael,M,1948,199x,R:lead,USA,,,
Stanley Beck,,,,M,[1],199x,RU:,\Un,,
Barry Beckerman,,,,M,[1],199x,RU:,\Un,,
Scotty Beckett,1934-1956,Beckett,Scotty,M,1929,1968,R:soulful-looking,USA,,,
Reginald Beckwith,1941-1965,Beckwith,Reginald,M,1908,1965,R:high voice,Great Britain,,,
Don Beddoe,1939-1969,Beddoe,Don,M,1888,1979,R:genial look,USA,,,
Bonnie Bedelia,1969-1990,Bedelia,Bonnie,F,1946,199x,R:lead,USA,,,
Kabir Bedi,1976-1983,Bedi,Kabir,M,1935,199x,R:lead,\In,,,
Alfonso Bedoya,1947-1957,Bedoya,Alfonso,M,1904,1957,R:beaming face,\Me,,,
Molly Bee,,,,F,[1],199x,RU:,\Un,,
Noah Beery,1918-1946,Beery,Noah,M,1884,1946,R:villain,USA,,Si(Wallace Beery),
Noah Beery~jr.,1920-1982,Beery~jr.,Noah,M,1913,1994,R:easy going sidekick,USA,,Ch(Noah Beery),
Wallace Beery,1916-1949,Beery,Wallace,M,1880,1949,"R:tough, ugly, slow-thinking, easy-going",USA,,Er(dob),
Hagan Beggs,,,,M,[1],199x,RU:,\Un,,
Ed Begley,1947-1969,Begley,Ed,M,1901,1970,R:jovial uncle,USA,,,
Ed Begley~jr.,1972-1979,Begley~jr.,Ed,M,,199x,R:character actor,USA,,,
Harry Belafonte,1953-1974,Belafonte,Harry,M,1927,199x,R:ballad singer,USA,,,
Charles Belcher,,,,M,[1],199x,RU:,\Un,,
Barbara BelGeddes,1947,Lewis,Barbara Geddes,F,[1]1927,199x,R:placid,USA,[34.],in(Dallas) Ww(Hitchcock),
Ann Bell,1962-1980,Bell,Ann,F,,199x,R:character,Great Britain,,,
James Bell,1932-1963,Bell,James,M,1891,1973,R:character,USA,,,
Marie Bell,1928-1966,Bellon-Downey,Marie-Jeanne,F,1900,1985,R:distinguished,\Fr,,,
Rex Bell,1930,Bell,Rex,M,[1],1962,R:cowboy,USA,,,
Tom Bell,1961-1978,Bell,Tom,M,1933,199x,"R:gaunt, lead",Great Britain,,,
Madge Bellamy,1923-1928,Philpott,Margaret,F,1903,199x,R:general purpose,USA,,,
Ralph Bellamy,1931-1983,Bellamy,Ralph,M,1904,1991,R:rich `other man',USA,[4.206],Aw(Hon AA 1986),
Harry Bellaver,1940-1980,Bellaver,Harry,M,1905,199x,"R:cop, small-time gangster or cabbie",USA,,,
Kathleen Beller,1974-1983,Beller,Kathleen,F,1955,199x,R:lead,USA,,,
Agostina Belli,,,,M,[1],199x,RU:,\Un,,
Olga Bellin,,,,F,[1],199x,RU:,\Un,[4.120],,,
JeanPaul Belmondo,1958-1983,Belmondo,Jean,M,1933,199x,R:interesting but unhandsome lead,\Fr,,,
Belmonts,,,,,[1],199x,RU:,\Un,,
Lionel Belmore,1915-1940,Belmore,Lionel,M,1867,1953,R:portly,Great Britain,,,
Richard Beltran,,,,M,[1],199x,RU:,\Un,,
Robert Beltran,,,,M,[1],199x,RU:,\Un,,
Jim Belushi,,,,M,[1],199x,RU:,\Un,,
John Belushi,1978-1981,Belushi,John,M,1949,1982,R:overweight comic,USA,,,
Richard Belzer,,,,M,[1],199x,RU:,\Un,,
Pat Benatar,,,,F,[1][1],199x,R:singer,,,
Brian Benben,,,,M,[1],199x,RU:,\Un,,
Robert Benchley,1933-1946,Benchley,Robert,M,1889,1945,R:lovable bumbler,USA,,Mainly(magazine humorist) Ww(Hitchcock),
William Bendix,1942-1965,Bendix,William,M,1906,1964,R:sweet tough,USA,"[4.504,992]",Ww(Hitchcock),
Billy Benedict,1935-1976,Benedict,Billy,M,1906,199x,"R:an original `Bowery Boy', now cabby bartender",USA,,,
Dirk Benedict,1975-1983,Niewoehner,Dirk,M,1945,199x,R:lead,USA,,,
Paul Benedict,,,,M,[1][1],199x,RU:,\Un,,
Richard Benedict,1946-1960,Benedetto,Riccardo,M,1916,199x,R:heavy,USA,,,
Annette Bening,1990-1991,Bening,Annette,F,,199x,R:sex kitten,USA,,,Lw(Warren Beatty),
Richard Benjamin,1953-1982,Benjamin,Richard,M,1938,199x,R:diffident,USA,,Mt(Paula Prentiss) Also(D),
Alma Bennett,1914-1930,Bennett,Belle,F,1889,1958,R:silent vamp,USA,,,
Barbara Bennett,1929-1930,Bennett,Barbara,F,1902,1958,R:silent lead,USA,,,
Belle Bennett,1918-1931,Bennett,Belle,F,1891,1932,R:silent lead,USA,,,
Bruce Bennett,1934-1961,Brix,Herman,M,1909,199x,R:athletic,USA,,Nt(used own name to 1940),
Constance Bennett,1922-1965,Bennett,Constance,F,1904,1965,R:worldly,USA,[4.1066],Si(Barbara Bennett),
Hywel Bennett,1966-1980,Bennett,Hywel,M,1944,199x,R:innocent,Great Britain; Welsh,,,,,
Jill Bennett,1953-1982,Bennett,Jill,F,1944,1990,"R:emancipated, unusual",Great Britain,,,
Joan Bennett,1915-1978,Bennett,Joan,F,1910,1990,R:attractive,USA,,"Si(Constance Bennett) Mt(,,Walter Wanger) Nt(career aborted after her husband shot her agent)",
Joe Bennett,,,,M,[1][1],199x,RU:,\Un,,
John Bennett,1959-1977,Bennett,John,M,1928,199x,R:swarthy,Great Britain,,,
Marjorie Bennett,1947-1976,Bennett,Marjorie,F,1894,1982,R:bathing beauty,USA,,,
Richard Bennett,1923-1943,Bennett,Richard,M,1873,1944,R:dapper,USA,,"P(Barbara, Constance, Joan)",
Annette Benning,1993,Benning,Anette,F,1958,199x,R:lively,USA,,,
Jack Benny,1929-1967,Kubelsky,Benjamin,M,1894,1974,R:reproachful comedian,USA,[4.95],Mt(Mary Livingstone (Sadye Marks)),
Martin Benson,1949-1981,Benson,Martin,M,1918,199x,R:smooth crook,Great Britain,,,
Robby Benson,1973-1982,Segal,Robert,M,1956,199x,R:cute juvenile,USA,,,
Michael Bentine,1966,Bentine,Michael,M,1922,199x,R:goonish,Great Britain-Peruvian,,,
Barbi Benton,,,,F,[1],199x,R:playboy girl,,,
Susanne Benton,,,,F,[1],199x,RU:,\Un,,
Iris Berben,,,,F,[1],199x,RU:,\Un,,
Tom Berenger,1977-1983,Berenger,Tom,M,1950,199x,R:brooding,USA,[4.97],,,
Marisa Berenson,1972-1981,Berenson,Marisa,F,1946,199x,R:fashion model,\Un,[4.97],Nt(international),
Judith-Marie Bergan,,,,F,[1],199x,RU:,\Un,,
Candice Bergen,1966-1982,Bergen,Candice,F,1946,199x,R:stylish,USA,,Ch(Edgar Bergen),
Polly Bergen,1950-1970,Burgin,Nellie,F,1929,199x,R:singer,USA,[34.209],Ww(Hitchcock),
William Bergen,,,,M,[1],199x,RU:,\Un,,
Helmut Berger,1969-1977,Steinberger,Helmut,M,1944,199x,"R:sinister, handsome",\Os,,,
Katya Berger,,,,F,[1],199x,RU:,\Un,,
Senta Berger,1957-1977,Berger,Senta,F,1941,199x,R:lead,\Os,,,
Sidney Berger,,,,M,1962,199x,RU:,\Un,[4.186],,,
William Berger,,,,M,[1],199x,RU:,\Un,,
Jacques Bergerac,1957-1965,Bergerac,Jacques,M,1927,199x,R:lead,\Fr,,,
Herbert Berghof,1952-1980,Berghof,Herbert,M,1909,1990,R:character,\Os,,Mainly(drama teacher),
Ingrid Bergman,1934-1978,Bergman,Ingrid,F,1915,1982,"R:innocent, strong beauty",\Sw,[4.662],Mt(Roberto Rosselini) Ww(Hitchcock) Aw(AFI#4),
Harold Bergman,,,,M,[1],199x,RU:,\Un,,
Henry Bergman,,,,M,[1],199x,RU:,\Un,,
Sandahl Bergman,,,,,[1],199x,RU:,\Un,,
Tracy Bergman,,,,,[1],199x,RU:,\Un,,
Elisabeth Bergner,1924-1979,Ettel,Elisabeth,F,1898,1986,R:fey gamine,\Ge,,Mt(Paul Czinner; P),
Thommy Bergren,,,,M,[1],199x,RU:,\Un,,
Steven Berkoff,,,,M,[1],199x,RU:,\Un,,
Milton Berle,1937-1980,Berlinger,Mendel,M,1908,199x,R:brash comic,USA,,,
Irving Berlin,1943,Baline,Israel,M,1888,199x,R:singer,USA,,Pr(composer),
Jennie Berlin,1972,Berlin,Jean,F,,199x,RU:,USA,,ch(Elane may; D),
Shelley Berman,1964-1970,Berman,Shelley,M,1926,199x,R:cabaret monologuist,USA,,,
Susan Berman,,,,F,[1],199x,RU:,\Un,,
Jason Bernhard,,,,M,[1],199x,RU:,\Un,,
Sandra Bernhard,1982-1992,Bernhard,Sandra,F,[1],199x,R:elegant sexy,USA,,Ty(TV),
Sarah Bernhardt,1923,Bernhard,Sarah,F,1844,1923,"R:heroine, courtesan",\Fr,,Nt(Dutch background),
Herschel Bernardi,1937-1976,Bernardi,Herschel,M,1923,1986,"R:balding, beaming cop or gangster",USA,,,
Sarah Bernhardt,1900-1923,Bernard,Rosalie,F,1844,1923,R:dignified,\Fr,,,
Elizabeth Berridge,,,,F,[1],199x,RU:,\Un,,
Phillip Berrigan,,,,M,[1],199x,RU:,\Un,,
Chuck Berry,,,,M,[1],199x,RU:,\Un,,
Jules Berry,1934-1947,Paufichet,Jules,M,1883,1951,"R:Saturnine, character",\Fr,,,
Ken Berry,1970-1974,Berry,Ken,M,1933,199x,R:bird-like comic hero,USA,,,
Michael Berryman,,,,M,[1],199x,RU:,\Un,,
Marina Berti,1949-1977,Berti,Marina,F,1928,199x,R:lead,\It,,,
Bibi Besch,,,,F,[1],199x,RU:,\Un,,
Eugenie Besserer,1912-1933,Besserer,Eugenie,F,1870,1934,R:character,USA,,,
Edna Best,1921-1948,Best,Edna,F,1900,1974,R:maternal,Great Britain,,Mt(Herbert Marshall) Ww(Hitchcock),
Willie Best,1930-1955,Best,Willie,M,1916,1962,R:goggled-eyed servant,USA,,,
Barbara Bestar,,,,F,[1],199x,RU:,\Un,,
Jack Beutel,,,,M,[1],199x,RU:,\Un,,
Turhan Bey,dow,Bey,Turhan,M,19aa,1995+,R:romantic sheik,,,,
Richard Beymer,1952-1983,Beymer,Richard,M,1939,199x,R:juvenile lead,,,
Daniela Bianchi,1959-1968,Bianchi,Daniela,F,1942,199x,R:lead,,,
Charles Bickford,1929-1966,Bickford,Charles,M,1889,1967,"R:rugged, projected sincerity and warmth",USA,,,
Michael Biehn,,,,M,[1],199x,RU:,\Un,,
Ramon Bieri,,,,M,[1],199x,RU:,\Un,,
Theodore Bikel,1951-1976,Bikel,Theodore,M,1924,199x,"R:heavily-built, can play most nationalities",\Os,,,
Tony Bill,1963-1980,Bill,Tony,M,1940,199x,R:light lead,USA,,,
Peter Billingsley,,,,M,[1],199x,RU:,\Un,,
Herman Bing,1929-1946,Bing,Herman,M,1889,1947,"R:plump,explosive comedy",\Ge,,,
Geoff Binney,,,,M,[1],199x,RU:,\Un,,
Edward Binns,1951-1979,Binns,Edward,M,,199x,"R:solid, character",USA,,,
Julliette Binoche,1987,Binoche,Julliette,F,1964,199x,R:charming lead,\Fr,,Mt(Andre Halle),
Paul Birch,1953-1967,Birch,Paul,M,1900,1969,R:burly,USA,,,
Brad Bird,,,,M,[1],199x,RU:,\Un,,
Norman Bird,1954-1981,Bird,Norman,M,1920,199x,R:underdog,Great Britain,,,
David Birney,1973-1982,Birney,David,M,1944,199x,R:lead,USA,,,
Jennifer Bishop,,,,F,[1],199x,RU:,\Un,,
Pat Bishop,,,,,[1],199x,RU:,\Un,,
Julie Bishop,1933-1957,Brown,Jacqueline,F,1914,199x,R:lead,USA,,Nt(also Jacqueline Wells),
Whit Bissell,1943-1966,Bissell,Whit,M,1919,1981,R:attorneys to garage attendant,USA,,,
Jacqueline Bisset,1964-1988,Bisset,Jacqueline,F,1944,199x,R:lead,Great Britain,,,
Bonnie Bittner,,,,F,[1],199x,RU:,\Un,,
Bill Bixby,1962-1983,Bixby,Bill,M,1934,1993,R:diffident light lead,USA,,,
Gunnar Bjornstrand,1952-1982,"Gunnar Bj\""ornstrand",Gunnar,M,19aa,1986,R:lead,\Sw,,,
Karen Black,1967-1983,Ziegeler,Karen,F,1942,199x,R:lead,USA,[4.31],Ww(Hitchcock) Mt(Kit Carson),
Honor Blackman,1947-1978,Blackman,Honor,F,1926,199x,"R:`charm school' product, `English rose', later kinky and judo",Great Britain,[4.76],,,
Joan Blackman,1961-1966,Blackman,Joan,F,1938,199x,R:lead,USA,,,
