stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Leo G. Carroll,1934-1966,Carroll,Leo G.,M,1892,1972,R:dry-faced professionals,Great Britain,,Ww(Hitchcock),
Madeleine Carroll,1928-1949,O'Carrol,Marie Madelaine Bernadette,F,1906,1987,R:well-bred,Great Britain,[4.1108],Ww(Hitchcock),
Nancy Carroll,1927-1938,LaHiff,Ann,F,1905,1965,R:musical,USA,,,
Regina Carroll,1969,Carrol,Regina,F,,,R:busty,USA,,Mt(Al Adamson),
Charles Carson,1932-1960,Carson,Charles,M,1898,1977,R:distinguished old gentlemen,Great Britain,,,
Jack Carson,1937-1962,Carson,Jack,M,1910,1963,R:beefy comic,Canada,[4.137],,,
John Carson,1967-1972,Carson,John David,M,1927,,R:James Mason-like voice,Great Britain,,Ty(Horr) Er(Fn),
Kit Carson,,,,M,[1],,RU:,USA,,Mt(Karen Black) Nt(role is played by Bill Williams),
Ann Carter,1942-1949,Carter,Ann,F,1936,,R:child star,USA,,,
Ben Carter,1939-1946,Carter,Ben,M,1911,1947,R:character,USA,,,
Helena Carter,1946-1953,Rickerts,Helen,F,1923,,R:lead,USA,,,
Helena Bonham Carter,1986-1992,Carter,Helena (Helly) Bonham,F,1966,,R:upper crust lead,Great Britain,,Ch(Ch(Ch(Lord Asquith))) Lw(Kenneth Branagh),
Jack Carter,1962-1964,Chakrin,John,M,1922,,R:comic,USA,,,
Jim Carter,,,,M,[1],,RU:,,,
Lydia Carter,,,,F,[1],,RU:,,,
Lynda Carter,,,,F,[1],,RU:,,,
T.K. Carter,,,,M,[1],,RU:,,,
Veronica Cartwright,1977-1979,Cartwright,Veronica,F,1949,,R:lead,USA,,,
Anthony Caruso,1940-1970,Caruso,Anthony,M,1913,,R:menace,USA,,,
Louise Carver,1923-1935,Murray,Louise Spilger,F,1898,1956,R:character,USA,,,
Maria Casares,1943-1976,Quiroga,Maria Casar\`es,F,1922,1996,"R:dark-eyed, solemn",France-Sp,,,
Bernie Casey,1969-1977,Casey,Bernie,M,,,R:character,USA,,,
Johnny Cash,1962-1970,Cash,Johnny,M,1932,,R:folk singer,USA,,,
Rosalind Cash,1971-1976,Cash,Rosalind,F,1945,,R:lead,USA,,,
John Cassavetes,1954-1983,Cassavetes,John,M,1929,1989,R:intense,USA,[4.204],Also(D) Ww(Hitchcock),
JeanPierre Cassel,1960-1975,Crochon,Jean-Pierre,M,1932,,R:lead,France,,,
Seymour Cassel,1961-1979,Cassel,Seymour,M,1935,,R:character,USA,,,
Jack Cassidy,1965,Cassidy,Jack,M,,1968,R:hitman,,[34.309],Ww(Hitchcock) Nt(died in fire),
Joanna Cassidy,1973-1982,Cassidy,Joanna,F,1944,,R:lead,USA,,,
Ted Cassidy,1964-1977,Cassidy,Ted,M,1932,1979,R:character,USA,,,
JeanPierre Castaldi,,,,M,[1],,RU:,,,
Richard Castellano,1969-1972,Castellano,Richard,M,1931,,R:fat,USA,,,
William Castle,1974-1975,Schloss,William,M,1914,1977,R:gimmicky,USA,,"Also(P,D)",
Phoebe Cates,1982-1994,Cates,Phoebe,F,1963,,"R:cute, with it",USA,,Mt(Kevin Kline),
Walter Catlett,1924-1956,Catlett,Walter,M,1889,1960,R:flustered gestures,USA,,,
Kim Cattrall,,,,F,[1],,RU:,,,
Joan Caulfield,1946-1968,Caulfield,Joan,F,1922,1991,R:demure,USA,,,
Olimpia Cavalli,,,,F,[1],,RU:,,[4.46],,,
Paul Cavanagh,1929-1959,Cavanagh,Paul,M,1895,1964,R:suave,Great Britain,,,
Hobart Cavanaugh,1927-1950,Cavanaugh,Hobart,M,1886,1950,R:mild-mannered,USA,,,
Dick Cavett,,,,M,[1],,R:debonair,USA,,,
Joseph Cawthorn,1927-1942,Cawthorn,Joseph,M,1868,1949,R:character,USA,,,
John Cazale,1972-1978,Cazale,John,M,1936,1978,R:character,USA,[4.68],,,
Christopher Cazenove,,,,M,[1],,RU:,,,
Adolfo Celi,1950-1982,Celi,Adolfo,M,1922,,R:solidly-built,Italy,,,
Gino Cervi,1934-1964,Cervi,Gino,M,1901,1974,R:stocky,Italy,,,
Renzo Cesana,,,,M,[1],,RU:,,,
June Chadwick,,,,F,[1],,RU:,,,
George Chakiris,1954-1980,Chakiris,George,M,1933,,R:lead,USA,[4.565],,,
William Challee,,,,M,[1],,RU:,,,
Richard Chamberlain,1960-1983,Chamberlain,Richard,M,1935,,R:boyish,USA,,,
Wilt Chamberlain,,,,M,[1],,RU:,,,
Marilyn Chambers,,,,F,[1],,RU:,,,
Marge Champion,1939-1968,Belcher,Majorie,F,1923,,R:dancer,USA,,Si(Lina Basquette ),
Jackie Chan,1983-1988,Chan,Jack,M,[1],,R:cop,,,,,
Chick Chandler,1933-1963,Chandler,Chick,M,1905,,R:wiry,USA,,,
George Chandler,1930-1971,Chandler,George,M,1902,,"R:sly, comically nervous",USA,,,
Helen Chandler,1927-1937,Chandler,Helen,F,1909,1965,R:lead,USA,,,
Jeff Chandler,1947-1961,Grossel,Ira,M,1918,1961,R:lead,USA,,,
Joan Chandler,1947-1949,Chandler,Joan,F,1923,1979,R:lead,USA,,,
John Davis Chandler,1961-1977,Chandler,John Davis,M,1937,,"R:neurotic, twitching villain",USA,,,
Simon Chandler,,,,M,[1],,RU:,,,
Lon Chaney,1914-1930,Chaney,Alonzo,M,1883,1930,"R:macabre, distorted",USA,,,
Lon Chaney~jr.,1932-1968,Chaney,Creighton,M,1906,1973,R:massive,USA,,,
Carol Channing,,Channing,Carol,F,1921,,R:vivacious,USA,,,
Margo Channing,,,,F,[1],,RU:,,,
Stockard Channing,1973-1983,Channing,Susan,F,1944,,R:tomboy,USA,,,
Charlie Chaplin,1914-1966,Chaplin,Sir Charlie,M,1889,1977,R:tramp,Great Britain,"[4.423, 281]","Mt(Lita Grey -1927,, Paulette Goddard, Oona) Aw(Hon AA, 1971) Aw(AFI#10)",
Esme Chaplin,,,,F,[1],,RU:,,,
Geraldine Chaplin,1965-1982,Chaplin,Geraldine,F,1944,,RU:,USA,[4.54],Ch(Charlie Chaplin),
Josephine Chaplin,,,,F,[1],,RU:,,,
Oona Chaplin,,,,F,[1],1991,RU:,,,Ch(Charlie Chaplin,,,
Sydney Chaplin,1952-1970,Chaplin,Sydney,M,1926,,RU:,,,Ch(Charles Chaplin),
Edward Chapman,1929-1964,Chapman,Edward,M,1901,1977,R:corrupt aldermen,Great Britain,,Ww(Hitchcock),
Geraldine Chapman,,,,F,[1],,RU:,,,
Graham Chapman,1978-1983,Chapman,Graham,M,,1989,R:character,Great Britain,,,
Lonny Chapman,1954-1979,Chapman,Lonny,M,,,R:character,USA,,,
Marguerite Chapman,1940-1961,Chapman,Marguerite,F,1916,,R:dependable,USA,,,
Cyd Charisse,1943-1972,Finklea,Tula Ellice,F,1921,,R:long-legged,USA,,,
Bobby H. Charles,,,,M,[1],,RU:,,,
Ray Charles,1965,Robinson,Ray Charles,M,1930,,R:blind musician,USA,,,
Ian Charleson,1981-1982,Charleson,Ian,M,,1990,R:lead,Great Britain,,,
Henri Charrieri,,,,M,[1],,RU:,,,
Spencer Charters,1923-1942,Charters,Spencer,M,1878,1943,R:rural fellow,USA,,,
Charlie Chase,1929-1940,Parrott,Charles,M,1893,1940,R:toothbrush-moustached comedian,USA,,,
Chevy Chase,1976-1983,Chase,Chevy,M,1949,,R:light lead,USA,,Er(real fn),
Stephen Chase,,,,M,[1],,RU:,,,
Martine Chassaing,,,,F,[1],,RU:,,,
Marvin Chatinover,,,,M,[1],,RU:,,,
Soumitra Chatterjee,1960,Chatterjee,Soumitra,M,19bb,1998,R:romatic lead,India,,
Ruth Chatterton,1928-1938,Chatterton,Ruth,F,1893,1961,R:dignified,USA,[4.280],,,
Chubby Checker,1962-1962,Evans,Ernest,M,1941,,R:singer,,,
Michael Chekhov,1944-1954,Chekhov,Michael,M,1891,1955,R:dramatic,Russia,,Ww(Hitchcock),
Joan Chen,,,,F,[1],,RU:,,,
Cher,1968-1983,Sarkisian,Cherilyn,F,1946,,R:pop singer,USA,,"Mt(Sonny Bono, Altman)",
Patrice Chereau,,,,F,[1],,RU:,,,
Nicolai Cherkassov,1937-1954,Cherkassov,Nicolai,M,1903,1966,R:lead,Russia,,,
Virginia Cherrill,1931-1935,Cherrill,Virginia,F,1908,,R:lead,USA,,,
Arthur Chesney,,,,M,[1],,RU:,,,
Helen Chester,,,,F,[1],,RU:,,,
Leslie Cheung,dow,Cheung,Leslie,M,,,R:androgenous,Hong Kong,,Nt(lives in Canada),
Anne Chevalier,1931,Reri,none,F,1915+,1975,R:exotic,French Polynesia,,,,
Maurice Chevalier,1929-1967,Chevalier,Maurice,M,1888,1972,R:debonair,France,[4.708],,,
Walter Chiari,1951-1972,Annichiarico,Walter,M,1924,1991,R:comic,Italy,,,
Sonny Chiba,,,,M,[1],,RU:,,,
Lois Chiles,1973-1979,Chiles,Lois,F,1950,,R:lead,USA,,,
Eric Chitty,1940-1977,Chitty,Eric,M,,,R:crotchety little men,Great Britain,,,
Rae Dawn Chong,1982,,,F,1961,,RU:,,,Mt(C.Thomas Howell),
Shelby Chong,,,,,[1],,RU:,,,
Thomas Chong,,,,M,[1],,RU:,,,
Sarita Choudhury,1992-1993,Choudhury,Sarita,F,[1],,R:beauty,,,,,
Navin Chowdhury,,,,M,[1],,RU:,,,
Linda Cristian,1963,,,F,,,R:two-timing chesty,,[34.265],Ww(Hitchcock),
Suzanne Christian,,,,F,,,RU:,,,Mt(Stanley Kubrick),
Audrey Christie,1952-1973,Christie,Audrey,F,1912,,R:Tough lady,USA,,,
Julie Christie,1962-1983,Christie,Julie,F,1940,,R:striking,Great Britain,[4.193],,,
Dave Dennis Christopher,1977-1982,Christopher,Dennis,M,1955,,R:lead,USA,,,
Kay Christopher,,,,M,[1],,RU:,,,
William Christopher,,,,M,,,RU:,,,
International Chrysis,1993,bn,William,M,1951,1990,"R:beuitiful, exuberant transvestite",USA,,"Er(dob, age at dod =39)",
Berton Churchill,1924-1940,Churchill,Berton,M,1876,1940,R:forceful,Canada,[4.1083],,,
Sarah Churchill,1951,Churchill,"Sarah, Lady Audley",F,,1982,RU:,Great Britain,,,,
Eduardo Cianelli,1933-1969,Cianelli,Eduardo,M,1887,1969,"R:finely etched features, incisive speech",Italy,,,
Diane Cilento,1952-1982,Cilento,Diane,F,1933,,R:versatile,Australia,,"Mt(Sean Connery, Anthony Shaffer) W(Sleuth)",
Michael Cimino,,Cimino,Michael,M,1940,,RU:,,[4.166],"Mainly(W,D)",
Augusta Ciolli,,,,F,[1],,RU:,,,
Audrey Claire,,,,F,[1],,RU:,,,
Ina Claire,1915-1943,Fagan,Ina,F,1892,1985,RU:,USA,,,
Jimmy Clanton,,,,M,[1],,RU:,,,
Gordon Clapp,,,,M,[1],,RU:,,,
Eric Clapton,,,,M,[1],,RU:,,,
Mary Clare,1924-1959,Clare,Mary,F,1894,1970,R:matron,Great Britain,,Ww(Hitchcock),
O.B. Clarence,1914-1947,Clarence,O.B.,M,1870,1955,R:benevolent doddering,Great Britain,,,
D. Greydon Clark,,,,M,[1],,RU:,,,
Candy Clark,1973-1983,Clark,Candy,F,1949,,R:lead,USA,,,
Cliff Clark,,Clark,Cliff,M,1893,1953,R:stocky tough policeman,USA,,,
Dane Clark,1943-1973,Zanville,Bernard,M,1913,,R:tough,USA,,,
Ernest Clark,1949-1968,Clark,Ernest,M,1912,,R:tight-lipped,Great Britain,,,
Fred Clark,1947-1968,Clark,Fred,M,1914,1968,R:bald explosive,USA,,,
Ken Clark,1956-1965,Clark,Ken,M,,,R:tough,USA,,,
Marguerite Clark,1914-1921,Clark,Marguerite,F,1883,1940,R:plucky waif,USA,,,
Petula Clark,1944-1981,Clark,Petula,F,1932,,R:singer,USA,,,
Susan Clark,1967-1975,Clark,Susan,F,1940,,R:lead,Canada,,,,Mae Clarke,1929-1967,Klotz,Mary,F,1910,1992,R:pert gun moll,USA,,Mt(Lew Brice),cr
Caitlin Clarke,,,,M,[1],,RU:,,,
Sharon D. Clarke,,,,F,[1],,RU:,,,
Warren Clarke,,,,M,[1],,RU:,,,
D.A. ClarkeSmith,1930-1956,Clarke-Smith,D.A.,M,1888,1959,R:character,Great Britain,,Ww(Hitchcock: Sabotage 1936),
Jill Clayburgh,1969-1983,Clayburgh,Jill,F,1945,,R:lead,USA,,,
Ethel Clayton,1912-1939,Clayton,Ethel,F,1884,1966,R:silent star,USA,,,
John Cleese,1968-1997,Cleese,John,M,1939,,R:tall bewildered,Great Britain,,Also(P),
Pierre Clementi,1963-1978,Clementi,Pierre,M,1941,,R:lead,France,,,
John Clements,1929-1942,Clements,Sir John,M,,1988,R:lead,Great Britain,,,
David Clendinning,,,,M,[1],,RU:,,,
David Clennon,,,,M,[1],,RU:,,,
Corinne Clery,,,,F,[1],,RU:,,,
Jimmy Cliff,,,,M,[1],,RU:,,,
Montgomery Clift,,Clift,Montgomery,M,1920,1966,R:introspective romantic,USA,[4.170],Ww(Hitchcock),
Colin Clive,1930-1937,Greig,Clive,M,1898,1937,"R:fraught, serious",Great Britain,,,
E.E. Clive,1933-1940,Clive,E.E.,M,1879,1940,R:amiable sour-faced,Great Britain,,ww(Hitchcock),
Al Cliver,,,,M,[1],,RU:,,,
George Clooney,-1997,Clooney,George,G,dob,,RU:,,,Ch(SI(rosemary Clooney)),
Rosemary Clooney,1953-1954,Clooney,Rosemary,F,1928,,R:breezy singer,USA,,Mt(Jose Ferrer) Lw(Dante DiPoalo),
Glenn Close,1982-1989,Close,Glenn,F,1947,,R:wicked,USA,[4.97],"Mt(,;) Lw(John Starke; P.)",
Raymond Cloutier,,,,M,[1],,RU:,,,
Suzanne Cloutier,1946-1961,Cloutier,Suzanne,F,1927,,R:lead,France-Canada,,,
Vera Clouzot,,Clouzot,Vera,F,1921,1960,RU:,Portugese,,Mt(H.G. Clouzot),
Jennifer Cluff,,,,F,[1],,RU:,,,
Alec Clunes,1940-1962,Clunes,Alec,M,1912,1970,RU:,Great Britain,,,
Andy Clyde,1928-1965,Clyde,Andy,M,1892,1967,R:acrobatic,Great Britain; Scots,[4.682],,,,
June Clyde,,,,F,[1],,RU:,,,
Lee J. Cobb,1937-1975,Jacoby,Leo,M,1911,1976,R:powerful,USA,,,
Charles Coburn,1933-1960,Coburn,Charles,M,1877,1961,R:crusty benevolence,USA,,Ww(Hitchcock),
James Coburn,1959-1983,Coburn,James,M,1928,,"R:lithe movement, easy grin",USA,,,
Steve Cochran,1945-1965,Cochran,Robert,M,1917,1965,R:good-looking heavy,USA,,,
James Coco,1964-1981,Coco,James,M,1928,1987,R:chubby comic,USA,,,
Ann Codee,1935-1959,Codee,Ann,F,1890,1961,R:middle-aged roles,USA,,,
Lew Cody,1924-1934,Louis,Cote,,1884,1934,R:smartly dressed,USA,,,
George Coe,,,,M,[1],,RU:,,,
Peter Coe,1969-1969,Coe,Peter,M,1929,,RU:,Great Britain,,Also(director),
Tristam Coffin,1941-1956,Coffin,Tristam,M,,,RU:,USA,,,
George M. Cohan,1932-1955,Cohan,George M.,M,1878,1942,R:dapper,USA,,"Mainly(stage, since 1916) Also(dancer-author-composer ) Er(debut 1916)",
Mindy Cohen,,,,F,[1],,RU:,,,
Nicholas Colasanto,,,,M,[1],,RU:,,,
Claudette Colbert,1928-1961,Chauchoin,Lily Claudette,F,1905,1996,R:smart emancipated,France,[4.942],Mt(Norman Foster; Joel Pressman) Aw(AFI#12),
Mabel Colcord,,,,F,[1],,RU:,,,
George Cole,1941-1984,Cole,George,M,1925,,R:befuddled innocent,Great Britain,,,
Nat King Cole,1953-1965,Coles,Nathaniel,M,1919,1965,RU:,USA,,"Also(pianist,singer)",
Rosalie Cole,,,,F,[1],,RU:,,,
Robert Coleby,,,,M,[1],,RU:,,,
Charles Coleman,1885-1951,Coleman,Charles,M,1885,1951,R:perfect portly butler,Australia,,,
Dabney Coleman,1966-1983,Coleman,Dabney,M,,,R:the heavy,USA,,,
Gary Coleman,1981-1982,Coleman,Gary,M,1968,,RU:,USA,,,
Nancy Coleman,1942-1968,Coleman,Nancy,F,1917,,R:timid,,[4.266],,,
David Colin~jr.,,,,M,[1],,RU:,,,
Jean Colin,1930-1954,Colin,Jean,F,1905,,R:lead,Great Britain,,,
Bonar Colleano,1945-1958,Sullivan,Bonar,M,1924,1958,R:wise-cracking,USA,,,
Kenneth Colley,,,,M,[1],,RU:,,,
Constance Collier,1916-1950,Hardie,Laura Constance,F,1878,1955,R:excentric lady,Great Britain,,,
Dan Collier,,,,M,[1],,RU:,,,
John Collier,1968-1972,Collier,John,M,1931,,R:character,Great Britain,,,
Lois Collier,1938-1958,Jones,Madelyn,F,1919,,R:weird woman,USA,,,
Patience Collier,1970-1981,Collier,Patience,F,[1],1987,RU:,,,
William Collier,1931-1941,Senior,William,M,1866,1944,R:comic,USA,,,
Patricia Collinge,1923-1964,Collinge,Patricia,F,1892,1974,R:old lady,Ireland,[34.287],"Ww(Hitchcock:1923,1964)",
Cora Sue Collins,1933-1938,Collins,Cora Sue,F,1927,,R:child star,USA,,,
Eddie Collins,1938-1940,Collins,Eddie,M,1884,1940,R:character,USA,,,
Joan Collins,1952-1982,Collins,Joan,F,1933,,R:sultry,Great Britain,[4.908],,Si(Jackie Collins; B),
Lewis Collins,1982-1982,Collins,Lewis,M,1946,,R:lead,Great Britain,,,
Phil Collins,,,,M,[1],,RU:,,,
Ray Collins,1940-1961,Collins,Ray,M,1890,1965,R:uncles and bosses,USA,,,
Pauline Collins,-1989,Collins,Pauline,F,1940,,R:hang loose,Great Britain,,Lw(tony Rohr) Mt(John Alderton),
Roberta Collins,,,,F,[1],,RU:,,,
Russell Collins,1949-1964,Collins,Russell,M,1897,1965,R:hard guy,USA,,,
June Collyer,1927-1953,Heermance,Dorothy,F,1891,1958,R:light lead,USA,,,
Richard Colman,1919-1957,Colman,Richard,M,1891,1958,R:romantic,Great Britain,,,
Ronald Colman,1919-1957,Colman,Ronald,M,1891,1958,R:gentle manners,Great Britain,,,
Scott Colomby,,,,M,[1],,RU:,,,
Miriam Colon,,,,F,[1],,RU:,,,
Willie Colon,,,,M,[1],,RU:,,,
Jerry Colonna,1938-1958,Colonna,Jerry,M,1903,1986,"R:high-pitched voice, walrus moustache, bulging eyes",USA,,,
Tita Colorado,,,,F,[1],,RU:,,,
Norman Combes,,,,M,[1],,RU:,,,
Frederick Combs,,,,M,[1],,RU:,,,
