stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Dick Emery,1960-1972,Emery,Dick,M,1918,1983,"R:chubby, disguise",Great Britain,,,
Gilbert Emery,1929-1945,Emery,Gilbert,M,1875,1945,R:character,Great Britain,,,
Robert Emhardt,1952-1976,Emhardt,Robert,M,1916,199x,R:short and tubby,USA,,Ww(Hitchcock),
Michael Emil,,,,M,[1],199x,RU:,\Un,,
Fred Emney,1935-1969,Emney,Fred,M,1900,1980,"R:heavyweight, growls",Great Britain,,,
Robert Englund,,,,M,[1],199x,RU:,\Un,,
Rene Enriquez,,,,M,1932,1990,RU:,\Un,,
Henry Ephron,dow,Ephron,Henry,M,1911,1992,R:sr,,,,
Margaret Eppie,,,,F,1930,1989,RU:,USA,,Mt(Lyle Talbot),
Richard Erdmann,1944-1982,Erdmann,Richard,M,1925,199x,"R:callow, crusty",USA,,,
Doc Erickson,,,,M,[1],199x,RU:,\Un,[4.156],,,
Leif Erickson,1935-1976,Anderson,William,M,1911,1986,R:second lead,USA,[4.868],,,
John Ericson,1951-1977,Meibes,Joseph,M,1927,199x,R:lead,\Ge,,,
Krista Errickson,,,,F,"[1,c]",199x,RU:,\Un,,
Leon Errol,1930-1948,Errol,Leon,M,1881,1951,R:comedian,Australia,,,
Howard Erskine,1983,,,M,[1],199x,RU:,\Un,,
Stuart Erwin,1928-1965,Erwin,Stuart,M,1903,1967,R:character comedian,USA,,,
Carl Esmond,1933-1966,Eichberger,Willy,M,1905,199x,"R:haughty, arrogant",\Os,,,
Jill Esmond,1931,Esmond,Jill,F,1908,199x,R:lady,Great Britain,,Ww(Hitchcock),
David Essex,1970-1980,Essex,David,M,1947,199x,R:pop singer,Great Britain,,,
Emilio Estevez,,,,M,[1],199x,RU:,\Un,[4.784],,,
Shari Eubank,,,,F,[1],199x,RU:,\Un,,
Barry Evans,1967-1981,Evans,Barry,M,1945,199x,R:light lead,Great Britain,,,
Clifford Evans,1936-1970,Evans,Clifford,M,1912,199x,"R:lead, character",Great Britain; Welsh,,,,,
Dale Evans,1942-1956,Smith,Frances Octavia,F,1912,199x,R:cowgirl,USA,,Mt(Roy Rogers),
Dame Edith Evans,1915-1976,Evans,Dame Edith,F,1888,1976,R:distinguished,Great Britain,,,
Gene Evans,1948-1977,Evans,Gene,M,1922,199x,R:stocky,USA,,,
Linda Evans,1963-1983,Evans,Linda,F,1943,199x,R:blonde,USA,,,
Maurice Evans,1930-1973,Evans,Maurice,M,1901,1989,R:eloquent,Great Britain; Welsh,[4.136],,,,
Michael Evans,,,,M,[1],199x,RU:,\Un,,
Rex Evans,1940-1958,Evans,Rex,M,1903,1969,R:character,Great Britain,,,
Robert Evans,1952-1980,Evans,Robert,M,1930,199x,R:bland juvenile,\Un,[4.339],Also(P),
Judith Evelyn,1954-1959,Allen,J.E.,F,1913,1967,R:neurotic woman,USA,,Ww(Hitchcock),
Barbara Everest,1931-1962,Everest,Barbara,F,1890,1968,R:motherly,Great Britain,,,
Chad Everett,1961-1983,Cramton,Raymond,M,1937,199x,R:handsome lead,USA,,,
Trish Everly,,,,F,[1],199x,RU:,\Un,,
Jason Evers,1970-1977,Evers,Herbert,M,1922,199x,R:general purpose,USA,,,
John Ewart,,,,M,[1],199x,RU:,\Un,,
Tom Ewell,1949-1981,Tompkins,S.~Yewell,M,1909,199x,R:comic,USA,[34.66],Ww(Hitchcock),
Richard Eyer,,,,M,[1],199x,RU:,\Un,,
William Eythe,1942-1950,Eythe,William,M,1918,1957,R:lead,USA,,,
