stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Sonny James,,,,M,[1],199x,RU:,\Un,,
Thomas Jameson,1927-1938,Jameson,Thomas,M,[1]1892,1939,R:other man,\Br,,Ww(Hitchcock),
Fr\'ed\'erique Jamet,,,,M,[1],199x,RU:,\Un,,
Emil Jannings,1914-1945,Janenz,Theodor Janenz,M,1881,1950,"R:distinguished, versatile",\Ge,,,
Horst Janson,,,,M,[1],199x,RU:,\Un,,
David Janssen,1952-1979,Janssen,David,M,1930,1980,R:persona doggedly glum,\Am,,,
Famke Janssen,1995,Janssen,Famke,F,,199x,"R:trong, sexy",\Du,,,
Louis January,,,,M,[1],199x,RU:,\Un,,
Claude Jarman~jr.,1946-1956,Jarman~jr.,Claude,M,1934,1998x,R:boy actor,\Am,,,
Peter Jason,,,,M,[1],199x,RU:,\Un,,
Rick Jason,1953-1976,Jason,Rick,M,1929,199x,R:lead,\Am,,,
Sybil Jason,1935-1940,Jason,Sybil,F,1929,199x,R:child,\SA,,,
Michael Jayston,1970-1980,James,Michael,M,1936,199x,RU:,\Br,,,
Gloria Jean,1939-1961,Jean,Gloria,F,1928,199x,RU:,\Am,,,
Zizi Jeanmaire,1952-1960,Jeanmaire,Renee,F,1924,199x,R:dancer,\Fr,,Mt(Roland Petit: Chor),
Isabel Jeans,1921-1963,Jeans,Isabel,F,1891,1985,R:aristocratic roles,\Br,,Ww(Hitchcock),
Ursula Jeans,1931-1965,McMinn,Ursula,F,1906,1973,RU:,\Br,,Mt(Roger Livesey),
Allan Jeayes,1932-1950,Jeayes,Allan,M,1885,1963,R:dignified heavy presence,\Br,,,
Barbara Jefford,1967-1970,Jefford,Barbara,F,1930,199x,RU:,\Br,,,
Anne Jeffreys,1942-1958,Carmichael,Anne,F,1923,199x,R:lead,\Am,,,
Lang Jeffries,,,,M,[1],199x,RU:,\Un,,
Lionel Jeffries,1950-1981,Jeffries,Lionel,M,1926,199x,R:bald comedian,\Br,,Also(D),
Ian Jenble,,,,M,[1],199x,RU:,\Un,,
Allen Jenkins,1931-1974,McGonegal,Alfred,M,1900,1974,R:tough guy,\Am,,St(Warners),
Jackie \'Butch' Jenkins,1943-1948,Jenkins,Jackie,M,1937,199x,R:buck-toothed,\Am,,Ch(Doris Dudley),
Megs Jenkins,1939-1969,Jenkins,Megs,F,1917,199x,"R:plump, motherly roles",\Br,,,
Frank Jenks,1937-1953,Jenks,Frank,M,1902,1962,R:character comedian,\Am,,,
Claudia Jennings,,,,F,[1],199x,RU:,\Un,,
DeWitt Jennings,1915-1937,Jennings,DeWitt,M,1879,1937,R:stern and bulky,\Am,,,
Salome Jens,1961-1981,Jens,Salome,F,1935,199x,R:lead,\Am,,,
Roy Cameron Jensen,,,,M,[1],199x,RU:,\Un,,
Roy Jenson,,,,M,[1],199x,RU:,\Un,[4.156],,,
Mary Jerrold,1931-1952,Allen,Mary,F,1877,1955,R:character,\Br,,,
George Jessel,1919-1969,Jessel,George,M,1898,1981,R:in vaudeville,\Am,,,
Patricia Jessel,1951-1966,Jessel,Patricia,F,1920,1968,R:character,\Br,,,
Isabel Jewell,1933-1957,Jewell,Isabel,F,1913,1972,R:diminutive lead,\Am,,,
Ann Jillian,,,,F,[1],199x,RU:,\Un,,
Zita Johann,1931-1934,Johann,Zita,F,1904,199x,R:lead,\Hu,,"Ww(Griffith) Mt(John Houseman, -)",
David Johansen,,,,M,"[1][1,6]",199x,RU:,\Un,,
Elton John,1975,Dwight,Reginald Dennis,M,1947,199x,R:pop-singer,\Br,,Mt(Renate Blauer),
Rosamund John,1934-1956,John,Rosamund,F,1913,199x,R:redhead,\Br,,,
Glynis Johns,1936-1973,Johns,Glynis,F,1923,199x,"R:charming, husky-voiced",\SA,[4.504],,,
Mervyn Johns,1934-1977,Mervyn,Glynis,M,1899,199x,R:character,\Br,[4.504],Pa(Glynis Johns),
Arte Johnson,1956-1979,Johnson,Arte,M,1934,199x,R:comic,\Am,,,
Arthur Johnson,1908-1914,Johnson,Arthur,M,1876,1916,R:big,\Am,,"Ww(Griffith) St(Lubin) Also(D, 1913)",
Ben Johnson,1940-1980,Johnson,Ben,M,1920,1995,R:cowboy,\Am,[4.43],,,
Celia Johnson,1942-1980,Johnson,Dame Celia,F,1908,1982,R:well-bred,\Br,,,
Chic Johnson,1930-1945,Johnson,Harold Ogden,M,1891,1962,R:portly comic,\Am,[4.458],Ww(Ole Olsen),
Don Johnson,1970-1979,Johnson,Don,M,[6],199x,R:lead,\Am,,,
Glynis Johnson,,,,F,[1],199x,RU:,\Un,,
Johnny Johnston,,,,M,[1],199x,RU:,\Un,[4.1167],,,
Katie Johnson,1941-1956,Johnson,Katie,F,1878,1957,R:old lady,\Br,,,
Kay Johnson,1929-1944,Townsend,Catherine,F,1904,1975,R:lead,\Am,,,
Laura Johnson,1989,,,F,[1],199x,RU:,\Un,,
Lynn-Holly Johnson,1978-1981,Johnson,Lynn-Holly,F,,199x,R:lead,\Am,,,
Michelle Johnson,,,,F,[1],199x,RU:,\Un,,
Noble Johnson,1922-1950,Johnson,Noble,M,1897,,R:fearsome native chiefs,\Am,,,
Rafer Johnson,1961-1963,Johnson,Rafer,M,1935,199x,R:black athlete,\Am,,,
Richard Johnson,1951-1983,Johnson,Richard,M,1927,199x,R:hero,\Br,,,
Stephen Johnson,,,,M,[1],199x,RU:,\Un,,
Tor Johnson,1955-1956,Tor,Johnson,M,[1],199x,R:heavy,,Ph(400lbs),
Van Johnson,1941-1976,Van Johnson,Charles,M,1916,199x,R:light lead,\Am,,,
Jo Johnston,,,,F,[1],199x,RU:,\Un,,
Margaret Johnston,1940-1967,Johnston,Margaret,F,1917,199x,RU:,\Au,,,
Oliver Johnston,1955-1967,Johnston,Oliver,M,1888,1906,R:character,\Br,,,
Al Jolson,1927-1949,Yoelson,Asa,M,1886,1950,R:singer,\Am,,N(after 1945 voice only),
Allan Jones,1935-1967,Jones,Allan,M,1907,1992,R:singer,\Am,,Mt(Irene Hervey),
Barry Jones,1931-1965,Jones,Barry,M,1893,1981,R:diffident,\Br,,,
Buck Jones,1920-1941,Gebhardt,Charles,M,1889,1942,R:western,\Am,,,
Carolyn Jones,1952-1980,Jones,Carolyn,F,1929,1983,R:off-beat dark-eyed,\Am,,,
Christopher Jones,1967-1970,Jones,Christopher,M,1941,199x,R:hero,\Am,,,
Dean Jones,1956-1978,Jones,Dean,M,1933,199x,R:well-behaved,\Am,[4.1052],,,
Duane Jones,,,,M,"[1,6]",199x,RU:,\Un,[4.200],,,
Emrys Jones,1942-1960,Jones,Emrys,M,1915,1972,RU:,\Br,,,
Freddie Jones,1968-1983,Jones,Freddie,M,1927,199x,R:clever twitchy,\Br,,,
Grace Jones,1984-1985,,,F,"[1,6]",199x,R:tough black lead,,,,
Griffith Jones,1932-1968,Jones,Griffith,M,1910,199x,R:lead,\Br,,,
Hannah Jones,,,,F,[1],199x,RU:,\Un,,Ww(Hitchcock),
Henry Jones,1951-1980,Jones,Henry,M,1912,199x,"R:guy next door, deceives",\Am,,,
James Earl Jones,1970-1982,Jones,James Earl,M,1931,199x,R:black lead,\Am,,,
Jeffrey Jones,,,,M,[1],199x,RU:,\Un,,Cit(2),
Jennifer Jones,1939-1974,Isley,Phyllis,F,,1998x,"R:intense, pert",\Un,[4.942],,,
Jocelyn Jones,,,,F,[1],199x,RU:,\Un,,
L.Q. Jones,1969-1976,McQueen,J.E.,M,1936,199x,R:character,\Am,,,
OLan Jones,1993,O-Lan,Jones,F,[1],199x,RU:,\Un,,
Shirley Jones,1955-1980,Jones,Shirley,F,1934,1998x,R:singer,\Am,[4.67],,,
Spike Jones,1943-1955,Jones,Lindley Armstrong,M,1911,1965,R:pint-sized bandleader,\Am,,"Ww(and his City Slickers, and his Country Cousins)",
Susan Jones,,,,F,"[1,6]",199x,RU:,\Un,,
Terry Jones,,,,,"[1,6]",199x,RU:,\Un,,
Tommy Lee Jones,1970-1993,Jones,Tommy Lee,M,1946,199x,"R:confident, morose",\Am,,"Mt(, Kimberlea Cloughley)",
Samson Jorah,,,,M,[1],199x,RU:,\Un,,
Bobbie Jordan,1937-1956,Jordan,Bobbie,M,1923,1965,RU:,\Am,,,
Richard Jordan,1970-1980,Jordan,Richard,M,1938,199x,R:lead,\Am,,,
Christine Jorgenson,,Jorgenson,Christopher?,"M,F",,1989,R:sr,\Am,,Nt(sex change) Cit(0),
Victor Jory,1932-1980,Jory,Victor,M,1902,1982,R:saturnine,\Ca,,,
Jackie Joseph,,,,,[1],199x,RU:,\Un,,
Erland Josephson,1958-1980,Josephson,Erland,M,,199x,R:character,\Sw,,,
Allyn Joslyn,1937-1964,Joslyn,Allyn,F,1905,1981,R:crumpled features,\Am,,,
Darwin Joston,,,,M,[1],199x,RU:,\Un,,
Louis Jourdan,,Gendre,Louis,M,1919,199x,R:smooth,\Fr,[4.399],Ww(Hitchcock),
Louis Jouvet,1933-1950,Jouvet,Louis,M,1887,1951,R:distinguished,\Fr,,"Nt(fled France 1940, see FT24 \Tm{Le Dernier Metro",,,
Leatrice Joy,1920-1952,Joy,Leatrice,F,1899,199x,"R:vivacious, self-confident",\Am,,,
Robert Joy,,,,M,[1],199x,RU:,\Un,,
Alice Joyce,1917-1938,Joyce,Alice,F,1889,1955,R:lead,\Am,,,
Brenda Joyce,1939-1949,Leabo,Betty,F,1918,199x,R:lead,\Am,,,
Ashley Judd,1994,Judd,Ashley,F,1970,199x,RU:,\Un,,"Ch(Naomi Judd) Er(dob 1920?, 1968) Si(Wynonna Judd)",
Edward Judd,1961-1976,Judd,Edward,M,1932,199x,R:general purpose,\Br,,,
Robert Judd,,,,M,[1],199x,RU:,\Un,,
Raul Julia,1978-1982,Julia,Raul,M,1940,1994,R:character,\PR,,,
Gordon Jump,1972-1978,Jump,Gordon,M,,199x,"R:character, plump",\Ca,,,
June,1920-1926,Tripp,June,F,[1],199x,R:lady-like,\Br,,Ww(Hitchcock) Mt(Lord Inverclyde),
Katy Jurado,1951-1972,Garcia,Maria Jurado,F,1927,199x,R:spirited,\Me,,,
Curt Jurgens,1935-1980,"J\""urgens",Curt,M,1912,1982,R:lead,\Ge,,,
Deana Jurgens,,,,F,[1],199x,RU:,\Un,,
James Robertson Justice,,,,M,[1],199x,RU:,\Un,[4.244],,,
Gabi Just,1991,Just,Gabi,F,,199x,R:dancer,\Ge,,,,,
George Justin,,,,M,[1],199x,RU:,\Un,[4.156],,,
John Justin,1940-1983,Justin,John,M,1917,199x,R:lead,\Br,,,
