stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Alan Reed,1943-1962,Bergman,Edward,M,1908,1977,R:burly,USA,NT(voice of Flintstone),
Donna Reed,1941-1979,Mullenger,Donna,F,1921,1986,R:nice lead,USA,,,
George Reed,1914-1944,Reed,George,M,1867,1852,R:black character,USA,,,
Jerry Reed,,,,M,[1][23],,RU:,\Un,,
Maxwell Reed,1946-1966,Reed,Maxwell,M,1920,1974,R:lead,Ireland,,,
Oliver Reed,1960-1982,Reed,Oliver,M,1938,,R:sullen roles,Great Britain,,,
Pamela Reed,,,,F,*,,RU:,USA,,,
Philip Reed,1934-1967,Reed,Philip,M,1908,,R:lead,USA,,,
Robert Reed,,,,M,[1][23],1992,RU:,\Un,,Er(DoD Reid),
Tracy Reed,,,,F,[1][23],,RU:,\Un,,
Harry Reems,1972,Streicher,Herbert,M,1947,,R:stud,,Ty(Porn),
Angharad Rees,1971-1980,Rees,Angharad,F,1949,,R:intense,Great Britain; Welsh,,,,,
Roger Rees,,,,M,1944,,RU:,Great Britain,,,,
Tom Reese,1960-1966,Reese,Tom,M,1930,,R:character,USA,,,
Ada Reeve,1944-1956,Reeve,Ada,F,1874,1966,R:character,Great Britain,,,
Christopher Reeve,1977-1984,Reeve,Christopher,M,1952,,R:lead,USA,[4.960],"Ph(H: 6'4"") Lw(Dana Morsini dob 1961)",
George Reeves,1939-1953,Brewer,George,M,1932,,R:lead,USA,,,
Kynaston Reeves,1932-1960,Reeves,Kynaston,M,1893,1971,R:character,Great Britain,,,
Steve Reeves,1954-1968,Reeves,Steve,M,1926,,R:muscleman,USA,,,
Joe Regalbuto,,,,M,[1][23],,RU:,\Un,,
Serge Reggiani,1946-1980,Reggiani,Serge,M,1922,,R:slightly-built,Italy,,,
Frank Reicher,1926-1950,Reicher,Frank,M,1875,1965,R:character,Germany,,,
Whit Reichert,,,,M,[1][23],,RU:,\Un,,
Beryl Reid,1954-1983,Reid,Beryl,F,1918,,R:comedienne,Great Britain,,,
Carl Benton Reid,1941-1965,Reid,Carl,M,1894,1973,R:character,USA,,,
Elliott Reid,1944-1969,Reid,Elliott,M,1920,,R:comedy actor,USA,,,
Frances Reid,,,,F,[1][23],,RU:,\Un,,
Kate Reid,1966-1975,Reid,Kate,F,1930,,RU:,Canada,,,
Wallace Reid,1911-1922,Reid,Wallace,M,1890,1923,R:silent lead,USA,,,
Peter Reigert,,,,M,[1][23],,RU:,\Un,,
Tom Reilly,,,,M,[1][23],,RU:,\Un,,
Carl Reiner,1959-1983,Reiner,Carl,M,1922,,R:genial,USA,,"Also(W,D)",
Rob Reiner,,,,M,1945,,RU:,USA,Ch(Carl Reiner),
Thomas Reiner,,,,M,[1][23],,RU:,\Un,,
Judge Reinhold,,,,M,[1][23],,RU:,\Un,,
Ann Reinking,1978-1982,Reinking,Ann,F,1949,,R:dancer,USA,,,
Winston Rekert,,,,M,[1][23],,RU:,\Un,,
George Relph,1947-1957,Relph,George,M,1888,1960,R:character,Great Britain,,Pa(Michael Relph: P),
James Remar,,,,M,[1][23],,RU:,\Un,,
Lee Remick,1957-1980,Remick,Lee,F,1935,1991,R:lead,USA,,,
Bert Remsen,,,,M,1925],,RU:,USA,,,
Duncan Renaldo,1930-1950,Duncan,Renault Renaldo,M,1904,1980,RU:,USA,,,
Simone Renant,1947,Renat,Simone,F,,,R:beauty,France,,,
Liz Renay,,,,F,[1][23],,RU:,\Un,,
James Rennie,1920-1931,Rennie,James,M,1890,1965,R:hero,USA,,,
Michael Rennie,1936-1969,Rennie,Michael,M,1909,1971,R:con-man,\Un,[34.264],Ww(Hitchcock),
Kelly Reno,,,,,[1][23],,R:horse lover,,Cit(2),
Pierre Renoir,1934-1950,Renoir,Pierre,M,1885,1952,R:character,France,,Si(Jean Renoir),
Eva Renzi,1966-1980,Renzi,Eva,F,1944,,R:lead,Germany,,,
Dan Resin,,,,M,[1][23],,RU:,\Un,,Cit(1),
Tommy Rettig,1961,Rettig,Thomas,M,1951,,R:boy actor,USA,,,
Anne Revere,1934-1976,Revere,Anne,F,1903,1990,R:stately mother,USA,,,
Dorothy Revier,1922-1936,Velagra,Doris,F,1904,,R:silent lead,USA,,,
Clive Revill,1965-1979,Revill,Clive,M,1930,,R:comic character,New Zealand,,,
Aldo Rey,,,,M,[1][23],,RU:,\Un,,
Alejandro Rey,1972-1980,Rey,Alejandro,M,,,RU:,Argentina,,,
Fernando Rey,1952-1979,Rey,Fernando,M,1915,,R:suave,Spain,[4.220],,,
Adeline deWalt Reynolds,1941-1954,Reynolds,Adeline deWalt,F,1862,1961,R:character,USA,,,
Burt Reynolds,1961-1970,Reynolds,Burt,M,1936,,"R:lithe, virile lead",USA,[4.655][4.133],"Mt(Judy Carne, Loni Anderson) Lw(Dinah Shore, Sally Field)",
Debbie Reynolds,1948-1981,Reynolds,Mary Frances,F,1932,,R:lead,USA,,Mt(Eddie Fisher),
Gene Reynolds,1936-1955,Reynolds,Gene,M,1925,,R:child,USA,,,
Joyce Reynolds,1942-1950,Reynolds,Joyce,F,1924,,R:lead,USA,,,
Marjorie Reynolds,1940-1962,Goodspeed,Marjorie,F,1921,,R:lead,USA,,,
Michael J. Reynolds,,,,F,[1][23],,RU:,\Un,,
Peter Reynolds,1946-1968,Horrocks,Peter,M,1926,1975,R:light character,Great Britain,,,
Barbara Rhoades,1968-1980,Rhoades,Barbara,F,1947,,R:character,USA,[4.229],,,
Sybil Rhoda,,,,F,[1][23],,RU:,\Un,,
Betty Jane Rhodes,1937-1944,Rhodes,Betty Jane,F,1921,,R:singing second lead,USA,[4.1167],,,
Erik Rhodes,1934-1939,Rhodes,Erik,M,1906,,R:comic,USA,,,
Marjorie Rhodes,1939-1971,Rhodes,Marjorie,F,1902,1979,R:homely,Great Britain,,,
Madlyn Rhue,1959-1976,Roche,Madeleine,F,1934,,R:supporting,USA,,,
Paul Rhys,1990-1995,Rhys,Paul,M,\UN,,"R:romantic, laid back",Great Britain,,,
John RhysDavies,1980-1982,Rhys-Davies,John,M,,1944,"R:heavyweight character, good roisterer",Great Britain,,,
Candice Rialzon,,,,F,[1][23],,RU:,\Un,,
Renie Riano,1937-1966,Riano,Renie,F,1899,1971,R:comedienne,USA,,,
Florence Rice,1934-1943,Rice,Florence,F,1907,1974,R:lead,USA,,,
Joan Rice,1950-1970,Rice,Joan,F,1930,,R:lead,Great Britain,,,
Charlie Rich,,,,M,1932,,R:contry-music singer,USA,,,
Irene Rich,1918-1948,Rich,Irene,F,1891,,R:silent heroine,USA,,,
Cliff Richard,1959-1973,Webb,Harold,M,1940,,R:boyish,Great Britain,,,
Addison Richards,1934-1960,Richards,Addison,M,1887,1964,R:character,USA,,,
Ann Richards,1938-1952,Richards,Ann,F,1918,1982,R:lead,Australia,,,
Beah Richards,1962-1976,Richards,Beah,F,,,R:black,USA,,,
Jeff Richards,1948-1958,Taylor,Richard Mansfield,M,1922,,R:general purpose,USA,,,
Kim Richards,,,,F,1964,,RU:,USA,,,
Paul Richards,1958-1975,Richards,Paul,M,1924,1974,R:general purpose,USA,,,
Joely Richardson,,,,F,,,RU:,\Un,,"Ch(Vanessa Redgrave, Tony Richardson; D) ER(sn)",
John Richardson,1958-1975,Richardson,John,M,1936,,R:fancy dress,Great Britain,,,
Lee Richardson,,,,,[1][23],,RU:,\Un,,
Natasha Richardson,,Richardson,Natasha,,,,RU:,\Un,,"Ch(Vanessa Redgrave, Tony Richardson) ER(sn)",
Ralph Richardson,1933-1984,Richardson,Sir Ralph,M,1902,1983,R:distinguished,Great Britain,[4.862],,,
Harry Richman,1930-1938,Richman,Harry,M,1895,1972,RU:,USA,,,
Mark Richman,1956-1971,Richman,Mark,M,1927,,R:general purpose,USA,,,
Kane Richmond,1930-1947,Bowditch,Frederick W.,M,1906,1973,R:lead,USA,,,
Debi Richter,,,,F,[1][23],,RU:,\Un,,
Don Rickles,1958-1977,Rickles,Don,M,1926,,R:insult comedian,USA,,,
Hal Riddle,,Riddle,Hal,M,1920,,RU:,\Un,,
John Ridgeley,1938-1952,Rea,John Huntingdon,M,1909,1968,R:gangster,USA,,,
Stanley Ridges,1923-1951,Ridges,Stanley,M,1892,1951,"R:incisive, heavy-featured",Great Britain,,,
Judith Ridley,,,,F,[1][23],,RU:,\Un,,
Leni Riefenstahl,1925-1993,Riefenstahl,Leni,F,1902,1993+,R:sporty,Germany,,Mainly(D),
Peter Riegert,,,,M,[1][23],,RU:,\Un,,
Ron Rifkin,,,,M,[1][23],,RU:,\Un,,
Edward Rigby,1935-1950,Rigby,Edward,M,1879,1951,R:endearingly doddery roles,Great Britain,,,
Terence Rigby,1961-1983,Rigby,Terence,M,1937,,R:character,Great Britain,,,
Diana Rigg,1965-1981,Rigg,Diana,F,1938,,R:lead,Great Britain,,,
Terence Right,,,,M,[1][23],,RU:,\Un,,
Jack Riley,,,,M,[1][23],,RU:,\Un,,
Larry Riley,,,,M,[1][23],,RU:,\Un,,
Walter Rilla,1926-1965,Rilla,Walter,M,1895,,RU:,Germany,,,
Shane Rimmer,1974-1982,Rimmer,Shane,M,,,R:supporting,USA,,,
RinTinTin,1923-1955,,,A,1916,1932,R:silent,Germany,,,
Molly Ringwald,1981-1990,Ringwald,Molly,F,1968,,R:sweet,USA,,,
Brad Rinn,,,,M,[1][23],,RU:,\Un,,
Michael Ripper,1948-1970,Ripper,Michael,M,1913,,R:character,Great Britain,,,
Arthur Riscoe,1934-1941,Riscoe,Arthur,M,1896,1954,R:comedian,Great Britain,,,
Elizabeth Risdon,1935-1952,Evans,E.,F,1887,1958,R:character,Great Britain,,,
Cyril Ritchard,1929-1967,Ritchard,Cyril,M,1896,1977,"R:dancer, comedian",Great Britain,,Ww(Hitchcock),
June Ritchie,1961-1967,Ritchie,June,F,1939,,R:lead,Great Britain,,,
Kristen Riter,,,,F,[1][23],,RU:,\Un,,
Martin Ritt,1976,Ritt,Martin,M,1919,1990,RU:,USA,,Nt(mainly d),
John Ritter,1970-1981,Ritter,Jonathan,M,1948,,R:light,USA,,Ch(Tex Ritter),
Tex Ritter,1936-1946,Ritter,Woodward,M,1907,1974,R:cowboy,USA,,,
Thelma Ritter,1947-1968,Ritter,Thelma,F,1905,1969,R:wry-faced,USA,[34.81][4.23],Ww(Hitchcock),
Harry Ritz,,Ritz,Harry,M,,1986,R:singer?,USA,,,,,
The Ritz-Brothers,1938-1939,Ritz,*,G,,,R:singers,USA,,Nt(),
Emmanuele Riva,1959-1966,Riva,Emmanuele,F,1932,,R:lead,France,,,
Cecilia Rivera,,,,F,[1][23],,RU:,\Un,,
Chita Rivera,1969-1969,Rigueroa del Rivero,Dolores Conchita,F,1933,,R:dynamic dancer,USA,,,
George Rivero,,,,M,[1][23],,RU:,\Un,,
George Rivers,,,,M,[1][23],,RU:,\Un,,
Joan Rivers,1978-1978,Rivers,Joan,F,,,R:comedienne,USA,,,
Brian Rix,1951-1973,Rix,Brian,M,1924,,R:farcial,Great Britain,,,
Bert Roach,1921-1947,Roach,Bert,M,1891,1971,R:silent,USA,,,
Lilian Roams,1994,Roams,Lilian,F,1967,,R:wild woman,Great Britain,,,
Adam Roarke,,,,M,[1][23],,RU:,\Un,,
Jason Robards,1926-1961,Robards,Jason,M,1893,1963,R:character,USA,,,
Jason Robards~jr.,1958-1983,Roberts~jr.,Jason,M,1920,,RU:,USA,[9.162],Ch(Jason Robards),
Sam Robards,,Robards,Sam,M,,,RU:,USA,,"Ch(Jason Robards, Lauren Bacall)",
Gale Robbins,1944-1955,Robbins,Gale,F,1922,1980,R:lead,USA,,,
Jerome Robbins,1956-1961,Robbins,Jerome,M,1918,,R:dancer,USA,,,
Mathew Robbins,,,,M,[1][23],,RU:,USA,,,Er(=WD:Matthew Robbins),
Richard Rober,1948-1952,Rober,Richard,M,1906,1952,R:general purpose,USA,,,
John C. Roberick,,,,M,[1][23],,RU:,\Un,,
Lyda Roberti,1932-1937,Roberti,Lyda,F,1910,1938,R:lead,Poland,,,
Christian Roberts,,,,M,[1][23],,RU:,\Un,,
Doris Roberts,1974,Roberts,Doris,F,1930,,RU:,USA,,,
Eric Roberts,1978-1981,Roberts,Eric,M,1956,,R:lead,USA,[4.818],Si(Julia Roberts),
Glenn Roberts,,,,M,[1][23],,RU:,\Un,,
Julia Roberts,1988-1990,Roberts,Julia,F,1967,,R:long-legged,USA,"Lw(Dylan McDermott, Kiefer Sutherland, Jason Patric, Daniel DayLewis) Mt(Lyle Lovett) Si(Eric Roberts)",
Michael D. Roberts,,,,M,[1][23],,RU:,\Un,,
Pernell Roberts,1958-1979,Roberts,Pernell,M,1930,,R:general purpose,USA,,,
Rachel Roberts,1952-1979,Roberts,Rachel,F,1930,1980,RU:,Great Britain,[4.114],,,
Roy Roberts,1943-1968,Roberts,Roy,M,1900,1975,R:character,USA,,,
Tanya Roberts,,,,F,*,,RU:,USA,,,
Teal Roberts,,,,,[1][23],,RU:,\Un,,
Theodore Roberts,1914-1928,Roberts,Theodore,M,1861,1928,R:character,USA,,,
Tony Roberts,1970-1983,Roberts,Tony,M,1939,,R:light lead,USA,,,
Jerrold Robertshaw,1918-1933,Robertshaw,Jerrold,M,1866,1941,R:gaunt,Great Britain,,,
Cliff Robertson,1955-1983,Robertson,Cliff,M,1925,,R:lead,USA,,,
Dale Robertson,1949-1981,Robertson,Dale,M,1923,,R:western star,USA,,,
Dennis Robertson,,,,M,[1][23],,RU:,\Un,,
James Robertson,,,,M,[1][23],,RU:,\Un,[4.244],,,
Robbie Robertson,,,,M,[1][23],,RU:,\Un,,
Willard Robertson,1931-1948,Robertson,Willard,M,1886,1948,R:character,USA,,,
Paul Robeson,1924-1955,Robeson,Paul,M,1898,1976,R:black singer,USA,,,
Sir George Robey,1923-1952,Wade,George Edward,M,1869,1954,R:comedian,Great Britain,,,
Hayward Robillard,,,,M,[1][23],,RU:,\Un,,
Dany Robin,1946-1969,Robin,Dany,F,1927,,R:lead,France,,,
Andy Robinson,1971-1975,Robinson,Andy,M,,,R:character,USA,,,
Ann Robinson,,,,F,[1][23],,RU:,\Un,,
Bojangles Robinson,1935-1943,Robinson,Bill,M,1878,1949,R:black dancer,USA,Ww(Shirley Temple),
Edward G. Robinson,1923-1973,Goldenberg,Emmanuel,M,1893,1973,R:tough,Romania,[4.1152][9.211],Aw(AFI#24),
Francis Robinson,1925-1950,Robinson,Francis,F,1916,1971,R:supporting,USA,,,
Jay Robinson,1953-1975,Robinson,Jay,M,1930,,R:eccentric roles,USA,,,
John Robinson,1936-1961,Robinson,John,M,1908,1979,"R:heavy father, tough ececutive",Great Britain,,,
Madeleine Robinson,1943-1970,Svoboda,Madeleine,F,1916,,RU:,France,,,
Flora Robson,1931-1979,Robson,Dame Flora,F,1902,1984,R:distinguished,Great Britain,,,
May Robson,1915-1942,Robison,Mary,F,1858,1942,"R:domineering, kindly old lady",Australia,,,
Wayne Robson,,,,M,[1][23],,RU:,\Un,,
Patricia Roc,1938-1960,Riese,Felicia,F,1918,,R:lead,Great Britain,,,
Alex Rocco,,,,M,1936,,RU:,USA,,,
Eugene Roche,1974-1978,Roche,Eugene,M,1928,,"R:heavy-set, bewildered look",USA,,,
Jean Rochefort,1983,,,F,1930,,RU:,France,,,
Sam Rockwell,1987-1998,Rockwell,Sam,M,1969,,R:quirky loner,USA,,
Marcia Rodd,,,,F,[1][23],,RU:,\Un,,
Anton Rodgers,1965-1973,Rodgers,Anton,M,1927,,R:comic character,Great Britain,,,
Percy Rodriques,1967-1973,Rodriques,Percy,M,1924,,R:black character,Canada,,,
Maurice Roeves,1992,"Ro\""eves",Maurice,M,,,R:sr,,,,
Buddy Rogers,1926-1948,Rogers,Charles,M,1904,,R:light lead,USA,[4.29],Mt(Mary Pickford),
Ginger Rogers,1930-1964,McMath,Virginia,F,1911,,"R:comedienne, dancer",USA,"[4.390,1065]",,,
Jean Rogers,1934-1951,Lovegren,Eleanor,F,1916,,R:light lead,USA,,Aw(AFI#14),
Lela Rogers,1942,Rogers,Lela,F,,,R:mother,USA,,Pa(Ginger Rogers),
Kenny Rogers,1982,Rogers,Kenneth,M,1938,,R:country-and-western singer,USA,,,
Mimi Rogers,1987-1989,Rogers,Mimi,F,1955,,RU:,USA,,Mt(Tom Cruise) Si(Paul Abbott),
Paul Rogers,1953-1975,Rogers,Paul,M,1917,,R:character,Great Britain,,,
Roy Rogers,1938-1975,Slye,Leonard,M,1912,,R:singing cowboy,USA,,St(Republic) Alias(Dick Weston) Mt( ; Dale Evans),
Wayne Rogers,1978-1978,Rogers,Wayne,M,1934,,R:light,USA,,,
Will Rogers,1918-1935,Rogers,Will,M,1879,1935,R:rustic comedian,USA,,,
Helena Rojo,,,,F,[1][23],,RU:,\Un,,
Gilbert Roland,1925-1977,Damaso deAlonso,Luis Antonio,M,1905,1994,R:Mexican Robin Hood,Mexico,,Mt(Constance Bennett;),
Ruth Roland,1915-1936,Roland,Ruth,F,1893,1937,R:silent serial queen,USA,,,
Guy Rolfe,1946-1973,Rolfe,Guy,M,1915,,R:lead and character,Great Britain,,,
Howard E. Rollins~jr.,1981,,,M,*,,RU:,USA,,,
Yvonne Romain,1956-1973,Warren,Yvonne,F,1938,,R:lead,Great Britain,,,
Leticia Roman,1961-1964,Roman,Leticia,F,1939,,R:lead,USA,,,
Ruth Roman,1944-1977,Roman,Ruth,F,1924,,R:determined,USA,,Ww(Hitchcock),
Vivianne Romance,1935-1963,Romance,Vivianne,F,1912,1991,R:lead,France,,,
Andy Romano,,,,M,[1][23],,RU:,\Un,,
Mike Romanoff,1948-1967,Gerguson,Harry,M,1890,1972,R:amiable con man,USA,,,
Steward Rome,1925-1948,Ryott,Septimus William,M,1887,1965,R:character,Great Britain,,,
Sydney Rome,,,,M,1947,,RU:,USA,,Ty(Z) ER(fn=Sidne),
Fred Romer,,,,M,[1][23],,RU:,\Un,,
Cesar Romero,1934-1974,Romero,Cesar,M,1907,1994,R:romantic gangster,,,Or(Latin-American),
Edana Romney,1941-1948,Rubenstein,E.,F,1919,,R:lead,South Africa,,,
Maurice Ronet,1949-1979,Ronet,Maurice,M,1927,1983,R:lead,France,,,
Linda Ronstadt,1983,Ronstadt,Linda,F,1946,,R:pop singer,USA,,,
Mickey Rooney,1932-1981,Yule,Joe~Jnr,M,1920,,"R:diminutive, cute",USA,,,
Noel Roquevert,1922-1962,ert,Noel,M,1894,1973,R:mean-spirited bourgeois,France,,,
Francoise Rosay,1925-1965,deNaleche,Francoise,F,1891,1974,R:distinguished,France,,,
George Rose,1952-1983,Rose,George,M,1920,,R:character,Great Britain,,,
Slapsie' Maxie Rosenbloom,1933-1959,Rosenbloom,Maxie,M,1906,1976,R:comedian,USA,,,
Milton Rosmer,1921-1937,Lunt,Arthur Milton,M,1881,1971,RU:,Great Britain,,,
Annie Ross,,,,F,[1][23],,RU:,\Un,,
Diana Ross,1972-1978,Ross,Diana,F,1944,,R:black singer,USA,[9.160],,,
Herbert Ross,,Ross,Herbert,M,1927,,RU:,USA,,"Nt(choreographer, d)",
Katharine Ross,1965-1982,Ross,Katharine,F,1942,,R:lead,USA,"[4.35,128]",,,
Shirley Ross,1935-1945,Gaunt,Bernice,F,1909,1975,R:lead,USA,[4.95],,,
Yvonne Ross,,,,F,[1][23],,RU:,\Un,,
Isabella Rossellini,1976-1989,Rossellini,Isabella,F,1955,,R:soft presence,Italy,,"Ch(Roberto Rossellini, Ingrid Bergman)",
George Rossi,,,,M,[1][22],,RU:,\Un,,
Leo Rossi,,,,M,[1][23],,RU:,\Un,,
Eleonora RossiDrago,1948-1969,Omiccioli,Palmina,F,1925,,R:lead,Italy,,,
Norman Rossington,1958-1972,Rossington,Norman,M,1928,1999,R:character,Great Britain,,,
Leonard Rossiter,1964-1982,Rossiter,Leonard,M,1926,1984,R:character,Great Britain,,,
Lilian Roth,1920-1933,Rutstein,Lillian,F,1910,1980,R:lead,USA,,,
Richard Roundtree,1971-1973,Roundtree,Richard,M,1937,,R:black lead,USA,,,
Robert Rounseville,1951-1956,Rounseville,Robert,M,1914,1974,R:opera singer,USA,,,
Mickey Rourke,,,,M,1957,,R:cute,USA,,Mt(Carre Otis),
