stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Betty Garrett,1946-1975,Garrett,Betty,F,1919,199x,R:peppy,USA,,,
Eliza Garrett,,,,F,[1],199x,RU:,\Un,,
Leif Garrett,,,,M,[1],199x,RU:,\Un,,
Ellen Garrison,,,,F,[1],199x,RU:,\Un,,
John Garrick,1931-1939,Doudy,Reginald,M,1902,199x,R:`the other man',Great Britain,,,
Greer Garson,1939-1978,Garson,Greer,F,1908,199x,R:gentle aristocratic good looks,Great Britain(Ir),,"St(MGM) Lw(Richard Ney@{, Mrs.~Miniver})",
Jennie Garth,1994,Garth,Jennie,F,1972,199x,R:sr,USA,,,
Harold Gary,,,,M,[1],199x,RU:,\Un,,
Lorraine Gary,1975-1979,Gary,Lorraine,F,,199x,R:general purpose,USA,,Mt(Sid Sheinberg; Pres.MCA),
Marie-Louise Gassen,,,,F,[1],199x,RU:,\Un,,
Vittoria Gassman,1948-1982,Gassman,Vittoria,M,1922,199x,R:matinee idol,\It,,,
Lisa Gastoni,1954-1974,Gastoni,Lisa,F,1935,199x,R:lead,\It,,,
Larry Gates,1952-1969,Gates,Larry,F,1915,199x,"R:merchant, good guy",USA,,,
Nancy Gates,1942-1960,Gates,Nancy,F,1926,199x,R:lead,USA,,,
Marjorie Gateson,1931-1953,Gateson,Marjorie,F,1891,1977,R:dignified mien,USA,,,
Alexander Gauge,1949-1957,Gauge,Alexander,F,1914,1960,R:heavyweight,Great Britain,,,
Mikkel Gaup,1990,Gaup,Mikkel,M,1973,199x,R:brave,\No,,,
Fernand Gavet,,,,M,[1],199x,RU:,\Un,,
Erica Gavin,1974,,,F,,199x,RU:,USA,,Ww(Russ Meyer),
John Gavin,1960,,,M,1928,199x,R:lead,USA,,Ww(Hitchcock),
Peter Gawthorne,1929-1954,Gawthorne,Peter,M,1884,1962,R:pompous,Great Britain,,,
Gregory Gaye,1936-1958,Gaye,Gregory,M,1900,199x,R:character,USA,,,
George Gaynes,,,,M,[1],199x,RU:,\Un,,
Janet Gaynor,1926-1957,Gainer,Laura,F,1906,1984,R:wholesome,USA,,,
Mitzi Gaynor,1950-1963,vonGerber,Francesca Mitzi,F,1930,199x,R:light lead,USA,,,
Ben Gazzara,1957-1983,Gazzara,Ben,M,1930,199x,R:rebellious types,USA,,,
Michael Gazzo,,,,M,[1],199x,RU:,\Un,,
Ellen Geer,,,,F,[1],199x,RU:,\Un,,
Will Geer,1932-1978,Ghere,William,M,1902,1978,R:sinister old men,USA,,,
Judy Geeson,1967-1976,Geeson,Judy,F,1948,199x,R:lead,Great Britain,,,
Meg Gehrts,1913-1914,Gehrts,Emma Auguste,F,1891,1966,R:white wmoman in Africa,\Ge,mt(Schomburgk),,,,
Daniel Gelin,1949-1971,G\'elin,Daniel,M,1921,199x,R:lead,\Fr,,,
Guiliano Gemma,1962-1972,Gemma,Guiliano,M,1940,199x,R:speghetti westerns,\It,,,
Laura Gemser,1975-1978,,,F,[1],199x,R:nude,,,,,
Leo Genn,1935-1970,Genn,Leo,M,1905,1978,R:bland,Great Britain,,,
Linda Gentile,,,,F,[1],199x,RU:,\Un,,
Chief Dan George,1969-1979,George,Chief,M,1899,1981,RU:,Canada,
Christopher George,1968-1983,George,Christopher,M,1929,1983,R:lead,USA,,,
Gladys George,1920-1954,Clare,Gladys,F,1900,1954,R:lead,USA,,,
Grace George,1943-1943,George,Grace,F,1879,1961,RU:,USA,,,
Lynda Day George,1968-1983,Day,Linda,F,1944,199x,R:lead,USA,,Ty(Horr),
Muriel George,1932-1955,George,Muriel,F,1883,1965,"R:plump, charladies",Great Britain,,,
Nathan George,,,,M,[1],199x,RU:,\Un,,
Rita George,,,,F,[1],199x,RU:,\Un,,
Susan George,1967-1982,George,Susan,F,1950,199x,R:lead,Great Britain,,,
Carmelita Geraghty,1925,,,F,[1],199x,R:villain,USA,,Ww(Hitchcock),
Gil Gerard,1977-1983,Gerard,Gil,M,1943,199x,R:lead,USA,,,
Steve Geray,1934-1963,Gyergyay,Stefan,M,1904,1973,R:mild-mannered,\Hu,,,
Bill Gerber,,,,M,[1],199x,RU:,\Un,,
Richard Gere,1975-1983,Gere,Richard,M,1949,199x,R:lead,USA,[4.759],"lw(Cindy Crawdord; model, dob 1966)",
Flo Gerish,,,,F,[1],199x,RU:,\Un,,
Gene Gerrard,1931-1937,Gerrard,Gene,M,1892,1971,R:comedian,Great Britain,,,
John Getz,,,,M,[1],199x,RU:,\Un,,
Alice Ghostley,1954-1972,Ghostley,Alice,F,1926,199x,"R:revue comedienne, character",USA,,,
Stathis Giallelis,1963-1967,Giallelis,Stathis,M,1939,199x,RU:,\Gr,,,
Giancarlo Giannini,1966-1984,Giannini,Giancarlo,M,1942,199x,R:lead,\It,[4.177],,,
Judi Gibbs,,,,F,[1],199x,RU:,\Un,,
Colin Gibson,,,,M,[1],199x,RU:,\Un,,
Helen Gibson,1915-1951,Wenger,Rose August,F,1892,1977,R:lead,USA,,Mt(Hoot Gibson),
Henry Gibson,1964-1981,Gibson,Henry,M,1935,199x,R:diminutive comedy character,USA,[4.52],,,
Hoot Gibson,1915-1961,Richard,Edward,M,1892,1962,R:cowboy hero,USA,,,
Mel Gibson,1980-1982,Gibson,Mel,M,1951,199x,R:lead,Australia,[4.1163][9.219],Er(dob1956),
John Gielgud,1924-1991,Gielgud,Sir John,M,1904,199x,R:distinguished,Great Britain,,Ww(Hitchcock),
Stefan Gierasch,,,,M,[1],199x,RU:,\Un,,
Frank Gifford,,,,M,[1],199x,RU:,\Un,,
Gloria Gifford,,,,F,[1],199x,RU:,\Un,,
Billy Gilbert,1929-1962,Gilbert,Billy,M,1893,1971,R:character comedian,USA,,,
John Gilbert,1916-1935,Pringle,John,M,1895,1936,R:lead,USA,,,
Melissa Gilbert,,,,F,[1],199x,RU:,\Un,,
Bruce Gilchrist,,,,M,[1],199x,RU:,\Un,,
Connie Gilchrist,1941-1970,Gilchrist,Connie,F,1901,199x,R:character,USA,,,
Jack Gilford,1953-1982,Gellman,Jacob,M,1907,1990,R:comic,USA,,,
Maude Gill,,,,F,[1],199x,RU:,\Un,,
Dana Gillespie,,,,F,[1],199x,RU:,\Un,,
Anita Gillette,,,,F,[1],199x,RU:,\Un,,
William Gillette,1916-1916,Gillette,William,M,1855,1937,R:personified Sherlock Holmes,USA,,,
Stu Gilliam,,,,M,[1],199x,RU:,\Un,,
Terry Gilliam,,,,,[1],199x,RU:,\Un,,
Jean Gillie,1935-1947,Gillie,Jean,F,1915,1949,R:lead,Great Britain,,,
Claude Gillingwater,1921-1939,Gillingwater,Claude,M,1870,1939,R:irascible old man,USA,,,
Ann Gillis,1937-1946,O'Connor,Alma,F,1927,199x,R:child star,USA,,,
Margalo Gillmore,1932-1956,Gillmore,Margalo,F,1897,1986,RU:,USA,,,
Lowell Gilmore,1947-1954,Gilmore,Lowell,M,1907,1960,R:general purpose,USA,,,
Virginia Gilmore,1941,Gilmore,Virginia,F,,1986,RU:,USA,,,
Ian Gilmour,,,,M,[1],199x,RU:,\Un,,
Hermione Gingold,1936-1976,Gingold,Hermione,F,1897,1987,R:revue comedienne,Great Britain,,,
Robert Ginty,,,,M,[1],199x,RU:,\Un,,
Annie Girardot,1956-1981,Girardot,Annie,F,1931,199x,R:lead,\Fr,,,
Etienne Girardot,1912-1940,Girardot,Etienne,M,1856,1939,R:dapper,Great Britain-Fr,"[4.231,942]",,,
Dorothy Gish,1912-1963,Gish,Dorothy,F,1898,1968,R:silent,USA,,,
Lillian Gish,1914-1976,deGuiche,Lillian,F,1894,1993,R:fragile-looking,USA,,Si(Dorothy Gish) Aw(AFI#17),
Kathryn Givney,1948-1959,Givney,Kathryn,F,1897,1978,R:general purpose,USA,,,
Anton Glanzelius,,,,M,[1],199x,RU:,\Un,,
Yves Glary,,,,M,[1],199x,RU:,\Fr,,Er(sp name),
Gil Glasco,,,,M,[1],199x,RU:,\Un,,
Paul Michael Glaser,1971-1982,Glaser,Paul,M,1943,199x,R:lead,USA,,,
Sabine Glaser,,,,F,[1],199x,RU:,\Un,[4.16],,,
Ron Glass,,,,M,[1],199x,RU:,\Un,,
Jackie Gleason,1941-1983,Gleason,Jackie,M,1916,1987,R:heavyweight comedian,USA,[4.103][4.36],,,
Jimmie Gleason,1930-1958,Gleason,James Austin,M,1886,1959,R:hard-boiled comedy,USA,,,
Lucille Gleason,1929-1945,Gleason,Lucille,F,1886,1947,R:character,USA,,Mt(Jimmie Gleason),
Paul Gleason,,,,M,[1],199x,RU:,\Un,,
Russell Gleason,1929-1944,Gleason,Russell,M,1908,1945,R:juvenile actor,USA,,Ch(James and Lucille Gleason),
Roy Glenister,,,,M,[1],199x,RU:,\Un,,
Roy Glenn,1952-1971,Glenn,Roy,M,1901,1970,R:character,USA,,,
Scott Glenn,1973-1982,Glenn,Scott,M,1942,199x,R:lead,USA,,,
Sharon Gless,,,,F,[1],199x,RU:,\Un,,
Bruce Glover,,,,M,[1],199x,RU:,\Un,,Ty(Bond movies),
Crispin Glover,,,,M,[1],199x,RU:,\Un,,Ch(Bruce Glover),
Danny Glover,1976-1990,Glover,Danny,M,1947,199x,R:brave black sidekick,USA,,,,,
John Glover,1980,,,M,[1],199x,RU:,\Un,,
Julian Glover,1963-1981,Glover,Julian,M,1935,199x,R:general purpose,Great Britain,,,
Carlin Glynn,1986,Glynn,carlin,F,[1],199x,R:wife,,Mt(Pter Masterson) Pa(Mary Stuart Masterson),
Mary Glynne,1919-1937,Glynne,Mary,F,1898,1954,R:well-bred,Great Britain,,,
George Gobel,1956-1957,Gobel,George,M,1919,1991,R:little comic,USA,,,,,
Paulette Goddard,1931-1972,Levy,Marion,F,1911,1990,"R:pert, pretty",,,"Mt(Charlie Chaplin, Burgess Meredith, Erich Maria Remarque)",
Willoughby Goddard,1957-1959,Goddard,Willoughby,M,1932,199x,R:character,Great Britain,,,
Peter Godfrey,1939-1956,Godfrey,Peter,M,1899,1970,RU:,Great Britain,,Also p,,,
Jacques Godin,,,,M,[1],199x,RU:,\Un,,
Bernard Goetzke,1926,,,M,[1],199x,RU:,\Un,,Ww(Hitchcock),
John Goff,,,,M,[1],199x,RU:,\Un,,
Norris Goff,1940-1942,Goff,Norris,M,1906,1978,R:hillbilly: Abner,USA,,,
Gila Golan,1965-1969,Golan,Gila,F,1940,199x,R:lead,USA,,,
Whoopi Goldberg,1985-1991,Goldberg,Whoopi,F,1950,199x,R:black character,USA,,Lw(Ted Danson),
Jeff Goldblum,1974-1983,Goldblum,Jeff,M,1952,199x,R:lanky,USA,"[4.97,355]",Mt(Geena Davis),
Charles Goldner,1940-1954,Goldner,Charles,M,1900,1955,R:character,\Os,,,
Lelia Goldoni,1959-1981,Goldoni,Lelia,F,1938,199x,RU:,USA,,,
Matt Goldsby,,,,M,[1],199x,RU:,\Un,,
Clio Goldsmith,,,,F,[1],199x,RU:,\Un,,
Bobcat Goldthwait,,,,M,[1],199x,RU:,\Un,,
Arlene Golonka,,,,F,[1],199x,RU:,\Un,,
Minna Gombell,1931-1952,Gombell,Minna,F,1900,1973,R:hard-boiled roles,USA,,Also(Winifred Lee and Nancy Carter),
Thomas Gomez,1942-1970,Gomez,Thomas,M,1905,1971,R:character,USA,,,
Peter Gonzales,1972,Gonzales,Peter,M,19aa,199x,R:sr,USA,,,
Michael Goodliffe,1948-1975,Goodliffe,Michael,M,1914,1976,"R:officer, professional man",Great Britain,,,
Benny Goodman,1938-1955,Goodman,Benny,M,1909,199x,"R:clarinettist, bandleader",USA,,,
Dody Goodman,,,,,[1],199x,RU:,\Un,,
Bill Goodwin,1942-1956,Goodwin,Bill,M,1910,1958,R:genial type,USA,,,
Harold Goodwin,1950-1969,Goodwin,Harold,M,1917,199x,"R:cockney serviceman, small-time cook",Great Britain,,,
Suki Goodwin,,,,F,[1],199x,RU:,\Un,,
Allen Goorwitz,,,,M,[1],199x,RU:,\Un,,
Leo Gorcey,1937-1969,Gorcey,Leo,M,1915,1969,"R:tough, fast-talking",USA,,,
Colin Gordin,,,,M,[1],199x,RU:,\Un,,
Bruce Gordon,1950-1966,Gordon,Bruce,M,1919,199x,R:character,USA,,,
C.~Henry Gordon,1931-1940,Gordon,C.~Henry,M,1882,1940,R:maniacally evil villain,USA,,,
Colin Gordon,1947-1967,Gordon,Colin,M,1911,1972,R:mildly cynical civil servant,Great Britain,,,
Dexter Gordon,1982,,,M,,1990,R:musican,,,,,
Don Gordon,,,,M,[1],199x,RU:,\Un,,
Gale Gordon,1942-1968,Aldrich,Gaylord,M,1905,199x,"R:plump, fussy",USA,,,
Keith Gordon,,,,M,[1],199x,RU:,\Un,,
Leo Gordon,1953-1981,Gordon,Leo,M,1922,199x,R:thick-set,,,
Mary Gordon,1925-1947,Gordon,Mary,F,1882,1963,R:tiny,Great Britain; Scots,,,,,
Robert Gordon,,,,M,[1],199x,RU:,\Un,,
Ruth Gordon,1915-1983,Jones,Ruth Gordon,F,1896,1985,R:distinguished,USA,,Mt(Garson Kanin),
Marius Goring,1936-1978,Goring,Marius,M,1912,199x,R:neurotic or fey roles,Great Britain,,,
Cliff Gorman,1969-1980,Gorman,Cliff,M,1936,199x,R:lead,USA,,,
Lynee Gorman,,,,F,[1],199x,RU:,\Un,,
Karen Gorney,1977-1977,Gorney,Karen Lynn,F,,199x,R:lead,USA,,,
Frank Gorshin,1957-1981,Gorshin,Frank,M,1935,199x,R:wiry,USA,,,
Marjoe Gortner,1973-1979,Gortner,Marjoe,F,1941,199x,RU:,USA,,,
Lou Gossett,1968-1983,Gosset,Louis,M,1936,199x,R:soldier,USA,[4.759],,,
Lou Gossett~jr.,,Gosset,Louis,M,[1],199x,RU:,\Un,,
Walter Gotell,1959-1980,Gotell,Walter,M,,199x,R:KGB menace,Great Britain,,,
Ferdinand Gottschalk,1926-1936,Gottschalk,Ferdinand,M,1869,1944,R:balddomed,Great Britain,,,
Jetta Goudal,1924-1932,Goudal,Jetta,F,1898,199x,R:lead,\Fr,,,
Michael Gough,1946-1983,Gough,Michael,M,1917,199x,R:homicidal roles,Great Britain,,,
Elliott Gould,1966-1982,Goldstein,Elliott,M,1938,199x,R:unhandsomeness,USA,[4.82],,,
Harold Gould,1971-1980,Gould,Harold,M,1923,199x,R:light character,USA,,,,Jason Gould,1991,Gould,Jason,M,,\UN,younfg,USA,,Ch(Barbra Steisand),
Robert Goulet,1963-1980,Applebaum,Stanley,M,1933,199x,R:lead,Canada,,,
Michael Gover,,,,M,[1],199x,RU:,\Un,,
Gibson Gowland,1917-1937,Gowland,Gibson,M,1872,1951,R:character,Great Britain,,,
Harry Goz,,,,M,[1],199x,RU:,\Un,,
Patricia Gozzi,1962-1965,Gozzi,Patricia,F,1950,199x,R:juvenile,\Fr,,,
Betty Grable,1930-1955,Grable,Ruth Elizabeth,F,1916,1973,R:pinup,USA,,,
Nickolas Grace,,,,M,[1],199x,RU:,\Un,,Cit(1),
Gerrit Graham,,,,M,[1],199x,RU:,\Un,,Er(Garth) Cit(4),
Gloria Grahame,1944-1980,Hallward,Gloria,F,1924,1981,R:offbeat blonde,USA,,,
Margot Grahame,1930-1957,Grahame,Margot,F,1911,199x,R:lead,Great Britain,,,
Alexander Granach,1923-1944,Granach,Alexander,M,1890,1945,R:character,\Po,,,
Farley Granger,1943-1978,Granger,Farley,M,1928,199x,R:weird lead,USA,[12.197],Ww(Hitchcock),
Stewart Granger,1933-1977,Stewart,James Lablanche,M,1913,1993,R:lead,Great Britain,,,
Cary Grant,1932-1966,Leach,Archibald,M,1904,1986,R:handsome debonair,Great Britain,[4.1123][37.326] VT(HP7),"Ww(Hitchcock) Mt(, Dyan Cannon, Betsy Drake) Aw(AA special; 1969) Aw(AFI#2)",
Kathryn Grant,1953-1960,Grandstaff,Olive,F,1933,199x,R:lead,USA,,Mt(Bing Crosby),
Lawrence Grant,1921-1945,Grant,Lawrence,M,1870,1952,R:character,Great Britain,,,
Lee Grant,1951-1983,Rosenthal,Lyova,F,,199x,R:dynamic,USA,,,
Richard E. Grant,1992,Grant,Richard E.,M,,199x,R:competent,Great Britain,,,
Bonita Granville,1932-1967,Granville,Bonita,F,1923,1988,R:child actress,USA,,,
Charley Grapewin,1930-1951,Grapewin,Charley,M,1869,1956,R:character,USA,,,
Peter Graves,1950-1988,Aurnes,Peter,M,1925,199x,R:suave,USA,[34.261],Ww(Hitchcock),
Peter Graves,1941-1976,Graves,Peter,M,1911,199x,R:light comic,Great Britain,,,
Fernand Gravet,1933-1969,Martens,Fernand,M,1904,1970,R:debonair,\Fr,,,
Billy Gray,1946-1962,Gray,Billy,M,1940,199x,R:juvenile actor,USA,,,
Charles Gray,1960-1978,Gray,Donald M.,M,1928,199x,R:smooth unsympathetic,Great Britain,,,
Colleen Gray,1947-1968,Jensen,Doris,F,1922,199x,R:lead,USA,,,
Dolores Gray,1954-1957,Gray,Dolores,F,1924,199x,R:statuesque,USA,,,
Erin Gray,,,,,[1],199x,RU:,\Un,,
Joel Gray,,,,M,[1],1998x,R:dancer,USA,,
Nadia Gray,1949-1967,Gray,Nadia,F,1923,199x,R:lead,\Ru-\Rm,,,
Sally Gray,1930-1952,Stevens,Constance,F,1916,199x,R:heroine,Great Britain,,,
Kathryn Grayson,1940-1976,Hedrick,Zelma,F,1922,199x,R:singing star,USA,,,
Juliette Greco,1949-1960,Greco,Juliette,F,1927,199x,R:singer,\Fr,,,
Danny Green,1937-1959,Green,Danny,M,1903,199x,"R:cheerful, menacing",Great Britain,,,
Gilbert Green,,,,M,[1],199x,RU:,\Un,,
Keith Green,,,,M,[1],199x,RU:,\Un,,
Marika Green,,,,F,[1],199x,RU:,\Un,,
Martyn Green,1939-1968,Green,Martyn,M,1899,1975,R:light opera singer,Great Britain,,,
Nigel Green,1956-1971,Green,Nigel,M,1924,1972,R:dominant,Great Britain,,,
Seth Green,,,,M,[1],199x,RU:,\Un,,
Graham Greene,1934-1973,Greene,Graham,M,1904,199x,R:distinguished,Great Britain,,Nt(novelist) Er(actor),
H.Richard Greene,,,,M,[1],199x,RU:,\Un,,
Leon Green,1967-1976,Green,Leon,M,,199x,R:stalwart,Great Britain,,,
Lorne Greene,1954-1981,Greene,Lorne,M,1915,1987,R:solidly built,Canada,,,
Mean Joe Greene,,,,M,[1],199x,RU:,\Un,,
Michael Greene,,,,M,[1],199x,RU:,\Un,,
Richard Greene,1938-1972,Greene,Richard,M,1914,85,R:good-looking,Great Britain,,,
Raymond Greenleaf,1941-1950,Greenleaf,Raymond,M,1892,1963,R:lead,USA,,,
Sidney Greenstreet,1941-1950,Greenstreet,Sidney,M,1879,1954,"R:immense, swindler",Great Britain,[4.666],Ww(Peter Lorre),
Charlotte Greenwood,1918-1956,Greenwood,Charlotte,F,1890,1978,R:tall comedienne,USA,,,
Joan Greenwood,1940-1978,Greenwood,Joan,F,1921,1987,R:plummy-voiced,Great Britain,,,
John Greenwood,1930-1952,Greenwood,John,M,1889,1975,R:composer,Great Britain,,,
Jane Greer,1945-1974,Greer,Bettyjane,F,1924,199x,R:cool,USA,,nt(first used Bettyjane),
Clare Greet,,,,F,[1],199x,RU:,\Un,,
Everley Gregg,1932-1945,Gregg,Everley,F,1898,1959,R:character,Great Britain,,,
Nora Gregor,1929-1939,Gregor,Nora,F,1890,1949,R:lead,\Os,,,
Andre Gregory,,,,M,[1],199x,RU:,\Un,,
Celia Gregory,,,,F,[1],199x,RU:,\Un,,
Dora Gregory,,,,F,[1],199x,RU:,\Un,,
James Gregory,1948-1979,Gregory,James,M,1911,199x,"R:heavy, cop",USA,[4.147][34.322],Ww(Hitchcock),
Mark Gregory,,,,M,,199x,R:[1],,,
John Gregson,1948-1971,Gregson,John,M,1919,1975,R:likeable,Great Britain; Scots,,,,,
Robert Greig,1930-1948,Greig,Robert,M,1880,1958,R:servant,Australia,,,
Joyce Grenfell,1942-1964,Phipps,Joyce,F,1910,1979,R:refined gaucherie,Great Britain,,,
Anne Grey,,,,F,"[1][1,6]",199x,RU:,\Un,,Ww(Hitchcock),
Jennifer Grey,1987,Grey,Jennifer,F,1960,199x,R:singer and dancer,USA,,"Ch(Joel Grey) Lw(Mathew Broderick, Johnny Depp)",
Joel Grey,1952-1976,Katz,Joe,M,1932,199x,R:singer and dancer,USA,[4.96],,,
Lita Grey,1920-1930,MacMurray,Lillita,F,1909,199x,R:juvenile,USA,,Mt(Charlie Chaplin) Pa(Sydney Chaplin),
Nan Grey,1934-1941,Miller,Eschol Loleet,F,1918,1993,R:blonde,USA,[4.521],"Mt(,Frankie Laine)",
Virginia Grey,1927-1970,Grey,Virginia,F,1917,199x,R:lissome blonde,USA,,"Ch(Ray Grey) Lw(Clark Gable,?)",
Robert Grieg,,,,M,[1],199x,RU:,\Un,,
Helmut Griem,1969-1979,Griem,Helmut,M,,199x,R:lead,\Ge,[4.97],,,
David Alan Grier,,,,M,[1],199x,RU:,\Un,,
Pam Grier,1970-1983,Grier,Pam,F,1949,199x,R:lead,USA,,,
Rosie Grier,,,,F,[1],199x,RU:,\Un,,
Ethel Griffies,1931-1963,Woods,Ethel,F,1878,1975,R:character,Great Britain,,,
Andy Griffith,1957-1979,Griffith,Andy,M,1926,199x,"R:tall, slow-speaking",USA,,,
Corinne Griffith,1922-1952,Griffith,Corinne,F,1898,1979,R:lead,USA,,,
Hugh Griffith,1940-1977,Griffith,Hugh,M,1912,1980,R:flamboyant,Great Britain,,,,

Kenneth Griffith,1941-1973,Griffith,Kenneth,M,1921,199x,R:sharp-eyed,Great Britain; Welsh,,,,,
Kirstin Griffith,,,,F,[1],199x,RU:,\Un,,
Melanie Griffith,1975-1990,Griffith,Melanie,F,[1],199x,R:innocent blonde,USA,,"Ch(Tippi Hefren), Mt(Don Johnson,Don Johnson)",
Simone Griffith,,,,F,[1],199x,RU:,\Un,,
Tracy Griffith,,,,M,[1],199x,RU:,\Un,,
Jane Griffiths,1954-1963,Griffiths,Jane,F,1929,1975,R:lead,Great Britain,,,
Ele Grigsby,,,,F,[1],199x,RU:,\Un,,
Dan Grimaldi,,,,M,[1],199x,RU:,\Un,,
Gary Grimes,1971-1976,Grimes,Gary,M,1955,199x,R:juvenile lead,USA,,,
Jonathan Griss,,,,M,[1],199x,RU:,\Un,,
Claire Griswold,1963,,,F,,199x,R:cold beauty,\Un,[34.270],Ww(Hitchcock) Mt(Sidney Pollack),
George Grizzard,1960-1980,Grizzard,George,M,1925,199x,R:sneaky roles,USA,,,
Charles Grodin,1968-1981,Grodin,Charles,M,1935,199x,R:lead,USA,,,
Ake Groenberg,,,,,[1],199x,RU:,\Un,,
Herbert Gronemeyer,,,,M,[1],199x,RU:,\Un,,
Sam Groom,,,,M,[1],199x,RU:,\Un,,
Muriel Gross,,,,F,[1],199x,RU:,\Un,,
Linda Grovenor,,,,F,[1],199x,RU:,\Un,,
Gustav Grundgens,1931,"Gr\""undgens",Gustav,M,[1],199x,RU:,\Ge,,,,
Oliver Gruner,1988-1999,Gruner,Oliver,M,1960,199x,R:king-fu fighter,\Fr,,,
Dominic Guard,1970-1975,Guard,Dominic,M,1925,199x,R:lead,USA,,,
Harry Guardino,1958-1980,Guardino,Harry,M,1925,199x,R:lead,USA,,,
Francois Guerin,1959,Gu\'erin,Francois,M,19aa,199x,R:sr,\Fr,,,
Ruy Guerra,,,,M,[1],199x,RU:,\Un,,
Christopher Guest,,,,M,[1],199x,RU:,\Un,,
Lance Guest,,,,M,[1],199x,RU:,\Un,,
Nicholas Guest,,,,M,[1],199x,RU:,\Un,,
