stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Conchata Ferrell,1978-1981,Ferrell,Conchata,F,1943,,R:character,USA,,,
Jose Ferrer,1948-1983,Ferrer y Centron,Jose Vincente,M,1909,1992,R:distinguished,USA,,Nt(Puerto Rican origin),
Mel Ferrer,1949-1981,Ferrer,Mel,M,1917,,R:sensitive-looking,USA,,"Also(D,P,W)",
Benoit Ferreux,1970,,,M,1955,,R:sensitive,France,,,
Noel Ferrier,,,,F,[1],,RU:,\Un,,
Lou Ferrigno,,,,M,[1],,RU:,\Un,,
Gabrielle Ferzetti,1948-1976,Ferzetti,Pasquale,M,1925,,R:lead,Italy,,,
Stepin Fetchit,1929-1953,Perry,Lincoln,M,1898,1985,R:slow moving black servant,USA,,,
Edwige Feuillere,1930-1964,Cunati,Edwige,F,1907,,R:distinguished,France,,,
Lewis Fiander,1971-1978,Fiander,Lewis,M,1938,,RU:,Australia,,,
John Fiedler,1957-1982,Fiedler,John,M,1925,,"R:mild, bespectacled",USA,,,
Betty Field,1939-1968,Field,Betty,F,1918,1973,RU:,USA,[4.920],,,
Karen Field,,,,F,[1],,RU:,\Un,,
Mary Field,1941-1948,Field,Mary,F,1905,,R:prissy spinster,USA,,,
Sally Field,1965-1993,Field,Sally,F,1946,,R:diminutive neatnick,USA,,,
Shirley Anne Field,1956-1966,Field,Shirley Anne,F,1938,,R:lead,Great Britain,[4.112],,,
Sid Field,1946-1948,Field,Sid,M,1904,1950,R:comedian,Great Britain,,,
Virginia Field,1935-1965,Field,Margaret Cynthia,F,1917,,R:second lead,Great Britain,,,
Edward Fielding,,,,M,[1],,RU:,\Un,,
Fenella Fielding,1962-1969,Fielding,Fenella,F,1930,,R:outrageously exaggerated roles,Great Britain,,,
Margaret Fielding,,,,F,[1],,RU:,\Un,,
Marjorie Fielding,1943-1953,Fielding,Marjorie,F,1892,1956,R:strict but kindly gentlewomen,Great Britain,,,
Charles Fields,,,,M,[1],,RU:,\Un,,
Gracie Fields,1931-1945,Stansfield,Gracie,F,1898,1979,R:inimitable voice,Great Britain,,,
W.C. Fields,,Dukenfield,William Claude,M,,,R:jolly,USA,"[4.518,696]",,,
Tom Filer,,,,M,[1],,RU:,\Un,,
Dennis Fimple,,,,M,[1],,RU:,\Un,,
Flora Finch,,Finch,Flora,F,1869,1940,RU:,Great Britain,,,
Jon Finch,1970-1978,Finch,Jon,M,1941,,R:lead,Great Britain,,Nt(now in spanish films) Ww(Hitchcock),
Peter Finch,1937-1976,Finch,Peter,M,1916,1977,R:thoughtful-looking,Great Britain,[4.108],,,
T.G. Finkbinder,,,,M,[1],,RU:,\Un,,
Frank Finlay,1962-1982,Finlay,Frank,M,1926,,RU:,Great Britain,,,
James Finlayson,1921-1951,Finlayson,James,M,1877,1953,R:`double take and fade away',Great Britain; Scots,,,,,
William Finley,,,,M,[1],,RU:,\Un,,
Warren Finnerty,,,,M,[1],,RU:,\Un,,
Albert Finney,1959-1983,Finney,Albert,M,1936,,RU:,Great Britain,[4.898][4.112],,,
Shirley Jo Finney,,,,F,[1],,RU:,\Un,,
Elena Fiore,,,,F,[1],,RU:,\Un,[4.179],,,
Eddie Firestone,,,,M,[1],,RU:,\Un,,
Peter Firth,1971-1983,Firth,Peter,M,1953,,R:juvenile character lead,Great Britain,,,
Frances Fisher,,,,F,1952,,RU:,USA,,Lw(Clint Eastwood ) Er(Frances Farmer),
O.W. Fischer,1942-1965,Fischer,O.W.,M,1915,1973,R:lead,Austria,,,
Larry Fishburne,,,,M,[1],,RU:,\Un,,
Carrie Fisher,1975-1980,Fisher,Carrie,F,1956,,R:strong personality,USA,,"Ch(Debbie Reynolds, Eddie Fisher) Also(W,B) Mt(Paul Simon.) Lw(Dan Ackroyd, Brian Lord)",
Cindy Fisher,,,,F,[1],,RU:,\Un,,
Eddie Fisher,1950-1966,Fisher,Edwin Jack,M,1928,,RU:,\Un,,"Mt(Debbie Reynolds, Connie Stevens) P(Carrie Fisher)",
Frances Fisher,,,,F,[1],,RU:,\Un,,
Minnie Maddern Fiske,1913-1915,Fiske,Minnie,F,1866,1932,RU:,USA,,,
Barry Fitzgerald,1930-1959,Shields,William,M,1888,1961,R:diminutive,Ireland,,,
Ella Fitzgerald,1941-1960,Fitzgerald,Ella,F,1918,,R:singer,USA,,,
Geraldine Fitzgerald,1935-1983,Fitzgerald,Geraldine,F,1912,,R:lead,Ireland,,,
Walter Fitzgerald,1930-1962,Bond,Walter,M,1896,1976,R:character,Great Britain,,,
Paul Fix,1928-1977,Morrison,Paul Fix,M,1901,1983,"R:sheriffs, doctors",USA,,,
Fannie Flagg,1970-1978,Flagg,Fannie,F,,,R:comedienne,USA,,,
Steve Flagg,1953,St. Angel,Michael,M,,,RU:,Or,,Alias(Michael StAngel),
Kirsten Flagstad,1938-1938,Flagstad,Kirsten,F,1895,1962,R:operatic soprano,Norway,,,
Ed Flanders,1971-1981,Flanders,Ed,M,1934,,R:Truman impersonator,USA,[9.218],,,
Susan Flannery,1974-1979,Flannery,Susan,F,1943,,R:general purpose,USA,,,
James Flavin,1933-1967,Flavin,James,M,1906,1976,R:genial or bewildered cop,USA,,,
Rhonda Fleming,,Louis,Marilyn,F,1922,,R:lead,USA,,Ww(Hitchcock) Mt(Hall Bartlett) Pa(Kent Lane),
Cyril Fletcher,1943-1948,Fletcher,Cyril,M,1913,,R:comedian,Great Britain,,,
Louise Fletcher,1974-1983,Fletcher,Louise,F,1936,,R:character,USA,[4.234],,,
Jay C. Flippen,1934-1971,Flippen,Jay C.,M,1898,1971,R:bulky cop,USA,,,
"George ""Buck"" Flower",,,,M,[1],,RU:,\Un,,
Darlanne Fluegel,1978-1984,,,F,1958,,R:leggy Blonde,,,
Joel Fluellen,1946-1976,Fluellen,Joel,M,,,R:character,USA,,,
Errol Flynn,1933-1959,Flynn,Errol,M,1909,1959,"R:swashbuckler, drunk",Australia,,"Also(W,P,D) Mt(Lili Damita, Nora Eddington, Patrice Wymore)",
Joe Flynn,1956-1977,Flynn,Joe,M,1924,1974,R:bespectacated comedian,USA,,,Nt(in McHale's Navy),
Sean Flynn,1960-1970,Flynn,Sean,M,1941,1970,R:lead,USA,,Ch(Errol Flynn),
Nina Foch,1943-1988,Fock,Nina Consuelo Maud,F,1924,,R:chic cool blonde,Holland,,Ch(Consuelo Flowerton),
Bridget Fonda,1989-1992,Fonda,Bridget,F,1964,,RU:,USA,,Ch(Peter Fonda) Lw(Eric Stoltz),
Henry Fonda,1942-1956,,,M,1905,1982,R:gauche sophisticated romantic,USA,[4.420],"Ww(Hitchcock) Mt(Frances Brokaw,,Margaret Sullavan ,,) Aw(AA honorary; 1982) Aw(AFI#6)",
Jane Fonda,1960-1988,Fonda,Jane,F,1937,,R:liberated,USA,[9.154],"Ch(Henry Fonda) Mt(Roger Vadim, Sterling Hayden, Ted Turner) Lw(Donald Sutherland@{Klute})",
Peter Fonda,1963-1982,Fonda,Peter,M,1939,,RU:,USA,[4.22],Ch(Henry Fonda),
Leo Fong,,,,M,[1],,RU:,\Un,,
Joan Fontaine,1935-1979,deHavilland,Joan de Beauvoir,F,1917,,R:shy,Great Britain,[34.260][4.534],"Alias(Joan Burfield) Mt(Brian Aherne, William Dozier, Collier Young, 4) Ww(Hitchcock)",
Genevieve Fontanel,1977,Fontanel,Genevi\`eve,F,[1],,RU:,France,[4.19],Cit(1),
Margot Fonteyn,1983,Hookham,Peggy,F,,1991,R:ballet dancer,Great Britain,,,,
Dick Foran,1934-1964,Foran,Nicholas,M,1910,1979,R:burly,USA,,,
Bryan Forbes,1948-1964,Clarke,John,M,1926,,R:lively,Great Britain,,,
Mary Forbes,1929-1956,Forbes,Mary,F,1882,1974,R:haughty society lady,Great Britain,,,
Ralph Forbes,1921-1944,Taylor,Ralph,M,1902,1951,R:lead,Great Britain,,,
David Ford,,,,M,[1],,RU:,\Un,,
Dorothy Ford,1944-1954,Ford,Dorothy,F,1923,,R:tall,USA,,,
Francis Ford,1912-1952,Ford,Francis,M,1883,1953,"R:grizzled, cheery westerner",USA,,,
Glenn Ford,1939-1980,Ford,Gwyllyn,M,1916,1992,R:stocky,Canada,[4.401],,,
Harrison Ford,1932-1990,Ford,Harrison,M,1917,,R:action lead,USA,,"Er(dob, dow 1942-)",
Paul Ford,1945-1967,Weaver,Paul Ford,M,1901,1976,R:character,USA,,,
Wallace Ford,1932-1966,Grundy,Sam,M,1897,1966,R:general purpose,Great Britain,,,
Deborah Foreman,,,,F,[1],,RU:,\Un,,
Mark Forest,1960-1964,Degni,Lou,M,1933,,R:muscle man,USA,,,
George Formby,1933-1946,Formby,George,M,1905,1961,R:toothy grin,Great Britain,,,
Frederic Forrest,1972-1983,Forrest,Frederic,M,,,R:lead,USA,,,
Mike Forrest,,,,M,[1],,RU:,\Un,,
Steve Forrest,1952-1983,Andrews,William Forrest,M,1924,,R:lead,USA,[34.101],Si(Dana Andrews) Ww(Hitchcock),
Constance Forslund,,,,F,[1],,RU:,\Un,,
Robert Forster,1967-1983,Forster,Robert,M,1942,,R:sardonic-looking,USA,,,
Rudolph Forster,1932-1932,Forster,Rudolph,M,1884,1968,R:heavy personality,Germany,,,
Bruce Forsyth,1968-1971,Forsyth,Bruce,M,1927,,"R:bouncy, beaming",Great Britain,,,
Rosemary Forsyth,1965-1978,Forsyth,Rosemary,F,1944,,R:lead,USA,,,
Henderson Forsythe,,,,M,[1],,RU:,\Un,,
John Forsythe,1943-1981,Freund,John,M,1918,,R:smooth,USA,,Ww(Hitchcock),
Nick Apollo Forte,,,,M,[1],,RU:,\Un,,
Brigitte Fossey,1952-1982,Fossey,Brigitte,F,1945,,R:juvenile,France,[4.18],,,
Barry Foster,1956-1983,Foster,Barry,M,1931,,R:comic relief,Great Britain,,Ww(Hitchcock),
Dianne Foster,1951-1963,Laruska,D.,F,1928,,R:lead,Canada,,,
Jodie Foster,1972-1982,Foster,Alicia Christian,F,1962,,R:child actress,USA,[4.119],Also(D),
John Foster,,,,M,[1],,RU:,\Un,,
Julia Foster,1963-1972,Foster,Julia,F,1941,,R:lead,Great Britain,,,
Meg Foster,1971-1984,Foster,Meg,F,,,R:striking blue eyes,USA,,,
Norman Foster,1929-1967,Foster,Norman,M,1900,1976,R:lead,USA,,,
Phil Foster,,,,M,[1],,RU:,\Un,,
Preston Foster,1930-1968,Foster,Preston,M,1901,1970,R:handsome,USA,,,
Robert Foster,,,,M,[1],,RU:,\Un,,
Susanna Foster,1940-1945,Larsen,Susan,F,1924,,R:operatic singer,USA,[4.406],,,
Byron Foulger,1937-1969,Foulger,Byron,M,1900,1970,"R:worried, bespeckled clerk",USA,,,
Susannah Fowle,,,,F,[1],,RU:,\Un,,
Harry Fowler,1942-1977,Fowler,Harry,M,1926,,R:cockney,Great Britain,,,
Douglas Fowley,1934-1977,Fowley,Douglas,M,1911,,R:nervous and comic gangster,USA,,,
Bernard Fox,1956-1977,Fox,Bernard,M,,,R:stiff gent,Great Britain,,,
Edward Fox,1967-1984,Fox,Edward,M,1937,,R:diffident,Great Britain,,,
James Fox,1963-1984,Fox,James,M,1939,,R:weakling,Great Britain,,,
Michael J. Fox,1989,Fox,Michael J.,M,1961,,R:cute,USA,,Lw(Tracy Pollan),
Sidney Fox,1931-1934,Fox,Sidney,F,1910,1942,R:lead,USA,,,
William Fox,,Fried,Wilhelm,M,1879,1952,RU:,Hungary,,Nt(primarily P),
Red Foxx,1990,Sanford,John Elroy,M,1922,1991,RU:,cantankerous,USA,,,,
Eddie Foy~jr.,1940-1967,Foy~jr,Eddie,M,1905,1983,R:vaudeville,USA,,Ch(Eddie Foy~sr),
C.V. France,1931-1944,France,C.V.,M,1868,1949,RU:,Great Britain,,Ww(Hitchcock),
Rolla France,,,,M,[1],,RU:,\Un,,
Victor Francen,1921-1966,Francen,Victor,M,1888,1977,R:spy dramas,Belgium,,,
Anthony Franciosa,1957-1982,Papaleo,Anthony,M,1928,,R:lithe and light grin,USA,,,
Alec B. Francis,1919-1934,Francis,Alec B.,M,1869,1934,R:elderly gentleman,Great Britain,,,
Anne Francis,1948-1972,Francis,Anne,F,1930,,R:lead,USA,,Ww(Hitchcock),
Arlene Francis,1943-1963,Francis,Arlene,M,1908,,R:lead,USA,,,
Connie Francis,1963-1965,Franconero,Constance,F,1938,,R:pop singer,USA,,,
Eve Francis,1922,Francis,Eve,F,,,R:lead,France,,Mt(Delluc),
Ivor Francis,1970-1978,Francis,Ivor,M,,,R:character,USA,,,
Kay Francis,1929-1946,Gibbs,Katherine,F,1899,1968,R:serious-faced,USA,,,
Robert Francis,1954-1955,Francis,Robert,M,1930,1955,R:lead,USA,,,
James Franciscus,1956-1982,Franciscus,James,M,1934,1991,R:lead,USA,,,
Don Francks,1968-1968,Francks,0Don,M,1932,,R:singer,Canada,,,
Jacques Francois,1951,Francois,Jacques,M,,,R:sr,France,,,
Ben Frank,,,,M,[1],,RU:,\Un,,
Charles Frank,1947-1953,Frank,Charles,M,1910,,RU:,Great Britain,,Also(D),
Richard Frank,,,,M,[1],,RU:,\Un,,
Steve Franken,,,,M,[1],,RU:,\Un,,
Paul Frankeur,,,,M,[1],,RU:,\Un,,
Aretha Franklin,,,,F,[1],,R:singer,,,
Pamela Franklin,1961-1976,Franklin,Pamela,F,1949,,R:juvenile,Great Britain,,,
James Franks,,,,M,[1],,RU:,\Un,,
Arthur Franz,1948-1982,Franz,Arthur,M,1920,,"R:lead, character",USA,,,
Eduard Franz,1948-1978,Franz,Eduard,M,1902,1983,R:character,USA,,,
Bill Fraser,1969,Fraser,William,M,,1987,R:lead,,,,
John Fraser,1953-1977,Fraser,John,M,1931,,R:lead,Great Britain,,,
Liz Fraser,1958-1977,Fraser,Liz,F,1933,,R:dumb cockney blonde,Great Britain,,,
Richard Fraser,1941-1951,Fraser,Richard,M,1913,1971,R:lead,Great Britain(Scots),
Ronald Fraser,1959-1982,Fraser,Ronald,M,1930,,R:stocky,Great Britain,,,
William Frawley,1933-1963,Frawley,William,M,1887,1966,"R:stocky, cigar-chewing",USA,,,
Robert Frazer,,,,M,[1],,RU:,\Un,,
Sheila Frazer,,,,F,[1],,RU:,\Un,,
Lynn Frederick,1970-1979,Frederick,Lynn,F,*,,R:lead,Great Britain,,Mt(Peter Sellers),
Pauline Frederick,1915-1938,Frederick,Pauline,F,1883,1938,R:lead,USA,,,
Vicki Frederick,,,,F,[1],,RU:,\Un,,
Alan Freed,,,,M,[1],,RU:,\Un,,
Bert Freed,1960-1979,Freed,Bert,M,,,R:burly,USA,,,
Paul Freedman,,,,M,[1],,RU:,\Un,[4.101],,,
Al Freeman~jr,1964-1971,Freeman~jr,Al,M,1934,,R:lead,USA,,,
Amy Freeman,,,,F,[1],,RU:,\Un,,
Howard Freeman,1943-1965,Freeman,Howard,M,1899,1967,R:comic,USA,,,
Kathleen Freeman,1947-1974,Freeman,Kathleen,F,1919,,R:character,USA,,,
Mona Freeman,1944-1958,Freeman,Monica,F,1926,,R:troublesome teenager,USA,,,
Paul Freeman,,,,M,[1],,RU:,\Un,,
Morna Freeman,,,,F,[1],,RU:,\Un,[4.992],,,
Morgan Freeman,,,,M,[1],,RU:,\Un,,
Leslie French,1941-1986,French,Leslie,M,1899,,R:diminutive,Great Britain,,,
Pierre Fresnay,1915-1960,Laudenbach,Pierre-Jules-Lions,M,1897,1975,R:[6],France,,Ww(Hitchcock) Mt(Yvonne Printemps),
Bernard Fresson,1959-1946,Fresson,Bernard,M,1933,,RU:,France,,Ww(Resnais),
Leonard Frey,1970-1981,Frey,Leonard,M,1938,,R:character,USA,,,
Sauri Frey,,,,M,[1],,RU:,\Un,,
Jonathan Frid,1970-1990,Frid,Jonathan,M,1925,,R:vampire,Or,,,,,
Blanche Friderici,1922-1934,Friderici,Blanche,F,1878,1933,"R:stark, dour presence",USA,,Er(dob),
Steve Friedman,,,,M,[1],,RU:,\Un,,
John Friedrich,,,,M,[1],,RU:,\Un,,
Philip Friend,1941-1962,Friend,Philip,M,1915,,R:lead,Great Britain,,,
Willy Fritsch,1928-1947,Fritsch,Willy,M,1901,1973,R:jovial,Germany,,,
Gert Frobe,1954-1980,"Fr\""obe",Gert,M,1913,1988,R:villain,Germany,[4.76],,,
Gustav Froehlich,1926-1931,"Fr\""ohlich",Gustav,M,,1987,R:sr,,,,
Dominic Frontiere,1956-1981,Frontiere,Dominic,M,1931,,RU:,USA,,Nt(primarily composer),
Dwight Frye,1930-1943,Frye,Dwight,M,1899,1943,R:character,USA,,,
Eric Fryer,,,,M,[1],,RU:,\Un,,
Alan Fudge,,,,M,[1],,RU:,\Un,,
Dale Fuller,,,,M,[1],,RU:,\Un,,
Dolores Fuller,,,,F,[1],,RU:,\Un,,
Lance Fuller,,,,M,[1],,RU:,\Un,,
Robert Fuller,1966-1977,Fuller,Robert,M,1934,,R:lead,USA,,,
Fiona Fullerton,1969-1972,Fullerton,Fiona,F,1955,,R:juvenile,Great Britain,,,
Jessie Lee Fulton,,,,M,[1],,RU:,\Un,,
Annette Funicello,1957-1966,Funicello,Annette,F,1942,,R:lead,USA,,,
Yvonne Furneaux,1952-1966,Furneaux,Yvonne,F,1928,,R:lead,France,,,
Judith Furse,1939-1959,Furse,Judith,F,1912,,R:character,Great Britain,,,
Eddie Furlong,,Furlong,Edward,M,1977,,RU:,\Un,,
Stephen Furst,,,,M,[1],,RU:,\Un,,
Will Fyffe,1934-1947,Fyffe,Will,M,1884,1947,R:comedian,Great Britain; Scots,,,,,
