stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Steve Allen,1949-1989,Allen,Steve,M,1921,199x,R:dry comic,USA,,"Also(radio, TV)",
Woody Allen,1965-1983,Konigsberg,Allen Stewart,M,1935,199x,R:confused innocent,USA,[4.818][4.2],"Mt(Harlene Rosen, Louise Lasser, Mia Farrow, Sun Yee)",
Joseph Allen~jr.,,,,M,[1],199x,RU:,\Un,[4.780],,,
Kirstie Alley,1982-1990,Alley,Kirstie,F,[1],199x,R:spunky,USA,,,
Sara Allgood,1918-1950,Allgood,Sara,F,1883,1950,R:amiable,\Ir,,Ww(Hitchcock),
Claud Allister,1929-1953,Palmer,Claud,M,1891,1970,R:silly monocled,Great Britain,,,
Astrid Allwyn,1932-1943,Allwyn,Astrid,F,1909,1978,R:lead,\Sw,,,
June Allyson,1943-1978,Geisman,Ella,F,1917,199x,R:tomboy tease,USA,,Mt(dick Powell),
Pedro Almodovar,,Almodovar,Pedro,M,[1],199x,R:wild,\Sp,,Mainly(D),
Maria Conchita Alonso,,,,F,[1],199x,RU:,\Un,,Cit(1),
Corinne Alphen,1983,,,F,[1],199x,R:beauty,\Un,,Cit(2),
Kirk Alyn,1942-1950,Alyn,Kirk,M,1910,199x,R:lead,USA,,,
Betty Amann,,,,F,[1],199x,RU:,\Un,,Cit(1),
Leonora Amar,,,,F,[1],199x,RU:,\Un,,Cit(1),
Don Ameche,1936-1983,Amici,Dominic Felix,M,1908,1993,R:pleasant hero,USA,,,
Lucio Amelio,,,,M,[1],199x,RU:,\Un,,Cit(1),
Leon Ames,1932-1972,Wycoff,Leon,1903,1993,199x,"R:harassed or kindly father, suave professional man",USA,,Mainly(TV; Mr.Ed's neighbor),
Ramsay Ames,1944-1963,Philips,Ramsay,F,1919,199x,R:lead,USA,,,
Suzy Amis,1993,Amis,Suzy,F,1962,199x,R:handsome,USA,,Mt(Sam Robard),
John Amos,,,,M,[1],199x,RU:,\Un,,Cit(2),
John Amplas,,,,M,[1],199x,RU:,\Un,,Cit(1),
Dev Anand,1958-1980,bn,fn,M,,199x,R:hero,\In dian,,Nt(like Gregory Peck),
Glenn Anders,1930-1951,Anders,Glenn,M,1889,1981,R:sinister,USA,,,
Luana Anders,1958-1982,Anders,Luana,F,1949,199x,R:lead,USA,,,
Merry Anders,1952-1958,Anders,Merry,F,1932,199x,R:light lead,USA,,,
Bridgette Andersen,,,,F,[1],199x,RU:,\Un,,
Bibi Anderson,,,,M,[1],199x,R:transvestite,,,,,
E. Erich Anderson,,,,M,[1],199x,RU:,\Un,,
Rochester,1930-1965,Anderson,Eddie,M,1905,1977,R:black comedian,USA,,,
G.M. Anderson,1903-1965,Aronson,Max,M,1882,1971,R:cowboy,USA,,Ty(Bronco Billy) Fd(Essanay) Aw(AA special 1957),
Harriet Anderson,1955,Anderson,Harriet,F,[1],199x,R:nude villain,\Sw,[18.228],,,
Herbert Anderson,194-1969,Anderson,Herbert,M,1917,199x,R:mild-mannered,USA,,,
Ingrid Anderson,,,,F,[1],199x,RU:,\Un,,
Jean Anderson,1947-1979,Anderson,Jean,F,1908,199x,"R:sympathetic nurse, tired mother, spinster aunt",Great Britain,,,
John Anderson,1958-1978,Anderson,John,M,1922,199x,"R:Tall, thin, pale-eyed",USA,,Ww(Hitchcock),
Judith Anderson,1933-1984,Anderson,Dame Frances Margaret,F,1898,1992,R:icy presence,Australia,,Ww(Hitchcock),
Lindsay Anderson,1981,Anderson,Lindsay,M,1923,199x,RU:,Great Britain,,"Also(D, critic)",
Loni Anderson,1977,Anderson,Loni,F,1947,199x,R:sexy blonde,USA,,"Mt(Ross Bickel,Burt Reynolds,)",
Mary Anderson,1939-1953,Anderson,Mary,F,1920,199x,R:supporting,USA,,Ww(Hitchcock),
Melissa Sue Anderson,,,,F,[1],199x,RU:,\Un,,
Michael Anderson~jr.,1957-1971,Anderson,Michael,M,1943,199x,R:juvenile lead,,,Ch(Michael Anderson),
Richard Anderson,1951-1978,Anderson,Richard,M,1926,199x,R:thoughtful-looking,USA,,,
Rona Anderson,1948-1969,Anderson,Rona,F,1926,199x,RU:,Great Britain; Scots,,,,,
Warner Anderson,1943-1968,Anderson,Warner,M,1911,1976,"R:solid presence, no outstanding personality",USA,,,
Bibi Andersson,1955-1983,Andersson,Bibi,F,1935,199x,RU:,\Sw,,,
Harriet Andersson,1952-1972,Andersson,Harriet,F,1932,199x,RU:,USA,,Nt(member of Ingmar Bergman's co.),
Carole Andre,,,,F,[1],199x,RU:,\Un,,
Gabe Andre,,,,,[1],199x,RU:,\Un,,
Fr\'ed\'ric Andrei,,,,M,[1],199x,RU:,\Un,,
Ursula Andress,1954-1981,Ursula,Andress,F,1936,199x,R:sex bomb,\Zw,,Lw(Harry Hamlin),
Anthony Andrews,1974-1981,Andrews,Anthony,M,1948,199x,R:lead,Great Britain,,,
Brian Andrews,,,,M,[1],199x,RU:,\Un,,
Dana Andrews,1940-1979,Andrews,Carver Daniel,M,1909,1992,R:hard,USA,[4.738],Mt(Mary Todd) Si(Dave Forest),
Eamonn Andrews,,Andrews,\'Eamonn,M,,1987,RU:,,Cit(0),
Edward Andrews,1955-1979,Andrews,Edward,M,1914,199x,"R:beaming, bespectacled",USA,,,
Harry Andrews,1952-1980,Andrews,Harry,M,1911,1989,R:tough,Great Britain,,,
Julie Andrews,1964-1983,Wells,Julia,F,1934,199x,R:wholesome singer,Great Britain,,Ww(Hitchcock),
The Andrews Sisters,1940-1948,"Patty, Maxine, Laverne",Andrews,G,1913,199x,RU:,USA,,Nt(harmony singing group),
Stanley Andrews,1934-1958,Andrews,Stanley,M,1892,1969,R:grizzled western veteran,USA,,,
Heather Angel,1930-1962,Angel,Heather,F,1909,199x,R:lead,Great Britain,,,
Pier Angeli,1950-1972,Pierangeli,Anna Maria,F,1932,1971,R:sensitive,\It,"[4.939,940]",Si(Marisa Pavan),
The Hells Angels,,,,G,[1],199x,RU:,\Un,,
Maya Angelou,1993,Angelou,Maya,F,1929,199x,R:poet,USA,,,
Muriel Angelus,1930-1940,Findlay,M.A.,F,1909,199x,R:lead,Great Britain,,,
Ivy Angustain,,,,F,[1],199x,RU:,\Un,,
Evelyn Ankers,1933-1960,Ankers,Evelyn,F,1918,199x,"R:looked decorative, well-bred heroine",Great Britain,[16:541],Nt(born in Chile) Mt(richard Denning),
Morris Ankrum,1940-1961,Morris,Stephen,M,1896,1964,"R:lawyer, judge, Western villain",USA,,,
Francesca Annis,1958-1983,Annis,Francesca,F,1944,199x,R:lead,Great Britain,,,
AnnMargret,1961-1983,Olsson,Ann-Margret,F,1941,199x,R:sex symbol,\Sw-USA,[4.15],,,
Michael Ansara,1944-1974,Ansara,Michael,M,1922,199x,R:Indian,USA,,,
Karen Anspach,,,,F,[1],199x,RU:,\Un,,
Susan Anspach,1970-1983,Anspach,Susan,F,1939,199x,R:stage,USA,,,
Adam Ant,,,,M,[1],199x,RU:,\Un,,
Lysette Anthony,,,,F,[1],199x,RU:,\Un,,
Michael Anthony,,,,M,[1],199x,RU:,\Un,,
Susan Anton,,,,F,[1],199x,RU:,\Un,,
Laura Antonelli,,,,F,[1],199x,RU:,\Un,,
Lou Antonio,,,,M,[1],199x,RU:,\Un,,
Scott Antony,1972-1974,Antony,Scott,M,1950,199x,R:lead juvenile,Great Britain,,,
Aquanetta,1942-1946,Davenbort,Burnu,F,1920,199x,R:exotic,USA,,,
Alfonso Arau,,,,M,[1],199x,RU:,\Un,,
Roscoe Abuckle,1913-1921,Arbuckle,Roscoe (Fatty),M,1887,1933,R:comic,USA,,Also(D: William Goodrich),
Allan Arbus,,,,M,[1],199x,RU:,\Un,,
Anne Archer,1970-1982,Archer,Anne,F,,199x,R:lead,USA,,,
Fanny Ardant,1981-1984,Ardant,Fanny,F,1949,199x,R:lead,\Fr,,,
Eve Arden,1929-1982,Quedens,Eunice,F,1912,1990,"R:best, cool friend",USA,,,
Carmen Argenziano,,,,F,[1],199x,RU:,\Un,,
Adam Arkin,,,,M,[1],199x,RU:,\Un,,
Alan Arkin,1966-1983,Arkin,Alan,M,1934,199x,R:lead,USA,,,
David Arkin,,,,M,[1],199x,RU:,\Un,,
Richard Arlen,1925-1976,van Mattemore,Cornelius,M,1898,1976,R:rugged hero,USA,,,
Arletty,1931-1972,Bathiat,Leonie,F,1898,1992,R:world-weary,\Fr,,,
George Arliss,1921-1937,Andrews,George Augustus,M,1868,1946,R:autocratic,Great Britain,,,
Pedro Armendariz,1936-1963,Armendariz,Pedro,M,1912,1963,R:expansive,\Me,,,
Henry Armetta,1918-1946,Armetta,Henry,M,1888,1945,"R:excitable, gesticulating foreigner",\It,,,
Bess Armstrong,1982-1983,Armstrong,Bess,F,,199x,R:lead,USA,,,
Curtis Armstrong,,,,M,[1],199x,RU:,\Un,,
Louis Armstrong,1936-1969,Armstrong,Louis `Satchmo',M,1900,1971,R:black jazz musician,USA,,,
R.G. Armstrong,1958-1982,Armstrong,R.G.,M,1920,199x,R:tough serious,USA,,Ww(Hitchcock),
Robert Armstrong,1927-1963,Smith,Donald Robert,M,1890,1973,"R:tough cop, scientist",USA,[4.103],,,
Todd Armstrong,1962-1968,Armstrong,Todd,M,1939,199x,R:stalwart lead,USA,,,
Yvonne Arnaud,1920-1958,Arnaud,Yvonne,F,1892,1958,RU:,\Fr,,Also(pianist),
Lucie Arnaz,1975-1983,Arnaz,Lucie,F,1951,199x,R:lead,,,"Ch(Lucille Ball, Desi Arnaz)",
Desi Arnaz,1950-1982,Arnaz y de Acha,Desiderio,M,1915,1986,R:diminutive explosive romantic,Cuba,,"Mt(Lucille Ball, Mack `Edie' Hirsch) Fd(Desilu Studios)",
Desi Arnaz~jr.,1970-1983,Arnaz,Desi,M,1953,199x,R:juvenile lead,USA,,"Ch(Lucille Ball,Desi Arnaz)",
Peter Arne,1955-1982,Albrecht,Peter Arne,M,1920,1983,R:villain,Great Britain,,,
James Arness,1947-1981,Aurness,James,M,1923,199x,R:giant,USA,,Si(Peter Graves),
Jeanetta Arnette,,,,F,[1],199x,RU:,\Un,,
Edward Arnold,1916-1956,Schneider,Guenther,M,1890,1956,R:dynamic rotund,USA,,,
Mark Arnott,,,,M,[1],199x,RU:,\Un,,
Charles Arnt,1934-1962,Arnt,Charles,M,1908,199x,"R:snoop, suspicious, or plain ordinary fellow",USA,,,
Rosanna Arquette,,,,F,[1],199x,RU:,\Un,,
Antonin Artaud,1926-1928,Artaud,Antonin,M,1895,1948,R:dabbling writer,\Fr,,,
Beatrice Arthur,1972-1983,Frankel,Bernice,F,1923,199x,R:dominant comedy,USA,,,
George K. Arthur,1921-1935,Brest,G.K.A.,M,1899,199x,R:small but gamy,Great Britain,,,
Jean Arthur,1923-1966,Greene,Gladys,F,1905,1991,R:squeaky petite feminist,USA,,,
Linda Arvidson,1908-1916,Arvidson-Griffith,Linda,F,1884,1949,R:lead,USA,,Mt(W.D.Griffiths) Also(W),
Leslie Ash,,,,,[1],199x,RU:,\Un,,
Peggy Ashcroft,1933-1978,Ashcroft,Dame Peggy,F,1907,1991,R:royal,Great Britain,,Ww(Hitchcock) lW(Paul Robeson),
Jane Asher,1951-1972,Asher,Jane,F,1946,199x,R:lead,Great Britain,,,
Ren\`ee Asherson,1944-1968,Asherson,Ren,F,1920,199x,RU:,Great Britain,,,
Edward Ashley,1933-1976,Cooper,E.A.,M,1904,199x,R:third lead,Great Britain,,,
Elizabeth Ashley,1964-1982,Cole,Elizabeth,F,1939,199x,R:cold sporadic,USA,,Lw(George Peppard),
Jennifer Ashley,,,,F,[1],199x,RU:,\Un,,
John Ashley,,,,M,[1],199x,RU:,\Un,,
Gregoire Asian,,,,,[1],199x,RU:,\Un,,
Luke Askew,1967-1979,Askew,Luke,M,,199x,R:western,USA,,,
Arthur Askey,1937-1972,Askey,Arthur,M,1900,1982,R:diminutive,Great Britain,,,
Ed Asner,1963-1983,Asner,Edward,M,1929,199x,R:chubby tough,USA,[34.259],Ww(Hitchcock),
Chuck Aspegren,,,,M,[1],199x,RU:,\Un,,
Armand Assante,,,,M,[1],199x,RU:,\Un,,
Asta,1934-1947,,,A,,199x,R:wire-haired fox terrier,\Un,[4.1066],,,
Adele Astaire,,,,M,,1981,RU:,,,Cit(0),
Fred Astaire,1933-1981,Austerlitz,Frederick,M,1899,1987,R:dancer,USA,"[4.390,1005]",St(MGM) Aw(AFI#5),
Nils Asther,1927-1963,Asther,Nils,M,1897,1981,"R:suave, exotic",\Sw,,,
John Astin,1961-1977,Astin,John,M,1930,199x,R:comic,USA,,,
Patty Duke Astin,1955-1982,Duke Astin,Patty,F,1946,199x,RU:,USA,,Mt(John Astin),
Gertrude Astor,1927-1962,Astor,Gertrude,F,1887,1977,R:silent screen,USA,[18.209],,,
Mary Astor,1921-1964,Langehanke,Lucille,F,1906,1987,"R:solid, character",USA,[4.1083],,,
William Atherton,1972-1983,Atherton,William,M,1947,199x,RU:,USA,,,
Christopher Atkins,1980-1983,Atkins,Christopher,M,1961,199x,R:juvenile lead,USA,,,
Eileen Atkins,1968-1983,Atkins,Eileen,F,1934,199x,R:character,Great Britain,,,
Kiyoshi Atsumi,1969-1996,Tadoroko,Yasuo,M,1928,1996,\Jp,"R:peddler: Tora-san In(Ser(""Otoko wa Tsurayo"" It's hard being a man #1 1969, #49 1996, D(Yiji Yamada)))"
Richard Attenborough,1942-1979,Attenborough,Sir Richard,M,1923,199x,"R:coward, `wide range'",Great Britain,,,
Malcolm Atterbury,1954-1964,Atterbury,Malcolm,M,1907,199x,R:character,USA,,,
Edith Atwater,1936-1976,Atwater,Edith,F,1911,199x,R:lead,USA,,Ww(Hitchcock) Mt(Kent Smith),
Lionel Atwill,1919-1946,Atwill,Lionel,M,1885,1946,R:teutonic villains,Great Britain,"[18.206,207]",,,
Kim Atwood,,,,,[1],199x,RU:,\Un,,
Brigitte Auber,1955,,,F,"[1,6]",199x,RU:,\Un,,Ww(Hitchcock),
Rene Auberjonois,1970-1980,Auberjonois,Ren\'e,M,1940,199x,R:character,USA,,,
Lenore Aubert,1938-1949,Aubert,Leonore,F,1913,199x,R:sinister,\Yu,,,
Cecile Aubry,1949-1954,Benard,Anne-Jes\`e,F,1929,199x,R:petit,\Fr,,,
Joss Auckland,,,,M,[1],199x,RU:,\Un,,
Michael Auclair,1946-1973,Vujovic,Vladimir,M,1922,199x,R:lead,\Fr,,,
Maxine Audley,1954-1969,Audley,Maxine,F,1923,199x,R:character,Great Britain,,,
Stephane Audran,1958-1982,Audran,St\'ephane,F,1932,199x,R:cool,\Fr,,,
Audrey,,,,,[1],199x,RU:,\Un,,
Mischa Auer,1928-1966,Ounskowsky,Mischa,M,1905,1967,"R:wild, noble idiot",\Ru,,,
Claudine Auger,1963-1980,Auger,Claudine,F,1942,199x,R:lead,\Fr,,,
Marie Ault,1924-1949,Cragg,Mary,F,1870,1951,R:dialect comedy,Great Britain,,,
JeanPierre Aumont,1931-1983,Salomons,Jean-Pierre,M,1909,199x,R:lead,\Fr,,,
John Austin,,,,M,[1],199x,RU:,\Un,,
Daniel Auteuil,1985,,Auteuil,Daniel,M,[1],199x,RU:,\Fr,Lw(Emanuelle Beart),
Gene Autry,1937-1950,Autry,Gene,M,1907,1998,R:easy-going cowboy,USA,,St(Republic),
Frankie Avalon,1960-1978,Avallone,Francis,M,1939,199x,R:light lead,USA,,"Also(pop singer, trumpeter)",
Luis Avalos,,,,M,[1],199x,RU:,\Un,,
Doe Avedon,1954-1956,Avedon,Doe,F,1928,199x,R:lead,USA,,,
Brian Avery,,,,M,[1],199x,RU:,\Un,,
Margaret Avery,,,,F,[1],199x,RU:,\Un,,
Nina Axelrod,,,,F,[1],199x,RU:,\Un,,
Hoyt Axton,,,,M,[1],199x,RU:,\Un,,
George Ayer,,,,M,[1],199x,RU:,\Un,,
Dan Aykroyd,1980-1988,Aykroyd,Dan,M,,199x,R:comic lead,USA,,,
Felix Aylmer,1933-1968,Aylmer Jones,Felix Edward,M,1889,1979,"R:schoolmasters, bishops",Great Britain,,,
Agnes Ayres,1919-1937,Hinkle,Agnes,F,1896,1940,R:silent lead,USA,,,
Gregg Ayres,,,,M,[1],199x,RU:,\Un,,
Lew Ayres,1929-1972,Ayer,Lewis,M,1908,1997,R:boyish lead,USA,,,
Robert Ayres,1949-1968,Ayres,Robert,M,1914,1968,"R:strong, silent",Canada,,,
Randle Ayrton,1918-1978,Ayrton,Randle,M,1869,1940,R:character,Great Britain,,,
Shabana Azmi,,,,F,[1],199x,RU:,\Un,,
Charles Aznavour,1958-1976,Aznavurjan,Shahnour,M,1924,1992,R:small rugged lead,\Tu,,Or(Armenian) Mt( Or(Sw)),
Candy Azzara,,,,F,[1],199x,RU:,\Un,,
Hank Azaria,,,,M,1964,199x,R:comic,\Un,,Lw(Helen Hunt),
