stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Tiny Sandford,1917-1936,Sandford,Stanley J.,M,1894,1961,R:character,USA,,,
Steve Sandor,,,,M,[1],,RU:,,,
Diana Sands,1961-1973,Sands,Diana,F,1934,1973,R:black,USA,,,
Julian Sands,,,,M,[1],,RU:,,,
Tommy Sands,1957-1965,Sands,Tommy,M,1937,,R:singer,USA,,,
Erskine Sanford,1940-1950,Sanford,Erskine,M,1880,1950,R:elderly gent,USA,,,
Ralph Sanford,1938-1959,Sanford,Ralph,M,1899,1963,R:burly `good guy',USA,,,
Laura SanGiacomo,1989,San Giacomo,Laura,F,1952,,R:modern exotic,USA,,Mt(Cameron Dye),
Olga SanJuan,1944-1960,San Juan,Olga,F,1927,,"R:vivacious dancer, comedienne",USA,,,
Tom Santchi,,,,M,[1],,RU:,,,
Reni Santoni,1967-1983,Santoni,Reni,M,1939,,RU:,USA,,,
Joe Santos,,,,M,[1],,RU:,,,
Tom Santschi,1909-1931,Santschi,Tom,M,1879,1931,R:silent lead,USA,,,
Chris Sarandon,1975-1980,Sarandon,Chris,M,1942,,R:character,USA,,,
Susan Sarandon,1974-1983,Tomaling,Susan Abigail,F,1946,,R:lead,USA,,"Mt(Chris Sarandon) Lw(Franco Amore, Tim Robbins)",
Dick Sargent,1957-1964,Sargent,Dick,M,1937,1994,"R:gangling youth, beleaguered husband",USA,Er(dob 1930),
Michael Sarne,1960-1967,Sarne,Michael,M,1939,,R:light,Great Britain,,Also(D),
Michael Sarrazin,1966-1982,Sarrazin,Michael,M,1940,,R:young innocent,Canada,,,
Jaqueline Sassard,1967-1968,Sassard,Jaqueline,F,1940,,R:lead,France,,,
Ann Savage,1943-1953,Lyon,Bernie,F,1921,,R:lead,USA,,,
Fred Savage,,,,M,1976,,RU:,,,
John Savage,1975-1982,Savage,John,M,1953,,R:babyfaced,USA,[4.168],,,
Vic Savage,,,,M,[1],,RU:,,,
Dany Saval,1958-1978,Salle,Danielle Nadine Suzanne,F,1940,,R:lead,France,,,
George Savalas,,,,M,[1],,RU:,,,
Telly Savalas,1961-1979,Savalas,Aristotles,M,1924,1994,"R:bald, jovial",USA,,,
Tom Savini,,,,M,[1],,RU:,,,
Jimmy Savo,1926-1938,Savo,Jimmy,M,1895,1960,R:pint-sized comedian,USA,,,
Teresa Ann Savoy,,,,F,[1],,RU:,,,
Joseph Sawyer,1933-1956,Sawyer,Joseph,M,1901,1982,"R:tough cop, army sergeant",USA,,,
Peggy Sawyer,,,,F,[1],,RU:,,,
John Saxon,1955-1983,Orrico,Carmen,M,1935,,R:lead,USA,,,
Greta Scacchi,1992,Scacchi,Greta,F,1960,,R:beauty,Italy,[9.45],"Nt(raised in Great Britain, Australia) Lw(Vincent dOnofrio)",
Gia Scala,1956-1961,Scoglio,Giovanna,F,1934,1972,R:lead,Italy,,,
Diana Scarwid,1978-1983,Scarwid,Diana,F,,,R:lead,USA,,,
Felice Schacter,,,,F,[1],,RU:,,,Cit(0),
Natalie Schafer,1943-1973,Schafer,Natalie,F,1912,1991,R:dizzy rich woman,USA,,Nt(Lovey in Gilligan's Island),
Wendy Schall,,,,F,[1],,RU:,,,Cit(1),
William Schallert,1952-1973,Schallert,William,M,1922,,R:dull father,USA,,,
Sabrina Scharf,,,,F,[1],,RU:,,,Cit(1),
Roy Scheider,1964-1983,Scheider,Roy,M,1934,,R:lean,USA,[4.218],,,
Catherine Schell,1969-1979,vonSchell,Catherine,F,,,R:character,Germany,,,
Maria Schell,1949-1979,Schell,Maria,F,1926,,R:lead,Austria,,,
Maximilian Schell,1958-1982,Schell,Maximilian,M,1930,,R:lead,Austria,[4.175],Si(Maria Schell),
Ronnie Schell,,,,,[1],,RU:,,,Cit(2),
August Schellenberg,,,,M,[1],,RU:,,,Cit(0),
Rosanna Schiaffino,1962-1976,Schiaffino,Rosanna,F,1939,,R:lead,Italy,,,
Ralph Schicha,,,,M,[1],,RU:,,,
Joseph Schildkraut,1914-1965,Schildkraut,Joseph,M,1895,1964,R:schlemiel,Austria,,,
Gus Schilling,1941-1956,Schilling,Gus,M,1908,1957,R:wry-faced,USA,,,
Anja Schmidt,,,,F,[1],,RU:,,,Cit(1),
Joseph Schmidt,1934-1935,Schmidt,Joseph,M,1906,1942,R:opera singer,Germany,,,
John Schneider,,,,M,[1],,RU:,,,Cit(1),
Magda Schneider,1932,Schneider,Magda,F,,,R:romantic,Austria,,Pa(Romy Schneider),
Maria Schneider,1973-1980,Schneider,Maria,F,1952,,R:sexy lead,Germany,,,
Romy Schneider,1953-1980,Albach-Retty,Rosemarie,F,1938,1982,R:schmaltzy,Austria,,"Lw(Alain Delon, Lauren Petain) Mt(Harry Meyen, Daniel Biasini)",
Michael Schoeffling,,,,M,[1],,RU:,,,Cit(1),
Kyra Schon,,,,F,[1],,RU:,,[4.199],,,,Cit(1),
Avery Schreiber,,,,M,[1],,RU:,,,Cit(2),
Max Schrek,1922-1923,Schrek,Max,M,1879,1936,R:eerie,Germany,,Ty(Dracula),<,Rick Schroder,1979-1990,Schroder,Ricky,M,1970,,"R:child actor, -scary",USA,,,,
stagenm,-1997,fmn,gn,G,dob,,RU:,,,,
John Schuck,1973-1979,Schuck,John,M,1944,,R:dumb sergeant,USA,,,
Dwight Schultz,-1997,Schultz,Dwight,M,dob,,R:shy engineer,USA,,Nt(WW Hitchcock) Mt(Wendy Fulton),
Reinhold Schunzel,1919-1952,Schunzel,Reinhold,M,1886,1954,RU:,Germany,,Also(D),
Scott Schwartz,,,,M,[1],,RU:,,,Cit(1),
Maurice Schwarz,1953-1953,Schwarz,Maurice,M,1891,1960,RU:,USA,,,
Arnold Schwarzenegger,1976-1990,Schwarzenegger,Arnold,M,1947,,R:muscleman,USA,,Mt(Maria Shriver; B) Ph(240lbs) Aw(AP),
Hanna Schygulla,1972-1981,Schygulla,Hanna,F,1943,,R:exotic,Germany,,,
John Schyck,,,,M,[1],,RU:,,,
Patti Scialfa,,bn,fn,F,,,R:ty,Or,,Mt(Bruce Springsteen) Er(Lw) Cit(0),
Annbelle Sciorra,1988-1991,Sciorra,Annabelle,F,19aa,,R:strong,USA,.tiff,
Paul Scofield,1955-1973,Scofield,Paul,M,1922,,R:distinguished,Great Britain,,,
Edith Scon,,,,F,[1],,RU:,,,
Zvee Scooler,,,,,[1],,RU:,,,
Martin Scorsese,1973-1990,,Scorcese,Martin,M,[1],R:,,,[4.118],,,
Campbell Scott,1991,Scott,Campbell,,M,,R:,,USA,Ch(Colleen Dewhurst),
David Scott,,,,M,[1],,RU:,,,
Donovan Scott,,,,M,[1],,RU:,,,
George C. Scott,1958-1983,Scott,George Campbell,M,1926,,R:tough soldier,USA,"[4.38,91]","Mt(Colleen Dewhurst, Trish Devere)",
Gordon Scott,1955-1967,Werschkul,Gordon M.,M,1927,,R:lead,USA,,,
Hazel Scott,1943-1945,Scott,Hazel,F,1920,1983,R:black pianist,USA,,,
Jane Scott,,,,F,[1],,RU:,,,
Janette Scott,1942-1965,Scott,Janette,F,1938,,R:lead,Great Britain,,,
Kathryn Leigh Scott,1970,Scott,Kathryn Leigh,F,1947,,R:beauty,USA
Ken Scott,1957-1966,Scott,Ken,M,,,R:action lead,USA,,,
Lizabeth Scott,1945-1972,Matzo,Emma,F,1922,,"R:defiant expression, immobile upper lip",USA,,,
Margaretta Scott,1934-1971,Scott,Margaretta,F,1912,,R:upper-middle-class women,Great Britain,[4.1037],,,
Martha Scott,1940-1980,Scott,Martha,F,1914,,RU:,USA,,,
Mary Scott,1956,Scott,mary,F,[1],,RU:,,[34.95][37.326],Ww(Hitchcock),
Pippa Scott,1958-1970,Scott,Pippa,F,1935,,RU:,USA,,,
Randolph Scott,1931-1962,Crane,Randolph,M,1903,1987,R:rugged,USA,,,
Terry Scott,1958-1972,Scott,Terry,M,1927,,R:plump,Great Britain,,,
Zachary Scott,1944-1962,Scott,Zachary,M,1914,1965,R:lead,USA,[4.680],,,
Vito Scotti,,,,M,[1],,RU:,,,
Scraps,1918,Scraps,none,A,1914,,R:lovable mongrel,USA,[4.281],Nt(Snowy) Er(dob),
Alexander Scourby,1952-1960,Scourby,Alexander,M,1913,,R:character,USA,,,
Linda Scruggs,,,,F,[1],,RU:,,,
Steven Seagal,1988-1992,Seagal,Steven,M,1952,,"R:martial arts, cool shooter",USA,,Ph(6'4'') Mt(Kelly LeBrock),
Barbara Seagull,1968-1983,Herzstine (Hershey),Barbara,F,1948,,R:lead,USA,,Nt(now again Barbara Hershey),
Franklyn Seales,,,,M,[1],,RU:,,,
Jackie Searle,1931-1949,Searle,Jackie,M,1920,,R:mean boy,USA,,,
Heather Sears,1956-1975,Sears,Heather,F,1935,,RU:,Great Britain,,,
Victor Seastrom,1913-1957,Sjostrom,Victor,M,1879,1960,R:distinguished,Sweden,,Also(D),
James Seay,,,,M,[1],,RU:,,,
Josef Sebanek,,,,M,[1],,RU:,,,
Jean Seberg,1957-1976,Seberg,Jean,F,1938,1979,R:lead,USA,,,
Harry Secombe,1957-1973,Secombe,Harry,M,1921,,R:burly comedian,Great Britain; Welsh,,,,,
George Segal,1961-1999,Segal,George,M,1934,,R:lead,USA,[4.152],"Ww(Hitchcock) Mt(Maion Sobel, Linda Rogoff, Sonia Schultz Greenbaum)",
Vivienne Segal,1930-1933,Segal,Vivienne,F,1897,,R:supporting,USA,,,
Pierre Segui,,,,M,[1],,RU:,,,
Emmanuelle Seigner,1994,Seigner,Emmanuelle,F,1967,,"R:gauche, sexy",France,,,
Johnny Sekka,1961-1975,Sekka,Johnny,M,,,RU:,Senegal,,,
David Selby,1970,Selby,David,M,1941,,R:werewolf,USA,,,,
Elizabeth Sellars,1948-1973,Sellars,Elizabeth,F,1923,,R:lead,Great Britain,,,
Tom Selleck,1969-1984,Selleck,Tom,M,,,R:charismatic,USA,,"Nt(in TV: Magnum, PI)",
Peter Sellers,1951-1979,Sellers,Peter,M,1925,1980,R:comic,Great Britain,"[4.684, 774, 1087][4.88]","Ty(Goon show) Mt(Britt Ekland, Lynne Frederick)",
Morton Selten,1932-1940,Stubbs,Morton,M,1860,1940,R:distinguished old gentlemen,Great Britain,,,
Milton Selzer,,,,M,[1],,RU:,,,
Larry Semon,1918-1927,Semon,Larry,M,1889,1928,R:silent slapstick comedian,USA,,,
Kent Senatore,,,,M,[1],,RU:,,,
Joe Seneca,,,,M,[1],,RU:,,,
Massimo Serato,1941-1973,Segato,Giuseppe,M,1917,,R:lead,Italy,,,
Assumpta Serna,,,,F,[1],,RU:,,,
Jacques Sernas,1931-1969,Sernas,Jacques,M,1925,,R:lead,Lithuania,,,
Julieta Serrano,,,,F,[1],,RU:,,,
Christopher Serrone,1990,Serrone,Christopher,M,1976,RU:,,teenager,USA,,,,,
Jean Servais,1931-1969,Servais,Jean,M,1910,1976,R:character,France,,,
Almira Sessions,1941-1972,Sessions,Almira,F,1888,1974,R:character,USA,,,
Sir Bruce Seton,1934-1954,Seton,Bruce,M,1909,1969,R:lead,Great Britain,,,
Pilar Seurat,1963,Seurat,Pilar,F,,,RU:,Or,,Ww(Hitchcock),
George Sewell,1963-1971,Sewell,George,M,1924,,R:character,Great Britain,,,
Athene Seyler,1922-1963,Seyler,Athene,F,1889,1990,R:comedy,Great Britain,,,
Anne Seymour,1949-1962,Seymour,Anne,F,1909,,R:character,USA,,,
Dan Seymour,1942-1975,Seymour,Dan,M,1915,1982,R:scowling menace,USA,,,
Jane Seymour,1970-1983,Seymour,Jane,F,1951,,R:lead,Great Britain,[4.960],,,
Ralph Seymour,,,,M,[1],,RU:,,,
Delphine Seyrig,1958-1977,Seyrig,Delphine,F,1932,1990,R:lead,France,,,
Kamran Shah,1987,Shah,Kamran,F,[1],,RU:,,,
ShabbaDoo,,,,,[1],,RU:,,,
Glen Shadix,,,,M,[1],,RU:,,,
Wallace Shaen,,,,M,[1],,RU:,,,
Paul Shaffer,,,,M,[1],,RU:,,,
Tupac Shakur,,,,M,,1996,R:wild,,,
Harry Shannon,1931-1957,Shannon,Harry,M,1890,1964,R:sympathetic father or rustic,USA,,,
Ken Shapiro,,,,M,[1],,RU:,,,
Omar Sharif,1959-1980,Shalhouz,Michael,M,1932,,R:lead,Egypt,,,
Ray Sharkey,1976-1992,Sharkey,Ray,M,1952,1993,R:tough,USA,,,
Anthony Sharp,,,,M,[1],,RU:,,,
Albert Sharpe,,,,M,[1],,RU:,,,
Cornelia Sharpe,,,,F,[1],,RU:,,,
William Shatner,1957-1982,Shatner,William,M,1931,,R:space pilot,Canada,[34.112],Ww(Hitchcock),
Mickey Shaughnessy,1952-1971,Shaughnessy,Mickey,M,1920,,R:tough-looking,USA,,,
Helen Shaver,,,,F,[1],,RU:,,,
Reta Shaw,1957-1974,Shaw,Reta,F,1912,1982,R:amply-proportioned,USA,,,
Robert Shaw,1955-1979,Shaw,Robert,M,1927,1978,R:character,Great Britain,,,
Sebastian Shaw,1913-1988,Shaw,Sebastian,M,1905,,R:handsome,Great Britain,,,
Stan Shaw,,,,M,[1],,RU:,,,
Susan Shaw,1946-1963,Sloots,Patsy,F,1929,1978,R:charm,Great Britain,,,
Susan Damante Shaw,1982,,,F,[1],,RU:,,,
Victoria Shaw,1955-1973,Elphick,Jeanette,F,1935,,R:lead,Australia,,,
Wini Shaw,1934-1937,Momi,Winfred Lei,F,1899,1982,R:singer,USA,,,
Joan Shawlee,1945-1977,Fulton,Joan,F,1929,,R:comedienne,USA,,,
Dick Shawn,1960-1979,Schulefand,Dick,M,1928,1987,R:comic,USA,,,
Wallace Shawn,1979-1994,,,M,[1],,R:bumpkin,USA,,,Also(W),
Robert Shayne,1934-1961,Dawe,Robert Shaen,M,1910,,R:general purpose,USA,,,
Tamara Shayne,,Nikoulin,Tamara,F,1897,1983,R:character,Russia,,,
John Shea,,,,M,[1],,RU:,,,
Al Shean,1935-1944,Shoenberg,Alfred,M,1868,1949,R:character,Germany,,,
Harry Shearer,,,,M,[1],,RU:,,,
Moira Shearer,1952-1960,King,Moira,F,1926,,R:dancer,Great Britain; Scots,,,,,
Norma Shearer,1920-1942,Shearer,Norma,F,1900,1983,R:star,Canada,,Mt(Irving Thalberg; P),
Alice Sheedy,,,,F,[1],,RU:,,[4.934],,,
Charlie Sheen,1988-1992,Sheen,Charlie,M,[1],,R:action,,,Ch(Martin Sheen),
Martin Sheen,1967-1993,Estevez,Ramon,M,1940,,R:lead,USA,[4.180],Pt(Charlie Sheen),
Johnny Sheffield,1939-1945,Sheffield,Johnny,M,1931,,R:boy,USA,,,
Reginald Sheffield,1923-1958,Sheffield,Reginald,M,1901,1957,RU:,Great Britain,,Pa(Johnny Sheffield),
Gene Sheldon,1945-1960,Sheldon,Gene,M,1909,1982,R:comic,USA,,,
Barbara Shelley,1957-1974,Barbara,Shelley,F,1933,,R:horror,Great Britain
John Shelton,1936-1951,Price,John,M,1917,1972,R:colourless,USA,,,
Joy Shelton,1943-1962,Shelton,Joy,F,1922,,R:lead,Great Britain,,,
Susan Shentall,1954-1954,Shentall,Susan,F,1934,,R:lead,Great Britain,,,
Sam Shepard,1978-1983,Rogers,Samuel Shepard,M,1943,,R:lead,USA,,,
Cybill Shepherd,1971-1983,Shepherd,Cybill,F,1949,,R:lead,USA,"[4.42,118]",Lw(Peter Bogdanovich@{The Last Picture Show}),
Elizabeth Shepherd,1961-1980,Shepherd,Elizabeth,F,,,RU:,Great Britain,,,
Michael Shepley,1930-1961,Shepley-Smith,Michael,M,1907,1961,R:amiable buffoons,Great Britain,,,
Paula Sheppard,,,,F,[1],,RU:,,,
John Shepperd,1940-1973,Strudwick,Shepperd,M,1907,1983,"R:lead, character",USA,,,
Ann Sheridan,1934-1967,Sheridan,Clara Lou,F,1915,1967,R:cheerful oomph,USA,,,
Dinah Sheridan,1936-1980,Sheridan,Dinah,F,1920,,R:lead,Great Britain,[4.393],,,
Margaret Sheridan,,,,F,[1],,RU:,,,
Lowell Sherman,1920-1933,Sherman,Lowell,M,1885,1934,R:lead,USA,,,
Madeleine Sherwood,1958-1973,Thronton,Madeleine,F,1926,,R:character,Canada,,,
Vladek Sheybal,1956-1975,Sheybal,Vladek,M,1928,,R:intense-looking,Poland,
Arthur Shields,1937-1962,Shields,Arthur,M,1895,1970,R:character,Ireland,,,
Brooke Shields,1978-1981,Shields,Brooke,F,1965,,R:juvenile,USA,[4.890],,Lw(andre Agassiz),
James Shigeta,1960-1976,Shigeta,James,M,1933,,R:lead,USA,
Joseph Shiloal,,,,M,[1],,RU:,,,
Yoko Shimada,,,,F,[1],,RU:,,,
Joanna Shimkus,1966-1971,Shimkus,Joanna,F,1943,,R:lead,Canada,,,
Yuki Shimoda,1959-1979,Shimoda,Yuki,M,1924,1983,R:character,USA,,Er(same as Yoko Shimada),
Takashi Shimura,1949-1962,Shimura,Takashi,M,1905,1982,R:lead,Japan,,,
Bill Shine,1934-1958,Shine,Bill,M,1911,,R:vacuous dandy,Great Britain,,,
Ronald Shiner,1942-1960,Shiner,Ronald,M,1903,1966,R:comedy,Great Britain,,,
Sue Shiomi,,,,F,[1],,RU:,,,
Yumi Shirakawa,,,,F,[1],,RU:,,,
Talia Shire,1968-1982,Shire,Talia,F,1947,,R:lead,USA,[4.71],Si(Francis Coppola) Ch(Carmine~Coppola),
Anne Shirley,1932-1944,Paris,Dawn (O'Day),F,1918,,R:child star,USA,,,
Anne Shoemaker,1935-1966,Shoemaker,Anne,F,1891,1978,R:character,USA,,,
Dan Shor,,,,M,[1],,RU:,,,
Dinah Shore,1943-1977,Shore,Francis (Fanny) Rose,F,1917,1994,R:singer,USA,,Nt(Fanny Rose as child singer),
Dorothy Short,,,,F,[1],,RU:,,,
Martin Short,1991,,,M,1950,,R:teenagers,USA,,,
Winifred Shotter,1930-1930,Shotter,Winifred,F,1904,,R:lead,Great Britain,,,
Robert Show,,,,M,[1],,RU:,,,
Max Showalter,1950-1971,Adams,Casey,M,1904,,"R:reporter, newscaster, good guy friend",Great Britain,,,
Ricky Shroder,,,,M,[1],,RU:,,,
Richard B. Shull,,,,M,[1],,RU:,,,
Elizabeth Shue,1991-1996,Shue,Elizabeth,F,dob,,RU:,USA,,Sib(Andrew Shue),
Mort Shuman,,,,M,[1],,RU:,,,
Sabrina Siami,1983,,,F,[1],,RU:,,Cit(1),
Basil Sidney,1936-1957,,,M,[1],,R:older man,,Cit(4),
George Sidney,1923-1937,Greenfield,Sammy,M,1878,1960,R:comedian,USA,,,
Sylvia Sidney,1929-1982,Kosow,Sophia,F,1910,,"R:fragile, dark-eyed",USA,,Ww(Hitchcock),
Gregory Sierra,1972-1979,Sierra,Gregory,M,,,R:supporting,USA,,,
Simone Signoret,1942-1979,Kaminker,Simone,F,1921,1985,R:lead,France,,Mt(Yves Montand) Pa(Catherine Allegret),
Cynthia Sikes,1983,,,F,[1],,RU:,,Cit(1),
James B. Sikking,1980-1990,Sikking,James B.,M,[1],,RU:,,Cit(5),
Milton Sills,1915-1930,Silvs,Milton,M,1882,1930,R:stalwart,USA,,,
Henry Silva,1952-1982,Silva,Henry,M,1928,,R:pale-eyed villain,Italy,,,
Trididad Silva,1984,,,,[1],,RU:,,Cit(1),
Silvain,1928,,,M,[1],,RU:,France,Cit(1),
Cyndi Silver,1984,,,F,[1],,R:beachbunny,,Cit(1),
Joan Micklin Silver,,Silver,Joan Micklin,F,1935,,RU:,USA,[4.100],"Nt(mainly d,w)",
Joe Silver,1977,,,M,[1],,RU:,,Cit(1),
Ron Silver,1982-1990,Silver,Ron,M,1946],,RU:,,,Mt(Lynne Silver),
Frank Silvera,1952-1971,Silvera,Frank,M,1914,1970,R:general purpose,USA,,,
Jay Silverheels,1947-1973,Silverheels,Jay,M,1919,1980,R:westerns,Canada,,,
Phil Silvers,1941-1980,Silver,Philip,M,1912,1985,R:comedian,USA,,,
Alistair Sim,1935-1976,Sim,Alistair,M,1900,1976,R:lugubrious,Great Britain; Scots,[4.516],,,,
Gerald Sim,1947-1976,Sim,Gerald,M,1925,,"R:well bred, prissy",Great Britain,,,
Sheila Sim,1944-1955,Sim,Sheila,F,1922,,R:lead,Great Britain,,Mt(Richard Attenborough),
Vasek Simek,1992,Simek,Vasek,M,1928,1994,R:official,Czechoslovakia,,,
Arlene Simmons,,,,F,[1],,RU:,,Cit(0),
Jean Simmons,1943-1984,Simmons,Jean,F,1929,,R:self-possessed,Great Britain,,"Mt(Stewart Granger, Richard Brooks.)",
Michel Simon,1925-1971,Simon,Francois,M,1895,1975,R:character,France,,,
Paul Simon,1980-1980,Simon,Paul,M,1942,,R:singer,USA,,,
Simone Simon,1931-1956,Simon,Simone,F,1910,,R:pert,France,,,
Ivan Simpson,1974-1980,Simpson,Ivan,M,1875,1951,R:character,Great Britain; Scots,,,,,
O.J. Simpson,1974-1980,Simpson,O.J.,M,1947,,R:boxer,USA,,,
Peggy Simpson,1938,,,F,[1],,RU:,,Ww(Hitchcock) Cit(1),
Russel Simpson,1931-1959,Simpson,Russel,M,1878,1959,R:character,USA,[4.420],,,
Joan Sims,1953-1975,Sims,Joan,M,1930,,R:comic cameos,Great Britain,,Ww(Gerald Thomas),
Frank Sinatra,1941-1980,Sinatra,Francis Albert,M,1915,1998,R:singer,USA,[4.146],"Also(P) St(MGM) Mt(Nancy Sinatra~sr., Ava Gardner,, Barabara Blakely Marx) Lw(Marilyn Maxwell, Lana Turner, Ava Gardner, Joan Crawford, Marlene Dietrich, Kim Novak, Lauren Bacall, Angie Dickinson, Gloria Vanderbilt, Natalie Wood, Marilyn Monroe, Sophia Loren, Judy Garland, Juliet Prowse)",
Nancy Sinatra,1964-1968,Sinatra,Nancy,F,1940,,R:singer,USA,,Ch(Frank Sinatra),
Gordon John Sinclair,1982,,,M,[1],,RU:,,Cit(1),
Hugh Sinclair,1933-1952,Sinclair,Hugh,M,1903,1962,R:genial crook,Great Britain
Donald Sinden,1953-1980,Sinden,Donald,M,1923,,R:lead,Great Britain,,,
Campbell Singer,1937-1963,Singer,Campbell,M,1909,1976,R:heavy father,Great Britain,,,
Lori Singer,1984,,,F,[1],,RU:,,Cit(1),
Marc Singer,1978-1982,,,M,[1],,RU:,,Cit(2),
Steve Singer,1981,,,M,[1],,RU:,,Cit(1),
Penny Singleton,1930-1964,McNulty,Mariana,F,,,R:lead,USA,,,
Joseph Sirola,,,,M,[1],,RU:,,,
Lilia Skala,1964-1983,Skala,Lilia,F,,,RU:,Germany,,,
Hal Skelly,1929-1931,Skelly,Hal,M,1891,1934,R:character,USA,,,
Red Skelton,1938-1965,Skelton,Richard,M,1910,1997,R:comedian,USA,,,
Tom Skerritt,1962-1983,Skerritt,Tom,M,1933,,RU:,USA,,,
Cornelia Otis Skinner,1944-1967,Skinner,Cornelia,F,1901,1979,RU:,USA,,Ch(Otis Skinner),
Otis Skinner,1920-1944,Skinner,Otis,M,1858,1942,RU:,USA,,,
Alison Skipworth,1930-1938,Groom,Alison,F,1875,1952,R:chubby,Great Britain,,,
Helgi Skulason,1990,Skulason,Helgi,M,[1],,R:lead,Iceland,,,
Olga Slade,1928,,,F,[1],,RU:,,Cit(1) Ww(Hitchcock),
Richard B. Skull,,,,M,[1],,RU:,,,
Jeremy Slate,1963-1968,Slate,Jeremy,M,1925,,R:general purpose,USA,,,
Christian Slater,,,,M,1969,,R:rough hero,,,
Helen Slater,1984,,,F,[1],,R:supergirl,,Cit(1),
John Slater,1940-1963,Slater,John,M,1916,1975,R:character,Great Britain,,,
Richard X. Slattery,,,,M,[1],,RU:,,,
Tod Slaughter,1935-1952,Slaughter,N.Carter,M,1885,1956,R:barnstorming,Great Britain,,,
Walter Slezak,1942-1971,Slezak,Walter,M,1902,1983,R:character,Austria,,Ww(Hitchcock),
Hana Slikova,1964,,,F,[1],,R:shrew,,Cit(1),
Everett Sloane,1941-1964,Sloane,Everett,M,1909,1965,R:incisive,USA,,,
Olive Sloane,1933-1950,Sloane,Olive,F,1896,1963,R:character,Great Britain,,,
Marya Small,,,,F,[1],,RU:,,[4.238],,,
Alexis Smith,1941-1978,Smith,Gladys,F,1921,1993,R:lead,USA,,,
Art Smith,1944-1951,Smith,Art,M,1899,1973,"R:bland, avuncular",USA,,,
Brooke Smith,1994,Smith,Brooke,F,1968,,R:sr,,,,
Bubba Smith,1983,,,,[1],,RU:,,Cit(1),
C.Aubrey Smith,1916-1949,Smith,Sir C.~Aubrey,M,1863,1948,"R:crusty, tall",Great Britain,"[4.504,609]",,,
Charles Smith,1940-1953,Smith,Charles,M,1920,,R:character,USA,,,,,
Charles Martin Smith,1978-1983,,,M,[1],,RU:,,,
Constance Smith,1947-1955,Smith,Constance,F,1929,,R:lead,Great Britain,,,
Cyril Smith,1933-1956,Smith,Cyril,M,1892,1963,"R:henpecked husband, grocer",Great Britain,,,
Jaclyn Smith,1978-1982,,,F,[1],,R:California blonde,USA,,,
John Smith,1954-1966,Van Orden,Robert,M,1931,,R:lead,USA,,,
Kate Smith,1943,,,F,[1],,RU:,,cit(1),
Kent Smith,1942-1973,Smith,Kent,M,1907,1985,"R:smooth, quiet",USA,,Ww(Hitchcock),
