Tracey Walter,,,,F,[1],,RU:,,,
Julie Walters,,,,F,[1],,RU:,,,
Thorley Walters,1945-1983,Walters,Thorley,M,1913,1991,"R:cameo, incompetent officer",Great Britain,,,
Henry B. Walthall,1909-1936,Walthall,Henry,M,1878,1936,R:silent lead,USA,,,
Sam Wanamaker,1948-1984,Wanamaker,Sam,M,1919,1993,RU:,USA,,Also(D),
Jimmy WangYu,1974-1975,Wang Yu,Jimmy,M,,,R:lead,China,,,
Fannie Ward,1915-1919,Ward,Fannie,F,1865,1952,R:beauty,USA,,,
Fred Ward,,,,M,[1],,RU:,,,
Michael Ward,1947-1966,Ward,Michael,M,1915,,R:nervous photographer,Great Britain,,,
Polly Ward,1928-1942,Poluski,Pyno,F,1908,,R:lead,Great Britain,,,
Rachel Ward,1981-1983,Ward,Rachel,F,1957,,R:lady,Great Britain,,,
Simon Ward,1967-1979,Ward,Simon,M,1920,,R:lead,Great Britain,,,
Jack Warden,1953-1984,Warden,Jack,M,1920,,R:burly,USA,,,
Herta Ware,,,,F,[1],,RU:,,,
Andy Warhol,1963-1976,Warhol,Andy,M,1926,,R:weird,USA,,"Also(D,P)",
S.J. Warmington,,,,M,[1],,RU:,,,
David Warner,1963-1983,Warner,David,M,,,R:lanky,Great Britain,,,
H.B. Warner,1915-1956,Warner-Lickford,Henry Byron,M,1876,1958,R:distinguished,Great Britain,[4.564],,,
Jack Warner,,,,M,"[1,6]",1981,RU:,,,Nt(not the producer),
Marcia Warner,,,,F,[1],,RU:,,,
C. Denier Warren,1933-1960,Warren,C. Denier,M,1889,1971,R:character,Great Britain,,,
Fran Warren,,,,F,[1],,RU:,,,
Jennifer Warren,1975-1978,Warren,Jennifer,F,1941,,R:general purpose,USA,,,
Lesley Ann Warren,1967-1983,Warren,Lesley Ann,F,1946,,R:lead,USA,,,
Michael Warren,,,,M,[1],,RU:,,,
Harold Warrender,1933-1953,Warrender,Harold,M,1903,1953,RU:,Great Britain,,,
Ruth Warrick,1941-1983,Warrick,Ruth,F,1915,,"R:lead, singer",USA,,,
David Warrilow,,,,M,[1],,RU:,,,
Dionne Warwick,,,,F,[1],,RU:,,,
John Warwich,1935-1959,Beattie,John McIntosh,M,1905,1972,R:lead,Australia,,,
Richard Warwick,,,,M,[1],,RU:,,,
Robert Warwick,1914-1959,Bien,Robert Taylor,M,1878,1972,R:stern benevolent,USA,,,
Mona Washbourne,1948-1973,Washbourne,Mona,F,1903,1988,R:character,Great Britain,,,
Beverly Washburn,,,,F,[1],,RU:,,,
Bryant Washburn,1915-1936,Washburn,Bryant,M,1988,1963,"R:romantic hero, silent",USA,,,
Denzel Washington,,,,,[1],,RU:,,,
Mavis Washington,,,,,[1],,RU:,,,
Ted Wass,,,,M,[1],,RU:,,,
Craig Wasson,1977-1981,Wasson,Craig,M,1954,,R:general purpose,USA,,,
Gedde Watanabe,,,,,[1],,RU:,,,
Dennis Waterman,1961-1979,Waterman,Dennis,M,1948,,R:juvenile,Great Britain,,,
William Waterman,,,,M,[1],,RU:,,[4.10],,,
Ethel Waters,1929-1959,Waters,Ethel,F,1896,1977,"R:distinguished, black singer",USA,,,
John Waters,,,,M,[1],,RU:,,,
Russell Waters,1947-1959,Waters,Russell,M,1908,,"R:meek, mild",Great Britain,,,
Sam Waterston,1969-1981,Waterston,Sam,M,1940,,R:general purpose,USA,,,
Pierre Watkin,1935-1954,Watkin,Pierre,M,1894,1960,"R:lawyaer, doctor, kindly father",USA,,,
Charlene Watkins,,,,F,[1],,RU:,,,
Jack Watling,1938-1974,Watling,Jack,M,1923,,R:boyish,Great Britain,,Ww(Hitchcock),
Bobby Watson,,,,M,,,RU:,,,Cit(1),
Bobs Watson,1938-1960,Watson,Bobs,M,1931,,R:weepy,USA,,,
Douglass Watson,,,,M,[1],,RU:,,,
Emily Watson,1996-1997,Watson,Emily,F,1967,,R:distant beauty,Great Britain,,
Jack Watson,1961-1980,Watson,Jack,M,1921,,R:tough-looking,Great Britain,,,
Lucile Watson,1934-1951,Watson,Lucile,M,1879,1962,R:imperious,Canada,,,
Minor Watson,1933-1956,Watson,Minor,M,1889,1965,"R:lawyers, kindly fathers",USA,,,
Robert Watson,1933-1957,Watson,Robert,M,1888,1965,R:character,USA,,,
Timothy Watson,,,,M,[1],,RU:,,,Cit(1),
Wylie Watson,1932-1961,Robertson,John Wylie,M,1889,1966,R:little man,Great Britain,,Ww(Hitchcock),
Richard Wattis,1949-1973,Wattis,Richard,M,1912,1975,R:bespectacled,Great Britain,,,
Kristina Wayborn,,,,F,[1],,RU:,,,Cit(2),
David Wayne,1948-1980,McMeekan,Wayne,M,1914,,"R:wiry, versatile performer",USA,[34.104],Ww(Hitchcock),
Ethan Wayne,,Wayne,Ethan,M,[1],,RU:,,,Ch(John Wayne),
John Wayne,1927-1976,Morrison,Marion Michael (Duke),M,1907,,R:cowboy,USA,,Also(D) St(Republic) Ww(John Ford) Aw(AFI#13),
Johnny Wayne,,,,M,[1],1990,RU:,,,Cit(0),
Keith Wayne,,,,M,[1],,R:teenager,,,Cit(1),
Michael Wayne,,Wayne,Michael,M,[1],,RU:,,,"Ch(John Wayne) Nt(Briefly A, then P)",
Naunton Wayne,1931-1964,Davies,Naunton,M,1901,1970,R:mild-mannered,Great Britain,[4.580],Ww(Hitchcock),
Nina Wayne,,,,F,[1],,RU:,,,Cit(0),
Patrick Wayne,1945-1977,Wayne,Patrick,M,1939,,R:lead,USA,,Ch(John Wayne),
Carl Weathers,,,,M,[1][23],,RU:,,,
Dennis Weaver,1952-1983,Weaver,Dennis,M,1924,,R:character,USA,,,
Doodles Weaver,1937-1967,Weaver,Winstead Sheffield,M,1911,1983,R:character comedian,USA,,,
Fritz Weaver,1964-1978,Weaver,Fritz,M,1926,,R:stage,USA,,,
Marjorie Weaver,1936-1952,Weaver,Marjorie,F,1913,,R:lead,USA,,,
Sigourney Weaver,1979-1983,Weaver,Sigourney,F,1949,,R:lead,USA,[4.1163],Mt(James Simpson: D),
Alan Webb,1966-1971,Webb,Alan,M,1906,1982,R:lean,Great Britain,,,
Clifton Webb,1920-1962,Hollenbeck,Webb Parmelee,M,1893,1966,"R:waspish, dancer",USA,[18.185],,,
Jack Webb,1950-1962,Webb,Jack,M,1920,1982,R:action,USA,,"Also(P,D)",
Richard Webb,1947-1949,Webb,Richard,M,,1993,R:action,USA,,,
Robert Webber,1951-1982,Webber,Robert,M,1928,,R:lead,USA,,,
Ben Webster,1913-1935,Webster,Ben,M,1864,1947,R:old school,Great Britain,,Mt(Mae Witty),
Ann Wedgeworth,,,,F,[1],,RU:,,,
Paul Wegener,1913-1948,Wegener,Paul,M,1874,1948,R:distinguished,Germany,,"Also(W,D)",
Virginia Weidler,1931-1943,Weidler,Virginia,F,1927,1968,R:little horror,USA,,,
Leslie Weiner,,,,,[1],,RU:,,,
Johnny Weissmuller,1929-1976,Weissmuller,Peter John,M,1904,1984,R:athletic cliber,USA,,,
Bruce Weitz,,,,M,[1],,RU:,,,
Joseph L. Welch,1959-1959,Welch,Joseph L.,M,1891,1960,R:judge,USA,,"Er(MI=N., C.)",
Mrs. Joseph L. Welch,1959-1959,Welch,fn,F,,,R:juror,USA,,Mt(Joseph L. Welch),
Raquel Welch,1964-1977,Tejada,Raquel,F,1940,,"R:dynamic, curvaceous",USA,,,
Tahnee Welch,,,,F,[1],,RU:,,,
Tuesday Weld,1956-1982,Weld,Susan Ker,F,1943,,"R:cute blonde, lead",USA,,,
Ben Welden,1932-1951,Welden,Ben,M,1901,,R:character,Great Britain,,,
Mary Louise Weller,,,,F,[1],,RU:,,,
Gwen Welles,,,,F,[1],,RU:,,,
Jacqueline Wells,1933-1957,Brown,Jacqueline,F,1914,,R:lead,USA,,Nt(also Julie Bishop),
Mel Welles,,,,,[1],,RU:,,,
Orson Welles,1941-1982,Welles,Orson,M,1915,1985,R:ebullient,USA,[4.534][9.209],"Also(W,P,D) Mt(Rita Hayworth) Aw(AFI#16)",
Billy Wells,,,,,[1],,RU:,,,
Dawn Wells,,,,F,[1],,RU:,,,
Jennifer Wells,,,,F,[1],,RU:,,,
John Wengraf,1922-1963,Wenngraft,Johann,M,1897,1974,"R:lean, mean",Austria,,,
Klaus Wenneman,,,,M,[1],,RU:,,,
Fritz Wepper,,,,M,,,R:[1],,,
Oskar Werner,1949-1976,Schliessmayer,Josef,M,1922,1984,R:lead,Austria,[4.534],,,
Dick Wessel,1938-1965,Wessel,Dick,M,1910,1965,R:comedy,USA,,,
Paula Wessely,1934-1959,Wessely,Paula,F,1908,,R:lead,Austria,,,
Dick Wesson,1949-1978,Wesson,Dick,M,1922,1979,R:character,USA,,,
Adam West,1959-1978,Anderson,William,M,1929,,R:light lead,USA,,,
Dianne West,,,,F,[1],,RU:,,,
Mae West,1932-1977,West,Mae,F,1892,1980,R:sex symbol,,,Also(W) Aw(AFI#15),
Timothy West,1968-1982,West,Timothy,M,1934,,R:character,Great Britain,,,
John Westbrook,1965,Westbrook,John,N,19aa,1989,R:sr,,,,
Gordon Westcott,1932-1935,Westcott,Gordon,M,1903,1935,R:`the other man',USA,,,
Helen Westcott,1935-1971,Hickman,Myrthas Helen,F,1929,,R:lead,USA,,,
James Westerfield,1946-1969,Westerfield,James,M,1912,1971,R:heavyweight,USA,,,
Helen Westley,1934-1942,Conroy,Henrietta,F,1879,1942,"R:crotcherty, kindhearted dowagers",USA,,,
Nydia Westman,1933-1966,Westman,Nydia,F,1902,1970,R:fluttery,USA,,,
James Westmoreland,,,,M,[1],,RU:,,,
David Weston,1963-1979,Weston,David,M,1938,,RU:,Great Britain,,,
Jack Weston,1958-1983,Weston,Jack,M,1926,,R:roly-poly,USA,,,
Margaret Weycherle,,,,F,[1],,RU:,,,
Michael Whalen,1936-1956,Shovlin,Joseph Kenneth,M,1899,1974,R:lead,USA,,,
Joanne Whalley,198x-1989,Whalley-Kilmer,Joanne,F,1960,,R:sexy,Great Britain,,Mt(Val Kilmer) Er(dob 1964),
Arleen Whelan,1938-1957,Whelan,Arleen,F,1916,,R:lead,USA,,,
Alan Wheatley,1960-1964,Wheatley,Alan,M,1907,,R:suave,Great Britain,,,
Russ Wheeler,,,,M,[1],,RU:,,,
Manning Whiley,1938-1952,Whiley,Manning,M,1915,,R:sinister,Great Britain,,,
Leigh Whipper,1939-1943,Whipper,Leigh,M,1877,1975,R:black,USA,,,
Alice White,1923-1948,White,Alice,F,1907,1983,"R:flapper, gansters' moll",USA,,,
Carol White,1960-1977,White,Carol,F,1941,,R:lead,Great Britain,,,
David White,1960-1961,White,David,M,1916,1990,R:clumsy,USA,[4.10],"Er([4]) Nt(much TV: Bewitched, Love Boat)",
Jessie White,1950-1978,Wiedenfeld,Jessie,F,1918,,R:nervous cigar-chewing crook,USA,,,
John Sylvester White,,,,M,[1],,RU:,,,
Pearl White,1914-1947,White,Pearl,F,1889,1938,"R:lead, silent",USA,,,
Ruth White,1963-1969,White,Ruth,F,1914,1969,R:character,USA,,,
Ted White,,,,M,[1],,RU:,,,
Valerie White,1943-1973,White,Valerie,F,1916,1975,R:character,Great Britain,,,
Wilfrid Hyde White,,,,M,[1],,RU:,,,
Billie Whitelaw,1954-1983,Whitelaw,Billie,F,1932,,R:lead,Great Britain,,,
Jon Whiteley,1952-1967,Whiteley,Jon,M,1945,,R:juvenile,Great Britain,,,
Paul Whiteman,1930-1947,Whiteman,Paul,M,1890,1967,"R:tall, portly",USA,,,
Lynn Whitfield,1997-1999,Whitfield,Lynn,F,1954,,R:social avtivist,,"Mt(Brian Gibson,)",
Leonard Whiting,1966-1973,Whiting,Leonard,M,1950,,R:juvenile lead,Great Britain,,,
Ernest Whitman,1936-1953,Whitman,Ernest,M,,,"R:black, sizeable presence",USA,,,
Mae Whitman,1996,Whitman,Mae,F,1989,,RU:,,,,
Stuart Whitman,1952-1982,Whitman,Stuart,M,1926,,R:boxer,USA,,,
James Whitmore,1949-1978,Whitmore,James,M,1921,,R:craggy,,,
James Whitmore~jr.,,,,M,[1],,RU:,,,
Peter Whitney,1942-1970,Engle,Peter King,M,1916,1972,R:portly,USA,,,
Paul Whitsun-Jones,1955-1960,Whitsun-Jones,Paul,M,1923,1974,R:rotund,Great Britain,,,
May Whitty,1915-1948,Whitty,Dame May,F,1865,1948,"R:indomitable, kindly old ladies",USA,[4.580],Mt(Ben Webster) Ww(Hitchcock),
The Who,,,,G,[1],,R:rock group,Great Britain,,,,
Richard Whorf,1950,Whorf,Richard,1906,1966,sullen,R:USA,Also(D),
stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Mary Wickes,1941-1975,Wickenhauser,Mary,F,1916,,R:comedienne,USA,,,
Richard Widmark,1947-1982,Widmark,Richard,M,1914,,R:lead,USA,[4.175],ER[4],,,
Dorothea Wieck,1931-1939,Wieck,Dorothea,F,1908,,R:character,Germany,[4.688],,,
The Wiere~Brothers,,,,G,[1],,RU:,,,
Lynda Wiesmeyer,,,,F,[1],,RU:,,,
Dianne Wiest,1975-1989,,,F,*,,"R:lively, weird",USA,,,
Collin Wilcox,1964,Wilcox,Collin,F,,,R:sluttish,USA,[34.280],jWw(Hitchcock),
Frank Wilcox,1939-1961,Wilcox,Frank,M,1907,1974,R:character,USA,,,
Larry Wilcox,,,,M,[1],,RU:,,,
Henry Wilcoxon,1931-1981,Wilcoxon,Henry,M,1905,,R:lead,Great Britain,,,
Jack Wild,1968-1973,Wild,Jack,M,1952,,R:juvenile,Great Britain,,,
Cornel Wilde,1940-1978,Wilde,Cornel,M,1915,1989,R:lead,USA,,"Also(P,D) Mt(Jean Wallace)",
Gene Wilder,1967-1980,Silberman,Jerry,M,1934,,R:comic,USA,[4.86],,,
Michael Wilding,1935-1973,Wilding,Michael,M,1912,1979,R:fun-loving,Great Britain,,Ww(Hitchcock),
Estelle Wildwood,,,,F,[1],,RU:,,,
Jan Wiley,,,,F,[1],,RU:,,[4.928],,,
Robert J. Wilke,1936-1971,Wilke,Robert,M,1911,,"R:mean, shifty, villainous",USA,,,
Jose Wilker,,,,M,[1],,RU:,,,
Joy Wilkerson,,,,F,[1],,RU:,,,
Donna Wilkes,,,,F,[1],,RU:,,,
Fred Willard,,,,M,,,RU:,,,
Toyah Willcox,,,,F,[1],,RU:,,,
Warren William,1914-1947,Krech,Warren,M,1895,1948,R:suave,USA,,,
Adam Williams,1950-1967,Williams,Adam,M,1929,,R:second lead,,,Ww(Hitchcock),
Bernie Williams,,,,M,[1],,RU:,,,
Bill Williams,1944-1965,Katt,William,M,1916,,R:innocent hero,USA,,Ty(swimmer),
Billy-Dee Williams,1971-1983,Williams,Billy-Dee,M,,,R:bleack lead,USA,,,
Bransby Williams,1925-1937,Williams,Bransby,M,1870,1961,R:distinguished,Great Britain,,,
Cara Williams,1943-1977,Kamiat,Bernice,F,1925,,R:comedienne,USA,,Mt(John Barrymore~jr.(1952-1959)),
Cindy Williams,1971-1981,Williams,Cindy,F,1948,,R:lead,USA,,,
Eric Bransby Williams,,,,M,[1],,RU:,,,
Emlyn Williams,1932-1969,Williams,Emlyn,M,1905,1987,R:stage,Great Britain; Welsh,,,,,
Esther Williams,1942-1961,Williams,Esther,F,1923,,R:lead swimmer,USA,,Ty(swimmer),
Grant Williams,1956-1972,Williams,Grant,M,1930,1985,R:lead,USA,,,
Guinn `Big Boy' Williams,1929-1962,Williams,Guinn,M,1900,1962,R:amiably tough,USA,,,
Guy Williams,1962-1968,Williams,Guy,M,1924,,R:lead,USA,,Ty(Zorro),
Harcourt Williams,1944-1956,Williams,Harcourt,M,1880,1957,R: distinguished,Great Britain,,,
Hugh Williams,1930-1966,Williams,Brian,M,1904,1969,R:lead,Great Britain,[4.504],,,
JoBeth Williams,1982-1984,Williams,Jobeth,F,,,R:lead,USA,,,
John Williams,1935-1979,Williams,John,M,1903,1983,R:suave,Great Britain,,Ww(Hitchcock; often),
Kathlyn Williams,1911-1933,Williams,Kathlyn,F,1888,1960,R:silent lead,USA,,,
Kenneth Williams,1952-1974,Williams,Kenneth,M,1926,1988,R:comic small boy,Great Britain,,Ww(Gerald Thomas),
Paul Williams,1965-1982,Williams,Paul,M,1940,,R:diminutive folk singer,USA,,,
Rhys Williams,1940-1969,Williams,Rhys,M,1892,1969,R:character,Great Britain; Welsh,,,,,
Robert Williams,1931-1931,Williams,Robert,M,1897,1932,R:slow-speaking,USA,,,
Robin Williams,1980-1999,Williams,Robin,M,1951,,R:excentric comedian,USA,,"Mt(Valerie Velardi, Marsha Garces Williams) Also(P)",
Sharon Williams,,Williams,Sharon,F,[1],,RU:,,,
Simon Williams,1975-1983,,,M,1946,,R:light lead,Great Britain,,,
Treat Williams,1976-1981,Williams,Richard,M,1952,,R:heavy presence,USA,,,
Vanessa Williams,,Williams,Vanessa L.,F,1963,,R:singer,,,,,
Vanessa Williams,,Williams,Vanessa,F,1963,,R:black actress,,Nt(TV; Melrose Place),
Fred Williamson,1970-1983,Williamson,Fred,M,1938,,R:action hero,USA,,Also(D),
Nicol Williamson,1967-1982,Williamson,Nicol,M,1939,,R:awkward,Great Britain,,,
Noble Willingham,,,,M,[1],,RU:,,,
Austin Willis,,,,M,[1],,RU:,,,
Bruce Willis,1994,,,M,1941,,R:rough,Germany,,,,
Pierre-Richard Willm,,,,M,[1],,RU:,,,
Noel Willman,1952-1968,Willman,Noel,M,1918,,RU:,Great Britain,,,
Dave Willock,1939-1964,Willock,Dave,M,1909,,R:hero's friend,USA,,,
Beverly Wills,1945,Wills,Beverly,,,dancer,R:USA,,Ch(Joan Davis),
Brember Wills,1932-1932,Wills,Brember,M,1883,1948,R:slightly builtd,Great Britain,,,
Chill Wills,1940-1967,Wills,Chill,M,1903,1978,R:gravel-voiced,USA,,"Also(voice of Francis, the mule)",
Douglas Wilmer,1956-1983,Wilmer,Douglas,M,1920,,R:character,Great Britain,,,
Candy Wilson,,,,F,[1],,RU:,,,
Dooley Wilson,1942-1951,Wilson,Dooley,M,1894,1953,"R:black pianist, character",USA,,"Ty(Play it again, Sam) Ww(The Red Devils)",
Elizabeth Wilson,,,,F,[1],,RU:,,,
Flip Wilson,1974-1979,Wilson,Clerow,M,1933,,R:black comic,USA,,,
George Wilson,,,,M,[1],,RU:,,,
Josephine Wilson,,,,M,[1],,RU:,,,Ww(Hitchcock),
Lambert Wilson,1985,,,M,[1],,R:creepy,,,
Lois Wilson,1916-1949,Wilson,Lois,F,1895,1983,R:silent lead,USA,,,
Margery Wilson,,,,F,[1],,RU:,,,
Marie Wilson,1936-1962,White,Katherine Elizabeth,F,1916,1972,R:dumb blonde,USA,,,
Mary Louise Wilson,1984,,,F,[1],,RU:,,,
Michael G. Wilson,,,,M,[1],,RU:,,,
Scott Wilson,1967-1980,Wilson,Scott,M,1942,,R:tough,USA,,,
Trey Wilson,1989,Wilsom,Trey,M,,,RU:,USA,,Nt(),
Paul Winchell,,,,M,[1],,RU:,,,
Walter Winchell,1930-1937,Winchell,Walter,M,1897,1972,R:newspaper man,USA,,Also(columnist),
William Windom,1962-1978,Windom,William,M,1923,,R:minor lead,USA,,,
Barbara Windsor,1955-1973,Decks,Barbara,F,1937,,R:dumb blonde,Great Britain,,,
Claire Windsor,1920-1929,Cronk,Olga,F,1898,1972,R:silent lead,USA,,,
Marie Windsor,1941-1975,Bertelson,Emily Marie,F,1923,,R:lead,USA,,,
Penelope Windust,,,,F,[1],,RU:,,,Er(Rel to Bretaigne Windust; D),
Paul Winfield,1969-1982,Winfield,Paul,M,1941,,R:black lead,USA,,,,Debra Winger,1978,Winger,Debra,F,1954,,R:strong lead,USA,,Mt(Timothy Hutton),
Henry Winkler,1972-1978,Winkler,Henry,M,1946,,R:extrovert,USA,,,
Kitty Winn,,,,F,[1],,RU:,,,
Charles Winninger,1924-1960,Winninger,Karl,M,1884,1969,"R:chubby, lovable",USA,,,
George Winslow,1952-1958,Wenzlaff,George,M,1946,,"R:child, throaty voice",USA,,,
Philip Winter,,,,M,[1],,RU:,,,
Vincent Winter,1953-1964,Winter,Vincent,M,1947,,R:child,Great Britain,,,
Deborah Winters,,,,F,[1],,RU:,,,
Jonathan Winters,1963-1981,Winters,Jonathan,M,1925,,R:comedian,USA,,,
Roland Winters,1946-1965,Winters,Roland,M,1904,,R:heavily-built,USA,,Ty(Charlie Chan; 1931-1937) St(Monogram),
Shelley Winters,1943-1979,Schrift,Shirley,F,1922,,R:character,USA,,"Lw(William Holden, Sean Connery) Mt(Tony Francisco)",
Estelle Winwood,1934-1976,Goodwin,Estelle,F,1882,1984,R:eccentric ladylike flutterer,Great Britain,,,
Norman Wisdom,1953-1969,Wisdom,Norman,M,1918,,R:slapstick comedian,Great Britain,,,
Joseph Wiseman,1951-1983,Wiseman,Joseph,M,1919,,RU:,USA,[4.152],,,
Googie Withers,1934-1970,Withers,Georgette,F,1917,,R:lead,Great Britain,[4.526],Mt(John McCallum),
Grant Withers,1929-1958,Withers,Grant,M,1904,1959,R:general purpose,USA,,,
Jane Withers,1934-1963,Withers,Jane,F,1926,,R:child,USA,,,
Cora Witherspoon,1936-1952,Witherspoon,Cora,F,1890,1957,R:shrewish wife,USA,,,
Michael James Wixted,1971-1977,Wixted,Michael James,M,,,R:child,USA,,,
stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Alexander Wolcott,,,,M,[1],,RU:,,,Cit(1),
Michael Wolf,1988,,,M,[1],,RU:,,,Er(sp),
Allan Wolfe,,,,M,[1],,RU:,,,Cit(1),
Ian Wolfe,1933-1978,Wolfe,Ian,M,1896,,"R:worried, grasping, officious",USA,,,
Sir Donald Wolfit,1934-1966,Wolfit,Donald,M,1902,1968,R:hammy,Great Britain,,,
Louis Wolheim,1920-1931,Wolheim,Louis,M,1880,1931,R:semi-brutish,Germany,,,
Edna May Wonacott,1943,Wonacott,Edna May,F,1888?,,R:matron,USA,,Nt(discovered by Hitchcock),
Anna May Wong,1919-1960,Wong,Liu Tsong,F,1907,1961,R:sexy,USA,[17.224],,,
Arthur Wontner,1916-1953,Wontner,Arthur,M,1875,1960,R:character,Great Britain,,,
Cyndi Wood,,,,F,[1],,RU:,,[4.182],Cit(1),
David Wood,,,,M,[1],,RU:,,,Cit(1),
Edward D. Wood~jr.,1953,Wood,Edward D. jr.,M,1924,1978,R:transvestite,USA,,Cit(2) Mainly(D),
Elijah Wood,1992,Wood,Elijah,M,1981,,R:sr,,,,
Gary Wood,,,,M,[1],,RU:,,,Cit(1),
John Wood,1972-1983,Wood,John,M,1937,,R:intellectural,Great Britain,,,
Lana Wood,1983,Wood,Lana,F,[1],,RU:,~1941,,"Cit(2) Si(Natalie Wood) Lw(,Sean Connery)",
Natalie Wood,1943-1983,Gurdin,Natasha,M,1938,1981,R:elegant,USA,[9.204],"Mt(Richard Gregson, Robert Wagner) Nt(last movie released after death)",
Peggy Wood,1919-1965,Wood,Peggy,F,1892,1978,R:character,USA,,,
Alfre Woodard,1996-1998,Woodard,Alfre,F,,,RU:,USA,"Mt(Roderick Spencer; A,D)",
George Woodbridge,1942-1965,Woodbridge,George,M,1907,1973,"R:tavernkeeper, jovial policeman",Great Britain,,,
Joan Woodbury,1935-1956,Woodbury,Joan,F,1915,,R:lead,USA,,,
Aubrey Woods,1947-1975,Woods,Aubrey,M,1928,,R:character,Great Britain,,,
Bill Woods,,,,M,[1],,RU:,,,Cit(0),
Donald Woods,1933-1965,Zink,Ralph L.,M,1904,,R:lead,USA,,,
James Woods,,,,M,[1],,RU:,,,Cit(6),
Edward Woodward,1954-1979,Woodward,Edward,M,,,RU:,Great Britain,,,
Joanne Woodward,1955-1987,Woodward,Joanne,F,1930,,R:tomboyish,USA,,Mt(Paul Newman),
Morgan Woodward,,,,M,[1],,RU:,,,Cit(2),
Norman Wooland,1948-1966,Wooland,Norman,M,1905,,RU:,Great Britain,[4.535],,,
Monty Woolley,1937-1955,Woolley,Edgar Montillion,M,1888,1963,R:ebullient,USA,[4.942],,,
Cornell~Woolrich,W,,1942-1967,Woolrich,Cornell,1903,R:1968,USA,"T9Susp,Myst) Alias(William Irish)",
Hank Worden,1936-1963,Worden,Norton Earl,M,1901,,R:westerns,USA,,,
Christina World,,,,F,[1],,RU:,,,Cit(0),
