stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes,
Shirley Temple,1932-1949,Temple,Shirley,F,1928,,R:child prodigy,USA,"[4.231,942]",,Aw(AFI#18),
Victoria Tennant,1972-1983,Tennant,Victoria,F,1950,,R:lead,Great Britain,,,
William Tepper,,,,M,[1],,RU:,\Un,,
Ellaline Teriss,1922-1939,Lewin,Ellen,F,1871,1971,R:beautiful,Great Britain,,Mt(Seymour Hicks),
Alice Terry,1916-1928,Taafe,Alice,F,1899,,R:silent lead,USA,,,
Don Terry,1928-1943,Locher,Donald,M,1902,,R:hero,USA,,,
Ellen Terry,1917-1922,Terry,Ellen,F,1848,1928,R:distinguished,Great Britain,,,
Harry Terry,,,,M,[1][1],,RU:,\Un,,
Nigel Terry,,,,M,[1],,RU:,\Un,,
Philip Terry,1941-1947,Terry,Philip,M,1909,,R:lead,USA,,Mt(Joan Crawford),
TerryThomas,1966-1977,Terry-Thomas,gn,M,,1990,R:sr,,,,
Laurent Terzieff,1958-1978,Terzieff,Laurent,M,,,R:lead,France,,,
Desmond Tester,1935-1974,Tester,Desmond,M,1919,,R:boy,Great Britain,[4.F],Ww(Hitchcock),
Joan Tetzel,1946-1965,Tetzel,Joan,F,1924,1977,R:lead,USA,,Mt(Oscar Homolka),
Lauren Tewes,,,,F,[1],,RU:,\Un,,
Heather Thatcher,1917-1955,Thatcher,Heather,F,1897,,R:light,Great Britain,,,
Torin Thatcher,1934-1967,Thatcher,Torin,M,1905,1981,R:tough-looking,Great Britain,,,
John Thaw,1962-1978,Thaw,John,M,1942,,R:rough-speaking,Great Britain,,,
Phyllis Thaxter,1944-1972,Thaxter,Phyllis,F,1921,,R:lead,USA,,,
Lorna Thayer,,,,F,[1],,RU:,\Un,,
Joe Theismann,,,,M,[1],,RU:,\Un,,
Jodi Thelen,,,,F,[1],,RU:,\Un,Cit(1),
Charlize Theron,1994,,,F,,,RU:,South Africa,,
Ernest Thesiger,1929-1961,Thesiger,Ernest,M,1879,1961,R:skeletal-looking,Great Britain,[4.535; 19.207],,,
Jack Thibeau,,,,M,[1],,RU:,\Un,Cit(2),
Ursula Thiess,1952-1955,Thiess,Ursula,F,1929,,R:lead,Germany,[4.701],,,
Helene Thimig,1944-1947,Thimig,Helene,F,1889,1974,R:character,Germany,,Mt(Max Reinhardt),
Roy Thinnes,1964-1979,Thinnes,Roy,M,1938,,R:stocky,USA,,,
Brondon Thomas,,,,M,[1],,RU:,\Un,Cit(1),
Danny Thomas,1947-1977,Yakhoob (Jacobs),Muzyad (Amos),M,1914,1991,R:comedian,USA,,,
Heather Thomas,,,,F,[1],,RU:,\Un,Cit(1),
Henry Thomas,,,,M,[1],,RU:,\Un,Cit(2),
Jameson Thomas,1927-1938,Thomas,Jameson,M,1892,1939,R:`the other man',Great Britain,,Ww(Hitchcock),
Kristin Scott Thomas,,,,F,[1],,RU:,\Un,Cit(1),
Marlo Thomas,1964-1977,Thomas,Margaret,F,1944,,R:lead,USA,,Ch(Danny Thomas) Mt(Phil Donahue; TV host; dob 1935),
Richard Thomas,1969-1980,Thomas,Richard,M,1951,,R:juvenile lead,USA,,,
Terry Thomas,1956-1977,Hoar-Stevens,Terry Thomas,M,1911,,R:gap-toothed,Great Britain,,Alias(Terry-Thomas),
Tim Thomerson,,,,M,[1],,RU:,\Un,Cit(3),
Carlos Thompson,1953-1966,Mundanschaffter,Juan Carlos,M,1916,1990,R:insightful,Argentina,,Mt(Lilli Palmer) Also(B),
Derek Thompson,,,,M,[1],,RU:,\Un,Cit(1),
Dorri Thompson,,,,,\UN,,RU:,Cit(1),
Emma Thompson,1989-1993,Thompson,Emma,F,,,R:collected,,Mt(Branagh; D),
Fred Thompson,1990-1997,Fred,Thompsn,M,dob,1997+,RU:,USA,,Also(US Senator),
Eric Thompson,1971,Thompson,Eric,M,1929,1982,RU:,Great Britain,Also(D),
Hal Thompson,,,,M,[1],,RU:,\Un,Cit(1),
J.Lee Thompson,,Lee Thompson,J.Lee,M,1914,,RU:,Great Britain,,"Also(W,D)",
Jack Thompson,1970-1983,Payne,John,M,1940,,R:lead,Australia,,,
Lea Thompson,,,,F,[1],,RU:,\Un,Cit(5),
Linda Thompson,,,,F,,,RU:,\Un,Cit(1),
Kay Thompson,,,,F,,,RU:,\Un,Cit(2),
Kim Thompson,,,,F,,,RU:,\Un,Cit(1),
Marshall Thompson,1944-1977,Thompson,Marshall,M,1925,,R:lead,USA,,,
Sada Thompson,1970-1979,Thompson,Sada,M,1929,,R:gentle-looking,USA,,,
Shawn Thompson,,,,M,[1],,RU:,\Un,Cit(1),
Martha Thomsen,,,,F,[1][23],,RU:,\Un,,
Fred Thomson,1922-1928,Thomson,Fred,M,1890,1928,R:cowboy,USA,,,
Sybil Thorndyke,1921-1961,Thorndyke,Sybil Dame,F,1882,1976,R:distinguished,Great Britain,,,
Frank Thornton,1968-1973,Thornton,Frank,M,1921,,R:comic,Great Britain,,,
Sigrid Thornton,1980-1983,Thornton,Sigrid,F,1959,,R:lead,Australia,,,
Frank Thring,1959-1961,Thring,Frank,M,,,RU:,Australia,,,
Thu Thuy,,,,,[1],,R:tootsie,Vietnam,,,
Ingrid Thulin,1955-1977,Thulin,Ingrid,F,1929,,R:lead,Sweden,,,
Bill Thurman,,,,M,[1][23],,RU:,\Un,,
Theodora Thurman,,,,F,[1][23],,RU:,\Un,,
Uma Thurman,1987-1993,Thurman,Uma,F,1971,,R:guarded,USA,,Mt(Gary Oldman),
Tiana,1975,Nga,Tiana Thi Thanh,F,19aa,,R:sr,Vietnam,,Also(D),
Lawrence Tibbett,1930-1937,Tibbett,Lawrence,M,1896,1960,R:opera star,USA,,,
Joseph Ticka,,,,M,[1],,RU:,\Un,,
Cheryl Tiegs,,Tiegs,Cheryl,F,,,R:slim,USA,,Lw(Tony Peck),
Gene Tierney,1940-1969,Tierney,Gene,F,1920,1991,R:good girl,USA,,,
Lawrence Tierney,1944-1982,Tierney,Lawrence,M,1919,,R:`tough guy',USA,,Si(Scott Brady),
Zeffie Tilbury,1921-1945,Tilbury,Zeffie,F,1863,1950,R:character,USA,,,
Nadja Tiller,1959-1968,Tiller,Nadja,F,1929,,R:rich girl,Austria,,,
Mel Tillis,,,,M,[1],,RU:,\Un,,
Johnny Tillotson,,,,M,[1],,RU:,\Un,,
Jennifer Tilly,,Tilly,Jennifer,F,,,R:dizzy,USA,,
Meg Tilly,1982-1994,Tilly,Meg,F,1960,,RU:,USA,,Mt(Fred Zinneman;),
Charlene Tilton,,,,F,[1],,RU:,\Un,,
Martha Tilton,1941-1956,Tilton,Martha,F,1915,,R:singer,USA,,,
Charles Tingwell,1948-1975,Tingwell,Charles,M,1917,,R:self-effacing roles,Australia,,,
Kenneth Tobey,1949-1977,Tobey,Kenneth,M,1919,,R:character,USA,,,
George Tobias,1940-1966,Tobias,George,M,1901,1980,R:character,USA,,,
Oliver Tobias,1978-1983,Tobias,Oliver,M,1947,,R:saturnine,Great Britain,,,
Dan Tobin,1938-1973,Tobin,Dan,M,1909,1982,R:character,USA,,,
Genevieve Tobin,1931-1939,Tobin,Genevieve,F,1901,1975,R:vivacious,USA,[4.768],,,
Ann Todd,1931-1979,Todd,Ann,F,1909,,R:blonde,Great Britain,[4.796],Ww(Hitchcock) Mt(David Lean) Nt(there are two),
Ann Todd,1939-1952,Mayfield,Ann Todd,F,1932,,R:child star,USA,,Ww(Hitchcock),
Richard Todd,,Todd,Richard,M,1919,,R:lead,Great Britain,,Ww(Hitchcock),
Thelma Todd,1926-1935,Todd,Thelma,F,1905,1935,R:perky blonde,USA,,,
Ugo Tognazzi,1961-1980,Tognazzi,Ugo,M,1922,1990,R:lead,Italy,,,
Sidney Toler,1929-1947,Toler,Sidney,M,1878,1947,R:detective,USA,,"Ty(Charlie Chan; 1938-1947) St(Fox, Monogram)",
Marilu Tolo,,,,M,[1][23],,RU:,\Un,,
Jeana Tomasina,,,,F,[1][23],,RU:,\Un,,
Marisa Tomei,1991,Tomei,Marisa,F,[1][23],,"R:slinky, fun",USA,.tif,,,
Andrew Tombes,1933-1955,Tombes,Andrew,M,1889,197x,R:cop,USA,,,
Lily Tomlin,1975-1980,Tomlin,Lily,F,1939,,R:comedy actress,USA,[4.56][9.173],,,
David Tomlinson,1940-1980,Tomlinson,David,M,1917,,R:amiable,Great Britain,,,
Franchot Tone,1932-1968,Tone,Stanislas Pascal Franchot,M,1905,1968,R:lead,USA,[4.609],,,
Regis Toomey,1928-1977,Toomey,Regis,M,1902,1991,R:character,USA,,,
Geoffrey Toonen,,,,M,[1],,RU:,\Un,,
Topol,1965-1983,Topol,Chaim,M,1935,,R:lead,Israel,,,
Marta Toren,1948-1954,Toren,Marta,F,1926,1957,R:lead,Sweden,,,
Mel Torme,1943-1966,Torme,Mel,M,1923,,R:amiable singer,USA,,,
Rip Torn,1956-1983,Torn,Elmore,M,1931,,R:general purpose,USA,,,
David Torrence,1921-1935,Torrence,David,M,1864,1951,R:silent,Great Britain; Scots,,,
Ernest Torrence,1921-1933,Torrence,Ernest,M,1878,1933,"R:villain, silent",Great Britain; Scots,,,
Raquel Torres,1928-1936,Osterman,Paula Marie,F,1908,,R:lead,USA,,,
Toto,1950,gn,fn,M,,,R:comic,Italy,,,
Audrey Totter,1944-1979,Totter,Audrey,F,1918,,R:`hard-boiled',USA,"[4.21,577]",,,
Tamara Toumanova,1966,,,F,[1],,R:ballet dancer,,Ww(Hitchcock),
Harry Townes,,,,M,[1],,RU:,\Un,,
Jill Townsend,,,,F,[1],,RU:,\Un,,
Patrice Townsend,,,,F,[1],,RU:,\Un,,
Stuart Townsend,1995-1998,Fn,Gn,M,,,RU:,Ireland,,
J.R. Tozer,,,,M,[1],,RU:,\Un,,
Arthur Tracy,1932-1938,Rosenberg,Harry,M,1903,,R:singer,USA,,,
Lee Tracy,1929-1953,Tracy,Lee,M,1898,1968,R:nasal delivery,USA,,,
Spencer Tracy,1930-1967,,,M,1900,1968,RU:,\Un,[4.172],"St(MGM) Mt(Louise Treadwell) Lw(Loretta Young@{A Man's Castle}, Katherine Hepburn@{Woman of the Year}) Aw(AFI#9)",
William Tracy,1938-1956,Tracy,William,M,1917,1967,R:sly or dumb,USA,,,
Mary Ellen Trainor,,,,F,[1],,RU:,\Un,,
Helen Traubel,1954-1967,Traubel,Helen,F,1899,1972,R:soprano,USA,,,
Daniel J. Travanti,,,,M,[1],,RU:,\Un,,
Bill Travers,1954-1977,Travers,Bill,M,1922,,R:tall lead,Great Britain,,Mt(Virginia McKenna),
Henry Travers,1932-1949,Heagerty,Travers,M,1874,1965,R:benign old gentleman,Great Britain,,,
Jemru Travers,,,,M,[1],,RU:,\Un,,
Linden Travers,1935-1949,Lindon-Tavers,Florence,M,1913,,R:lead,Great Britain,[4.580],,,
Nancy Travis,1987-1990,Travis,Nancy,F,,,R:steamy,USA,,,
Richard Travis,1941-1955,Justice,William,M,1913,,R:lead,USA,,,
John Travolta,1975-1983,Travolta,John,M,1954,,R:long-limbed dancer,USA,,Mt(Kelly Preston),
Arthur Treacher,1934-1964,Veary,Arthur Treacher,M,1894,1975,R:butler,Great Britain,,,
David Tree,1937-1940,Tree,David,M,1915,,R:comedy actor,Great Britain,,,
Mary Treen,1935-1956,Treen,Mary,F,1907,,"R:nurse, office girl, plain friend",USA,,,
Luis Trenker,1926-1962,Trenker,Luis,M,1893,,R:mountain lead,Germany,,,
Noel Trevarthen,,,,M,[1],,RU:,\Un,,
Austin Trevor,1930-1959,Schilsky,A.,M,1897,1978,R:character,Great Britain,,,
Claire Trevor,1933-1967,Wemlinger,Claire,F,1909,,R:character,USA,,,
Jack Trevor,,,,M,[1],,RU:,\Un,,
Les Tremayne,1960,,,M,[1],,RU:,\Un,,Ww(Hitchcock),
Ivan Triesault,1943-1966,Triesault,Ivan,M,1898,1980,R:small-part,Eastern European,,,
Trigger,1938-1947,Tigger,none,A,1932,1965,R:trick horse,USA,,Ww(roy rogers),
Tommy Trinder,1938-1964,Trinder,Tommy,M,1909,1989,R:music hall star,Great Britain,[4.183],,,
JeanLouis Trintignant,1955-1983,Trintignant,Jean-Louis,M,1930,,R:lead,France,,,
Jeanne Tripplehorn,1992-1993,Tripplehorn,Jeanne,F,1964,,R:attractive,USA,,Mt(Ben Stiller),
Dorothy Tristan,,,,F,[1],,RU:,\Un,,
Massimo Troisi,1995,Troisi,Massimo,M,1953,1994,RU:,\Un,,
Judy Trott,,,,F,[1],,RU:,\Un,,
Patrick Troughton,1948-1976,Troughton,Patrick,M,1920,1987,R:malevolent roles,Great Britain,,,
Cecil Trouncer,1938-1954,Trouncer,Cecil,M,1898,1953,R:resonant diction,Great Britain,,,
Charles Trowbridge,1931-1957,Trowbridge,Charles,M,1882,1967,"R:professor, kindly father",USA,,,
Michael Trubshawe,1965,Trubshawe,Michael,M,,1985,R:sr,,,,
Ernest Truex,1933-1965,Truex,Ernest,M,1890,1973,R:`little man',USA,,,
Francois Truffaut,,Truffaut,Francois,M,1932,,RU:,\Un,,Also(D),
Ralph Truman,1944-1971,Truman,Ralph,M,1900,1977,R:character,Great Britain,,,
Natalie Trundy,1957-1973,Trundy,Natalie,F,,,R:lead,USA,[34.264],Ww(Hitchcock),
Tom Tryon,1955-1978,Tryon,Thomas,M,1919,1991,R:lead,USA,,,
Paris Tselios,,,,M,[1],,RU:,\Un,,
Irene Tsu,1966-1975,Tsu,Irene,F,1943,,R:glamour girl,China,,,
William Tubbs,1946-1951,Tubbs,William,M,1909,1953,R:portly,USA,,,
Forrest Tucker,1940-1979,Tucker,Forrest,M,1919,1986,R:rugged,USA,,,
Michael Tucker,,,,M,[1],,RU:,\Un,,
Sophie Tucker,1929-1944,Abuza,Sophia,F,1884,1966,R:lead,Russia,,Alias(Sonia Kalish),
Sonny Tufts,1943-1967,Tufts,Bowen Charleston,M,1911,1970,R:singer,USA,[4.462],,,
Tom Tully,1944-1959,Tully,Tom,M,1896,1982,"R:tough-looking, soft-hearted",USA,,,
Ann Turkel,1974-1980,Turkel,Ann,F,,,R:lead,,,Mt(Richard Harris),
Elizabeth Turner,,,,F,[1],,RU:,\Un,,
Guinevere Turner,1994,Turner,Guinevere,F,1968,,R:hip lesbian,,,,,
Florence Turner,1910-1921,Turner,Florence,F,1887,1946,RU:,USA,,Nt(Vitagraph Girl),
Janine Turner,1982-1993,Turner,Janine,F,1964,,R:sexy,USA,,,
John Turner,1960-1964,Turner,John,M,1932,,R:lead,Great Britain,,,
Kathleen Turner,1982-1993,,,F,1954,,"R:cool, intense",\Un,[4.879],,,
Lana Turner,1937-1982,Turner,Judy Julia,F,1920,,R:lead,USA,,Lw(Tyrone Power) Er(fn),
Tina Turner,,,,F,[1],,R:singer,USA,,,,
Ben Turpin,1919-1930,Turpin,Ben,M,1874,1940,R:cross-eyed,USA,[4.682],,,
Rita Tushingham,1961-1975,Tushingham,Rita,F,1940,,R:character,Great Britain,,,
Dorothy Tutin,1952-1972,Tutin,Dorothy,F,1930,,R:lead,Great Britain,,,
Lurene Tuttle,1960,,,F,[1],,RU:,\Un,,Ww(Hitchcock),
Shannon Tweed,1983-1992,Tweed,Shannon,F,[1],,R:elegant sexy,USA,.tiff,"Nt(Playboy playmate; Nov1981, May1991)",
Tracy Tweed,,Tweed,Tracy,F,[1],,RU:,USA,Si(Shannon Tweed),
Helen Twelvetrees,1929-1937,Jurgens,Helen,F,1908,1958,R:lead,USA,,,
Twiggy,1971-1980,Hornby,Lesley,F,1946,,R:fashion model,Great Britain,,,
Beverly Tyler,1943-1947,Tyler,Beverly,F,1924,,R:lead,USA,,,
Beverly Tyler,1943-1947,Tyler,Beverly,F,1924,,R:lead,USA,,,
Liv Tyler,1993,Tyler,Liv,F,,,"R:tall, nice",USA,,Ch(Steve Tyler),
Charles Tyner,,,,M,[1],,RU:,\Un,,
Susan Tyrrell,1976-1977,Tyrrell,Susan,F,1946,,R:lead,USA,,,
Cicely Tyson,1966-1979,Tyson,Cicely,F,1933,,"R:black, lead",USA,,,
Margaret Tyzack,1964-1979,Tyzack,Margaret,F,1933,,R:character,Great Britain,,,
Meier Tzelniker,1944-1967,Tzelniker,Meier,M,1894,,R:character,Great Britain,,,
